date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人增加,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付設備款增加
2013-05-09,1,2013,42966.0,-34750,52570,,,-29606,-40000.0,6986,-66130,,,,1.0,,,41105.0,109.0,-3097,11441,25840,-30744,,,-14475,-19988,-181,,1636,,3884.0,,-47644,,0.0,-28371,12957,,0.0,5391,,-100384,-61628,102657,-48.0,-86606,51657,,,206,-10534,4182,,,2013年01月01日至2013年03月31日,923365,866584,-56781,124997,,23714,55819,,,,13003.0,-19729,124997,49486,-161630,-112144,0.0,220,,14678,-208,,,-203,-18030.0,,-69178,866584,-25753,-545,,2018,,,,
2013-08-13,2,2013,85608.0,-69500,1190,,,-11875,,3786,-4782,3151.0,34334.0,,,,,,220.0,-4021,19320,55280,-102318,,0.0,-54475,-57313,-357,,7750,,0.0,1160.0,1129,0.0,0.0,-90522,-22422,,0.0,3305,,53965,-17584,51248,-86.0,-183218,103235,8673.0,-40469.0,465,-18893,4022,2661.0,,2013年01月01日至2013年06月30日,923365,985318,61953,207026,,249348,297471,,,,8669.0,-59457,207026,-101598,106435,4837,,1391,,17360,-280,,,115,,,90445,985318,-33252,-727,,1374,,,,
2013-11-07,3,2013,128240.0,-119250,6255,,,4063,,89,-80480,5495.0,147652.0,,,,,,331.0,-5193,27400,29188,-143296,,0.0,-84445,-58655,-368,,7768,,,2950.0,21676,0.0,0.0,-103280,-55507,0.0,,-584,,-194085,143136,-314,-139.0,-220496,155239,0.0,-56665.0,679,-24431,5193,11716.0,,2013年01月01日至2013年09月30日,923365,880932,-42433,279608,,244219,301825,-64212.0,,0.0,-84684.0,-95344,279608,-147671,41648,-106023,100000.0,4074,0.0,47528,-260,,32794.0,-83,,,22217,880932,-38368,-976,,40008,,,,
2014-03-27,4,2013,175571.0,-139000,35584,-63752.0,,-17725,,1985,-49692,-15.0,17273.0,,,,,,,-7132,37875,27877,-189436,,0.0,-95041,-59715,-1291,,17200,,,65936.0,36339,0.0,0.0,-99574,-30481,,0.0,-696,0.0,-185246,224057,-18878,-313.0,-188334,212507,,-79743.0,1204,-35010,7132,65957.0,,2013年01月01日至2013年12月31日,923365,991820,68455,345587,,376649,433776,-64212.0,,,-117445.0,-147737,345587,-93510,6128,-87382,100000.0,20041,12384.0,47528,3445,9055.0,32794.0,-8425,,,88189,991820,-29249,-1360,0.0,40126,,,,
2014-05-08,1,2014,59047.0,-139750,-16374,0.0,14912.0,6923,,5992,-10430,1.0,2224.0,,,,,,113.0,-2238,8100,10346,-40962,,,-103909,0,-850,,3624,,8851.0,,-9193,,,1557,4782,,,19681,,-18415,-67424,-15790,-12354.0,-92663,52789,,-2862.0,239,-7771,2238,,,2014年01月01日至2014年03月31日,991820,908003,-83817,63198,,-10150,13425,,,56519.0,,8650,63198,3285,-112105,-108820,100000.0,182,,55900,114,,,-775,,,-49773,908003,-18042,-57,,-8119,,,,-26787.0
2014-08-07,2,2014,102694.0,-280000,15156,,30135.0,7882,,50000,7172,4153.0,1946.0,,,,,,224.0,-5207,16564,-18895,-66397,,,-134244,-105653,-1100,,113,,,13584.0,-26830,,-97291.0,10577,-51907,29944.0,,11562,,-37768,-26160,-35398,-12344.0,-92678,105945,0.0,-11083.0,475,-16206,5207,4790.0,,2014年01月01日至2014年06月30日,991820,865662,-126158,158963,,144811,179698,,,0.0,-20441.0,-159396,158963,27197,-109156,-81959,220000.0,15196,,186438,-2868,,,-1780,,,20735,865662,-23888,311,,-11608,,,,-35427.0
2014-11-11,3,2014,191446.0,-376163,28322,,29323.0,-7950,,11131,-9715,49970.0,2636.0,,,62756.0,,,335.0,-6444,24501,11181,-122953,-15000.0,,-208035,-108207,-1100,,20070,,,3578.0,-71761,,-137431.0,45794,-42096,99897.0,,17579,,-72015,-46811,-74284,-12263.0,-193224,154726,,-21084.0,811,-23949,6444,4790.0,,2014年01月01日至2014年09月30日,991820,849713,-142107,256975,,215823,266958,-104923.0,,34341.0,0.0,-175887,256975,98437,-279900,-181463,320000.0,16098,,186438,3326,,0.0,-1780,,,9983,849713,-33630,512,,-11608,16473.0,,,-40912.0
2015-03-20,4,2014,323662.0,-561690,35477,0.0,63752.0,-65241,,6652,55576,49971.0,-853.0,839.0,,-29053.0,,,449.0,-9647,32840,64675,-244214,-15000.0,,-371796,0,-1100,,60400,,,2652.0,-101093,,-288924.0,19573,-9543,100000.0,,5987,,-232385,14657,-46229,-11378.0,-274142,207202,,-49417.0,1104,-30429,9647,4790.0,,2014年度,991820,1107099,115279,229309,,224416,274142,-104923.0,495000.0,,-19205.0,100330,229309,96739,-375568,-278829,285526.0,19411,0.0,296416,13339,0.0,26090.0,-1713,,,44833,1106260,-28944,-2397,,168456,71502.0,,,
2015-05-14,1,2015,,-96000,-9931,,0.0,9751,,-1143,-5158,0.0,-245.0,,,,,,115.0,-2436,8365,-22438,-46262,,,-22614,-11000,-2060,-30193.0,2407,,,5218.0,30019,,-1279.0,-49257,39635,50000.0,,-8241,,50240,-2659,-15746,,-82661,53956,,-1625.0,407,-6202,2436,5158.0,61245.0,2015年01月01日至2015年03月31日,1106260,1128437,22177,26879,-34.0,92347,125355,,,82208.0,,34929,26879,-28971,66202,37231,0.0,930,,18162,-529,,,-548,,,98476,1128437,-29242,1133,,0,,,,0.0
2015-08-11,2,2015,,-96000,9298,,0.0,6456,,1481,8431,0.0,99.0,,,,4500.0,,229.0,-4943,16489,-55364,-94031,,,-137841,-14500,-4092,-29933.0,4030,,,9743.0,-6869,,-174008.0,-17317,24080,50000.0,,-3935,,114773,1358,48313,,-169419,104698,5082.0,-13200.0,1109,-12119,4943,5323.0,111285.0,2015年01月01日至2015年06月30日,1106260,1131544,25284,78400,-70.0,307203,375783,,,166496.0,0.0,-57136,78400,13537,172561,186098,0.0,4379,,52018,1170,,,-1180,,29933.0,297383,1131544,-61404,2883,,-3624,,,,0.0
