date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-09,1,2013,93507.0,-647428,-56414,-19511,1626,12800,,-2187.0,0,74835,,,548,,-731,19541,9585,-37740,,,0.0,,6032,,-1363,-137481,3699,-30000.0,,-6614,-624,74905,1615,-9330.0,69393,75733,809,-16411,731,,2013年01月01日至2013年03月31日,325980,375238,,49258,-15537,,-136632,-120844,,319987,-734605,106912,-15537,-56932,-141882,-198814,1193550,36966,,,-2393,,,,,-105307,-1249.0,375238,-108,,,,-72023,-3305.0,11350
2013-08-07,2,2013,193907.0,-650243,-25709,-13171,-551,10686,,-4762.0,-62122,89482,,,1115,,-1824,39549,48119,-69530,-3013.0,,0.0,6114.0,0,-1628.0,202,-208306,-35473,0.0,-30000.0,-6780,-1255,104300,-18052,-21575.0,-117712,151546,1617,-36788,1824,,2013年01月01日至2013年06月30日,325980,363246,,37266,-70210,,-190224,-146212,,1130305,-1399388,297083,-70210,-62671,-207238,-269909,1241550,8053,,,-2000,,,,,-76002,,363246,-9048,0.0,3904.0,,-77933,-79156.0,27417
2013-11-06,3,2013,293800.0,-658779,-2718,-13118,-511,16371,,,-87033,145338,-6219.0,4069.0,2422,,-2461,59757,38276,-111602,-3014.0,,0.0,6114.0,0,-8923.0,1162,-404459,-103988,0.0,-30000.0,-6044,-1895,345972,-44826,-30899.0,-113868,228207,2803,-54919,2461,,2013年01月01日至2013年09月30日,325980,367011,,41031,-134893,,-194757,-127475,0.0,1684256,-1959566,311380,-134893,-70529,-215853,-286382,1271250,14523,5013.0,,-1262,,,,,7418,,367011,-14824,0.0,4334.0,,-115793,-67182.0,73631
2014-03-21,4,2013,393590.0,-674082,-6645,897,7068,-1464,0.0,-700.0,-102719,172892,-9372.0,,3267,-3219.0,-4117,79882,86891,-149727,-3014.0,-736.0,277.0,6114.0,-96,-9663.0,3854,-219584,58622,0.0,,-8799,-2518,-133507,16374,-40228.0,-190501,299723,23300,-75681,4117,,2013年01月01日至2013年12月31日,325980,374411,-4057.0,48431,-47915,,-129335,-42789,0.0,2234886,-2555699,281376,-47915,-102010,-286454,-388464,1272771,25177,5013.0,,-11072,,,,,5126,,374411,-14982,0.0,6387.0,,51530,-118987.0,-112028
2014-05-08,1,2014,105036.0,-10164,1124,-3113,-301,-1318,0.0,,-85335,73170,-4630.0,,-94,-56769.0,-314,20559,5796,-68810,,-1188.0,1596.0,,0,-246.0,64,-70656,-62122,0.0,,5752,-577,104589,-2718,-9354.0,-139459,77606,4297,-21007,314,,2014年01月01日至2014年03月31日,374411,305160,,-69251,-62116,,-16323,33622,,91476,0,80735,-62116,9078,-18376,-9298,0,18446,,,269,,,,,95738,,305160,-29252,,1117.0,,-45160,-14161.0,73979
2014-08-07,2,2014,224756.0,-20348,-20366,-12661,-329,1678,,,-178431,145506,-27103.0,,1185,-57930.0,-724,40718,3229,-110033,0.0,-2377.0,8574.0,2.0,-45,-966.0,8593,-134253,-71328,0.0,,11681,-1163,126533,-9087,-18955.0,-216998,156965,14276,-40960,724,,2014年01月01日至2014年06月30日,374411,284517,,-89894,-125071,,-78551,10800,,1626870,-1402890,202426,-125071,16145,-105030,-88885,0,33709,,,74,,,,,135871,,284517,-49115,,3688.0,,-77240,-27966.0,115442
2014-11-07,3,2014,340930.0,-30563,11004,-15801,350,12623,,,-219071,216462,-33223.0,,1659,-57930.0,-3476,64410,16498,-170271,-4514.0,-4955.0,8574.0,2.0,-45,-1342.0,9068,-78367,-135493,,0.0,-14271,-1757,253371,-13450,-28459.0,-270359,239702,35646,-64493,3476,,2014年01月01日至2014年09月30日,374411,319426,,-54985,-158421,,50321,167828,,2400712,-2219794,148555,-158421,-76789,62108,-14681,0,55346,3042.0,,-9704,,,,,326249,,319426,-56490,,4119.0,,-96268,-62971.0,90080
2015-03-20,4,2014,526177.0,-40419,-19997,1966,-366,2380,,,-362743,316720,-38726.0,,1521,-57930.0,-4262,88497,62620,-260097,-4514.0,-6144.0,17296.0,16.0,-45,-3851.0,12430,-91968,-30918,,,6561,-2280,148697,-17009,-32893.0,-326335,321397,58869,-86432,2291,,2014年度,374411,356798,-3359.0,-17613,-175195,,147415,299527,,3295441,-3184026,98687,-175195,-19075,-32380,-51455,30000,61244,7577.0,,-7885,,,9699.0,-15729.0,474722,,356798,-67971,,69832.0,,-76446,,58538
2015-05-08,1,2015,,-52750,-26787,-5492,-78,-10284,,,-11237,38592,-3288.0,,-49,0.0,-434,22032,-17809,-122043,-5022.0,-1188.0,0.0,,13356,-322.0,657,-22855,-87184,,-50000.0,-11395,-370,120967,14095,,59837,80603,27189,-22768,310,138797.0,2015年01月01日至2015年03月31日,356798,408747,,51949,-42308,-2114.0,34831,76807,,648219,-640765,-24910,-42308,-108964,89282,-19682,57400,162153,1535.0,,6874,,,,,119115,,408747,-19518,,2582.0,,-7149,,18594
2015-08-07,2,2015,,-68370,-26436,-9142,-11,6636,,,-85873,59913,-6680.0,,543,0.0,-957,41846,-27975,-163558,-7529.0,-2377.0,1180.0,13382.0,-13125,-3654.0,975,12199,-145409,,-50000.0,-13041,-745,305942,20549,,-39694,154091,32140,-45573,755,241053.0,2015年01月01日至2015年06月30日,356798,346415,,-10383,-146596,-11737.0,161319,235511,,1364873,-1539941,-104033,-146596,-164080,305134,141054,57400,166541,2548.0,,6927,,132493.0,,,382107,,346415,-29374,,5283.0,,-31050,,32554
