date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得採用權益法之投資,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預付款項（增加）減少
2013-05-07,1,2013,4279.0,110861.0,,-53082,-76882,1437,-2997,-362,-1554,,-556,,-371,20171,-27831,0.0,,-50000.0,-17.0,,,-3136,-20647,8000,24963,-4890,315,1253.0,-78404,88758,1323,-6507,374,,,2013年01月01日至2013年03月31日,264354,238617,-25737,116349,,114810,114493,,-9000.0,,-62143,116349,,-74310,-38407,-112717,,0,,,0,,,-1856,238617,-57,-3299.0,,-31771
2013-08-08,2,2013,0.0,211368.0,,-606069,-83121,834,-7186,-5649,-1366,,-8711,,-868,34384,-76886,0.0,,-50000.0,-17.0,,,-3561,-20276,6996,15016,-2834,5051,-14920.0,-135547,176633,5141,-13699,879,,,2013年01月01日至2013年06月30日,264354,305238,40884,194187,,213569,263461,,47000.0,,-37138,194187,,-110487,-31607,-142094,530000.0,67,,,-4,,0.0,69274,305238,-50771,-3918.0,,-25448
2013-11-05,3,2013,0.0,210767.0,,-959246,-34263,-5191,-7101,-13550,0,-2067.0,-9110,,-1269,42378,-127501,0.0,,-130000.0,-17.0,,,-14281,-5398,48003,5193,-14068,8804,-13582.0,-172828,264941,-2992,-21384,1224,65244.0,,2013年01月01日至2013年09月30日,264354,353980,89626,345100,,370148,447162,,-3000.0,,-107694,345100,-65244.0,-55151,-53554,-108705,830000.0,115,28441.0,0.0,-64,-23065.0,0.0,102062,353980,-78238,-3918.0,,-15268
2014-03-28,4,2013,2857.0,314018.0,,-2190328,30612,1466,5880,-973,-1367,,-19795,0.0,-1993,49982,-183650,0.0,,-130000.0,-20017.0,,13.0,-16336,9099,3008,472,-1912,1401,-12208.0,-251508,358814,1955,-28950,1968,72529.0,,2013年01月01日至2013年12月31日,264354,372979,108625,438523,,686539,763437,-146769.0,,-18000.0,-326406,438523,-72529.0,33855,-22959,10896,2056000.0,984,28441.0,0.0,1902,-23065.0,0.0,324914,372979,-78866,-3918.0,,-6605
2014-05-06,1,2014,0.0,101452.0,,-85082,-84691,-718,-2049,-1406,129,,1397,,-479,6741,-34844,,,0.0,-17.0,,,-1515,-24755,5000,24418,-12692,2875,507.0,-33397,90552,4670,-6652,438,,,2014年01月01日至2014年03月31日,372979,369123,-3856,143072,,116146,115720,,0.0,,-86605,143072,,-86570,-42234,-128804,,67,,,-32,,,-27352,369123,-12,0.0,,-28778
2014-08-05,2,2014,10.0,202414.0,,-150164,-57535,-2596,-9497,-8678,413,,-880,,-1116,13219,-89695,,,0.0,-17.0,,,-3533,1868,-33000,16078,-11408,2340,-16022.0,-90507,182918,7409,-13033,1139,,,2014年01月01日至2014年06月30日,372979,399849,26870,243912,,285161,329670,,0.0,,-167784,243912,,-65108,-51548,-116656,28000.0,85,,,-26,,,85758,399849,-45648,0.0,,-27673
2014-10-30,3,2014,11,199585,3066,-415246,-31652,-3771,-5080,-3712,1157,,-795,,-1679,19639,-142849,,,-80000,-17,,-43,-7965,-9564,47000,5166,-3548,3639,-19364,-129179,275775,-2761,-19870,1675,91331,,2014年01月01日至2014年09月30日,372979,362724,-10255,416968,,450883,523943,,0,,-331959,416968,-91331,-60494,-32116,-92610,55000,85,0,,-26,0,,106975,362724,-74735,0,,-16759
2015-03-10,4,2014,190.0,302091.0,3067.0,-390328,34351,-3154,9428,-114,15533,,-2023,,-2375,26120,-223036,,-150.0,-80000.0,-17.0,,-315.0,-12476,2999,-39000,-5346,-1404,-842,-17979.0,-210364,368641,634,-26603,2390,91371.0,,2014年度,372979,398873,25894,499004,,730267,802943,-183461.0,,60000.0,-494009,499004,-91371.0,23453,-21605,1848,70000.0,274,0.0,,567,0.0,,303939,398873,-75066,0.0,,-3615
2015-05-11,1,2015,,,,-135082,-90622,1246,-10446,810,-34,,83,,-508,5766,-104765,,,,,-17.0,,16192,-1664,73000,24411,5212,8656,,-104699,92857,3419,-6405,477,,101534.0,2015年01月01日至2015年03月31日,398873,409807,10934,145255,1001.0,164154,163687,,20000.0,,-48521,145255,,-77320,-5782,-83102,,0,,,0,,,18432,409807,-10,,,-37898
2015-08-04,2,2015,0.0,,,-370164,-83605,2063,-20099,779,3015,,3435,,-1059,11534,-215743,,,0.0,,-17.0,-46.0,10800,3303,100500,24690,-7251,3812,,-212290,185988,5944,-12346,1049,,202326.0,2015年01月01日至2015年06月30日,398873,472904,74031,245739,2014.0,278316,337874,,38000.0,,8005,245739,,-73697,-36494,-110191,249000.0,35,,,-35,,,92135,472904,-60607,,,-46697
