date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-10,1,2013,74.0,629231.0,,-482119,-264753,51913,5680,-31352.0,,,-252.0,-8453.0,-145367.0,-9305,67012,98141,-634272,,-20788,,,1696,490,-1,-650,31702,401694,-122777,-135770,,1492425,-716369,-21613.0,-764005,514803,3845.0,7444,-68167,7706,,,2013年01月01日至2013年03月31日,5118430,6111119,,992689,436231,,1719384,1839259,,1108696,-976457,-60831,436231,,-555610,1329407,773797,288560,1050,,,36280,-274.0,,1403028,36677,6111119,-59414,19954,,127251,0.0,4572.0,-53054
2013-08-09,2,2013,74.0,1251535.0,0.0,-756182,-196446,84576,-21409,-9144.0,,-255.0,,3494.0,-146858.0,-20259,130607,101163,-1157424,,-29638,,,-7119,486,-12028,-1573,33436,156477,-203611,-155563,,1844024,-533741,-36387.0,-1283020,1040459,2168.0,14855,-132508,20462,,,2013年01月01日至2013年06月30日,5118430,6727013,,1608583,945914,,2882268,3184723,,1693403,-2021557,-91828,945914,,-523945,1511219,987274,1004050,21040,,,77113,-274.0,,2238809,38571,6727013,-190409,12585,,-33141,-1748.0,,50900
2013-11-08,3,2013,75.0,1908447.0,0.0,-6032949,286905,-41369,-31599,-25161.0,,-1548.0,,40447.0,-147643.0,-32514,190598,95943,-1913694,,-41471,,,13761,3187,-12123,-3865,34246,-388654,1518566,-131979,,350309,-195123,-51015.0,-2058016,1572875,3902.0,22446,-191432,29550,0.0,,2013年01月01日至2013年09月30日,5118430,7664417,,2545987,1731035,,4520201,4952792,-595910.0,2150783,-2798395,-12141,1731035,0.0,1679709,-366399,1313310,7273266,66833,,,109005,-330.0,,3221757,39450,7664417,-270709,-7916,,-70303,-50874.0,,49381
2014-03-14,4,2013,75.0,2591495.0,,-6945837,537182,123138,-33433,,,-3097.0,,,-148213.0,-55092,251634,91219,-3037359,,-48259,,,20101,4768,-12607,-33244,60170,-201322,59946,-60556,-15517.0,159014,-361105,-66246.0,-3121983,2128217,3571.0,30020,-249835,52116,0.0,,2013年01月01日至2013年12月31日,5118430,6648648,50635.0,1530218,2633289,,4809415,5384219,-595910.0,3017441,-3589483,-248433,2633289,0.0,494667,-335232,159435,7873195,83365,0.0,,151382,,,2750930,26288,6648648,-377085,14523,,-58528,4654.0,,47003
2014-05-09,1,2014,0.0,746392.0,,-35577,-581509,-30925,250891,16268.0,,,0.0,,0.0,-22722,60682,1465,-909605,,-2227,,,-1720,2116,-2138,-10514,1749,-26554,146500,-68661,,686640,140093,-14969.0,-944515,575099,0.0,7995,-60993,25655,,,2014年01月01日至2014年03月31日,6648648,8559604,94632.0,1910956,434802,,1581905,1710198,,57804,-57804,1272101,434802,,-240660,769664,529004,1307700,5347,,,35585,0.0,,1275396,29323,8559604,-92955,-3159,,-15858,,-29265.0,-2235
2014-08-08,2,2014,0.0,1501557.0,,-1918738,-335313,59665,49401,17244.0,,-5852.0,,,-13646.0,-48403,121548,-269896,-2408722,,-35298,,,-24429,4918,-2624,-15893,5581,-603349,219361,-47944,,688187,287202,-31078.0,-2472302,1140190,-2000.0,16539,-118799,45498,,,2014年01月01日至2014年06月30日,6648648,6923563,246060.0,274915,871638,,2128051,2377294,,11957394,-12015438,889062,871638,,-125150,129249,4099,2863550,25313,,,68526,0.0,,1505656,20502,6923563,-175942,-18474,,-317700,-23785.0,,-79
2014-11-07,3,2014,0.0,2179742.0,,-3670113,-104737,118333,-25038,2156.0,,-10467.0,,,-13646.0,-69565,181749,-260311,-3601946,,-42949,-32637.0,,-18859,6904,-5174,-26433,17385,-866298,1427791,-97393,,-312643,274354,-47919.0,-3736004,1745379,25.0,26111,-179234,70736,,,2014年01月01日至2014年09月30日,6648648,7742192,210902.0,1093544,1644264,,3450236,3834906,-595910.0,1383934,-1624608,1639623,1644264,,1188660,-1177760,10900,6144590,29950,,,92269,-25.0,,2190642,31949,7742192,-276172,11781,,-393687,-55261.0,,4007
2015-03-13,4,2014,0.0,3017133.0,,-5298312,168307,26956,10938,-5472.0,,-12870.0,,,-13646.0,-93701,252317,-130353,-4808326,,-46239,-31554.0,,-16407,33925,-31712,-29725,20412,-646955,925777,-35213,,-1186804,310784,-84741.0,-4948096,2406815,25.0,36575,-247121,91622,,,2014年度,6648648,8044726,280221.0,1396078,2683856,,4281339,4787290,-595910.0,2478465,-2317958,2193188,2683856,,998003,-1911702,-913699,7924690,75859,,,117626,-25.0,,2103434,171,8044726,-350452,33712,,-410236,-102007.0,,12764
2015-05-08,1,2015,,,,-564066,-489863,-24099,39738,21987.0,,,,,,-25172,74544,-50142,-1350119,,-4146,,,2437,2793,-879,-2360,3183,-207009,431026,33929,,1328917,-22018,,-1437826,672444,,10149,-76527,29519,,709025.0,2015年01月01日至2015年03月31日,8044726,9872101,-15062.0,1827375,584630,-18008.0,2306843,2457074,,277337,-277337,1008500,584630,,12847,1150572,1163419,1570652,27146,,,42918,,,1872444,12539,9872101,-103223,-53233,,52794,-111530.0,,3486
2015-08-06,2,2015,,,,-1643877,-200496,-110924,-55949,24927,,-762,,,0,-53713,146374,-138666,-2961424,,-16156,,,3314,3025,-983,-5257,5884,-1004959,829297,155974,,947040,-36378,,-2970950,1343024,0,20347,-149349,56470,,1459137,2015年01月01日至2015年06月30日,8044726,8393605,-25883,348879,1356914,-36350,2864360,3167345,,1049556,-584238,594135,1356914,,711591,-360297,351294,1770652,58949,,,68689,,,1810431,15322,8393605,-210106,-43015,,-180003,-52184,,3793
