date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產（增加）減少,其他非流動負債減少,其他非流動資產減少,其他項目,利息收入,利息費用,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,,13062.0,9296.0,,7607,-8952,-19323,0.0,,-4234.0,-11424.0,8830.0,,-645,523,0,,-135.0,,,-524,,-592.0,,,77824,-67080,,-19999.0,,46274,5163,25367,17190,8681,,1355,78,-527,625,0.0,,2013年01月01日至2013年03月31日,49697,135666,-1009,85969,59501,112617,112625,,,-20000.0,-52015,59501,0.0,-78767,118829,40062,,,7376,1692.0,0.0,0.0,7121,,53124,29,135666,-106,-12719,,,0.0,,-5927,
2013-08-02,2,2013,0.0,66702.0,13461.0,,12227,-3203,28557,,,-4392.0,-22848.0,8830.0,105.0,-1502,923,-3010,,-135.0,,0.0,13,,-371.0,,203030.0,42596,-48518,,-19999.0,,16672,-17988,235686,28962,-186327,2068.0,486,156,-926,2395,12662.0,,2013年01月01日至2013年06月30日,49697,184405,-1235,134708,66471,-37214,-27235,,,-20000.0,-63764,66471,-4662.0,-7772,-152636,-160408,,,11442,1692.0,0.0,0.0,55470,,-93706,-38,184405,-24110,-13706,,-546.0,0.0,,6,
2013-11-08,3,2013,0.0,22783.0,13773.0,,8438,28,6417,,,-75487.0,-34272.0,8830.0,87.0,-2582,1312,-5291,,-135.0,,0.0,-438,,-4866.0,,203230.0,65533,-37699,0.0,-19999.0,,64526,-20763,240657,40550,-136203,2069.0,-59,234,-1315,3356,62971.0,,2013年01月01日至2013年09月30日,49697,262233,-682,212536,171783,108762,68074,-57200.0,,-20000.0,-136883,171783,-54971.0,-22853,-103639,-126492,,,18181,1692.0,0.0,0.0,53523,-1.0,-103709,-9,262233,-24324,-15882,,-546.0,0.0,,-1273,
2014-03-26,4,2013,823.0,136165.0,13773.0,0.0,35919,-192,14781,,-65137.0,,-45697.0,8830.0,79.0,-3953,1700,-6123,-7000.0,-8698.0,-3534.0,0.0,321,,-3524.0,,203297.0,75523,-44774,0.0,-20000.0,,10303,-42471,156354,52072,-166762,2069.0,-2287,312,-1702,4717,65460.0,,2013年01月01日至2013年12月31日,49697,241300,-982,191603,111930,182216,140173,-57200.0,,-20000.0,-146967,111930,-57460.0,5946,-113868,-107922,695.0,,18182,1069.0,0.0,0.0,53599,,28243,20,241300,-26432,-20268,1140.0,-546.0,110000.0,,9731,
2014-05-12,1,2014,,2964.0,0.0,,-22267,907,-4583,,,20148.0,0.0,0.0,,-1703,391,-5046,,-633.0,,,-718,,-47.0,,850.0,-91054,47696,,0.0,,32525,39305,5238,8927,-3871,,3372,51,-391,1792,,,2014年01月01日至2014年03月31日,241300,364129,-855,122829,61690,56968,55745,,60670.0,0.0,60623,61690,,20920,-29829,-8909,,,10067,0.0,,,-3923,,-5945,74,364129,-178,-2578,,,,,-27789,
2014-08-12,2,2014,,7762.0,3749.0,,-12988,-3778,-20622,,,20091.0,0.0,0.0,209.0,-3204,863,-9793,-40000.0,-632.0,,,-594,,-555.0,,1050.0,-55524,-12683,,0.0,,37351,22101,140300,17973,-196740,165217.0,8765,103,-863,3294,10508.0,,2014年01月01日至2014年06月30日,241300,278779,-76,37479,104104,-101882,-114348,,,0.0,-939,104104,-2508.0,-46145,-180069,-226214,,120.0,10067,0.0,10522.0,-9104.0,-1178,,-218452,148,278779,-473,-3487,,-384.0,,,-3570,
2014-11-10,3,2014,,-41025.0,3749.0,,-9683,933,-55041,,,34450.0,0.0,0.0,209.0,-4536,1275,-13409,-80000.0,-632.0,,,1494,,-839.0,,1200.0,-24022,18873,,0.0,,10757,72507,96834,26522,-130333,165217.0,9839,154,-1275,4653,61673.0,,2014年01月01日至2014年09月30日,241300,324282,-790,82982,169690,101771,37439,-114400.0,,0.0,-115623,169690,-53673.0,-45629,-45597,-91226,,120.0,10067,0.0,10522.0,-9104.0,-1178,0.0,-132251,222,324282,-719,-11237,,-384.0,,,-9889,
2015-03-23,4,2014,0.0,52183.0,3749.0,,-5356,1005,-40321,,,17832.0,0.0,0.0,209.0,-5911,1668,-14623,-80000.0,-1846.0,0.0,,2752,,-1079.0,,2795.0,-48456,-6359,,0.0,,3054,-45567,96001,35320,-27302,165217.0,-5971,206,-1668,5945,65105.0,,2014年度,241300,314885,-2371,73585,130905,93447,24911,-114400.0,,0.0,-115863,130905,-56335.0,-51741,-106436,-158177,0.0,120.0,10067,0.0,10522.0,-9104.0,-1178,,-105994,295,314885,-846,-17397,4437.0,-384.0,105858.0,,-7002,
2015-05-07,1,2015,,,,,-30936,20,-37435,,,-18151.0,,,,-1220,388,-6045,,0.0,,,-140,348.0,0.0,,0.0,-55658,19615,,,898.0,28939,84982,46825,6206,24236,52870.0,3057,51,-388,1266,,8183.0,2015年01月01日至2015年03月31日,314885,415672,449,100787,31441,53614,52862,,0.0,,348,31441,,-47900,61138,13238,,,0,,,,0,,21421,-42,415672,-126,-608,,,,,-3230,
2015-08-11,2,2015,,,0.0,,-29624,-2298,-24381,,,40731.0,,,210.0,-2638,431,-6425,0.0,-1400.0,,,370,,-99972.0,,0.0,-196757,56884,,,,21648,91415,113455,12196,67858,118957.0,3694,94,-431,2745,12054.0,5437.0,2015年01月01日至2015年06月30日,314885,434526,1020,119641,57917,106619,99132,,,,-100433,57917,-4054.0,2709,33069,35778,,0.0,2323,0.0,0.0,0.0,-481,,41215,-170,434526,-6881,-5405,,-461.0,,,10472,
