date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款增加
2013-05-10,1,2013,65539.0,-228156,-17822,-7902,9200,-17330,,,-1152,,1241,-9249,18438,110543,-20832,-207842,-2319.0,-94653.0,-245,-14361.0,1433.0,-202377,,47206,,,99325,50129,-13693,-95.0,-125916,53154,0.0,0.0,1210,-18214,9555,1.0,,2013年01月01日至2013年03月31日,2504000,2276311,150.0,-227689,-4439,,11882,7741,,328846,-505786,-224198,-4439,-1.0,137814,-191173,-53359,199112,0.0,159410,79402.0,718,-4156,,12180,2276311,-5414,425.0,3854.0,0.0,-25003.0
2013-08-09,2,2013,192444.0,-323156,13840,-24455,678,-26670,,,-2006,0.0,20380,-20754,35203,162535,-81421,-479631,-11796.0,-6262.0,-873,-11694.0,0.0,-410940,,28810,,,155937,19315,-27191,-210.0,-177303,107024,-3219.0,1324.0,2532,-36788,20701,106.0,,2013年01月01日至2013年06月30日,2504000,1668475,35.0,-835525,-74465,,-148879,-154802,,576450,-1237496,-671878,-74465,-106.0,195836,-468617,-272781,349112,691.0,383473,114481.0,2103,-5506,,-80337,1668475,-14778,5162.0,47244.0,,-83244.0
2013-11-08,3,2013,197264,-431489,-17467,-16122,2985,-22001,,,-2222,0,9919,-27223,50462,136199,-181405,-594225,-16886,-135246,3831,-26868,0,-411728,,-88902,0,,146379,-4879,-38276,-291,-294068,162020,-3659,4083,3843,-51409,27523,1357,,2013年01月01日至2013年09月30日,2504000,1855441,27,-648559,-4430,,-244996,-257044,-39468,810948,-1193388,-245694,-4430,-1357,39045,-488923,-449878,659112,490,609437,114481,3514,-13096,,-252614,1855441,-15475,2484,2840,0,-62981
2014-03-26,4,2013,262632.0,-631667,-5389,12458,942,-32435,,,-6352,0.0,13530,-34972,66094,198196,-415518,-646415,-8763.0,0.0,4015,-13846.0,0.0,-152713,,-76613,,,71808,-69689,-67648,-364.0,-335439,217780,-5592.0,109504.0,5060,-68257,35089,1637.0,,2013年01月01日至2013年12月31日,2504000,1684855,1.0,-819145,22657,,88037,69558,-39468.0,1450638,-2241185,-769939,22657,-1637.0,-15208,-200523,-215731,760000,601.0,643990,756.0,4663,-14423,108471.0,46901,1684855,-16610,2521.0,,,
2014-05-09,1,2014,83069.0,-464149,-8968,-2401,-496,-32808,,,-325,,21313,-5928,10812,13568,-89408,-100470,,-210193.0,-2105,618.0,0.0,-187473,,133033,,,16924,186174,39031,-138.0,-349946,58228,-3865.0,2778.0,1013,-11033,7897,146.0,,2014年01月01日至2014年03月31日,1684855,1368068,8.0,-316787,-34097,,198781,190763,,556910,-560918,-179190,-34097,-146.0,136490,5301,141791,300000,,47363,2323.0,1015,-1177,,224860,1368068,121,36.0,,,
2014-08-12,2,2014,124080.0,-689583,-12543,-7440,2372,29948,,,-439,,873,-12255,21970,68224,-183569,-130986,0.0,-80198.0,-2178,0.0,15041.0,-218191,,-45247,,,84393,70605,44467,-232.0,-218999,115303,-4808.0,5289.0,1992,-21376,12789,250.0,,2014年01月01日至2014年06月30日,1684855,1700204,839.0,15349,68648,,145105,141341,,1308608,-1276630,21019,68648,-250.0,23935,-75322,-51387,700000,1891.0,149623,9388.0,1736,-2968,,72693,1700204,-9025,-982.0,0.0,,
2014-11-11,3,2014,199701.0,-1058333,-11912,-1995,1005,2846,,,-2251,,2006,-18468,34581,39764,-295401,-134434,0.0,-314402.0,2663,13570.0,,-151845,,-1971,,,88120,87894,4141,-321.0,-551904,174521,-4808.0,5289.0,3015,-34573,20334,618.0,,2014年01月01日至2014年09月30日,1684855,1609423,962.0,-75432,113360,,325337,329504,0.0,1893256,-1738979,111371,113360,-618.0,70113,-53670,16443,1050000,3764.0,167244,9388.0,4495,-2467,,216144,1609423,-24501,-989.0,0.0,,
2015-03-27,4,2014,271199.0,-1370833,-174,-22011,-934,10767,,-345970.0,-24553,,5716,-25263,45748,143955,-452473,-134434,0.0,,386,-1529.0,,-214051,,1910,,,120765,70543,-2930,-403.0,-762922,237386,-4808.0,5289.0,4104,-46002,25631,618.0,,2014年度,1684855,1269649,,-415206,140157,,364013,375319,0.0,2538700,-2532117,-160252,140157,-618.0,116356,-152393,-36037,1250000,3980.0,178869,12570.0,7020,-2207,,235162,1269649,-36937,-1073.0,,,
2015-05-12,1,2015,,-208750,-16632,4378,170,17268,106305.0,,-7155,,4526,-5452,11469,-1264,-96371,-1224,,,-2342,219.0,,68687,,-96216,,,-104227,128538,28284,,1774,65842,0.0,0.0,1148,-12535,7567,0.0,76453.0,2015年01月01日至2015年03月31日,1269649,1342194,,72545,-16219,-7.0,86072,90477,,507425,-420177,-14037,-16219,0.0,-216912,247155,30243,120000,,0,0.0,1262,0,,106696,1342194,-11972,0.0,,,
2015-08-11,2,2015,,-341250,-12397,2319,168,27747,78287.0,,-7297,,2693,-10516,22928,-39973,-193253,-668937,,,-2947,,,153769,,-63951,,,-69733,70022,29966,,-203660,134645,0.0,0.0,2311,-25697,11672,348.0,155456.0,2015年01月01日至2015年06月30日,1269649,1430714,,161065,-29518,-14.0,259916,263834,,1135020,-1033291,144782,-29518,-348.0,-145927,283823,137896,410000,169.0,587023,0.0,3119,-2788,,293352,1430714,-15590,0.0,6359.0,,
2015-11-10,3,2015,,-500000,-18249,19382,2051,-2184,-17488.0,,-7740,,4794,-14802,35067,96932,-264244,-1021566,,,-605,,,121006,-14953.0,9794,,,14669,6820,43933,,-326015,200401,0.0,0.0,3510,-39880,17612,952.0,248841.0,2015年01月01日至2015年09月30日,1269649,1485892,,216243,-51740,-20.0,393130,394303,-34320.0,1126935,-995586,52196,-51740,-952.0,8245,188957,197202,510000,169.0,983902,0.0,4695,5724,,446043,1485892,-18785,0.0,11009.0,,
2016-03-25,4,2015,,-582500,-14729,19623,662,-11506,-28386.0,,-9076,,3073,-18896,46568,8884,-372588,-1037926,,,-4113,,,217387,-22852.0,-87773,,,34090,55295,90344,,-426953,268722,0.0,0.0,4761,-53546,20852,952.0,318063.0,2015年度,1269649,1323316,,53667,-28568,-27.0,590511,592861,-34320.0,1363853,-1399410,-118775,-28568,-952.0,-67777,371143,303366,610000,169.0,1019902,0.0,7678,4609,,621429,1323316,-23202,0.0,6613.0,,
2016-05-10,1,2016,,-302500,-15842,-1405,-45,-2263,,141526.0,0,,1901,-3505,10493,-4102,-82246,-98266,,,-2534,,,10162,,34905,50000.0,,-148860,198851,21692,,65983,64972,,,1273,-11697,5046,,73844.0,2016年01月01日至2016年03月31日,1323316,1719343,,396027,-14832,-30030.0,115163,126177,,548467,-455789,218983,-14832,,-159872,227037,67165,390502,24.0,104945,,1106,-996,,141009,1719343,-16060,,1134.0,,
2016-08-10,2,2016,,-453750,-7768,-278,-530,-8029,67927.0,,-1911,,2260,-7195,21471,-33517,-149767,-225808,,,-1962,,,-39356,,53976,49953.0,,-51823,102657,10613,,-77237,125598,,,2427,-24501,7956,61.0,142261.0,2016年01月01日至2016年06月30日,1323316,1578398,,255082,34486,-30060.0,191210,206149,,516796,-404018,174626,34486,-241.0,-36205,65607,29402,490146,1050.0,231211,,4260,-4357,,171663,1578398,-22895,,0.0,,
2016-11-10,3,2016,,-592500,-18322,-885,-571,-10016,0.0,123378.0,-6788,,3287,-10349,32804,-101375,-222658,-357139,,,1082,,,-28545,0.0,110184,50000.0,-50000.0,-53984,-31829,24447,,-130949,187240,,,3783,-36381,12032,252.0,219946.0,2016年01月01日至2016年09月30日,1323316,1651300,,327984,54134,-30086.0,209331,234473,0.0,599893,-365430,350977,54134,-252.0,7221,-46828,-39607,745395,1050.0,330956,,6944,-6052,,180339,1651300,-37174,,1459.0,,
