date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-07,1,2013,4638,93636.0,,0.0,-35409,,-130248,,,-36263.0,-5035,,-580,,,-587,,,4647,57654,-144764,,-165445.0,,,,-2687.0,,-974943,-344482,,,-84577,304310,-144,126470,-14692.0,-432722,122021,0,-47034,147,-4715,,,,2013年01月01日至2013年03月31日,2221175,1741256,11040,-479919,432117,,-602388,-597588,,504023,,497537,432117,,-515423,-607918,-1123341,,4102,,,1903,,,,-1029705,1741256,-85,-1560,-3799,-1579,72252,-126615,
2013-08-09,2,2013,9298,140479.0,,0.0,280462,,-119044,,-1607.0,-68624.0,-14846,,-585,,,-4241,,,9526,-226769,-662418,,-209920.0,,,,-2686.0,,-728736,-104668,,,-84613,113482,0,147524,-29445.0,-1107832,237395,50000,-91603,293,-7680,,,,2013年01月01日至2013年06月30日,2221175,1862938,-18286,-358237,969496,,515601,563492,,467249,,460763,969496,,-6888,-539595,-546483,,26828,,,39399,11660.0,,2143.0,-406004,1862938,-40211,1887,-3800,-45332,12610,-272375,
2013-11-08,3,2013,38652,248402.0,18685.0,,10944,,-111648,0.0,-4761.0,,-1227,,0,,,57040,,,13854,59783,-1379041,,-209920.0,0.0,72.0,2012.0,,-605.0,-689753,-317816,200000.0,,-84613,172386,0,262638,-44252.0,-1857691,351135,50000,-106288,20,-13065,,85889.0,,2013年01月01日至2013年09月30日,2221175,2648650,-21587,427475,1386945,,775329,854102,-235365.0,5666730,-4579523.0,1450054,1386945,-85889.0,-537190,-244055,-781245,200000.0,8266,30944.0,,39345,11660.0,1898.0,3040.0,-532843,2648650,-65708,2450,196200,-45340,73549,-418808,-101453.0
2014-03-20,4,2013,44289,382317.0,18680.0,0.0,42775,,-86122,,-10221.0,,-1120,,0,,,72905,-186132.0,,18088,124142,-2307993,,-209920.0,0.0,72.0,-3381.0,,-861.0,-103527,-465214,400000.0,,-41196,119618,0,132466,-58586.0,-3021109,486680,50336,-126612,27,-19064,,85889.0,,2013年01月01日至2013年12月31日,2221175,3262849,-27299,1041674,1593733,,1449929,1566553,-235365.0,7380310,-5955958.0,2488712,1593733,-85889.0,-557398,147901,-409497,600000.0,8623,30944.0,,39035,11659.0,1898.0,3039.0,-27180,3262849,-97560,1461,303106,-45377,36250,-461777,-35177.0
2014-05-09,1,2014,0,102531.0,0.0,,-28700,,-31747,,-12032.0,,-17722,,0,,,-16531,,,4977,70029,-1265479,,-639580.0,0.0,0.0,5091.0,,41.0,-1123377,44804,100000.0,,-38994,193596,0,77185,-15447.0,-1922084,113341,0,-17118,6,-7654,,0.0,,2014年01月01日至2014年03月31日,3262849,2205765,8792,-1057084,145570,,-802684,-795124,0.0,4802551,-4009938.0,1597655,145570,0.0,-79882,-963343,-1043225,700000.0,152,0.0,7272.0,222,0.0,3425.0,0.0,-940694,2205765,94,5417,-49,0,-61278,-12458,-41545.0
2014-08-07,2,2014,0,176353.0,0.0,-200000.0,-42944,,-74338,,-17112.0,,-16597,,0,-1516.0,,-10792,,,20938,-2390,-2879003,,-639580.0,-514.0,0.0,5985.0,,-959.0,-1152851,-92478,200000.0,,-41386,168486,0,27887,-30849.0,-3563261,227696,-29940,-14699,43,-19220,,32133.0,,2014年01月01日至2014年06月30日,3262849,2087873,-9576,-1174976,328407,,-1047514,-964207,0.0,8842252,-7497566.0,3438189,328407,-42968.0,-228812,-1240155,-1468967,1750000.0,151,0.0,37141.0,615,0.0,-1155.0,0.0,-1292614,2087873,-64087,6318,337518,-67,-162802,-94002,-21155.0
2014-11-10,3,2014,0,266787.0,0.0,-200000.0,146425,,-141888,,-44517.0,,-17397,,0,-1544.0,,98285,,-6966.0,22705,42595,-3956739,,-639580.0,-693.0,0.0,6297.0,,-1035.0,-637148,-31182,250000.0,,-42034,325116,0,76791,-46777.0,-4618483,332838,-31138,-50331,98,-21611,8245.0,115059.0,,2014年01月01日至2014年09月30日,3262849,1522303,-11640,-1740546,469179,,56207,189102,-477790.0,12836706,-12076075.0,2779135,469179,-115059.0,-52286,-494578,-546864,2100000.0,151,0.0,37692.0,656,0.0,-1147.0,0.0,-280077,1522303,-119529,-2541,339997,-111,-68914,-127277,-78718.0
2015-03-19,4,2014,0,331132.0,0.0,-200000.0,111182,4182.0,-208247,,-60665.0,,-58,,0,-49455.0,,51080,,-9172.0,30710,90231,-4751501,-3649.0,-603877.0,-700.0,0.0,18375.0,,941.0,169249,40915,300000.0,,-11195,34250,0,-11854,-62722.0,-5506463,439609,-33815,-81129,162,-29698,10015.0,115110.0,,2014年度,3262849,1892888,0,-1369961,531952,,672883,821627,-477790.0,16079507,-15739973.0,3373388,531952,-115110.0,88243,-129700,-41457,3050000.0,428,0.0,38922.0,15811,0.0,-1174.0,0.0,289675,1892888,-129061,713,343269,-368,-79225,-192017,5881.0
2015-05-08,1,2015,0,,0.0,0.0,-17115,,14838,,-16338.0,,-4261,5508.0,0,,47853.0,19527,,-1753.0,24889,-46510,-439543,,52.0,-16376.0,0.0,2621.0,,-3223.0,-213787,347668,,-200000.0,-23740,-71076,0,89608,,-445089,221636,762,-90071,520,-18785,2188.0,0.0,184576.0,2015年01月01日至2015年03月31日,1892888,2189644,0,296756,237199,-16815.0,606743,623389,0.0,2619999,-2840901.0,181612,237199,0.0,357831,-156217,201614,600000.0,0,694.0,0.0,0,0.0,0.0,0.0,386190,2189644,-49,9828,-107,0,27699,-18208,62325.0
2015-08-10,2,2015,0,,0.0,-341667.0,-9516,,-32121,,-13180.0,,-343,6231.0,0,,47876.0,17773,,-3687.0,49630,-101532,-798522,,121.0,-16516.0,0.0,2443.0,,-6559.0,-822930,594346,,-250000.0,-25550,-252440,0,124001,,-688087,478136,1720,-176672,1950,-49611,4100.0,131039.0,235553.0,2015年01月01日至2015年06月30日,1892888,1766492,0,-126396,750619,-29606.0,521153,609838,0.0,0,-67110.0,142070,750619,-131039.0,573156,-949490,-376334,800000.0,400,1566.0,0.0,-397,0.0,0.0,0.0,-140781,1766492,-43174,-141,-1596,0,32623,-34312,37251.0
