date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,預付款項（增加）減少
2013-05-13,1,2013,,18909.0,-212500,-33107,,96,-985,,-3302,,-326.0,,-2703,3058,245,-27486,,,0.0,,-21338,728,,-20047.0,,5283,-2734,-283,-27812,18554,,-3066,,,,2013年01月01日至2013年03月31日,229195,178130,-51065,50700,9049,12115,,100000.0,,-32547,50700,,-36666,-20828,-57494,100000.0,,,,,,-38585,178130,,,,-1852
2013-08-08,2,2013,,42739.0,-475000,-26329,,-5348,49392,,-6801,,-1472.0,,-106,5917,276,-38370,,,-2325.0,,-12010,-30330,-20057.0,,,11015,2298,-884,-39842,39253,,-6125,106.0,,,2013年01月01日至2013年06月30日,229195,189889,-39306,101555,95317,124627,,50000.0,,-95057,101555,,-14068,-5599,-19667,350000.0,,,,,,23072,189889,-23291.0,,,-670
2013-11-07,3,2013,,67503.0,-537500,-27696,,-1707,2604,,-10296,,-1437.0,,-110,9063,120,-78494,,,-2325.0,,-22426,-26222,-20000.0,,1668.0,56670,2691,-1099,-79931,60875,,-9112,110.0,,,2013年01月01日至2013年09月30日,229195,197474,-31721,111033,99209,147170,-116340.0,180000.0,,-51119,111033,,-59942,28576,-31366,450000.0,,0.0,,,,36137,197474,-38959.0,,-7279.0,-5553
2014-03-10,4,2013,,90346.0,-550000,-29978,,-581,4203,,-14876,,-18.0,,-399,12319,617,-110044,-9838.0,,-2325.0,,26743,-28115,,-20048.0,315.0,27701,3777,1448,-119900,83265,,-12254,399.0,2514.0,,2013年01月01日至2013年12月31日,229195,211485,-17710,113682,145240,194146,-116340.0,0.0,,-43667,113682,-2514.0,-68451,58569,-9882,650000.0,,0.0,,,,80464,211485,-39565.0,,-7279.0,-519
2014-05-08,1,2014,,26095.0,-462500,-3980,,-4150,-10856,,-3892,,,892.0,-3,3212,803,-41091,,,,,-51724,26097,20062.0,,-315.0,8456,-2961,-1661,-40199,22886,,-3459,3.0,,,2014年01月01日至2014年03月31日,211485,197625,-13860,14187,-12026,-8203,0.0,480000.0,,37562,14187,,7054,-55539,-48485,0.0,,0.0,,,,-22390,197625,-367.0,,0.0,-3499
2014-08-12,2,2014,,52667.0,-325000,-5738,,-367,-4061,,-7766,,,894.0,-287,6487,42,-70578,,-2140.0,0.0,,-74474,11355,19982.0,,1395.0,58861,-3699,-2497,-71824,46102,365.0,-6691,287.0,,,2014年01月01日至2014年06月30日,211485,212000,515,41001,52757,59935,,-30000.0,,19540,41001,,-4815,-28918,-33733,370000.0,,0.0,,,,18934,212000,-774.0,,-15442.0,-6742
2014-11-12,3,2014,,78246.0,-1175000,-736,,-6377,-3767,,-11762,,,892.0,-303,10066,204,-108682,-15000.0,-2461.0,0.0,,-130034,19718,89822.0,,2024.0,13913,-4069,-2316,-125251,69843,674.0,-10047,303.0,2514.0,,2014年01月01日至2014年09月30日,211485,153516,-57969,13625,-49742,-32770,-77560.0,645000.0,,116820,13625,-2514.0,5477,-130118,-124641,650000.0,,480.0,,,,-46395,153516,-9742.0,,-15442.0,-1235
2015-03-09,4,2014,81.0,107979.0,-1225000,-3792,,398,-7842,,-15914,,,889.0,-582,14022,713,-144128,-15000.0,-2461.0,0.0,,-98078,29626,119879.0,,578.0,1610,-10338,-71,-160700,95484,1008.0,-14285,582.0,2514.0,,2014年度,211485,221456,9971,37907,23081,43995,-93002.0,45000.0,,146877,37907,-2514.0,2656,-104547,-101891,1300000.0,,480.0,,,,6088,221456,-9725.0,,,1932
2015-05-13,1,2015,971.0,,-740000,-2106,,-5173,1008,,-2200,,,0.0,-116,3136,-141,-23092,,,,,-6966,26049,29901.0,,-893.0,-82980,10750,170,656158,25854,334.0,-3447,116.0,,-196547.0,2015年01月01日至2015年03月31日,221456,156020,-65436,193492,-89809,-69207,,95000.0,,-631644,193492,,21858,-88010,-66152,,,,,679250.0,-233088.0,-262699,156020,-17271.0,6362.0,-16545.0,-3811
2015-08-10,2,2015,971.0,,-740000,973,,-1276,181,,-1302,,-998.0,,-169,4767,-340,-47848,,-350.0,,,19884,-19068,15.0,,817.0,-43277,11619,831,630054,50903,757.0,-4981,169.0,,-169497.0,2015年01月01日至2015年06月30日,221456,171450,-50006,209252,-18190,4223,,,-15000.0,-661530,209252,,-18399,-17133,-35532,110000.0,,,,679250.0,-233088.0,-205029,171450,-17601.0,6362.0,-16545.0,-4914
2015-11-09,3,2015,971.0,,-960000,8188,,-5836,-1549,,-2948,,-3023.0,,-295,6438,702,-71655,-15000.0,-845.0,,,-20053,-24288,-58.0,,142.0,-21587,10011,571,588727,75879,1167.0,-6718,295.0,3017.0,-145583.0,2015年01月01日至2015年09月30日,221456,159931,-61525,247423,19429,41694,-38780.0,-5000.0,,-670383,247423,-3017.0,-20455,-39691,-60146,350000.0,,0.0,,679250.0,-233088.0,-205729,159931,-18859.0,6362.0,-16545.0,-2797
2016-03-08,4,2015,1482.0,,-1220000,30074,,-613,727,,-5849,-3514.0,,,-404,8373,685,-127716,-15594.0,-1562.0,,-704.0,7674,-26072,71.0,,-533.0,-124633,10068,391,533674,101115,1717.0,-8690,404.0,3017.0,-116505.0,2015年度,221456,190266,-31190,336106,79705,107469,-38780.0,-30000.0,,-645254,336106,-3017.0,-1653,-110479,-112132,660000.0,,0.0,,679250.0,-233088.0,-228637,190266,-22495.0,7317.0,-16545.0,148
2016-05-05,1,2016,35.0,,-50000,-10171,,-3045,2147,2.0,0,-1164.0,,,-32,1688,-221,-36016,,,,,-31783,19170,-20134.0,,-360.0,80374,-12826,-19,-35721,25667,615.0,-1766,32.0,,28333.0,2016年01月01日至2016年03月31日,190266,208655,18389,21149,84465,89092,,40000.0,,-30134,21149,,10786,28824,39610,,295.0,360.0,,0.0,0.0,67943,208655,-2893.0,0.0,0.0,-2715
2016-08-09,2,2016,336.0,,-50000,-7134,,-1180,-1260,,0,-2386.0,0.0,,-90,3177,-208,-67115,,0.0,,,-18708,-1042,30025.0,,-360.0,98588,-13587,-1371,-66820,52929,899.0,-3303,90.0,,57611.0,2016年01月01日至2016年06月30日,190266,117434,-72832,41672,124649,148345,,,-100000.0,-130453,41672,,-9796,58858,49062,0.0,295.0,360.0,,0.0,0.0,106673,117434,-20483.0,0.0,-10478.0,-2498
2016-11-08,3,2016,1536.0,,-120000,-8897,-6193.0,-3681,-693,,0,-3685.0,0.0,,-105,4868,-653,-87950,0.0,-165.0,,,54204,-16064,29939.0,,665.0,28888,-4047,-2371,-111221,81924,1152.0,-4889,96.0,3017.0,86718.0,2016年01月01日至2016年09月30日,190266,138866,-51400,58447,157353,186369,-116340.0,,0.0,-96879,58447,-3017.0,-24989,66193,41204,120000.0,295.0,360.0,-17208.0,0.0,0.0,127922,138866,-27240.0,0.0,-10478.0,-3115
