date,season,year,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產（增加）減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2015-08-10,2,2015,-6686,187707,0,-20690,-39004,36103,0,169197,,0,0,-13860,6487,-36675,-250572,-5916,-1581,,,,0,506,-2479198,,570899,60590,-1013492,-60,-213678,64580,1430,-5372,14611,,96984,2015年01月01日至2015年06月30日,1901220,934370,-966850,203724,-772,-2532408,-2357639,,,1843287,1815911,203724,,779420,-3437767,-2658347,159,29115,1726,-12,-1164,,-2561363,934370,-169397,37797,,-150317,0
2016-03-15,4,2015,-13439,-6671,0,-20690,-20365,12299,0,,3578,-69956,,-23046,26490,-21840,-353863,-5916,-5845,-280564,,0,-9,,-224224,-92337,70231,-5180,-26887,-24,-708222,129900,3851,-26117,22271,6632,134387,2015年度,1760326,1471964,-288362,1221518,-1606,829923,1143440,0,-280712,18955,-388223,1221518,-6632,36409,-248874,-212465,738,30719,,950,-1821,,-78078,1471964,-287400,1117,,-10038,-52429
2016-08-10,2,2016,-6849,233112,,0,-5102,-1227,,,3441,-20373,,-13868,8933,-35639,-170479,0,-2673,,68,,-391,0,-2092210,,284796,27996,-936249,-36,307678,70965,2945,-7094,14180,,73271,2016年01月01日至2016年06月30日,1471964,523870,-948094,88254,-2499,-2619876,-2455974,,,1406592,1399743,88254,,538303,-3155802,-2617499,0,0,,2461,0,499698,-2544228,523870,-156808,0,-1674,-126080,-12284
2016-11-04,3,2016,-10310,62486,,0,-23423,-2022,,,4864,-20175,,-17738,18783,-99024,-246875,0,-5334,,315,,,345,-274200,0,-12833,17234,-2302810,-18,-134537,109571,4542,-18019,16747,,154061,2016年01月01日至2016年09月30日,1471964,525996,-945968,876305,-2954,-1679620,-1456433,,-661287,1638810,967213,876305,,40510,-2527309,-2486799,0,16531,,2704,-1032,130375,-2332738,525996,-205168,32052,,51741,-26151
