date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-08-13,2,2013,,59683,,-94426,-45702,-264,,,-93783,,,658,-1112,3578,3376,-118147,-1685,,,,308,,-46899,0,146707,-642,-211033,58829,,-3658,1167,,2013年01月01日至2013年06月30日,290226,244175,-46051,237317,256032,351416,,,0,-94426,237317,,-92601,147017,54416,0,239,73,,,114099,244175,-92893,,908,,
2014-03-27,4,2013,,133812,,-109363,-45146,-3866,1144,-77,-89050,,,,-2768,6460,7785,-270001,-763,,0,,8789,,-58745,0,37242,-3,-415772,130261,,-7102,1858,,2013年01月01日至2013年12月31日,290226,465924,175698,525191,448569,595926,306729,-62250,0,135116,525191,373,-102747,39670,-63077,,239,249,,,70735,465924,-142113,,-2415,,-56960
2014-05-06,1,2014,,38170,0,-7603,-33743,-1166,1129,77,0,,-53288,0,-1892,1387,-2116,-25034,-772,,0,,-6254,,-2771,0,93766,3,-78322,39447,,-1387,1886,,2014年01月01日至2014年03月31日,465924,562331,96407,103876,184448,191111,0,0,0,-7603,103876,0,-35385,84450,49065,0,0,0,,,87235,562331,-7162,,-1976,,0
2014-08-04,2,2014,,79182,,-12946,-15382,4123,485,-97,2768,,,,-4409,2752,-6182,-89006,83,,,,5283,,-6536,,-32769,-61,-87071,80756,,-2752,4222,,2014年01月01日至2014年06月30日,465924,578629,112705,264665,218904,294140,,,,-12946,264665,,-21433,-28274,-49707,,0,0,,,29475,578629,-76706,,-4753,,-833
2014-11-11,3,2014,,120037,,-19459,-25096,3507,3,-630,0,79919,,,-6497,4094,-324,-147216,-506,,-10,,5326,,6079,,18695,3,-79711,122946,,-4094,6751,,2014年01月01日至2014年09月30日,465924,576081,110157,403579,402051,524502,,-197400,,-211859,403579,,-19014,19900,886,5000,0,0,,,120923,576081,-125108,,-7001,-12404,0
2015-03-20,4,2014,,160925,,-30997,-28420,3257,-31,45,0,37835,,,-8916,5416,7480,-160311,-1381,,-10,,2651,,1641,,81496,3,-278704,165806,,-5416,9324,,2014年度,465924,562291,96367,503149,590988,718957,0,-197400,,-223397,503149,0,-26810,81693,54883,5000,0,0,,,215808,562291,-131877,,-5759,-156218,
2015-05-04,1,2015,,,,-6564,-55088,746,-10,54,0,41705,,,-2501,1283,-2101,-550002,3598,,,,6587,,-21174,,199262,0,-508393,41097,,-1283,1931,43477,2015年01月01日至2015年03月31日,562291,709516,147225,29835,190283,202269,,,,467436,29835,,-76272,205229,128957,474000,,,,,172434,709516,-12634,,-1420,-96,
2015-07-31,2,2015,,,,-13156,-53693,763,71,101,-9321,0,,,-4919,2560,-3880,-547387,3150,,,,6829,,-17717,,172553,0,-588253,81147,,-2560,5026,81938,2015年01月01日至2015年06月30日,562291,598808,36517,68411,167806,257010,,,,460844,68411,,-71339,178000,106661,474000,,,,,188599,598808,-91670,,-2246,-31545,
2015-11-05,3,2015,,,,-19773,-34593,163,-92,101,-25069,,,,-6115,4008,3263,-590068,5288,60,1,,7903,,-7340,,122478,0,-616660,123226,,-3958,5538,126357,2015年01月01日至2015年09月30日,562291,525947,-36344,111973,204366,323290,,-131600,50000,372687,111973,,-42025,126985,84960,474000,50,-50,,,211317,525947,-120504,,-3660,-1574,
2016-03-25,4,2015,0,,,-26435,-74025,-207,-174,62,,50954,,,-7172,5215,-1552,-580471,4618,60,0,28,11289,0,-19783,,186481,0,-558633,165157,,-5215,7556,241256,2015年度,562291,593152,30861,54379,275021,401053,,-131600,,316025,54379,,-93982,199400,105418,474000,50,-43479,-617,116917,346674,593152,-128373,,1775,-28577,
