date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-14,1,2013,337396.0,,,-278578,-17056,12094,-2117011,-35578.0,,5737,-5242,222672,207,-67343,,-163163,,-376,-2441.0,,,4053.0,,-35440,,-1183794,-19962.0,,640817,,,,939285.0,-6517,88244,-4725.0,105351,-288488,94822,-310199,438,22809,-223972,4860,,2013年01月01日至2013年03月31日,2469831,1963911,-505920,-249416,-932259,-712385,0.0,,0.0,,-1210604.0,714620,-249416,6067.0,3433721,-4234086,-800365,981813,237.0,2,,-1819,,,-462969,,1963911,-762,-8090,,73.0,,,,-794896,,,3101483
2013-08-13,2,2013,672151.0,,,-186077,1691,38142,-767721,-76769.0,,590,-24853,465298,582,-105391,,-292013,,-498,-2585.0,,,3626.0,,-378785,,-2311617,-19962.0,,-616639,,,,938314.0,2704,72701,545406.0,119237,-638646,189832,-310199,1327,45076,-469602,23765,,2013年01月01日至2013年06月30日,2469831,1751716,-718115,-569052,-1656165,-1113636,0.0,,0.0,,-1321878.0,1576114,-569052,0.0,2404075,-3620810,-1216735,1963063,237.0,2,160351.0,-1819,,,-544584,,1751716,-96692,-3302,,-7011.0,0.0,,,-970308,,,3242714
2013-11-08,3,2013,966592.0,,-8739887.0,-929575,8811,-118503,4321441,-129205.0,,558,-31330,652171,151,-221842,,-514143,,-640,-19585.0,,0.0,89413.0,,-177001,,9377750,-19962.0,,-333982,,549354.0,1629936.0,0.0,8578,100646,1724.0,80772,-792585,285301,-910199,2151,67129,-679750,28979,,2013年01月01日至2013年09月30日,2469831,2687663,217832,8176541,14199793,14973086,0.0,,0.0,0.0,-6161978.0,-13189527,8176541,0.0,-6499699,12329652,5829953,0,237.0,17,160351.0,-1819,0.0,,6796545,,2687663,-122522,-7586,,-7011.0,0.0,,,-651293,,,-5546366
2014-03-24,4,2013,1174300.0,,-7946878.0,-170784,4885,-167289,5166896,1281.0,-217711.0,4417,-49010,748541,726,-162428,,-955125,0.0,-5138,-1420165.0,,-420.0,93553.0,,-154961,,10568951,-19962.0,,558116,,10444.0,1739574.0,0.0,58899,-68607,1724.0,127445,-2556427,383727,-1095084,2963,88873,-753460,45228,,2013年01月01日至2013年12月31日,2469831,2748905,279074,10232296,16055570,16895628,0.0,-656647.0,0.0,0.0,-6443387.0,-13220795,10232296,0.0,-8701158,14190190,5489032,0,1001.0,-68,160351.0,-1805,0.0,,6663332,,2748905,-131826,-8418,0.0,-7010.0,5500.0,,,-298309,,,-8991825
2014-05-13,1,2014,200922.0,-144228.0,,-101510,-13565,-13176,535405,,-128440.0,950,-12393,87726,-108,-18368,,-431192,,-659,-12396.0,,,36971.0,,-88545,,-2177340,0.0,,-484291,,,0.0,,-65525,70583,0.0,-12943,-551160,103917,4532,243,21204,-83541,9541,,2014年01月01日至2014年03月31日,2748905,1735759,-1013146,-11927,-1992442,-1918095,,,,330600.0,0.0,1530564,-11927,0.0,-245641,-1861449,-2107090,1307221,0.0,155,,-234,,,-1906168,474.0,1735759,-347,-1120,,,,,,-139681,,,418861
2014-08-11,2,2014,395896.0,-144228.0,,-59566,7284,-24081,233025,0.0,-505246.0,237,-32041,176478,-592,-30275,,-818889,,-1239,0.0,,,55555.0,,-243289,,-4309159,0.0,,-444654,,,0.0,,140671,-18503,16584.0,-5358,-933195,208213,19311,590,42234,-170115,32944,,2014年01月01日至2014年06月30日,2748905,1419852,-1329053,-120048,-3530256,-3340340,,,,553254.0,0.0,3134990,-120048,,1197365,-4813553,-3616188,2681883,119.0,248,0.0,-479,160378.0,,-3220292,474.0,1419852,-52745,-58,,-11474.0,,,,-251491,,,1584995
2014-11-12,3,2014,606594.0,-144228.0,0.0,-95387,-7574,-51729,672120,,-881281.0,3399,-45992,276719,61,-44079,,-1215996,,-9654,0.0,,,64172.0,,-142584,,-6123457,94363.0,,-279810,-209.0,,370000.0,,145549,-84778,284936.0,-15714,-1207391,313250,-109688,1075,62457,-234035,42122,,2014年01月01日至2014年09月30日,2748905,1567825,-1181080,-176437,-4936958,-4665192,,-860727.0,,820592.0,0.0,4963208,-176437,,1710935,-6806284,-5095349,4724803,10181.0,187,0.0,-479,100378.0,,-4488755,474.0,1567825,-79853,1004,,-11404.0,,-5500.0,,-540848,,,1992521
2015-03-24,4,2014,812794.0,-144228.0,0.0,-41525,10312,135216,1668621,1303.0,-1362607.0,3819,-67336,375977,958,-57503,,-1640181,,-23940,0.0,,0.0,46368.0,,-433839,,-7885650,94363.0,-19062.0,111723,-10444.0,,519685.0,,151215,-588128,299060.0,2935,-1951226,419541,-255611,2276,83614,-314050,65245,,2014年度,2748905,2398960,-349945,-226430,-5905018,-5569336,,-860727.0,,1441668.0,0.0,7505341,-226430,,2355837,-8511537,-6155700,6533041,10187.0,725,0.0,-1217,99941.0,,-5342906,474.0,2398960,-86877,326,95.0,-11404.0,0.0,-5500.0,,-400469,-254.0,,2008349
2015-05-13,1,2015,,-135105.0,,-82581,-20969,38371,-402778,,288188.0,787,-37978,102270,-323,-1482,,-677847,,-1369,,-5000.0,,0.0,-110994.0,-199748,,-1434243,,,39320,,,69792.0,,114935,374083,,-10670,-952685,109837,-214758,918,27848,-99316,34017,203887.0,2015年01月01日至2015年03月31日,2398960,1907043,-491917,-59343,-1195499,-1128996,,,,497082.0,,1656590,-59343,,530204,-1803744,-1273540,1335815,,29,,0,,,-1069653,489.0,1907043,-1204,-313,,,,,-50000.0,-382597,-17239.0,0.0,420159
2015-08-13,2,2015,,-135105.0,-1473030.0,23227,-59462,30178,1003968,,-103510.0,1411,-80914,225534,-701,-42360,-50000.0,-983393,,-7923,,-18000.0,-14.0,0.0,-113886.0,-199793,,-2442632,,,-419625,,,,-20749.0,-113424,267865,0.0,-5708,-1302723,218479,-127621,1257,55851,-206335,75509,422015.0,2015年01月01日至2015年06月30日,2398960,1729258,-669702,-208727,-113840,132093,,,,2490332.0,,747562,-208727,,1890696,-1971891,-81195,0,9.0,169,,-14,,0.0,340820,489.0,1729258,-115107,-233,,0.0,,,,-504791,-1263.0,,2370340
