date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應收款項增加,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-09,1,2013,,674042.0,,-533670,0.0,-16435,-571849.0,,-45350,140250,2312.0,,2339.0,-11004,6443,80390,-418449,0.0,-6450.0,0.0,,-28401,217947,-201154,616047.0,,,4486.0,-787271,775204,-11604,1674,-5654,11029,,,2013年01月01日至2013年03月31日,3956722,3728548,-72461,-228174,-448717,,371696,407446,,,101246.0,107011,-448717,-7118.0,,-775688,957809,182121,34166.0,715,200000,-650,-2331,856163,3728548,-41125,,
2013-08-12,2,2013,,1392344.0,0.0,-159084,,174590,-584971.0,0.0,-28418,98990,0.0,3736.0,-9184.0,-25659,14973,95776,-801367,-300000.0,6600.0,0.0,,-21479,89980,305056,,,-643554.0,2571.0,-1337403,1510317,-12489,3348,-13898,20514,,,2013年01月01日至2013年06月30日,3956722,3244684,-79038,-712038,-654766,,523387,577709,,0.0,-18071.0,6202,-654766,-11845.0,,120125,-279994,-159869,45752.0,919,344280,-399,-4280,1232475,3244684,-60938,,
2013-11-11,3,2013,,2259302.0,-691182.0,-360569,,134932,-579106.0,0.0,-12071,109047,0.0,4970.0,-45344.0,-38910,19588,-6628,-1255603,-300000.0,18804.0,0.0,,-24583,-17593,588725,-1841749.0,,,7300.0,-1184122,2251603,-25040,5022,-20027,39855,20937.0,,2013年01月01日至2013年09月30日,3956722,2035612,43297,-1921110,-663920,,185452,203404,0.0,,-200047.0,-915812,-663920,57578.0,-17828.0,223385,-1615363,-1391978,,1327,944290,-285,-9183,867324,2035612,-58717,,
2014-03-25,4,2013,,2851722,-345885,-298219,,187208,-589455,0,-39325,41163,0,3819,-46984,-51452,22660,-21649,-1867529,-300000,16397,0,,-4759,394606,214845,-1505377,,,9207,-995777,2999930,-33715,6695,-21413,46717,20937,,2013年01月01日至2013年12月31日,3956722,3653692,-99933,-303030,-751897,,1038795,1103933,0,26245,0,-324399,-751897,64998,-17828,-113492,-882400,-995892,,4395,1752993,11009,-20055,1855830,3653692,-111379,,
2014-05-12,1,2014,,630616.0,-261236.0,-51957,,-10256,-104860.0,,11069,70121,,2300.0,4963.0,-17353,6571,39903,-196241,,-4174.0,,,-4413,116102,-142405,519999.0,,,10902.0,1236212,746885,-10992,1674,-5653,19935,,,2014年01月01日至2014年03月31日,3653692,5753845,-82478,2100153,31042,,1156963,1185233,,0.0,-67276.0,-332925,31042,6401.0,,-172391,695966,523575,0.0,2486,1532527,527,-21408,1154191,5753845,-42552,,
2014-08-11,2,2014,,738811.0,-26814.0,302521,,-147217,,,55830,35801,-1861.0,0.0,-41138.0,-39343,15885,-14409,-487996,0.0,6106.0,,,-5163,-50033,309307,-655675.0,-1480121.0,,15915.0,1058009,1497692,-19154,3348,-13086,33729,,,2014年01月01日至2014年06月30日,3653692,6270813,47885,2617121,1113868,,1687792,1719128,,,-82294.0,-114271,1113868,6401.0,,683573,-817124,-133551,0.0,2981,3025006,76,-738947,605260,6270813,-51979,,
2014-11-11,3,2014,,1089938.0,-53828.0,209131,,-61461,,,54298,-83352,,-8696.0,-41089.0,-63490,20982,44350,-881467,-300000.0,6106.0,,,-12613,-320590,-25385,-516504.0,-1498817.0,,28026.0,843910,2200630,-27704,5022,-20293,63040,81796.0,,2014年01月01日至2014年09月30日,3653692,6371808,-105679,2718116,1664303,,2112495,2038404,,,-216198.0,-282639,1664303,6401.0,-51900.0,266070,-981907,-715837,,4029,3528861,239,-859580,374101,6371808,-50452,,
2015-03-24,4,2014,,1509722.0,0.0,359177,,-220738,-1444885.0,,34676,65012,-19521.0,0.0,76743.0,-85105,27425,199158,-1096504,-4900000.0,-4211.0,,,-19798,-104788,-307356,638995.0,,,26571.0,-2609856,2894470,-11381,6695,-26180,78556,81796.0,,2014年度,3653692,4952303,-250225,1298611,1997437,,3970230,3998708,,0.0,-342492.0,-260921,1997437,6401.0,-51900.0,113068,378481,491549,101369.0,15004,4836050,3010,-1102200,2001271,4952303,-162650,,
2015-05-11,1,2015,,,-271372.0,-429620,,162140,0.0,626125.0,7622,-99963,,5493.0,0.0,-18576,3517,-56644,-233477,,0.0,,,-3572,-89678,33438,283294.0,,,,2689634,674804,-1411,603,-3131,24834,,314758.0,2015年01月01日至2015年03月31日,4952303,8292813,378,3340510,649034,7527.0,853472,838552,,0.0,-59415.0,-145952,649034,0.0,,-381033,255793,-125240,188407.0,26808,2264685,-20850,-323113,189518,8292813,-6783,,-594.0
2015-08-10,2,2015,,,-271372.0,13757,,219430,0.0,319761.0,44576,-97200,0.0,10838.0,0.0,-37484,6580,-62737,-666699,,-4080.0,,,-832,158667,-283593,430888.0,,,,2482594,1329580,-32403,1207,-6570,46548,,855049.0,2015年01月01日至2015年06月30日,4952303,9321811,-43913,4369508,692179,13160.0,1928367,2046913,,,-205606.0,21284,692179,0.0,,-212100,711785,499685,499094.0,53972,2764722,-3533,-325238,1354734,9321811,-158524,,-35667.0
