date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失,預付款項（增加）減少,預付設備款增加
2013-06-15,1,2013,7009.0,-12123,,,,,-121.0,,-20,,,,-50622.0,-110,5.0,4815,-84371.0,,,,,-2884.0,,-47072,-43663,23566,-137611,5498,1589.0,,110,,2013年01月01日至2013年03月31日,224339,80262,-144077,136490,-16549,36931,,,5268.0,,5268,136490,,-55786,-50782,-106568,156,27,,-99559,80262,-53480,,-27135,
2013-08-02,2,2013,14219.0,-4486,,-24.0,-2956.0,,,,-15,,,,-50622.0,-158,26.0,5917,-84371.0,,,1438.0,,-2908.0,2884.0,9795,-89170,-184241,-134703,11110,3214.0,,158,,2013年01月01日至2013年06月30日,224339,59223,-165116,302308,-48510,48487,,,13698.0,,12180,302308,,-93680,-174360,-268040,156,27,,-253821,59223,-96997,,101,
2013-10-31,3,2013,21303.0,28639,,-24.0,-2995.0,,,,-18,,,,-50622.0,-361,73.0,6565,-84371.0,,,3273.0,,-2908.0,2884.0,-45000,146038,-289953,-134500,16721,4843.0,,361,,2013年01月01日至2013年09月30日,224339,357588,133249,535492,237104,370636,,,23802.0,,24080,535492,,174653,-360812,-186159,156,27,,-164856,357588,-133532,,-25841,
2014-03-22,4,2013,28286.0,92087,0.0,-24.0,-2995.0,,,,-18,,0.0,,-50622.0,-595,135.0,14277,-85887.0,,,3273.0,,-2908.0,2884.0,1163,208890,-707734,-135394,22289,6464.0,,595,,2013年01月01日至2013年12月31日,224339,1366015,1141676,870317,329721,523344,899396.0,,33398.0,,933072,870317,,300953,-676212,-375259,544,-7,,-346973,1366015,-193623,,30377,
2014-04-30,1,2014,6464.0,-69263,,,,,0.0,,-100,,,,0.0,-908,0.0,-10830,-13203.0,,,,,0.0,,-77843,-93974,548878,-12295,5702,1668.0,,908,,2014年01月01日至2014年03月31日,1366015,1699639,333624,249404,390842,489058,,,0.0,-34093.0,-34093,249404,,-163237,396427,233190,0,2,,239654,1699639,-98216,,-74508,
2014-08-11,2,2014,12713.0,-47745,,0.0,0.0,,,,-108,,,,0.0,-2107,0.0,-39525,-20565.0,,,0.0,,0.0,0.0,30113,-129770,215410,-18493,11526,3288.0,,2107,,2014年01月01日至2014年06月30日,1366015,1611131,245116,481489,337227,499838,,,0.0,-34093.0,-34093,481489,,-177515,183151,5636,13,6,,18349,1611131,-162611,,-62264,-48.0
2014-11-10,3,2014,19111.0,-65882,,0.0,0.0,,,1.0,-218,,,,0.0,-3441,0.0,4447,-21243.0,,,0.0,,0.0,0.0,-30343,89882,269271,-17743,17616,4920.0,,3441,,2014年01月01日至2014年09月30日,1366015,1807354,441339,679335,726328,946580,,-237600.0,0.0,-34093.0,-271693,679335,,24001,224133,248134,59,16,,267245,1807354,-220252,,-14577,
2015-03-23,4,2014,22680.0,-49526,,0.0,0.0,-91.0,,5.0,-200,,,,0.0,-7934,0.0,61845,-20992.0,-458280.0,,596.0,,-29.0,24.0,-6696,308042,-250133,-474665,23998,6600.0,,4552,,2014年度,1366015,1529622,163607,1132541,847524,1121906,0.0,-237600.0,0.0,-34093.0,-271097,1132541,,258521,-291836,-33315,60,16,,-10635,1529622,-274382,,-34716,
2015-05-05,1,2015,,-36930,,,,91.0,,1934.0,-42,,,,,-6179,,-14509,0.0,,-201939.0,1725.0,,,,-38035,-331893,649770,-199291,6428,1693.0,,2645,1962.0,2015年01月01日至2015年03月31日,1529622,1618057,88435,257149,300510,417209,,,,0.0,1725,257149,,-366889,524987,158098,3,20,,160060,1618057,-116699,,-86797,
2015-08-06,2,2015,,-15748,,,,91.0,,1271.0,-16,,,,,-10302,,-40338,-487.0,,-201939.0,1711.0,,,,27763,-226886,257405,5117,12743,3359.0,,7206,6881.0,2015年01月01日至2015年06月30日,1529622,1907649,378027,537285,411537,591101,,,,0.0,1711,537285,,-241363,288298,46935,4,24,200333.0,53816,1907649,-179564,1057.0,3055,0.0
