date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他借款增加,其他應付款－關係人增加（減少）,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融資產增加,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,員工執行認股權,員工購買庫藏股,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付公司債匯率影響數,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失
2013-05-10,1,2013,20640,2064884,13107,,-18234,,-546988,-2536,,46389,-29001,77308,1271507,-1169,,,-1864787,15888,-322026,477478,1171815,-1243323,-1044,-9180,,-75703,,873,0,,709174,0,,-6522601,25174,,202930,340121,-2492662,8389,-18048873,1674361,740,-2690843,1691152,,-54375,94384,-354097,308116,,,2013年01月01日至2013年03月31日,72579429,48788312,-23791117,2104285,-20188852,-19821738,-1,0,,-3451891,-2083237,2104285,,,-2412430,-21578477,-23990907,676842,355731,,140719,,10083,,,-69267,,,,,-21926023,202571,,48788312,-321133,-2003,,,
2013-08-10,2,2013,16881,4113833.0,13107,0.0,-35465,,-231422,-13043.0,0.0,45388,,583345,-1679091,-4360,3374.0,,-703029,7043.0,-612604,947823,1662236,-2686714,-65011,-29706,0.0,-253427,,873.0,0.0,,834995.0,0.0,,-12120397,24607.0,,270206,-6859079,-2774347,5330.0,3765441,1981725,2230.0,-2997157,3522595,0.0,26266,191243,-681284,620900,,,2013年01月01日至2013年06月30日,72579429,55307107,-17272322,4381698,-9849966,-8467674,-1.0,0.0,,-9572192.0,-6087435,4381698,,,-8958501,-8004704,-16963205,2680981,574470,,141589,,4161,,,-69959,,,,,-12849372,322032,,55307107,-1321908,-189822,,,
2013-11-13,3,2013,46048,6239477.0,27802,0.0,-52702,,-93889,-331.0,,31878,,608325,-1527453,5523,3382.0,,-3551948,,-887548,1427239,1036849,-3929246,-71501,-118422,-44505.0,-383794,,7444.0,0.0,,1882553.0,0.0,,-10175824,24982.0,,146636,-998233,-1376129,-266.0,1724106,833696,2896.0,-6994897,5462458,0.0,-113204,294111,-996414,923952,,,2013年01月01日至2013年09月30日,72579429,71630696,-948733,6320390,135777,1945832,-3273767.0,0.0,0.0,-12055988.0,4873538,6320390,18267.0,,-1503334,-9110701,-10614035,18362616,900722,,151344,,13488,,,-74628,,,,,-4374558,351335,,71630696,-1737593,-93390,,,
2014-03-25,4,2013,230124,8221837.0,37322,0.0,-952401,,-118186,-4186.0,,65977,,2244105,-2121112,-13539,3382.0,,-2922795,,-1355838,2017697,1528088,-4811782,-71501,-147980,-47952.0,-475517,,7444.0,0.0,,1901646.0,,,-2693833,24982.0,,223524,-12013088,-1672619,1702.0,9001533,1895446,3783.0,-8017664,7514343,0.0,-226037,389685,-1517466,1416770,,,2013年01月01日至2013年12月31日,72579429,70086875,-2492554,7915187,9134550,11041546,-3273767.0,0.0,-22460388.0,,-5137528,7915187,73069.0,,-11247272,6151794,-5095478,19636556,267038,,152123,48569.0,10928,-17416.0,0.0,-51741,,,0.0,,3126359,324353,,70086875,-1806300,-652486,,0.0,
2014-05-14,1,2014,2007,2822548.0,0,,-9222534,,-186839,4690.0,,77264,7700.0,-953633,-39360,12906,,,-841472,0.0,-635487,571239,1070403,-1574027,-47840,-272342,-513565.0,-49829,,0.0,,,-6191.0,,,6247388,0.0,,153776,-13865388,-1953344,-2392.0,20819990,641066,-409.0,-3248012,1917549,,-22520,91912,-498504,703634,6.0,,2014年01月01日至2014年03月31日,70086875,69664815,-422060,453537,13864827,14174770,,,,-2880553.0,-12109278,453537,54802.0,-6.0,-16847254,27745939,10898685,0,29582,,0,,15333,-10881.0,,-6273,19972.0,,,,13721233,101436,,69664815,-515079,680216,,,
2014-08-13,2,2014,4485,4282418.0,3070,,-10042779,,-44181,-3684.0,,-16043,,665802,-521189,16190,0.0,,-1647010,41417.0,-1501233,1177790,-145207,-2571429,-190396,-313527,-513565.0,-130366,,0.0,,,-72487.0,,,-8249413,0.0,,-9611,-2716785,-892931,-1952.0,8959538,194811,-11433.0,-5278481,3836722,,-42839,186642,-968641,1662070,49099.0,,2014年01月01日至2014年06月30日,70086875,66057258,-4029617,2077263,3712019,3932443,,,5562896.0,,-2317948,2077263,115604.0,-9931.0,-2783509,356271,-2427238,2117080,67295,,12040,,29388,-10881.0,,-7006,19972.0,,,,1855180,190348,,66057258,-962952,460990,,117342.0,
2014-11-13,3,2014,2917,6093416,8786,,-9644211,,-151533,0,437,68598,-10881,1182734,-317200,45208,0,,-2254036,18813,-2328700,1769851,760877,-3952444,-197876,-496597,-515455,-138506,,379837,,,0,-213180,,-20464383,0,,133456,13767342,-3183309,2525,-12285526,1749693,-3261,-7453167,5771245,,,280870,-1438414,2372402,361179,,2014年01月01日至2014年09月30日,70086875,59211130,-10875745,3983408,-9497982,-9209969,-4280688,,11413651,0,5314527,3983408,170406,-68492,11965286,-31252079,-19286793,7543540,72207,,11226,,60595,,,-7954,19972,-20657,,,-13193377,302319,,59211130,-1583180,311066,,115578,
2015-03-10,4,2014,10987,8512401.0,32685,-8508081.0,-9637822,,-408842,0.0,2419.0,205515,-10881.0,2365150,-401068,47263,0.0,,-2566433,69395.0,-2951969,2398574,2596717,-5708441,-252525,-582082,-531314.0,-204772,,549944.0,,,-668908.0,,,-20663668,0.0,,512537,14076479,-8431259,6493.0,-12144965,5318913,225.0,-9633134,7765789,,16813,373186,-1934992,3237708,381337.0,,2014年度,70086875,55692329,-14394546,4842400,-7462402,-6788215,-4280688.0,,14707190.0,,104273,4842400,222593.0,-84445.0,7542032,-27685048,-20143016,7828233,157012,,11226,,94333,,,-10406,19972.0,,,,-11630615,-113252,42842.0,55692329,-2358240,52172,,114405.0,
2015-05-14,1,2015,3613,,3447,-605030.0,-872976,,26143,-9076.0,0.0,-27891,0.0,-2007810,1858174,-109148,,,-358508,43431.0,-587937,507383,-647065,-818995,-47127,0,0.0,-32724,,,,32669.0,,-154613.0,,4416859,,,-5134,-21027897,1176558,,15463808,-1265927,,-1174927,2011640,,-67589,95439,-544687,408507,4913.0,1698403.0,2015年01月01日至2015年03月31日,55692329,50327092,-5365237,1052001,35142,1100815,,,,-2552885.0,-3578387,1052001,-103803.0,-4913.0,-22094612,20445023,-1649589,561486,8863,,46524,,-1036,,,-2105,0.0,,,,48814,-152458,6827.0,50327092,-934406,-197413,,45631.0,
2015-08-13,2,2015,4433,,26139,-605030.0,1081530,-650586.0,109225,-5745.0,,4822,32669.0,-857154,591945,-77906,,,-658948,55965.0,-1077455,975511,-1178462,-1706068,-329754,-609805,-14400.0,-299579,,,,,,34100.0,,11966033,,,-5134,-24842730,2274018,37220.0,24574885,-2128672,-512.0,-3493567,3959975,,-64552,202466,-1035081,937886,53539.0,3993149.0,2015年01月01日至2015年06月30日,55692329,57523365,1831036,1197211,14985031,16738951,,,549878.0,,-8481966,1197211,-96162.0,-35474.0,-23459910,35008501,11548591,-8936669,55163,,16761,,18380,,,-3906,0.0,,,,15541740,-102583,6827.0,57523365,-1710264,4337,45459.0,44811.0,2479.0
2015-11-04,3,2015,4019,,43573,-605030.0,-8192209,,-347128,,9829.0,4120,-1942.0,1213277,-10326,280038,,,-1403360,467196.0,-1411430,1432299,1515622,-2505084,-329754,-879418,-79672.0,-315692,,0.0,,32669.0,,-40203.0,,237633,,-2702207.0,-5134,-667439,-4902089,-2422.0,19627210,3852540,-1199.0,-5350271,5920350,,-124751,318154,-1531782,1340434,380745.0,4137400.0,2015年01月01日至2015年09月30日,55692329,52951209,-2741120,2513389,23935708,26117047,-2961921.0,,0.0,-9497069.0,-22842179,2513389,-86141.0,-118030.0,-4243720,23709978,19466258,1113213,61819,,16761,,17987,,,-3990,0.0,,,,23603658,182043,6827.0,52951209,-2370736,-2379218,96783.0,43247.0,2479.0
2016-03-25,4,2015,4161,,61431,-605030.0,-29359116,,-500768,,10722.0,-4678,1932.0,2006677,26031,-192308,,,-2092990,457087.0,-1609279,1862406,1583236,-3784661,-490182,-313351,-100060.0,-370066,,0.0,25001.0,32669.0,,-302164.0,,8122798,,-2721183.0,-5134,-12348395,-4261722,31781.0,10617624,3507330,-2670.0,-6523856,7842216,,-200797,433006,-1970191,1699312,399811.0,8644763.0,2015年度,55692329,58559754,2867425,2370365,15745212,18360219,-2961921.0,,5390872.0,,-7937167,2370365,-78500.0,-132890.0,-14921344,22266435,7345091,22554167,455475,22532.0,42693,,846672,,,-8149,0.0,,,,15989854,343391,6827.0,58559754,-2743939,-947135,171793.0,42207.0,2479.0
2016-05-13,1,2016,89,,18370,0.0,-3736427,,144059,-2690.0,,-144,,-714376,-454423,-319797,,,-22251,12309.0,-197312,494210,-639920,-1121843,-32931,-411888,-14066.0,-305425,-2937002.0,,91960.0,-375901.0,,14199.0,,2288399,,,0,-19991782,1358251,-36330.0,29715005,-1974008,1727.0,-4982117,1964695,,-96775,112054,-537944,214614,12014.0,4453652.0,2016年01月01日至2016年03月31日,58559754,53531875,-5027879,602892,14207744,14824368,,,44371442.0,-58675047.0,-13613586,602892,45243.0,-11455.0,-19808732,29576556,9767824,4320663,70694,,0,,14946,,,-1593,,,152816.0,-60562.0,14221476,-248757,0.0,53531875,-305308,2134020,43783.0,-376.0,
2016-08-12,2,2016,296,,36912,0.0,-3185562,,118789,1245.0,,-343,,1501133,-544412,-324407,,-4851711.0,-1080447,65868.0,-377330,906208,-918442,-2977374,-45990,-836770,-113068.0,-354350,,,163676.0,-128497.0,,-23347.0,11561.0,3493654,,-401438.0,0,-8125767,1876589,-1213.0,15711649,-2345963,2440.0,-9595929,3863817,,-106744,222409,-977733,394865,59131.0,6550009.0,2016年01月01日至2016年06月30日,58559754,53259595,-5300159,1516537,17552801,19080299,,,166610220.0,-178527906.0,-12338589,1516537,87888.0,-15561.0,-5303272,16317025,11013753,3029484,314702,,19641,,152176,,,15900,98641.0,,309576.0,-72753.0,17563762,-348396,0.0,53259595,-1003761,1714052,93783.0,-3716.0,0.0
