date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付款項增加,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款增加
2013-04-30,1,2013,85890.0,0.0,-92702.0,-49034,2924,651,-3733,0.0,,379,-3187,300.0,10717,-13746,-3453,0.0,-1529,0.0,,-1083,,,-388,,220,4961,,41010,,0,59694,-4492,101.0,-57350,66921,563.0,-2894.0,1267,-265.0,3124,,,2013年01月01日至2013年03月31日,1253601,1256017,-3322,2416,741,,138607,139276,,3532.0,,-89558,741,,,-7272,59917,52645,80,0,-80,0,,,,138535,0.0,1256017,-404,10018.0,17571,,-42046
2013-08-01,2,2013,252533,-113400,-92702,-32909,4386,-1378,-27493,,,771,-6347,319,18274,-25168,-56861,0,-1686,0,,391,,,-464,,340,-36945,-30443,101680,,0,-136658,476,231,-107551,134956,772,-1382,2540,-268,5876,,,2013年01月01日至2013年06月30日,1253601,1062354,12739,-191247,25171,,136275,149866,,-1236,,-238245,25171,,,67624,-195462,-127838,227,10049,-175,0,,,,124695,6045,1062354,-13323,67090,35586,,-40328
2013-11-01,3,2013,253898.0,-113400.0,-84198.0,-13388,3019,-10818,-5881,,,1164,-8549,319.0,18792,-48158,-56850,0.0,-1806,-177959.0,,600,,0.0,-68,,315,-53919,-30443.0,74907,,950,-244343,-2443,326.0,-330264,204517,563.0,2162.0,3712,-268.0,7539,,,2013年01月01日至2013年09月30日,1253601,676035,-4609,-577566,199548,,170340,202419,-212648.0,4323.0,,-436434,199548,,,51977,-303004,-251027,476,10049,-171,0,,,,2871,6045.0,676035,-31811,22843.0,25865,,-63870
2014-03-05,4,2013,299181.0,-113400.0,-84198.0,22004,5902,-1380,4539,,,1556,-10711,321.0,36229,-103976,-56850,0.0,-2326,-180875.0,,2157,,0.0,-158,,-511,-70675,-30443.0,99696,,760,-301379,1536,434.0,-409349,265871,563.0,6201.0,4842,-270.0,8198,491.0,,2013年01月01日至2013年12月31日,1253601,807828,1904,-445773,341269,,369430,402450,-212648.0,,-1236.0,-442083,341269,,-491.0,121514,-359514,-238000,4069,10049,662,0,,0.0,,61181,6045.0,807828,-32750,0.0,20824,,-87618
2014-04-23,1,2014,102747,,0,-50414,-10009,8255,-138,,,402,-2498,0,5133,-18793,-3061,,-1439,,,257,43016,203,0,,678,-2643,,-31371,,-285,54566,1173,211,77890,74458,0,3553,1495,0,4019,,,2014年01月01日至2014年03月31日,807828,1098031,10697,290203,92119,,163961,164211,,0,,43219,92119,,,-73604,42949,-30655,28,,58,,,131025,,72092,,1098031,-250,0,14325,,-34567
2014-08-11,2,2014,170923.0,0.0,0.0,-15126,-9802,8058,-5132,,-600.0,799,-5599,0.0,-14236,-16322,-113061,,-1811,,,1158,43016.0,40.0,0,,2136,-95511,0.0,-4097,0.0,-570,21111,1553,451.0,-62547,149116,0.0,7337.0,2581,0.0,6803,,,2014年01月01日至2014年06月30日,807828,1046299,-1390,238471,243351,,272198,315209,,,0.0,43056,243351,,,-11284,-87781,-99065,151,10811,124,2449,,112605.0,,71858,0.0,1046299,-43011,0.0,14348,,-63259
2014-11-07,3,2014,267157.0,0.0,0.0,-7274,-6597,269,-3230,,-600.0,1194,-8434,0.0,-4032,-39969,-193060,,-2940,0.0,,3711,43016.0,,1050,,2430,-146177,0.0,987,,285,27714,683,661.0,-51832,223168,0.0,11347.0,3855,0.0,11285,350.0,,2014年01月01日至2014年09月30日,807828,957059,9756,149231,380684,,448104,515162,-287075.0,0.0,,-243009,380684,,-350.0,-5072,-127607,-132679,209,241012,168,-568,,45183.0,,134478,0.0,957059,-67058,0.0,23310,,-115732
2015-03-16,4,2014,344639.0,0.0,0.0,17455,593,2262,-3317,,-600.0,1547,-11078,0.0,24311,-79037,-503060,,-3220,0.0,,-186,43016.0,778.0,0,0.0,622,-114571,0.0,-87851,,3,-1547,1510,887.0,-159438,298506,0.0,14183.0,5114,0.0,12650,350.0,,2014年度,807828,987868,23954,180040,472828,,558448,632891,-287075.0,,0.0,-243281,472828,,-350.0,-67244,-117332,-184576,2448,431092,211,-410,-6962.0,107214.0,,160063,0.0,987868,-74443,,20110,,-127897
2015-05-08,1,2015,,,,-36401,730,-969,7354,,,417,-2928,,-6887,-14935,-35000,,0,,-12366.0,4294,0.0,0.0,-410,,381,-53602,,17551,,267,92536,-582,,52159,76807,,0.0,1143,,1847,,90609.0,2015年01月01日至2015年03月31日,987868,1198156,2644,210288,52890,-109.0,165426,170274,,,,-410,52890,,,-19661,46436,26775,0,129244,148,-244,,,0.0,117384,,1198156,-4848,,8328,,-17012
2015-08-12,2,2015,,,,-17729,-1596,-547,8256,,0.0,826,-6209,,-11352,-16281,-195000,,-152,,-11558.0,10066,0.0,0.0,-415,-1185.0,0,-127815,,15453,,3366,21158,-773,,39258,152612,,0.0,2237,,4769,,188396.0,2015年01月01日至2015年06月30日,987868,1185822,2186,197954,123476,-109.0,170463,211536,,,,-415,123476,,,434,-100770,-100336,8,288163,341,-1140,,,0.0,88060,,1185822,-41073,,27477,,-29506
