date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產減少,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付投資款增加,預付投資款減少,預付款項（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,19271.0,,0,,-15620,4517,-5496,1.0,,,-376,0.0,253,-116,3659,10476,-534,,,,2207,-14441.0,,49270,-65316,1339,,-6978.0,16363,65202,-2534,39125,-707,-61986,12981,-7072.0,1.0,-2809,,-3902,116,,,2013年01月01日至2013年03月31日,232214,178722,-53492,-467,90825,97553,,,-80423.0,-92807,-467,0,-56220,134969,78749,3236,,,,98020,-238,,178722,-2942,3349,,-47264.0,,-9893,1541.0
2013-08-12,2,2013,25361.0,,0,,-120250,12930,4842,,,,-752,0.0,1722,-259,7153,10116,-4575,-58482.0,-9571.0,,-1530,-648.0,,87087,-17290,5395,,-8141.0,1525,6503,262,36981,-6772,-44979,25980,-3693.0,0.0,-6073,,-7371,259,5785.0,,2013年01月01日至2013年06月30日,232214,247657,15443,28134,144736,159600,,,-58880.0,-94430,28134,0,-17340,123445,106105,85000,,,,131466,-1828,,247657,-7752,90,-300.0,,20790.0,-5458,-5486.0
2013-11-05,3,2013,41804.0,,0,0.0,-199462,14600,10580,,-2809.0,,-752,0.0,3510,-501,10421,2795,-5212,-37692.0,-9571.0,,-1054,0.0,,28620,-20445,5781,,-4801.0,-79,65550,-2489,40585,-23497,-48965,38572,-3693.0,129.0,-5634,,-11444,501,5785.0,,2013年01月01日至2013年09月30日,232214,205108,-27106,36943,148401,163462,0.0,,-64575.0,-129337,36943,0,-14199,98914,84715,135000,,,,126519,-2001,,205108,-9903,0,-300.0,0.0,,-20564,
2014-03-25,4,2013,49945.0,,0,-6800.0,-219611,3633,9990,,-173.0,,-1498,0.0,1922,-709,13765,2838,-5441,-37692.0,-9571.0,,-3698,-522.0,,10745,-64896,8269,,-4347.0,-327,168848,0,40173,-3404,-51304,50435,-7072.0,0.0,-7411,,-12916,709,11566.0,,2013年01月01日至2013年12月31日,232214,265448,33234,37180,222567,235215,0.0,,-199156.0,-140867,37180,-5781,-68427,216517,148090,285000,,,,198035,-2016,0.0,265448,-12007,3344,-300.0,0.0,,-9835,
2014-05-07,1,2014,13937.0,,0,,-4147,-7193,5806,-11.0,,,-448,,1075,-239,3322,-222,-3186,0.0,0.0,,0,-41.0,,71244,6700,2437,-7062.0,,-335,1826,-676,-21792,5817,-2152,12706,0.0,0.0,-1714,,-3235,239,,,2014年01月01日至2014年03月31日,265448,261387,-4061,12122,87753,93533,,,-85293.0,-89440,12122,0,3723,63751,67474,0,,,,81411,-1471,,261387,-2784,-138,0.0,0.0,,1537,11095.0
2014-08-04,2,2014,22616.0,,0,,-39243,3618,2903,329.0,,,-918,,4476,-628,5964,3400,-4215,0.0,0.0,,688,,766.0,61163,97444,4736,-1500.0,,-552,-156080,-2144,952,-8413,1027,25124,0.0,0.0,-3126,,-6117,628,8496.0,,2014年01月01日至2014年06月30日,265448,212060,-53388,59366,76428,81125,,,-95000.0,-134243,59366,-5313,115047,-115904,-857,0,,,,21759,-827,,212060,-7704,-93,0.0,,0.0,-14614,13046.0
2014-11-03,3,2014,36947.0,,0,,-43440,27422,1480,455.0,8628.0,,-1387,,5992,-1273,8827,3907,-9981,0.0,0.0,,1648,,,23,112642,-2332,-6930.0,,-1090,-228797,2390,-1565,-18297,-3989,36767,0.0,0.0,-3190,,-8979,1273,9143.0,,2014年01月01日至2014年09月30日,265448,220918,-44530,126767,53666,60251,-49674.0,,-5000.0,-98114,126767,-5960,137922,-241385,-103463,0,,,,-66516,969,,220918,-8022,128,0.0,,,2926,
2015-03-23,4,2014,50012.0,4200.0,0,0.0,-78575,51936,2711,,6506.0,,-1885,,7559,-1630,11848,-23,-26349,0.0,0.0,,1670,,2037.0,-4718,55238,-1132,-6749.0,,155,-190155,2082,-416,-13774,-12553,48680,0.0,,-4709,,-11806,1630,9143.0,,2014年度,265448,228200,-37248,159836,68664,80879,-49674.0,,34913.0,-93336,159836,-5960,105050,-234019,-128969,0,,,,-78957,981,,228200,-11182,113,0.0,,,-29749,
2015-05-06,1,2015,,,0,,-4133,-27978,2498,-65.0,-1000.0,-71.0,-548,,1687,-126,2901,440,-5249,0.0,0.0,,0,,98.0,3676,31824,3312,-3550.0,,-844,58630,-3830,-8124,19476,-3464,12397,,0.0,-293,,-2908,126,0.0,15053.0,2015年01月01日至2015年03月31日,228200,260851,32651,13439,79808,86199,0.0,,-40000.0,-44133,13439,0,-270,57977,57707,0,,,41.0,72760,-1198,,260851,-3609,133,0.0,,,-14213,-288.0
2015-08-12,2,2015,,,0,,-39253,-26260,621,-13.0,-857.0,0.0,-1109,,3220,-310,5744,615,-24658,0.0,0.0,,3876,,198.0,16028,27786,3,-4197.0,,-990,80314,-7233,-3765,-25322,-21240,25258,,0.0,-1657,,-6858,310,4195.0,29253.0,2015年01月01日至2015年06月30日,228200,201888,-26312,11622,53782,79764,0.0,,-20216.0,-59469,11622,-4032,-14872,53761,38889,0,,,41.0,68142,-2239,,201888,-23629,333,0.0,,,-6869,-7009.0
