date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付設備款減少
2013-05-09,1,2013,,456206.0,,,174453,-14324,,,,,83242.0,-20804,,24718,-913391,-642845,,-9411,3.0,,,3288.0,-232772,-1155029,110,2818499,,-25997,-194.0,-1091116,339934,4320,3042,,18698,,,2013年01月01日至2013年03月31日,9604017,12546792,,2942775,2012920,,3998004,4033872,,11166.0,,11169,2012920,-980660,2545406,1564746,435,437309,34425,-309,,,73,2020952,12546792,-54566,12283,33499.0
2013-08-05,2,2013,,997141.0,,,612164,-38904,,,,,301655.0,-48909,,33098,-1995430,-2994905,0.0,-10282,,-305.0,,7381.0,-86817,-2203097,-172,2067689,2376.0,-123767,-150.0,-3084725,689880,20561,6256,,47483,,,2013年01月01日至2013年06月30日,9604017,11727723,,2123706,4685851,,5190196,5912314,,,-14558.0,-14863,4685851,-1591255,1820577,229322,6229,1527248,34283,-5827,,,73,1226463,11727723,-769601,-831,375034.0
2013-11-11,3,2013,,1051116.0,0.0,,442242,-30937,392.0,,,,,-84340,,14408,-2268762,-4299917,0.0,-16035,,-11456.0,-455898.0,,-204393,-1434580,-350,752246,5196.0,-157786,-598.0,-2997304,1057199,33290,9808,,82024,,,2013年01月01日至2013年09月30日,9604017,11021714,,1417697,7396669,,6709720,7819217,-2280383.0,,-17288.0,-2309127,7396669,-993286,364718,-628568,49,4043259,34518,1847,,,73,422548,11021714,-1191521,-1279,
2014-03-18,4,2013,,1399933.0,0.0,,1053562,-52908,523.0,0.0,,,,-122024,38.0,60435,-3056982,-8025121,0.0,-20273,,-11454.0,-577448.0,,-169939,-1050010,2444,-82228,1898.0,-159723,-787.0,-5159738,1434366,51447,13442,-38.0,114335,,,2013年01月01日至2013年12月31日,9604017,13502801,,3898784,11500715,,11300481,12443480,-2280383.0,,-10557.0,-2302394,11500715,5209,-462377,-457168,1000,6519086,35177,-12914,,,73,942765,13502801,-1257296,328,
2014-05-08,1,2014,,349395.0,,,436272,-33543,135.0,,,,0.0,-56570,4898.0,-2899,-340422,-1247006,,-1870,-163.0,,,-5933.0,-13870,-1393222,-2700,2381561,-21354.0,4318,-171.0,-491922,391188,12314,3465,-4898.0,48485,,,2014年01月01日至2014年03月31日,13502801,17904398,,4401597,3527400,,4967029,5234221,,-70448.0,,-70611,3527400,-959821,2317247,1357426,0,1103309,342,-7359,,,0,1706821,17904398,-310779,1117,0.0
2014-07-29,2,2014,,576441.0,,,1203112,-40510,265.0,,,,0.0,-128408,4832.0,-38581,-715241,-2442120,,-10315,,-4697.0,,-2088.0,310340,-879962,-2159,-1343842,3496.0,-59124,-374.0,-862711,784040,-30904,7184,-4832.0,114838,,,2014年01月01日至2014年06月30日,13502801,19268998,,5766197,8540044,,6740931,8307727,,,-68745.0,-73442,8540044,320617,-1129375,-808758,49,2207304,443,-12498,99700.0,-47004.0,0,-232317,19268998,-1676802,-1244,
2014-11-10,3,2014,,925458.0,0.0,135412.0,1497223,-131535,397.0,,,,,-190836,4820.0,17355,-1585693,-7928761,,-12156,,-4773.0,-1922.0,,-447650,1573570,-2268,-3736234,2373.0,-128021,-568.0,-1914367,1194645,-23705,10612,-4820.0,185698,,,2014年01月01日至2014年09月30日,13502801,19699628,,6196827,14575937,,11793280,14128682,-3822996.0,,128328.0,-3699441,14575937,3067957,-4440670,-1372713,1614,7377439,358,-22188,99700.0,-47004.0,0,-447255,19699628,-2516280,-1244,
2015-03-17,4,2014,,1302686.0,0.0,,2832484,-130694,533.0,0.0,-620002.0,,,-255289,4855.0,100822,-5210906,-11985261,0.0,-21249,,-3381.0,-4494.0,,-852995,2494885,-2878,-6412484,1407.0,-104275,-746.0,-5472258,1646981,-31514,14147,-4855.0,253301,135412.0,,2014年度,13502801,24100464,,10597663,22963091,,19687898,22091014,-3822996.0,,107578.0,-3718799,22963091,5323745,-7498508,-2174763,2386,12132156,749,-28995,99700.0,-47004.0,0,-872077,24100464,-2651562,-1244,
2015-04-27,1,2015,,,,,561192,-56182,137.0,,,,0.0,-85186,0.0,-30240,-692352,-109000,,-4458,3088.0,,-3834.0,,-1318999,-1689560,185,5122711,-12751.0,12516,,463075,440697,-1272,4682,0.0,70739,,351405.0,2015年01月01日至2015年03月31日,24100464,32547457,,8446993,5082416,1.0,8022098,8053071,,,-11028.0,-7940,5082416,-1128182,3747432,2619250,3363,1269356,-639,-6877,,,0,2970655,32547457,-101712,0,0.0
2015-07-30,2,2015,,,,,1509264,16390,272.0,,,,0.0,-184371,0.0,-68271,-1566514,-5757000,,-8068,,3088.0,,-4429.0,-853943,-1452070,362,2663084,-2308.0,41906,,-4364789,893418,1540,9597,0.0,162553,,698153.0,2015年01月01日至2015年06月30日,24100464,32057770,,7957306,12054146,45.0,12308099,14675301,,,79179.0,82267,12054146,57601,1865401,1923002,3523,2967699,-538,-21493,0.0,0.0,0,2621155,32057770,-2529755,0,
