date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分子公司,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,-390011.0,,-301933,-862259,-29966,247065,44990,-36242,63275,-148609.0,,14343,,,901536,-335525,,,,,-33944,,,,,4863830,,,-10065810,-3011366.0,12758.0,3143734,69606.0,-2409329,-514092,598015,-739900,-792533,-559185,86958,-20692,106305,8.0,,2013年01月01日至2013年03月31日,49608893,50129937,521044,7231407,-349872,-90140,,396840.0,,483472,7231407,,-11806192,4874656,-6931536,19812.0,,,,,,,-7321547,2922976,50129937,-345345,-496198,0.0,3545.0,,816617,-833740
2013-08-13,2,2013,-1420530.0,-702494.0,847798,-2005482,37863,858228,35163,-37637,76553,,-295599.0,24912,,,1298730,-738580,,,0.0,-118561.0,-297872,0.0,,,,-4929736,0.0,,-1409198,-4970839.0,28508.0,7208718,174790.0,483865,3617979,1222886,-976273,3379638,-564446,207354,-39817,270145,5127.0,,2013年01月01日至2013年06月30日,49608893,64557000,14948107,13116953,9550826,12307358,,796078.0,,480572,13116953,,-4883407,5494342,610935,303668.0,,79414.0,-3707.0,,-1494487.0,4652022.0,-809595,1646996,64557000,-2986860,-518877,0.0,6767.0,,1147386,-870990
2013-11-12,3,2013,-218498.0,-990964.0,3622537,-1427871,13140,168831,-36341,-38867,6191,-1196184.0,,1609,,,594062,-1415474,,,0.0,-190116.0,-296417,0.0,,,,-1982848,0.0,-2525987.0,-1134175,-4959831.0,21990.0,-2267503,,-2893577,2591388,1876369,-1267247,5541893,-563264,307075,-63565,423994,437073.0,,2013年01月01日至2013年09月30日,49608893,47718188,-1890705,19697988,10824419,15283201,-14302445.0,1352284.0,,-15900574,19697988,,-1863318,-2332971,-4196289,602992.0,105831.0,188803.0,-3707.0,,-1595495.0,4652022.0,-4414787,2784029,47718188,-4819211,-30766,82391.0,-42645.0,,733276,-1060585
2014-03-27,4,2013,1111305.0,-1324846.0,10303503,-1804522,14511,392369,-245941,-1115,53419,-1193058.0,,20643,,,932705,-2328017,,,0.0,-217407.0,-192157,0.0,,,,2999239,0.0,-2525987.0,6807435,-4865197.0,3517.0,-8218552,,-670890,2309820,2578962,-2315118,966175,-571969,400757,-74445,623855,1101199.0,,2013年01月01日至2013年12月31日,49608893,66524194,16915301,27026102,29882095,34541339,-14302445.0,1068500.0,,-16209319,27026102,,14257062,-7853130,6403932,928525.0,109027.0,175250.0,-3707.0,,-1583541.0,4652022.0,7515237,5041277,66524194,-5208654,162430,95582.0,-106485.0,200598.0,-878639,-1109609
2014-05-07,1,2014,902822.0,,-4540751,-889109,-48752,-214465,217005,20062,-61592,-546326.0,,23643,,,1103484,-428135,,,,,225462,,,,,1273120,,,-10488298,-21219.0,6349.0,8419022,,-1655709,-1023213,769957,-756733,1110012,-5211,87987,-121283,113766,,,2014年01月01日至2014年03月31日,66524194,67059395,535201,5303294,-255362,643308,,771884.0,,710292,5303294,,-14677688,9114880,-5562808,,,,,,,,-4659986,864754,67059395,-891153,-199016,,,,640539,452613
2014-08-12,2,2014,2097708.0,-1218.0,-3355252,-1279847,-79589,219358,193244,12280,-73202,-790846.0,,59170,,,64672,-621440,-134386.0,,,-80587.0,588821,,,,,-15469284,,,1449383,,32999.0,7464271,,3692785,-1531418,1532257,-1075915,1530788,-10202,181663,-163119,324124,49301.0,,2014年01月01日至2014年06月30日,66524194,70151873,3627679,11668639,5330180,8056063,,-161335.0,,-235755,11668639,,-2496821,-3213463,-5710284,0.0,,118524.0,,,-35775.0,7605.0,-3612576,212169,70151873,-2886888,-218226,,,,654580,8157
2014-11-12,3,2014,1392981.0,-303543.0,-1250605,-1907121,-80698,1477022,629566,21885,-30895,-978513.0,,92063,,,929518,-775104,-134386.0,,,-148140.0,405629,,,,,-24483953,,0.0,6456842,,33235.0,4717048,,-2348581,-109808,2174956,-1202967,7981172,-15304,270823,-196734,457941,1759870.0,,2014年01月01日至2014年09月30日,66524194,59552591,-6971603,19209045,7836325,12074899,-14483825.0,-670899.0,,-15627638,19209045,,7858031,-16385158,-8527127,0.0,6415.0,233143.0,,,-101229.0,7605.0,-7134146,2026959,59552591,-4499781,-1433957,,-138476.0,,-973289,295660
2015-03-19,4,2014,-76591.0,-306192.0,2205511,-2715867,-18312,2341055,772602,6782,11466,-1032140.0,,154636,,,2686133,-1389990,-134386.0,,,-272778.0,260707,,,-150495.0,,-23290538,,0.0,19812921,,,-7072838,,1360015,-565299,2725264,-1332821,9313927,-22486,372853,-205576,655179,1760115.0,,2014年度,66524194,79113855,12589661,25397514,26202887,30430135,-14483825.0,-1119842.0,,-15734060,25397514,,27247460,-22138248,5109212,302809.0,68435.0,596647.0,,,-396135.0,7605.0,5032621,3980995,79113855,-4676851,-3147004,,-138476.0,-24426.0,-505549,233017
2015-05-12,1,2015,,-311344,-4335406,595694,-38191,1248898,72952,718,34615,-170979,,-2061,,,-822045,-131142,,,,,-7040,,,,,7814573,,,-24346179,,,13017886,,-2634750,-340312,365016,-238892,1708900,-2551,100786,-55627,144267,,-1193587,2015年01月01日至2015年03月31日,79113855,73629900,-5483955,4911655,-4452279,-4422995,,97695,,130681,4911655,,-29406337,21265274,-8141063,309715,,,,,,,-9334650,-1650298,73629900,-117924,-1647737,,,,690019,-85178
2015-08-11,2,2015,,-591133.0,-4858425,66637,-56994,391666,15685,7037,-643,-260885.0,,-44529,,,-1558112,-352925,-153323.0,,,,-26145,,,,,2992414,,,-9362954,,,7042416,,-1113572,-820192,656085,-616288,-752356,-3589,202796,-98462,344316,,-346054.0,2015年01月01日至2015年06月30日,79113855,76014063,-3099792,11115694,-704415,1323684,,267605.0,,-17073,11115694,,-18224039,8778083,-9445956,307098.0,,3935.0,,,,,-9792010,-3584875,76014063,-2273953,-1130672,,,,526859,-200200
