date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非金融資產減損損失,預付款項（增加）減少,預付設備款增加
2013-05-08,1,2014,31963.0,-14868,0.0,,,-157,,-115067,-1921,,2247,-342,4404,-110,-4868,-19500,-2980,0.0,-107697.0,,4084,-5,,504,,112313,93078,-13260,40731.0,,-479913.0,,-23930,-18935,-52131,256.0,99525,112742,-157.0,-1437.0,-130483,8850,112,458,-4384,342,,,2014年01月01日至2014年03月31日,29107,25555,6547,-3552,44244,,238289,242365,,,368670,,-111248,44244,,-53688,219846,166158,,,4058.0,,,,,,-73.0,0.0,,198121,25555,-34,,5676,-50624,
2013-05-10,1,2013,26094.0,-18030,1440.0,,,-588,,-5094,972,,63,-151,3393,979,-153,-58400,0,-277.0,,,2910,37,,-1223,,-133870,-29459,-4655,,6076.0,62990.0,,-32400,5807,3307,0.0,-4951,-14343,,119.0,-53090,9495,20,120,-3522,151,,,2013年01月01日至2013年03月31日,14769,18341,4906,3572,14621,,-158094,-154709,,,149310,,213777,14621,,-77636,-117788,-195424,,,,,,,,,,6963.0,,-169330,18341,-14,,5338,31685,
2013-08-09,2,2013,38928.0,2324,208.0,-3171.0,,-2755,,-120639,-884,,90,-170,7150,1787,-2168,-58400,-9618,-278.0,-15046.0,,3321,56,,-130,,-112464,-20272,-803,,21056.0,62990.0,,-45108,8424,21117,-17.0,-6145,-15377,0.0,-6828.0,-78640,18370,60,250,-6660,194,,,2013年01月01日至2013年06月30日,14769,21868,4098,7099,98293,,-139003,-126242,,,159701,,222955,98293,,-165017,-98446,-263463,,,,,,,,,,7000.0,,-224535,21868,-6295,0.0,5759,18079,
2013-11-12,3,2013,43794.0,3214,166.0,-3171.0,,-2945,,-118171,916,,688,-179,11061,1441,-4259,-58400,-10270,-278.0,-99835.0,,3429,91,,-607,,-131875,-47134,-7287,,51871.0,-247004.0,,-39966,4081,-16364,0.0,-16510,7343,,-9166.0,-166819,27082,1456,380,-10173,203,,,2013年01月01日至2013年09月30日,14769,52457,-5083,37688,191726,,-56254,-40330,,,506067,,259320,191726,,-165729,-110121,-275850,10.0,0.0,0.0,,-10.0,,,,,7000.0,,-232056,52457,-5954,0.0,4970,49314,-180.0
2014-03-26,4,2013,66166.0,15796,-4474.0,-3171.0,,-203,,1978,-342,-268247.0,711,-211,15726,5220,-10452,-58400,-10270,-4226.0,-149847.0,,7767,-33,,-613,,-139676,45245,4802,,67955.0,32925.0,,-8352,18746,-350209,-256.0,-65290,-91498,-33.0,-11503.0,-493675,35844,1967,618,-15365,235,27311.0,,2013年01月01日至2013年12月31日,14769,29107,1766,14338,291512,,-82930,-89154,,,557305,,585723,291512,-27311.0,131496,-578328,-446832,10.0,0.0,0.0,,-10.0,,1370.0,144.0,0.0,7000.0,,-380666,29107,-5957,24351.0,4804,69179,
2014-08-12,2,2014,19718.0,-12616,0.0,-62.0,,-273,,-89062,-437,,3945,-636,9117,-1829,-5650,-19500,-2980,0.0,-157681.0,,3201,0,-84.0,0,285.0,116998,54825,-14057,-10392.0,,0.0,-479913.0,-18133,-11739,43279,256.0,94904,104825,33.0,-4036.0,-141554,17669,2570,917,-9053,560,,,2014年01月01日至2014年06月30日,29107,22233,-3892,-6874,103606,,313835,322383,,,302671,,-177326,103606,,-105272,304331,199059,,,43972.0,,,,,,-16891.0,0.0,,218777,22233,-55,0.0,3718,-55254,
2014-11-10,3,2014,9027.0,5622,8.0,5651.0,,-769,,-90382,1884,,4957,-1040,13761,-721,-6856,-19500,-6980,-49.0,-159686.0,,2086,-663,,277,,-35714,-10429,-17541,-37850.0,,-180024.0,,-17846,-14130,199815,256.0,94011,83028,33.0,-6640.0,-122414,26479,2710,1396,-13631,1015,24406.0,,2014年01月01日至2014年09月30日,29107,20113,-2430,-8994,153447,,274196,286902,,,20624,,-160055,153447,-26615.0,-183545,307973,124428,0.0,,45974.0,,0.0,,,,-16892.0,0.0,,133455,20113,-90,,4615,-34571,0.0
2015-03-26,4,2014,-103212.0,9984,98.0,0.0,,-314,,-88256,621,0.0,1997,-3133,17482,760,-9857,-55500,-6980,-49.0,-191716.0,,2604,-668,,-610,,-185319,5969,-14700,-30697.0,,-64949.0,,-33140,-4055,260285,256.0,77040,65147,33.0,-9226.0,117747,35350,3235,1868,-17334,3108,26615.0,,2014年度,29107,19691,8147,-9416,291597,,238806,226672,,,-301210,,-366729,291597,-26615.0,-164121,202408,38287,0.0,,48019.0,,0.0,,334440.0,-177363.0,-16939.0,0.0,,-64925,19691,-255,47680.0,2475,-15341,
2015-05-14,1,2015,,-3279,-27.0,,,-26,,-75026,-892,,2292,-1113,3382,-445,-4394,0,-4000,,,-3402.0,-4001,82,,-26540,,42025,-2960,1756,-11307.0,,49965.0,,13033,-11445,-18838,0.0,-6244,27964,0.0,,147695,8933,85,445,-3679,1088,,-84232.0,2015年01月01日至2015年03月31日,19691,29489,2619,9798,114352,-2765.0,-39576,-36879,,,-147896,,-97876,114352,,-91993,24994,-66999,,,4068.0,,,,181963.0,-98119.0,-66.0,,,-151231,29489,-106,,1311,-18995,
2015-08-12,2,2015,,-3497,,0.0,-565.0,151,,-1226,-5449,,2216,-2236,6567,-1074,-11273,0,-7023,-182.0,,-18409.0,-3070,64,0.0,-9740,0.0,171040,-72450,9328,-665.0,,0.0,-114983.0,23384,612,-303984,0.0,-11300,18184,0.0,,141387,17815,3064,897,-7033,2177,,-63663.0,2015年01月01日至2015年06月30日,19691,16433,-1089,-3258,151659,-5583.0,-171534,-138966,,,143447,,27963,151659,,-50097,-176865,-226962,,,6051.0,,,,181963.0,-98119.0,217.0,,,-290625,16433,-27712,0.0,10075,-45507,
