date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付投資款增加,預收款項增加（減少）,預收款項增加－處分資產
2013-05-06,1,2013,,2818.0,-25014,13935,,7290,9572,16.0,,,0.0,,-2570,2098,-4972,-441,,,,-184.0,,,0.0,224.0,,,-490726,-41589,-8595.0,20781,,-57,2802,,-17038,787,-2329.0,,,,2013年01月01日至2013年03月31日,562394,244103,,-318291,35682,-492868,-492868,,400000.0,0,-218968.0,179606,35682,,,-67908,-463460,-531368,,568,,,-299.0,,,-528550,244103,,,679,,,
2013-08-12,2,2013,,3105.0,-40869,-5682,,28607,-3552,,,,-4454.0,,-7904,4555,-7959,-942,,,,-184.0,,0.0,,410.0,,,-572758,-16242,,-51362,,-5022,5218,,-128559,1538,-3937.0,5874.0,,,2013年01月01日至2013年06月30日,562394,514401,,-47993,67837,-713631,-719475,,400000.0,0,-53814.0,678619,67837,,,-28504,-761913,-790417,335960.0,558,,,-302.0,,,-787312,514401,-30.0,,0,,,
2013-11-08,3,2013,,7319.0,-33057,-2451,,19944,1255,,,,2303.0,,-11340,9096,-11868,-11240,,,,-184.0,,0.0,,0.0,-1162.0,,-882334,-17359,,-20127,,-7760,7690,,-244453,2148,-7818.0,9481.0,,,2013年01月01日至2013年09月30日,562394,186050,,-376344,88115,-1073740,-1083148,,400000.0,0,-10039.0,717024,88115,,,-30472,-1148110,-1178582,335960.0,1361,,,-275.0,,,-1171263,186050,-73.0,,83,,,
2014-03-24,4,2013,28048.0,-1618513.0,28943,-14154,,-325,2739,,,-2698.0,,-1653725.0,-15821,14252,-1251,-21004,,,,-446.0,,-6.0,,,-1336.0,0.0,-5975,-19998,,-45599,,94104,11516,-8.0,-313627,1125,-11472.0,15523.0,,,2013年01月01日至2013年12月31日,562394,305730,-2731.0,-256664,128835,-1842253,-1857682,-8170.0,400000.0,27589,,1492736,128835,,,8612,-376616,-368004,1085960.0,118252,,,-1171.0,,,-1986517,305730,-94.0,,165,0.0,,
2014-05-12,1,2014,,-2315.0,-17864,-11876,,23199,-4089,185.0,,-32088.0,,,-5868,1226,7356,-1574,,,,-276.0,,,,,172.0,,-44488,9408,,28588,,-33938,3135,,-156303,184,-970.0,2215.0,1058.0,,2014年01月01日至2014年03月31日,305730,338770,729.0,33040,30247,-143312,-145308,,0.0,202793,,202934,30247,,-1721.0,14743,-187983,-173240,,0,,,0.0,,,-175555,338770,-307.0,,-31,,,
2014-08-11,2,2014,,-6286.0,24559,1751,,19647,-13150,1014.0,,-32088.0,,,-11765,2620,1486,-4560,,,,-276.0,,,,192.0,,,-47356,3370,,17619,,-36917,6701,-262.0,-106171,374,-16027.0,9261.0,3429.0,,2014年01月01日至2014年06月30日,305730,306745,-787.0,1015,47391,-67412,-57874,-8699.0,0.0,112442,,103858,47391,,-3429.0,47314,-146293,-98979,0.0,7,,,0.0,,,-105265,306745,-6201.0,,-77,,,
2014-11-11,3,2014,68619.0,43867.0,-26240,26743,-7020.0,33295,-15844,,,1531.0,,,-19213,4151,9475,-4947,,-358624.0,,-276.0,,,,,-34.0,,-54968,56978,,-41644,,-221694,10348,-225.0,-90968,552,,15426.0,7568.0,,2014年01月01日至2014年09月30日,305730,284738,-3707.0,-20992,129794,52023,60788,-8698.0,0.0,147949,,139204,129794,,-7568.0,63808,-176681,-112873,0.0,7,,147635.0,0.0,,,-69006,284738,-6209.0,-9315.0,-13,,,
2015-02-13,4,2014,,52388,-58577,28357,89052,64026,-21362,,,2112,,0,-27587,5578,17573,-5015,,-394210,,-1769,,0,,,-44,,-63199,49598,,-1347,,-168237,13811,-262,-141052,748,-38819,25598,9010,,2014年度,305730,447575,4829,141845,154446,49925,63016,-8699,0,251238,,242584,154446,,-9010,54785,-198603,-143818,,0,,141593,0,68619,,-91430,447575,-8880,-4600,89,,,
2015-04-28,1,2015,,,-15769,-3119,-145852.0,3605,-11941,0.0,,-3526.0,,,-10598,1716,-7444,-119,,,,-627.0,,,,,9.0,-1592.0,89455,7876,,32149,,-122192,3831,,-47473,259,-10002.0,10188.0,1473.0,-6024.0,2015年01月01日至2015年03月31日,447575,441133,3736.0,-6442,43250,93668,92009,,,562205,-532654.0,29526,43250,,-1473.0,-4288,59071,54783,,262,,29262.0,,,,48759,441133,0.0,-3495.0,-34,,,
2015-10-29,3,2015,,,65469,-2603,-84187.0,49049,-33305,-16246.0,,0.0,,,-30290,4874,-11329,-9326,-30269.0,-231911.0,,-1152.0,32489.0,,,2.0,0.0,,39942,118607,,-97129,0.0,-83677,10190,1043.0,40729,765,-29081.0,27974.0,8232.0,2998.0,2015年01月01日至2015年09月30日,447575,487443,11022.0,39868,51470,240977,233975,-5502.0,,451801,-552654.0,-106103,51470,4444.0,-8232.0,248119,-68612,179507,,1157,,239522.0,-71.0,,,182505,487443,-123.0,10296.0,250,,13951.0,
