date,season,year,不影響現金流量之收益費損項目合計,償還公司債,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,預付款項（增加）減少,預付費用（增加）減少
2013-05-08,1,2013,4929.0,,-17878,-1708,9,1539,54589,,,-1535,,-848,1609,3439,-128023,,0.0,,-114,-820.0,0.0,0.0,478.0,19327,-41060,-4966.0,432,-42422,-346,-19800.0,-124362,5178,30028,-134,1902,,892,,,2013年01月01日至2013年03月31日,250439,133604,-116835,21498,4088,4171,,,0.0,21498,,-81733,59477,-22256,400,0.0,0.0,474,-2515,3540.0,-17327,133604,-83,-18,0.0,101.0,,
2013-08-08,2,2013,17492.0,,3191,-128,427,25233,55202,,,-2705,2306.0,-1579,3218,1606,-131803,,0.0,,-1212,85.0,0.0,0.0,344.0,12372,-10039,-5221.0,353,-72337,969,-21687.0,-121066,10378,3045,4108,3824,,1520,,,2013年01月01日至2013年06月30日,250439,166849,-83590,28337,35870,37209,,,0.0,28337,,-8170,-450,-8620,400,4500.0,0.0,465,-5325,7890.0,8872,166849,-1339,-82,0.0,94.0,,
2013-11-13,3,2013,27509.0,,6062,3602,524,7712,-11398,0.0,56940.0,-4592,2306.0,-2308,4828,4320,-143881,,0.0,,-1491,682.0,0.0,,59.0,-13993,81618,-1421.0,-1258,-68435,29204,-23465.0,-126731,15385,-81850,10823,5822,,2185,192.0,,2013年01月01日至2013年09月30日,250439,134664,-115775,45689,53156,57040,-46520.0,,-46520.0,45689,-192.0,69248,-85406,-16158,400,4611.0,0.0,455,-10308,15786.0,11351,134664,-3884,-140,0.0,156.0,,
2014-03-24,4,2013,45771.0,,7105,4094,-3370,6165,-8252,0.0,94549.0,-5963,3958.0,-3245,6437,6038,-152903,,0.0,-19411.0,-2857,-177.0,0.0,-2431.0,,-22544,30524,-9688.0,-1526,-58924,18091,-30125.0,-145580,22024,-9507,27747,7817,-5100.0,2900,192.0,,2013年01月01日至2013年12月31日,250439,186793,-63646,69881,122416,132244,-46520.0,,-46520.0,69881,-192.0,2455,14137,16592,517,4611.0,0.0,445,-19048,29765.0,62363,186793,-4728,5,0.0,,,
2014-04-29,1,2014,11335.0,,-24756,-1486,1161,392,2021,,106591.0,264,,-802,1609,-327,-4165,,,,-500,30.0,,-1624.0,,-9447,60979,-473.0,482,-7853,1296,0.0,1151,6590,-97929,5909,2052,,820,,,2014年01月01日至2014年03月31日,186793,196890,10097,22807,9273,9755,,,,22807,,36624,-61011,-24387,0,,,-10,-3925,6356.0,-13052,196890,-482,-118,,,-54311.0,-1054.0
2014-07-30,2,2014,20743.0,,28494,-1698,748,-54975,3735,,182451.0,264,,-1413,3218,-1592,-10570,,-19593.0,,-520,76.0,,,1007.0,-3021,-16749,-314.0,-51,8010,-1191,0.0,-16075,13483,-96105,21054,4002,,1466,,,2014年01月01日至2014年06月30日,186793,218607,31814,36781,49481,52995,,,,36781,,-43595,39066,-4529,0,1995.0,,-20,-19405,9876.0,16214,218607,-3514,-252,,,-46662.0,-7201.0
2014-10-29,3,2014,1634.0,-300000.0,-8148,-1614,3028,3483,4326,,145277.0,-1978,,-1983,4622,306,-13128,-6375.0,-19593.0,,-1499,258.0,,,238.0,1875,-6343,-432.0,881,-14891,1878,0.0,77208,20525,-99289,32208,5783,,2036,374.0,,2014年01月01日至2014年09月30日,186793,159055,-27738,76598,47914,54738,-53166.0,200000.0,-153166.0,76598,-374.0,-10559,-12935,-23494,0,5414.0,21784.0,-29,-77969,89935.0,-21860,159055,-6824,-108,18701.0,,-43456.0,-10069.0
2015-02-25,4,2014,24046.0,-300000.0,10504,312,1206,-4075,5604,,41758.0,-1788,,-2985,5712,8938,-19957,-6375.0,-19593.0,0.0,-2490,402.0,0.0,-740.0,,802,-94,1330.0,-298,6362,8197,0.0,69410,27655,87913,45600,7565,-5100.0,2846,374.0,,2014年度,186793,315775,128982,95754,203800,215385,-53166.0,200000.0,-153166.0,95754,-374.0,7367,88218,95585,0,5414.0,21784.0,-39,-78165,89935.0,119631,315775,-6485,-26,18701.0,,-51934.0,-12002.0
2015-04-29,1,2015,,,-15228,-1620,1221,1462,-2681,,-64693.0,-1201,,-1459,1090,-1716,-596,,,,-1545,0.0,,-196.0,,-16316,39030,-1097.0,871,-47810,576,,13064,7257,-16987,10428,1840,,1498,,15977.0,2015年01月01日至2015年03月31日,315775,277812,-37963,36546,-49311,-49217,,,,36546,,25038,-126778,-101740,176,14928.0,,-11,-3090,0.0,-85763,277812,-94,-78,,,21895.0,-363.0
2015-07-29,2,2015,,,-5295,-1686,435,6882,-2680,,-145009.0,-1509,,-2919,2180,-3785,-2661,,0.0,-20637.0,-1869,57.0,,,60.0,-15842,32565,,353,-42784,-7802,,-5796,14498,-1860,18924,3037,,2987,147.0,29745.0,2015年01月01日至2015年06月30日,315775,201737,-114038,50649,-104457,-93357,,,,50649,-2209.0,34505,-208256,-173751,176,17510.0,,-20,-3795,0.0,-144006,201737,-11100,-8,,,9429.0,-457.0
