date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票處分,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付設備款增加
2013-05-15,1,2013,1633394.0,1213974.0,-3785964,400735,0.0,966311,-2214250,,-60824,,,,-76271,353385,-1049980,-1364407,0.0,0.0,,-76,,-128546.0,-11.0,-3733.0,,,12023.0,-734.0,,-4037.0,,-1552445,0.0,,-752537,,0.0,,62227.0,-11920,,1256090,,-985,,2293.0,-921682,1900901,-159171,,-640893,104919,-353995,135758,244007,,2013年01月01日至2013年03月31日,28854625,29346249,491624,2239654,,-2550561,-2039619,,1957509.0,,5013847,2239654,-4658,-436.0,-3581817,-2330850,-5912667,,199363,,,,26496,,0.0,,,0,0,0.0,,-4279273,29346249,-156947,-101177,,,,1768848,,71128.0,,
2013-08-14,2,2013,2325468.0,-4303722.0,-1941121,812476,,1836867,-2985875,114551.0,-3836,,690.0,,-160157,673679,-1540997,-2914022,-183689.0,0.0,,-76,,-133590.0,-222.0,-29000.0,,,19236.0,13308.0,,-2512.0,,-1683633,0.0,,453598,,0.0,,-130829.0,9440,,-2562498,,-483,,4676.0,-1000135,3778564,84074,,-2112944,209707,-679497,176189,341264,,2013年01月01日至2013年06月30日,28854625,25379149,-3475476,7682030,,2566911,4145734,,0.0,-149177.0,-3501255,7682030,-180,-4761.0,478011,-6339775,-5861764,0.0,552725,,150418.0,,70772,0.0,0.0,-25461.0,,993060,-79973,48630.0,,-3536296,25379149,-899326,-2963,,,,1049929,,-20815.0,,
2013-11-13,3,2013,882836.0,-4140535.0,-499410,834192,106601.0,477245,-2514694,86031.0,76153,80519.0,-118250.0,36204.0,-251431,968506,-1123012,-4053477,-170411.0,0.0,,-360,,-2133590.0,-514.0,-94888.0,,,19236.0,13199.0,,,5481.0,-2250145,0.0,,652759,,0.0,,-37000.0,-15581,,9442,,58708,,6464.0,-755197,5679506,433727,,-3688799,309359,-959498,266123,1421691,,2013年01月01日至2013年09月30日,28854625,31799042,2944417,14081215,,10186440,12318942,-4401307.0,4481744.0,0.0,-5363814,14081215,-4270,-545546.0,707508,-3352617,-2645109,0.0,580981,8977.0,150440.0,,257120,1700150.0,0.0,-15214.0,,1153359,-1348222,386286.0,,-1762273,31718523,-1173004,-560069,,,,-1299151,81896.0,,,
2014-03-28,4,2013,2494805.0,-4750218.0,332709,-426585,,35525,-2484125,101139.0,-184535,,-223034.0,60887.0,-337820,1250172,-838219,-5489206,-179748.0,-816927.0,,-363,,-2133590.0,-526.0,-1528296.0,,,19236.0,15200.0,,,16025.0,-2680415,0.0,,2138019,-43676.0,0.0,,-262000.0,-17533,622.0,-1951806,-22138.0,63686,237.0,5645.0,-3100568,7434221,487532,871144.0,-4977369,420656,-1232036,253751,1834500,,2013年01月01日至2013年12月31日,28854625,29606164,751539,18732093,,13875534,16581199,-4401307.0,977644.0,0.0,-9185208,18732093,-1611,-545546.0,2552450,-7198149,-4645699,0.0,947943,8977.0,150440.0,,424698,1515944.0,0.0,-25483.0,,1136696,-1228802,474815.0,,-2150894,29606164,-1473629,-805221,876641.0,,10269.0,-783763,,,,
2014-05-15,1,2014,2120440.0,,-1493889,386315,,113261,-1563952,14955.0,45513,,,,-101041,267974,-923094,-1389782,,,0.0,0,,-51171.0,0.0,-1146435.0,,,0.0,,-25.0,0.0,13713.0,-1608696,,414458.0,-25172,-38502.0,,50000.0,,3051,-10602.0,1774168,-15141.0,-2929,-15.0,4821.0,-1777658,1776644,167637,,-913550,100007,-263966,108262,358306,,2014年01月01日至2014年03月31日,29606164,34155275,4549111,2779174,,1707589,2650437,,2848035.0,,5542274,2779174,-424,0.0,-1432077,-817100,-2249177,615826.0,254076,36092.0,164722.0,67510.0,4660,,,128261.0,,2377,6629,94862.0,,-128737,34155275,-678882,867304,0.0,-5446.0,-10578.0,1613980,,,,-290190.0
2014-08-14,2,2014,2799846.0,-186412.0,2756362,628960,,529333,292780,-15337.0,68642,,-17650.0,0.0,-224856,536995,-470413,-3665327,-2688.0,,-290975.0,0,,-96835.0,-10.0,-2554009.0,,,0.0,970.0,,0.0,15363.0,1908089,-141590.0,414705.0,-1094756,206725.0,,,-175000.0,31955,-4076.0,-1597133,-29611.0,-10432,-49.0,9431.0,-3629409,3532633,270880,,-2186900,203304,-526669,310092,549384,,2014年01月01日至2014年06月30日,29606164,31430565,1824401,4914938,,9203892,11666547,,,-544315.0,-3279669,4914938,-845,-22189.0,2419637,1532126,3951763,,741061,156213.0,164880.0,69689.0,-106455,-46799.0,,97748.0,,8111,3107,1551245.0,,6751609,31430565,-1935986,887131,80173.0,0.0,,-2789617,,,-48053.0,-331511.0
2014-11-14,3,2014,1531039.0,0.0,3453713,405698,,423597,-80835,-11559.0,64766,0.0,-39394.0,0.0,-363736,793955,-1042527,-6365276,-2688.0,,-290975.0,-978,,-96835.0,-76.0,-4131707.0,,24120.0,0.0,2145.0,,-16021.0,0.0,-2387330,-141590.0,414705.0,1440184,254070.0,,,-329000.0,13967,1101.0,1251953,5487.0,3506,-38.0,-5096.0,-5140570,5367811,261039,,-4655538,307481,-767678,358831,2134649,,2014年01月01日至2014年09月30日,29606164,36648439,7042275,11004342,,14625529,17629604,-2944137.0,1470691.0,,-1400157,11004342,-455,-610535.0,5569977,-475754,5094223,2557391.0,945517,221358.0,164880.0,368336.0,-74891,-46799.0,,44297.0,,31260,27024,2383787.0,,6625262,36648439,-2236397,567167,104339.0,,,-2571952,,,,-616849.0
2015-03-24,4,2014,2027674.0,0.0,3153390,-40775,,1660993,205682,-11950.0,41628,59819.0,-558559.0,0.0,-488171,1075314,-2940203,-9238179,-6853.0,0.0,-290975.0,0,,-96835.0,-289.0,-5339341.0,,-54447.0,0.0,2609.0,,-31008.0,0.0,-5358204,-141590.0,414705.0,616059,205265.0,,,-452000.0,24936,-2289.0,-1217856,25518.0,-1768,12.0,-1898.0,-7121493,7226528,340355,350808.0,-6154285,423738,-1072428,481295,2418254,,2014年度,29606164,34794727,5188563,15874379,,13757630,17541151,-2944137.0,1782383.0,,1492629,15874379,46267,-610535.0,5644506,-6005408,-360902,2233857.0,1135966,276176.0,164880.0,370618.0,-48835,-46799.0,,42846.0,,53479,134840,4006401.0,,1666772,34734908,-2711093,610698,0.0,-176284.0,,455212,,,,-628942.0
2015-05-15,1,2015,,-607000.0,-2547879,649428,,124588,-836970,25228.0,47234,59157.0,,,-117241,273559,565436,-3055022,,,-314198.0,-11432,,0.0,,,-281214.0,21940.0,,,-76.0,,3014.0,-37046,,0.0,176197,-132577.0,,483000.0,,10881,-16696.0,3617815,-36493.0,-659,-2.0,,-1264229,1946470,26289,,-1460549,112087,-280659,87256,246794,672847.0,2015年01月01日至2015年03月31日,34794727,39585824,4791097,4350739,-105200.0,5331739,5987724,,1205349.0,,158151,4350739,14690,,-2465458,3429596,964138,0.0,117465,19406.0,0.0,2194.0,43088,,,0.0,,348807,-2427,,1622991.0,1636985,39526667,-375326,-158741,,-29.0,,-923122,,,,-50290.0
2015-08-14,2,2015,,-1112800.0,-1091588,305824,,-520425,-370675,-51401.0,-262,0.0,0.0,115940.0,-243669,574529,1299967,-5795592,0.0,-56844.0,-314198.0,-12753,,0.0,0.0,,-1893192.0,47772.0,,0.0,-1287.0,,44290.0,5308104,-63572.0,0.0,-183570,45972.0,,773000.0,0.0,-6780,-11824.0,-1710424,-20209.0,7220,-35.0,,-3526239,3906901,202201,,-3159198,221544,-565226,347435,413643,928250.0,2015年01月01日至2015年06月30日,34794727,34686431,-108296,10617658,-99913.0,11143636,13348123,,,-3738912.0,-9025660,10617658,31402,-8234.0,-1919529,3721744,1802215,,248962,140850.0,209146.0,6701.0,219795,88007.0,,-125902.0,,1534656,-140772,,2646889.0,2730465,34686431,-1639261,-767468,371550.0,,,-4945661,,,-547765.0,-638842.0
