date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,10946.0,-9666,-7519,-339.0,-101445,1.0,,-522,244,,167028.0,,,248.0,,667.0,,-47,4710,-6576,-206,,0.0,-499,11004,9614,-1504,20257,-18,14665,-1449,2108,,,196839,6923,,939,-4756,47,,,2013年01月01日至2013年03月31日,135438,151742,60,16304,36299,,-14078,-9367,,-150215.0,,-159881,36299,,22663,-79275,-56612,,2814,-1771,26955.0,-36.0,-45666,151742,-2,,0.0,-4403,2694
2013-08-13,2,2013,23067.0,-19385,-1558,-337.0,-47930,,,-699,339,,,167028.0,,0.0,251.0,998.0,,-126,8613,-12986,-2264,,-816.0,-325,-32994,47142,7616,47089,566,-89619,2597,-319,,-302.0,194147,13626,,1913,-8485,126,,,2013年01月01日至2013年06月30日,135438,157484,-82,22046,72356,,11810,20483,,0.0,-151540.0,-170925,72356,,99831,-174771,-74940,0.0,2993,-1514,26955.0,-36.0,-51873,157484,-314,,0.0,-6845,314
2013-11-12,3,2013,33887.0,-29157,551,-338.0,59951,,,-1053,-796,,10002.0,,,253.0,,,,-168,13276,-10301,-3667,,-1217.0,-869,-17899,58029,8862,52716,-229,-48282,3378,-2174,-59.0,-458.0,35380,20228,,2845,-13270,168,,,2013年01月01日至2013年09月30日,135438,272762,-132,137324,97644,,221442,234863,,0.0,-80040.0,-109197,97644,,117631,-14299,103332,0.0,3054,-1257,26955.0,-36.0,137219,272762,-319,,0.0,-8418,-449
2014-03-27,4,2013,45447.0,-35125,-700,-325.0,72356,,,-946,-763,,0.0,92515.0,,,254.0,,,-337,18319,-14931,-6421,-1436.0,-1247.0,-541,-21670,3799,14449,117688,-263,-5136,-3760,1896,,-612.0,114572,26612,,3777,-18401,337,50.0,,2013年01月01日至2013年12月31日,135438,360322,-214,224884,111330,,320408,338809,,0.0,-160040.0,-195165,111330,-50.0,135330,46702,182032,0.0,3902,-2083,26955.0,-36.0,227479,360322,-337,,0.0,3779,2240
2014-05-13,1,2014,10957.0,-31336,-518,-12.0,-1884,0.0,,-30,-188,,,79513.0,,,0.0,,,-161,4082,-3841,-4835,-495.0,,-41,-31513,69262,2906,-32848,342,-4467,8771,-5150,,-124.0,74859,6424,,926,-4129,161,,,2014年01月01日至2014年03月31日,360322,382021,92,21699,32788,,42017,46000,,,-60000.0,-91336,32788,,36764,-34509,2255,,676,-365,0.0,0.0,13212,382021,-15,,,-78,-2214
2014-08-12,2,2014,19848.0,-66957,6277,-12.0,-9580,,-590.0,2353,553,,-73097.0,0.0,,-98100.0,0.0,,,-461,8654,2309,-9513,-492.0,-1399.0,-273,-20350,116317,19238,60247,2239,-67653,3130,-3233,-1489.0,-249.0,-177060,12440,,1872,-8747,461,,,2014年01月01日至2014年06月30日,360322,393182,92,32860,78425,,173868,194167,,50700.0,0.0,33743,78425,,203542,-107648,95894,50000.0,6131,-2357,0.0,0.0,115742,393182,-12013,-119.0,,-9026,-2868
2014-11-12,3,2014,33045.0,-69457,955,-12.0,-8155,,-588.0,3898,1116,,,74668.0,,-1050.0,0.0,,,-609,14350,-3477,-300326,-490.0,-1399.0,636,-2074,26686,6326,77464,1709,-19193,-3404,-7421,-1489.0,-366.0,-222702,18279,,2921,-14479,609,,,2014年01月01日至2014年09月30日,360322,362733,91,2411,132098,,193047,232001,,,-170000.0,35543,132098,,113805,-46947,66858,275000.0,6483,-2623,0.0,0.0,99903,362733,-25084,,,-6327,-2855
2015-03-27,4,2014,46936.0,-71957,20975,-12.0,-2809,,,6577,1247,,,74444.0,,-1050.0,0.0,,-592.0,-865,18126,-17945,-307190,-493.0,-1399.0,3671,-16169,94271,1026,-78019,1000,-63904,-4607,-1954,,-477.0,-230059,24444,,3884,-18232,865,0.0,,2014年度,360322,272090,37,-88232,169589,,126729,169204,,,-170000.0,33043,169589,0.0,43174,-90495,-47321,275000.0,6221,-2361,0.0,0.0,-385,272090,-25108,,,-2299,-2167
2015-05-13,1,2015,,-2500,-13222,0.0,-3470,,,-986,-635,,-120480.0,0.0,,,,,,-237,4502,4824,-20391,0.0,,-531,5984,-24520,25943,87878,-970,9010,2728,2245,,,-138630,6814,,964,-4668,237,,10571.0,2015年01月01日至2015年03月31日,272090,407541,40,135451,57644,-128.0,147757,152211,,124000.0,0.0,121500,57644,,73262,10734,83996,,2241,-2076,,,94567,407541,-23,1095.0,,-5128,-733
2015-08-12,2,2015,,-5000,-6555,0.0,-10643,,,-1001,581,,-464382.0,,,0.0,,,0.0,-642,10700,7932,-66318,0.0,-1238.0,-571,-25789,47026,-28032,111192,9012,-21655,4145,7477,0.0,,-528586,14703,-4962.0,2009,-10700,642,,28827.0,2015年01月01日至2015年06月30日,272090,397316,-9,125226,105120,-297.0,176880,208295,,474000.0,,469000,105120,,131860,-57512,74348,0.0,3352,-2140,,,103175,397316,-21357,4777.0,,-6666,515
