date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他非流動資產增加,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非金融資產減損損失,預付設備款增加,預收款項增加－處分資產
2013-05-09,1,2013,26735.0,0.0,-17350,12619,2076,-2254,-2919,0.0,,,,,-89,1622,10113,-9401,,,4149,,,,,-14039,21708,0.0,-14985.0,-3444,2487,-14441,131.0,-15543,18337,316.0,-1596,89,,,2013年01月01日至2013年03月31日,144390,245562,,101172,-18212,,8940,10447,59997.0,,-30000,97662,-18212,,28760,-26836,1924,100000.0,,,28659,245562,,,2400,-6142.0,
2013-08-09,2,2013,51500.0,,-36044,6637,-103,-482,-3863,,,639.0,0.0,15618.0,-392,3650,6351,-37266,,,3961,,,,,-22712,22907,0.0,-14985.0,154,13971,9606,508.0,-27918,35897,,-3491,392,,,2013年01月01日至2013年06月30日,144390,243099,,98709,-33716,,41308,44407,59997.0,0.0,-30000,78968,-33716,,29724,-3101,26623,100000.0,,,78123,243099,,,7745,-6270.0,
2013-11-08,3,2013,72026.0,,-55627,1339,-39,38470,-3671,,,884.0,0.0,15618.0,-540,5088,3950,-81069,,,3647,,,,,-47449,16848,0.0,-14985.0,1479,19288,28184,923.0,-72912,53196,,-5229,540,,,2013年01月01日至2013年09月30日,144390,205172,,60782,-52350,,70359,75048,59997.0,0.0,-30000,59385,-52350,,59059,-3687,55372,100000.0,,,127398,205172,,,9751,-7461.0,
2014-03-28,4,2013,186694.0,,-71100,17479,-57,-197,-407,,0.0,1128.0,-25316.0,15618.0,-763,6875,8141,-117789,,,2854,,,,,-63507,2647,0.0,-14985.0,-2995,-11548,56864,1328.0,2784,69310,,-7016,763,,,2013年01月01日至2013年12月31日,144390,204629,,60239,-174646,,5402,11655,59997.0,0.0,-30000,43912,-174646,,18262,-18655,-393,100000.0,,,186301,204629,,14246.0,93044,-14124.0,144395.0
2014-05-14,1,2014,-422150.0,,-13862,-27199,27,909,-21285,,,-448301.0,,,-68,1876,3631,-31100,,,1922,,,,,73444,-17616,,0.0,-7059,-25021,38135,366.0,358841,8629,250.0,-1799,68,,,2014年01月01日至2014年03月31日,204629,534985,,330356,320926,,-88254,-86523,0.0,70000.0,0,56138,320926,,-50599,65300,14701,0.0,8929.0,389941.0,-407449,534985,,,4613,0.0,
2014-08-13,2,2014,-403154.0,,-27782,-24737,54,3863,-15081,,,-448301.0,,0.0,-1696,3517,2447,-33854,-54382.0,,8814,,,,,101507,-15921,,0.0,-3282,-28190,37220,791.0,301086,20970,,-3540,1696,,,2014年01月01日至2014年06月30日,204629,443279,,238650,241673,,-107101,-105257,0.0,200000.0,-130000,42218,241673,,-39286,95510,56224,0.0,8929.0,389941.0,-346930,443279,,,4613,-619.0,
2014-11-13,3,2014,-372305.0,,-41759,-13223,14,2187,-17404,,,-448301.0,,6824.0,-4231,5158,7701,-47741,-55772.0,,5446,,,,,37493,15456,,0.0,-3796,-12870,37931,1182.0,288875,33175,,-5206,4231,5.0,,2014年01月01日至2014年09月30日,204629,384561,,179932,181425,,-144885,-143910,0.0,300000.0,-230000,28241,181425,-5.0,1806,45164,46970,0.0,8929.0,389941.0,-325335,384561,,,27524,-4382.0,
2015-03-27,4,2014,-343867.0,,-55793,-11877,-2872,-739,-70590,,,-448301.0,0.0,6824.0,-5903,6751,33311,-74373,,,7096,452.0,,-12673.0,,-36099,-1292,,0.0,-8456,25594,14121,1576.0,291878,34821,,-6795,5903,5.0,,2014年度,204629,384526,,179897,275417,,-159951,-159084,0.0,470000.0,-400000,14659,275417,-5.0,-20788,-69846,-90634,0.0,10424.0,402563.0,-434501,384526,25.0,6991.0,44259,-30468.0,0.0
2015-05-13,1,2015,,,-14092,-6770,-248,988,19119,,,0.0,,,-1148,1521,1220,-325,,,2996,,,,318.0,-33272,2163,,,1505,8284,-3872,,-5770,8368,,-1464,1148,,24051.0,2015年01月01日至2015年03月31日,384526,332842,,-51684,-45099,425.0,-33042,-32726,,100000.0,-100000,-14092,-45099,,-1689,-9989,-11678,,0.0,0.0,12373,332842,,1441.0,10873,-5763.0,
2015-08-12,2,2015,,,-27409,-4798,-208,-132,21892,,,0.0,,,-2555,2836,4165,-247,,0.0,5629,,-442.0,-202.0,,-36636,-7996,,,1306,13418,-8365,,-7694,16557,,-2867,2555,,39785.0,2015年01月01日至2015年06月30日,384526,209443,,-175083,-92381,807.0,-73703,-73308,,130000.0,-200000,-97851,-92381,,-10813,-9899,-20712,,0.0,0.0,19073,209443,-83.0,1441.0,15877,-7245.0,
2015-11-11,3,2015,,,-42450,-3602,29293,414,21306,,,0.0,,0.0,-3260,3890,-492,-861,,0.0,18730,,-1594.0,,12410.0,-42070,8327,,,29,-3684,-9257,,-4028,25097,,-3968,3260,0.0,213902.0,2015年01月01日至2015年09月30日,384526,182672,,-201854,-268337,1181.0,-53290,-52498,,145000.0,-245000,-144044,-268337,0.0,6349,-4412,1937,,0.0,0.0,215839,182672,-84.0,1441.0,168004,-15577.0,
2016-03-23,4,2015,,,-55053,-7298,27459,464,17807,,,0.0,,0.0,-3634,4685,3378,-50715,,,29555,0.0,-1594.0,-1000.0,12930.0,7077,-9708,,,4394,-4059,-21566,,-38778,33470,,-4776,3634,7.0,200505.0,2015年度,384526,112124,,-272402,-293414,-793.0,-80355,-79132,,145000.0,-245000,-156647,-293414,-7.0,-12941,26718,13777,,0.0,0.0,214282,112124,-81.0,1441.0,134995,,
2016-05-11,1,2016,,,-11842,-4170,45,1,-2181,,,,,,-88,699,-2100,-6726,,,0,,,,392.0,11730,2847,,,1089,-4007,14480,,-6334,9764,,-720,88,,12764.0,2016年01月01日至2016年03月31日,112124,73480,,-38644,-50336,2.0,-18368,-17736,,0.0,0,-11842,-50336,,-231,20067,19836,,,,32600,73480,,0.0,2389,,
2016-08-11,2,2016,,,-23752,-193,143,265,4663,,,,,,-116,1366,-7209,-6814,,,23110,,0.0,-7.0,400.0,3137,6245,,,-4693,649,14207,,-6421,18146,,-1355,116,,38459.0,2016年01月01日至2016年06月30日,112124,63739,,-48385,-99508,-3114.0,-41003,-39740,,30000.0,0,6248,-99508,,-1490,22799,21309,,,,59768,63739,-24.0,0.0,-4047,,
2016-11-11,3,2016,,,-35727,-2778,247,-122,429,,,,,,-122,2085,6181,-19134,,,24294,,0,-4,1000,22592,-2370,,,-3046,6436,11096,,-18130,27674,,-2100,122,8,45925,2016年01月01日至2016年09月30日,112124,26957,104,-85167,-139562,-4335,-67491,-65488,,30000,0,-5727,-139562,-8,-12651,40800,28149,,,,74074,26957,-25,0,-8102,,
