date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得子公司股權,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付建造合約款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-13,1,2013,49880.0,0.0,-22000,-14056,1078,19992,4834,,,,-22576,,,-3083,3316,62330,-17598,,,,,2736,,,170875,-8119,,20019.0,,-149674,-53142,,88849,753.0,-37091,31044,51,2025.0,153.0,,3083,,2013年01月01日至2013年03月31日,972271,1035484,63213,-19361,,84942,91960,,-42052.0,,-46968,-19361,-151104,212545,61441,,0.0,0.0,833.0,1739.0,,111321,1035484,-7018,-2880.0,,,13997.0,0.0
2013-08-12,2,2013,72741.0,,-61600,3933,2002,15684,-232128,,,,3469,,,-8374,6338,98149,-28509,0.0,,,,660,,,161707,79443,,-9975.0,,-127154,-140140,,75893,1189.0,-15493,62520,611,3048.0,314.0,-6653.0,8374,,2013年01月01日至2013年06月30日,972271,876695,-95576,53759,,-55905,-32460,,-26162.0,,-122327,53759,-26905,-132055,-158960,0.0,1173.0,0.0,9730.0,1800.0,,-86219,876695,-23445,-2746.0,,-17937.0,,-549.0
2013-11-12,3,2013,81120.0,,-83600,19204,-6600,26990,-544184,,,,-8304,,,-14558,9386,70331,-39969,0.0,,,-222.0,-651,,,159198,105056,,-49947.0,,-100087,-111875,,94124,1727.0,-27851,93412,2548,5194.0,481.0,-9017.0,14558,,2013年01月01日至2013年09月30日,972271,659451,-312820,152770,,-151927,-120009,-56946.0,14074.0,,-203373,152770,52890,-406789,-353899,0.0,6086.0,0.0,9810.0,0.0,,-272779,659451,-31918,-2588.0,,-17937.0,,-19366.0
2014-03-27,4,2013,123152.0,,-166911,-12398,3010,21966,-534039,,,,2731,,,-20743,12407,106926,-59580,0.0,,0.0,-377.0,-1639,,,78937,82058,,30000.0,,-122152,-115286,,66130,2226.0,-34983,119975,2133,9460.0,513.0,-12617.0,20743,,2013年01月01日至2013年12月31日,972271,582303,-389968,203141,,-243308,-201122,-56946.0,-21972.0,,-218603,203141,-28300,-499115,-527415,27780.0,1500.0,0.0,9965.0,2246.0,,-404263,582303,-42186,-3894.0,10226.0,-17937.0,-15364.0,0.0
2014-05-13,1,2014,46949.0,,-32132,10611,20256,-4628,82492,0.0,,,-410,,,-9619,4514,26,-44009,-27.0,,,,1815,,,129028,-48467,621.0,-30000.0,,-53150,-30040,-320.0,54140,558.0,-42044,32087,412,1916.0,168.0,-4063.0,2402,,2014年01月01日至2014年03月31日,582303,780652,198349,23774,,226392,232236,,80170.0,,13975,23774,-94455,255968,161513,,,,43.0,223.0,,208462,780652,-5844,-2667.0,,,,18469.0
2014-08-12,2,2014,85160.0,,-102259,32878,17025,-9270,12924,0.0,,,-16484,,,-14382,7868,-45499,-61258,-27.0,,,,2124,,,115832,-27161,-3112.0,-50000.0,,-4717,-101996,-654.0,34385,1141.0,-9203,63112,-9354,3553.0,267.0,-7003.0,8453,,2014年01月01日至2014年06月30日,582303,614927,32624,103207,,225449,246288,,39760.0,,-138123,103207,-10241,68162,57921,,200.0,1057.0,300.0,2937.0,58856.0,143081,614927,-20839,-3136.0,2450.0,-18621.0,20067.0,0.0
2014-11-12,3,2014,95925.0,,-128699,28412,14595,-5244,26863,,,,-11607,,,-21233,10299,7123,-71169,-27.0,,,0.0,-945,,,175030,-56768,-448.0,-49984.0,,49907,-163383,-751.0,-6352,1676.0,-6431,94499,-5749,3553.0,368.0,-11371.0,16259,,2014年01月01日至2014年09月30日,582303,769774,187471,190652,,306002,344365,-66437.0,155889.0,,-119223,190652,17535,40253,57788,,200.0,1057.0,324.0,3261.0,58856.0,153713,769774,-38363,-1846.0,2450.0,-18621.0,5195.0,
2015-03-27,4,2014,165147.0,,-193212,-1212,26906,-13959,-185039,,,,-4244,,,-28708,12008,68518,-87363,-27.0,,,0.0,9368,,,192587,-33135,,-100657.0,,-22519,-85347,,7038,5141.0,19390,136212,-5388,3843.0,506.0,-10480.0,28708,,2014年度,582303,685304,103001,222228,,214593,272448,-66437.0,89907.0,,-199500,222228,-65684,-49243,-114927,100000.0,22669.0,1057.0,7420.0,2877.0,58590.0,50220,685304,-57855,-1763.0,7937.0,-18621.0,,15447.0
2015-05-12,1,2015,,,-15650,-14990,-4035,-1912,11292,,,,-7765,,,-8357,3481,-26764,-2536,-3343.0,-20313.0,,-4283.0,2283,,,8484,-28700,,-29978.0,,-36366,23817,,74830,,-16363,27059,-148,0.0,61.0,-4547.0,1564,21072.0,2015年01月01日至2015年03月31日,685304,670527,-14777,24424,432.0,76484,78200,,22354.0,,-48134,24424,-81536,114240,32704,,,,26.0,0.0,,53776,670527,-1716,-580.0,,,,-2901.0
2015-08-12,2,2015,,,-56603,5312,-6665,-6634,17114,,,,-4062,,,-16996,5587,-63439,-30438,-3343.0,-20313.0,,-4283.0,6158,,,-14990,-47239,,-29978.0,,39431,99948,,103395,,-33107,56178,497,0.0,139.0,-6670.0,9019,51112.0,2015年01月01日至2015年06月30日,685304,721485,36181,46248,870.0,278544,288399,,-13660.0,,-145817,46248,-8260,199299,191039,,0.0,0.0,365.0,-292.0,0.0,242151,721485,-9855,1710.0,0.0,-18593.0,,-1737.0
