date,season,year,不動產及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,保證責任準備淨變動,備供出售金融資產減資退回股款,償還金融債券,償還長期借款,其他各項負債準備淨變動,其他符合國際會計準則第七號現金及約當現金定義之項目,其他負債增加,其他負債減少,其他資產增加,其他資產減少,其他金融負債增加,其他金融負債減少,其他金融資產增加,其他金融資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工福利負債準備增加（減少）,因合併產生之現金流入,央行及銀行同業存款增加（減少）,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,庫藏股票買回成本,應付商業本票增加,應付商業本票減少,應付款項增加（減少）,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行金融債券,短期借款增加,短期借款減少,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產及設備損失（利益）,處分承受擔保品,處分承受擔保品損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,調整項目合計,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,長期應收租賃款增加,長期應收租賃款減少,附買回票券及債券負債增加,附買回票券及債券負債減少,附賣回票券及債券投資增加,附賣回票券及債券投資減少,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-24,1,2013,,-4722839.0,516.0,,,,-2848859,8171,,412010.0,0.0,-404371.0,0.0,192420,0.0,-580680,,-6381438,2537903,145358,-127679,-11117,-89704494,,-469197814,,-27103,,,224359,-56961,,-9540829,-4021506,35279422,,2448147,,-2398587,-20529854,-17112214,179496,453593943,-1115,60084,-2478625,6442400,,,2013年01月01日至2013年03月31日,78661369,68588792,-10072577,3548020,,7484088,3576907,,,,0.0,-33616.0,40022969,2760811,-589809,3548020,,,25225337,-20473611,4751726,2230000,18459,28742,89430709,-237,49038.0,7184.0,-138545,,28887,1012602,25805012,-56594,1942292,3065147,-1276156.0,60423.0,,,,,-2989911.0,-180363.0,0.0,,0.0,-2968.0
2013-08-23,2,2013,,-7100092.0,55916.0,,,,-16645784,5829,0.0,1260323.0,,-2147317.0,,872543,0.0,-637881,,-12969467,5198664,144136,-249418,-117492,-212818789,,-929712763,,-39330,,,429887,-86429,,16404242,-3388513,37924950,0.0,5504582,,-2886870,-42478734,-20145332,356022,942423153,-2184,120410,-5241516,12909183,91646.0,,2013年01月01日至2013年06月30日,72693336,52703066,-19990270,6947125,,3335502,-4526024,,,,0.0,-3407205.0,28483918,1309155,-3324576,6947125,,-89636.0,56515750,-60888807,-4373057,16160000,19318,226608,182611077,-5001,241586.0,4626.0,-267783,,-11473149,-16855554,22909993,102213,5159857,1833994,,121509.0,,,,,-7069035.0,,0.0,,0.0,-2968.0
2013-11-22,3,2013,,-9896295.0,73416.0,-6642.0,,-1400000.0,-15835301,6563,,3316491.0,,-2131305.0,,2628241,0.0,-3184553,0.0,-19743620,7894005,-7200,-406883,-212771,-321396349,,-1382344849,,-66854,,,1588929,-110021,,13294,1698669,51489624,,5325363,,-4945947,-47559725,-6682661,531531,1393344177,-4464,181343,-8070684,19690010,111996.0,,2013年01月01日至2013年09月30日,72693336,72051770,-641566,9816404,,2264080,-9148460,,-2534475.0,1500000.0,0.0,-2434337.0,40968168,3009784,3784215,9816404,,-114943.0,49154453,-58223022,-9068569,16160000,18331,359689,311260891,342,241151.0,4637.0,-286159,,-18964864,-13163299,28073818,-318782,2707503,801333,,55151.0,,-2236752.0,,,-3001767.0,,0.0,60000.0,0.0,-2968.0
2014-03-21,4,2013,,-12504760.0,72900.0,-11378.0,,-1400000.0,-29394800,7701,,1741442.0,0.0,,585991.0,2490055,0.0,-11453525,,-26819932,10720682,156806,-655639,-243043,-447523283,-713.0,-1830930309,,-87233,,,3281735,-33669,,17134979,7404114,60517841,,5425764,,-2635469,-64226564,-13937212,710060,1846498083,-6091,242966,-10808691,26749210,124994.0,,2013年01月01日至2013年12月31日,72693336,67453180,-5240156,12501403,,635752,-15115866,,-2534475.0,3497948.0,0.0,-1643076.0,28355041,2657521,7904498,12501403,,-122676.0,78968497,-94081006,-15112509,32172000,311972,468228,432347840,-199034,242501.0,4989.0,-495414,,-27617269,-39898535,36440618,-313895,3984815,2639979,,173915.0,,-3570982.0,,,-2510360.0,,0.0,60000.0,12376.0,-4659.0
2014-05-23,1,2014,,-3726656.0,0.0,111968.0,,-3600000.0,-13917964,-262,,4564167.0,,-7185037.0,,3533830,,-28791701,,-7514929,3118934,127524,-153427,-711,-99419995,,-461034062,-483189.0,-27363,-1502875.0,,426533,-93029,,5091842,-625942,49494051,,10436807,,-2487904,-13276167,-14791991,175385,485409110,56051,62503,-2883700,7445484,4632.0,,2014年01月01日至2014年03月31日,67453180,109498974,42045794,4283442,,42068264,37649523,,,1999661.0,,-688250.0,57663348,9798545,14641997,4283442,,-9042.0,61343555,-24250818,37092737,12765000,27323,33570,97918046,-900,0.0,0.0,-29552,,33366081,9857354,42037081,-147675,9338595,-20206063,,0.0,-123345.0,0.0,642450.0,,-451254.0,-224130.0,,,,0.0
2014-08-22,2,2014,,-5745737.0,21795.0,118481.0,,-3600000.0,-24346612,4574,,0.0,-138609.0,-10404169.0,,7912162,,-21718975,0.0,-15410562,6466212,-29819,-301550,-58546,-183991791,,-909196860,-483189.0,-49408,-1804375.0,,2894977,-94054,,-8694347,-2664678,26617798,,11016740,,1023339,-24414442,13063305,349631,950838541,70730,125793,-6190481,15063684,79791.0,,2014年01月01日至2014年06月30日,67453180,104382889,36929709,9151790,,1603574,-6554780,,,4498317.0,,-1514645.0,55344269,26502211,22292649,9151790,,-132352.0,26383841,-36344674,-9960833,24460000,20600,92566,190162964,479,0.0,411.0,-145815,,-15706570,15684342,22536409,-794640,7531105,-24949896,,-88296.0,,0.0,15504.0,4005296.0,0.0,-79802.0,,,,0.0
2014-11-21,3,2014,,-10999935.0,33045.0,129788.0,,-3600000.0,-34618134,5120,,1266408.0,,-4764708.0,,9889559,,-5665337,,-23283274,9663910,100557,-439409,-71637,-283130868,,-1376138064,-483189.0,-107240,-1951522.0,,2866351,-92518,,-17590103,-4272920,874044,,11613715,,2115299,-28441817,18303485,521742,1410988894,86203,190947,-9399700,23034039,466834.0,,2014年01月01日至2014年09月30日,67453180,89787051,22333871,13658139,,-34202304,-46869766,,0.0,7076676.0,,-4548924.0,48573240,21409843,38132133,13658139,,-468838.0,-7657608,-41870362,-49527970,34985000,131522,316459,278831564,-67244,108694.0,6877.0,-480724,14553.0,-60527905,15716481,19803968,-1433711,7035670,-24872106,,0.0,-134722.0,0.0,710530.0,16067833.0,0.0,-79802.0,,0.0,0.0,-36071.0
2015-03-20,4,2014,,-12192935.0,91997.0,114258.0,,-3600000.0,-44145627,8483,,0.0,-264641.0,-5255671.0,0.0,9173233,,0,2359049.0,-30981428,12840730,331881,-654218,-15780,-590428065,-1067.0,-1622867177,-483189.0,-225278,-1984585.0,,5314828,-119137,,-17982826,-5039713,26876274,,9576381,,555756,-25243433,15066758,697095,1791145052,106842,259699,-12543969,30724126,183526.0,,2014年度,67453180,118629908,51176728,14849932,,-12307724,-29277688,6600000.0,-2749591.0,7074819.0,,-1451238.0,51971080,21133623,48085813,14849932,102570.0,-181298.0,19393576,-51328261,-31934685,46210000,172641,364361,442900506,-64458,117191.0,6842.0,-517969,14553.0,-44127620,14069314,45525205,-1393719,10063509,-35114429,,73362.0,-199122.0,-93555.0,,21662477.0,0.0,-90007.0,,0.0,262702.0,-36071.0
2015-05-28,1,2015,,,,-19599.0,,-5000000.0,-12017008,2693,,2074857.0,,-1387164.0,,2734080,,-1247575,,-7648229,3237056,-96395,-128473,-54544,-504902678,-40410.0,-7334500,0.0,-11736,,-353282.0,-631378,-109196,,2572683,1969974,4050959,,4782315,,-1888204,-4489667,1456890,172936,2239910,15162,69369,-3270004,7482549,4724.0,-5032120.0,2015年01月01日至2015年03月31日,118627846,119857294,1229448,4338809,230000.0,-8679343,-12720204,,,0.0,8173523.0,0.0,65378426,20641801,8548296,4338809,,-8355.0,1429639,-13456532,-12026893,11720000,4755,42272,513737237,277,,,-171011,,-17059013,-7146722,33837067,-176408,-3196603,-3790117,,,-51041.0,,583078.0,,-3919471.0,0.0,80000.0,,,
2015-08-21,2,2015,,,9177.0,-14286.0,,-7200000.0,-27422590,1871,,589995.0,0.0,0.0,345940.0,331032,,-4014497,,-15221906,6532730,-188078,-284573,-449381,-998050798,-40410.0,-20819917,0.0,-25388,,-997782.0,-441877,-134912,,3789874,-5933044,6996411,,3391469,,669686,26138642,-7750101,347279,2789356,24142,139976,-6713779,15374439,89237.0,-9259762.0,2015年01月01日至2015年06月30日,118627846,102572407,-16055439,7682681,230000.0,-966867,-8320054,,,0.0,4909437.0,0.0,61431497,11441283,-7150393,7682681,,-128275.0,2695910,-9438883,-6742973,24680000,355432,318340,1012475550,-144484,,0.0,-323890,,-16002735,-27072797,29699627,-1396710,-8625149,-2571684,,-31042.0,,,579379.0,0.0,-6429736.0,-170529.0,,,,
