date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-15,1,2013,,-774191.0,,,-4741582.0,,-202474,43095,,18515,78653,277485,,,,-4923,95644,-102521,-98340,,-1098.0,0.0,-324692,0,-2563,,-10,53824,,-740718,426083,,,114613.0,1118824,-63569,,-200240,,-387346,-73951,,-395721,63798,,-932461,4274,-85504,,4923,,,2013年01月01日至2013年03月31日,2446884,2284006,-162878,999649,,-745702,-665110,,,,-600000.0,1081066,999649,,353306,-1243874,-890568,5250000,4928,1185.0,6344,,-61,,,,,31,,,,-1664759,2284006,-11,-1526,,,1521.0,-478.0,-162199
2013-08-14,2,2013,,-2095452.0,,-2787.0,,-4814369.0,16488,-33214,,35692,61975,243271,,,,-10117,192834,-88192,-219268,,,0.0,-1132492,0,-5440,,-964,72377,,-1454493,699134,,,-168188.0,209874,190292,,-309660,,-435762,-282010,,-1195021,129242,102201.0,-2410053,8550,-175445,0.0,10117,-36237.0,,2013年01月01日至2013年06月30日,2446884,1571595,-875289,2570307,,-1443175,-1163218,,,630000.0,,1851099,2573094,,799701,-2437774,-1638073,5753217,5848,1185.0,17253,,-60,,,,,-3128,,,,-3733525,1571595,-78392,-800,,,,-956.0,-165906
2014-01-23,3,2013,,-3454182.0,,15479.0,,-7205432.0,24949,50122,,45083,69253,32584,,,,-14303,284161,-95595,-474316,,0.0,0.0,-2310589,-2500000,-5488,,-1017,78859,,-1834075,955671,,,-84017.0,39982,200619,,-81828,,150450,-312489,,-4983573,193563,102201.0,-3893611,12621,-255468,0.0,14303,697007.0,,2013年01月01日至2013年09月30日,2446884,3037137,590253,4282570,,298581,-47446,6592501.0,-2982194.0,1660000.0,,5370840,4267091,,1166475,-2042309,-875834,7323567,24926,8323.0,20209,,-14687,36545.0,,33018.0,,-4755,36515.0,-13022.0,,-4330016,3037137,-109815,-1698,,-136443.0,,-1434.0,-47073
2014-03-18,4,2013,,-30331203.0,,15479.0,,-7427907.0,395891,-92675,52619.0,-60007,538946,-156588,-18152.0,,,-30096,391628,-123243,-512160,-532.0,-311295.0,0.0,-3477767,-3130908,-4309,,-1182,87519,,-3172407,983514,6427.0,,6944.0,774387,509399,-7980.0,-35079,,-51838,-363018,,-6221283,277877,102201.0,-30896535,17761,-421081,0.0,30096,697007.0,,2013年01月01日至2013年12月31日,2446884,3816666,1369782,31600188,,4988,-128341,6592501.0,-2982194.0,1032000.0,,7709320,31584709,,2414989,-3812315,-1397326,9769457,50955,3487.0,69323,,39,,,33018.0,-14728.0,-46171,1016711.0,-23954.0,,-31728529,3816666,-172693,-1517,,-136443.0,,-4325.0,6671
2014-05-15,1,2014,,-851926.0,,,,-3854658.0,-149144,52376,-3987.0,-1653702,226728,119028,,,,-15260,109832,-153625,-36804,,-211860.0,,-939166,-725176,-2451,,181,-40952,,-201110,-41765,-5571.0,-228389.0,,679358,-563879,-4167.0,43945,,261991,256263,,-3343585,63540,,-981623,4963,-115731,,15260,,,2014年01月01日至2014年03月31日,3816666,2962102,-854564,1053004,,-304308,-203226,,,530000.0,,2946954,1053004,,-766187,361883,-404304,5633206,10605,0.0,168384,,-86,,,,,-14190,46585.0,-21076.0,,-1256230,2962102,-611,35,,,1758.0,,-166623
2014-08-14,2,2014,,-1938112.0,,0.0,,-7211426.0,7465,-15480,,-1574944,178713,-36761,,,,-29441,216608,-43605,-50217,-70818.0,-210833.0,,-1943900,-742295,-9099,,-89,-36499,,-653029,70027,,-276325.0,,1024820,-465267,,-97302,,207392,323302,,-3739683,128902,0.0,-1974708,7765,-225291,,29441,0.0,,2014年01月01日至2014年06月30日,3816666,3558100,-258566,2587157,,-634165,-228357,,,-825000.0,,4158887,2587157,,-485387,-392015,-877402,10571129,10715,48930.0,756193,,-81,18453.0,,,,-265104,28132.0,-21076.0,,-2815514,3558100,-209958,68,,635863.0,,-956.0,-120137
2014-11-14,3,2014,,-4820711.0,,0.0,,-12218194.0,93596,69563,,-1573993,218479,90853,,,,-41034,311354,58393,-81101,-70818.0,-210833.0,-95548.0,-3144392,-742295,-13368,,-64,43936,,-1337604,173042,,-315089.0,,775076,-458575,,-264271,,189935,345107,,-4659102,195048,0.0,-4523709,12507,-345723,,41034,1384097.0,,2014年01月01日至2014年09月30日,3816666,2519234,-1297432,5641652,,256086,-520271,0.0,-5244845.0,265000.0,,3047191,5641652,-201257.0,-288547,-1052665,-1341212,19349541,12183,48930.0,1067424,,798,18453.0,39912.0,0.0,0.0,-553297,30708.0,-20015.0,,-6161923,2519234,-303051,73,,132313.0,,-1115.0,-146248
2015-03-25,4,2014,,-6336093.0,,0.0,,-15346991.0,175000,6799,-230930.0,-1579515,302104,37390,-4481.0,-44946.0,,-53030,422767,-252762,-866066,-71291.0,-210833.0,-141369.0,-3881444,-742295,-14973,,541,118782,159501.0,-1522196,294043,-6140.0,-401149.0,,984375,-547089,-8263.0,192257,-46602.0,-20552,313707,,-5583665,262556,416036.0,-6206320,18579,-575210,,53030,1384097.0,,2014年度,3816666,2108863,-1707803,7423808,,70944,-474527,0.0,-5244845.0,-1039000.0,,4057680,7423808,-201257.0,-195975,-1366267,-1562242,23627293,41373,48930.0,1067422,,-5575,18453.0,967122.0,0.0,0.0,-553297,30708.0,-20015.0,329.0,-7898335,2108863,-316446,73,,132313.0,,-1115.0,-51194
2015-05-13,1,2015,,,,,,-590244.0,-99062,47100,242427.0,7430,93549,31399,39509.0,-9409.0,,-7679,60974,140925,-38533,,-432000.0,,-1230639,0,-1859,,-560,26142,50965.0,-565642,-474677,-1759.0,237341.0,,-184321,-289424,396.0,-489090,-19838.0,179740,170412,,-1415465,66164,,-1595299,2707,-128500,,7679,,-1561426.0,2015年01月01日至2015年03月31日,2108863,1832326,-276537,1736212,,-996782,-861104,,,17000.0,,1994785,1736212,,-494127,-541763,-1035890,2726208,36523,,0,-40310.0,89935,,,192648.0,-177176.0,0,0.0,0.0,,-2597316,1832326,-14857,0,39818.0,,,0.0,-128862
2015-08-13,2,2015,,,,,,-2755625.0,-39617,25168,243950.0,15058,253765,-11589,47194.0,-6970.0,,-20339,147952,65635,-49934,0.0,-432000.0,,-1742100,0,-15555,,811,65245,112280.0,-814788,-635919,-2761.0,66237.0,,-334806,-276450,-2127.0,-503037,1447.0,123933,105756,,-1285614,176318,,-3242413,6364,-281513,,20339,713.0,-3019634.0,2015年01月01日至2015年06月30日,2108863,3160938,1052075,3412975,,-1542973,-1093706,,,407000.0,,3815027,3412975,-713.0,-589678,-897369,-1487047,6561880,185215,0.0,0,-39455.0,89200,0.0,,641422.0,-177176.0,0,0.0,0.0,,-4506681,3160938,-188806,-1,39818.0,-128667.0,,0.0,-61239
