date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產減少,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付款項增加,應付款項減少,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少
2014-11-13,1,2013,131871.0,,,,-7548,-7214,23000,,,-8201,22949,-11099,16887,0.0,,-165,9664,3676,-7503,,,94335,951.0,,-561,855,17024,-15111,,,-15113,0.0,18847,0.0,-2020,,-1539.0,-58020,27573,464,-9412,165,,,2013年01月01日至2013年03月31日,69662,42391,-27271,-140074,,3151,3155,,,203864.0,-186933,23922,-140074,,-47178,58536,11358,,,,,,,,,143229,42391,-4,,,,,-57185.0,1736,-3107.0,3528.0
2014-11-13,2,2013,170350.0,,,,-15097,-4793,82643,-36843.0,,-3655,25928,-3000,10209,0.0,,-386,20144,3096,-8212,0.0,,94587,4063.0,,-2305,2533,26542,6821,,,-35918,0.0,19293,0.0,9842,,-1475.0,-143132,55095,913,-19811,386,,,2013年01月01日至2013年06月30日,69662,62777,-6885,-160001,,63225,63261,,,471731.0,-416760,69926,-160001,,-39020,91932,52912,,500.0,,-3.0,,,,,223262,62777,-36,,,,,-146062.0,10327,-4387.0,7206.0
2014-11-13,3,2013,209849.0,,,,-25360,21321,203063,-136099.0,,-41,26947,-9362,11469,0.0,0.0,-551,30986,-991,-11264,0.0,,95054,4087.0,,-6435,2787,11923,63427,,,-80457,0.0,15217,0.0,13075,,-2614.0,-6729,82534,1376,-30808,551,371.0,,2013年01月01日至2013年09月30日,69662,39291,-30371,-192574,,95240,95283,,,755989.0,-746558,-117891,-192574,-371.0,1636,76372,78008,0.0,509.0,,821.0,,,,,287857,39291,-43,,-142205.0,,,0.0,9210,-4579.0,9224.0
2014-11-13,4,2013,248228.0,,,,-32908,12009,249059,-135708.0,,8839,25439,-74371,62626,0.0,-44220.0,-686,41680,2735,-16844,0.0,,95015,5094.0,-1000.0,-8002,5182,-11667,-8199,,,12770,0.0,11294,0.0,5978,,-2547.0,-70961,109705,1309,-40684,686,372.0,,2013年01月01日至2013年12月31日,69662,36022,-33640,-214001,,99609,99636,,,900850.0,-911841,-65023,-214001,-372.0,22872,42537,65409,0.0,611.0,,1570.0,,,,,313637,36022,-27,7.0,-97885.0,,,,11493,-6846.0,9845.0
2014-11-13,1,2014,21453.0,,,,-314287,-10199,78807,-84271.0,,-8519,-21217,-20504,25147,0.0,,-72,9406,204,-878,,,2075,0.0,,-1500,1723,13362,36267,,,-23491,0.0,19276,0.0,5775,-37.0,-1841.0,31889,27094,467,-10436,72,,,2014年01月01日至2014年03月31日,36022,144701,108679,-8367,,19499,19503,,,307785.0,-240704,57087,-8367,,-7783,14200,6417,320193.0,28484.0,,-17517.0,,,,,27870,144701,-4,,,,,0.0,-2959,-2848.0,2193.0
2014-11-13,2,2014,99229.0,,,,-321787,-27026,78609,-83415.0,,-15976,3436,-28035,54347,587.0,,-289,17717,915,-3351,0.0,,44708,0.0,-97.0,-1500,1723,19750,5293,,,-98651,0.0,27671,0.0,6016,,-3340.0,24567,53454,922,-18907,289,,,2014年01月01日至2014年06月30日,36022,30614,-5408,-69522,,-43636,-43630,,,539003.0,-500853,12746,-69522,,-139700,66363,-73337,320193.0,1165.0,,-1128.0,,27061.0,-16155.0,,25892,30614,-6,,,,,0.0,9490,-30674.0,2955.0
2014-11-13,3,2014,171134.0,,,,-329287,-29075,131791,-83468.0,,-19465,3372,-48789,62026,0.0,0.0,-325,25770,-2201,-34161,0.0,,85105,0.0,-347.0,-1500,1723,32849,-51983,,,-64906,0.0,21799,0.0,10713,,-4836.0,12116,79764,1381,-26703,325,518.0,,2014年01月01日至2014年09月30日,36022,33316,-2706,-133292,,-49906,-49903,,,830992.0,-805886,37285,-133292,-518.0,-170265,82520,-87745,320193.0,3987.0,,-3915.0,,27015.0,-16128.0,,83389,33316,-3,,0.0,,,0.0,13787,-32402.0,33374.0
2015-03-30,4,2014,212307.0,,66.0,,-336787,-23835,160950,-143843.0,,-6004,1638,-51185,68397,0.0,0.0,-661,34179,-7574,-37064,0.0,,89374,0.0,-348.0,-1500,1723,22082,-14811,,,-92921,0.0,45444,0.0,9911,,-7467.0,10269,107504,1853,-35129,661,518.0,,2014年度,36022,28432,-7590,-159023,,306,311,,,1004722.0,-980349,-10591,-159023,-518.0,-145038,92065,-52973,320193.0,3987.0,,-3915.0,,27187.0,-16230.0,,159334,28432,-5,721.0,0.0,,,,12990,-41604.0,39083.0
2015-05-14,1,2015,,,,,-7500,18689,46223,0.0,,-269,2097,-85366,0,,,-57,8650,-1480,-2342,,,450,,,-921,0,10988,-15147,288600.0,,-31564,,20563,,-1606,0.0,,-80970,27770,477,-9411,57,,16111.0,2015年01月01日至2015年03月31日,28432,149809,121377,-9909,-3882.0,3524,3524,,,,-120409,200303,-9909,,-32173,29495,-2678,0.0,7514.0,,-21179.0,,,,,13433,149809,0,,2800.0,,,,-2547,,88.0
2015-08-13,2,2015,,,,,-15000,26080,86608,-91539.0,-323.0,2726,2225,-107786,0,0.0,,-1066,21137,1371,-2442,,,196,,-1993.0,-3233,0,3778,-9422,,,-45658,,9981,,758,,,-89583,55898,946,-17395,1066,,56105.0,2015年01月01日至2015年06月30日,28432,247992,219560,-46523,-7929.0,-13401,-13013,288600.0,120000.0,,-50908,321173,-46523,,-34203,11608,-22595,0.0,18676.0,,-21006.0,,,,,33510,247992,-388,,2800.0,,,,-4811,,4136.0
