date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他借款增加,其他借款減少,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票處分,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-14,1,2013,,-3227.0,-168.0,,,23875,0.0,164,-4,,-2819,0,0.0,531.0,0.0,,,-176064,,,,,,-989,1441,-828,-17437,,,,-19572.0,-77.0,,323,,-17363.0,,-205892,,,-4346,0.0,,-20034.0,17444,11237,0.0,-59037,,164.0,-59281,3041,,-27203,142,-1489,989,,,2013年01月01日至2013年03月31日,523559,403675,-119884,-9894,,-31195,-30419,,,,-8701.0,-28580,-9894,,415599,-432897,-17298,0,124.0,,-112,,0.0,,0.0,-20525,-8,403675,-276,,20530,,-3832,-5033.0,,381289
2013-08-14,2,2013,,3891.0,,5003.0,,93423,0.0,180,37,,-3245,-289,,,,,,-429620,0.0,-14203.0,,531.0,,-2348,3134,3856,-17938,-34334.0,0.0,0.0,,-95.0,0.0,1013,,-5059.0,,-280763,,,-3570,0.0,280000.0,,4342,10606,0.0,5224,,327.0,-63707,5867,,-57414,265,-3544,2348,3339.0,,2013年01月01日至2013年06月30日,523559,762523,238964,-74828,,-106286,-86898,,,,-16712.0,405101,-74828,,678734,-694695,-15961,150000,867.0,0.0,-160,,0.0,,,-12070,-32,762523,-21531,,54642,,-70,-7774.0,,587489
2013-08-14,2,2014,,-114431.0,,0.0,-70000.0,-25646,,99,41,,-3107,0,,,,-159830.0,0.0,-949,0.0,0.0,,,,-2010,2680,7248,-167536,-57950.0,,-407.0,,0.0,,3144,,-783.0,,-398455,,,60259,,530500.0,,61798,81,,-3223,,328.0,-391396,5973,,-88029,51,-2614,2010,64806.0,,2014年01月01日至2014年06月30日,91138,43644,-47494,56933,,-198221,-200029,,,10231.0,0.0,534875,56933,-61172.0,296414,-438945,-142531,61000,0.0,2696.0,0,,496.0,,,-256962,-55,43644,-62394,,27580,,-36539,-7586.0,0.0,202837
2013-11-14,3,2013,,6552.0,0.0,0.0,-30000.0,105438,0.0,0,38,,-2157,-299,,,,-457267.0,,29596,0.0,-14203.0,,531.0,29258.0,-3252,4641,62421,-18946,-32189.0,0.0,0.0,,-95.0,14776.0,0,-7651.0,-17651.0,,-406520,0.0,,1296,0.0,120000.0,,99651,10254,0.0,3180,,490.0,-528204,8988,,-61274,311,-4662,3252,7241.0,,2013年01月01日至2013年09月30日,523559,128900,-394659,-56556,,279199,295890,,-384848.0,,-41373.0,-208075,-56556,-7918.0,880325,-534431,345894,150000,1166.0,0.0,-209,,0.0,,,352446,-125,128900,-22522,,36102,,-170680,-18624.0,,675732
2014-03-28,4,2013,40.0,-279665.0,0.0,0.0,-20000.0,41598,0.0,63,160,,70,0,,,,-432669.0,,29459,0.0,-14203.0,,531.0,29493.0,-5606,5940,72199,-20344,0.0,0.0,-67.0,,-184.0,,0,-9533.0,,1286.0,-651584,0.0,,919,0.0,873500.0,,65315,11136,0.0,6006,,654.0,-226150,12169,,-62472,417,-6833,5606,9276.0,,2013年01月01日至2013年12月31日,523559,91138,-432421,116649,,-243505,-228736,-769697.0,-384848.0,,-52184.0,-34965,116649,-10235.0,721846,-787566,-65720,342000,405047.0,8508.0,-224872,,,,,-345385,45,91138,-22818,,-24355,,-182806,-188442.0,,613245
2014-05-14,1,2014,,21788.0,0.0,30000.0,,-52746,,116,-2,,-3265,-127,,0.0,0.0,-1965.0,,-1064,,,,,,-1018,1206,4617,-117620,,,-203.0,-57950.0,0.0,,664,,-72.0,,-160964,,,4553,,311000.0,0.0,-19957,1002,0.0,-706,,164.0,-185396,3137,,-5575,11,-1235,1018,,,2014年01月01日至2014年03月31日,91138,44631,-46507,-45582,,-257997,-257214,,,7605.0,0.0,392269,-45582,,-50062,-183358,-233420,43000,0.0,,0,,,,,-211632,-5,44631,-566,,24027,,-21613,0.0,-7586.0,21194
2014-11-14,3,2014,,-368024.0,,,-60000.0,-29826,,109,40,,-3447,0,,,,0.0,,-1144,,0.0,-517794.0,0.0,,-3321,4149,39332,-260029,,,-204.0,-176426.0,0.0,0.0,0,6707.0,-674.0,,-589739,,,57159,,674000.0,,-18547,-8786,,-7509,,493.0,-342827,8165,,-157323,79,-5348,3321,72234.0,,2014年01月01日至2014年09月30日,91138,55562,-35576,256344,,-156229,-163688,,-677333.0,71974.0,0.0,424148,256344,-69830.0,606654,-658662,-52008,408800,551672.0,,-140969,,-5844.0,,68213.0,-420032,-140,55562,-62748,,-3130,,-51633,-7585.0,,600962
2015-03-31,4,2014,0.0,-489361.0,,-60000.0,,-57177,,70,-357,,5699,-894,,,,,-542124.0,-23259,0.0,,-19292.0,0.0,37869.0,-5184,7260,19111,-420910,,,0.0,,202.0,,5322,0.0,-622.0,0.0,-382079,,70658.0,290769,,637000.0,,-25690,-8699,-25.0,-23085,,658.0,-289299,10418,,-202737,2250,-7526,5184,71906.0,,2014年度,91138,427569,336431,532296,,263095,306551,0.0,-677333.0,111533.0,0.0,343524,532296,-72861.0,668998,-405382,263616,256344,551672.0,135777.0,-140969,,-49910.0,,,-225745,-98,427569,-113020,,-75699,,32946,0.0,6200.0,454837
2015-05-14,1,2015,,,-53344.0,30000.0,,21324,,-285,451,-120044.0,-4380,893,153.0,,,57274.0,,-242,,,,6539.0,,-1652,2225,502,-236547,,,0.0,0.0,,,4498,,2772.0,,434887,,,-177857,,9500.0,,28166,-3313,25.0,15442,,,-290006,3028,,-31242,40,-2350,1652,,-49809.0,2015年01月01日至2015年03月31日,427569,280443,-147126,160117,,224637,225326,,,0.0,-72913.0,-82259,160117,,-384089,499107,115018,0,,,23,,,,,65209,28,280443,9,,-22231,,51249,0.0,,-251523
2015-08-14,2,2015,,,,15000.0,0.0,19088,,-5141,451,,-8755,893,,,,0.0,99941.0,-129142,0.0,0.0,,7955.0,,-3447,5001,268,-469982,0.0,,0.0,,0.0,,393,,0.0,2773.0,362423,,,-137749,,231500.0,,14070,5716,25.0,19583,,,-306950,5469,,-32020,40,-4776,3447,35120.0,-59701.0,2015年01月01日至2015年06月30日,427569,131126,-296443,93168,307.0,-150464,-184241,,,0.0,-87518.0,160703,93168,0.0,-503375,285667,-217708,1656,0.0,52363.0,23,,-7224.0,,,-277409,24,131126,-14,,-27543,-328.0,30859,0.0,0.0,-390360
