date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,生物資產（增加）減少,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延借項（增加）減少,避險之衍生金融資產（增加）減少,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付費用（增加）減少
2013-05-10,1,2013,587820.0,,,-1500.0,-10234,,,,-254008,-30164,13704,2296.0,,-375937.0,0.0,,,,822,-13036,26143,100481,-312567,-26582.0,-339772,0.0,-7946,,,21933,,-20866,,-438005,,415785,-41088.0,,-207139,153429,,6739.0,,2488.0,-687958,501642,16152,,37493,28757.0,-21507,,13140,,,2013年01月01日至2013年03月31日,3516324,3756161,239837,313953,,524801,541962,,,,292314.0,0,302513,313953,13419,136881,-496692,-359811,0.0,862,,394850,2113.0,,,,,228009,,57.0,3756161,-8794,-9590,,,,,,,,
2013-08-08,2,2013,1107777.0,,,-1500.0,-20408,,,-357046.0,17638,-183396,16689,-3090.0,,-409905.0,,,,,1422,-38134,50561,178298,-741720,-26582.0,-523111,0.0,-13771,,,20045,,-31068,0.0,-735790,,922484,208904.0,,-1118922,-42297,,-2697.0,,2755.0,-1213571,919931,78486,0.0,26729,50704.0,-45812,,34135,,,2013年01月01日至2013年06月30日,3109451,3140691,31240,872968,,967219,1141509,,,,107169.0,0,99294,872968,26838,1168470,-2007706,-839236,0.0,20091,11045.0,858496,4227.0,,42688.0,,,268541,,57.0,3140691,-162613,-27246,,,50000.0,-6012.0,,,,
2013-11-13,3,2013,1649140.0,,,-1500.0,-30781,,,,139886,-181952,50724,-928.0,100704.0,-9986.0,0.0,,,25503.0,-65286,-66180,87525,125774,-1127651,-26582.0,-1221369,0.0,-14508,,,10569,,-15080,,-349755,-135054.0,971838,188243.0,,-1461218,88941,-136286.0,-5.0,,4121.0,-1509356,1356846,-465514,612.0,51660,72037.0,-81366,,65309,29269.0,,2013年01月01日至2013年09月30日,3109451,3552173,442722,1513694,,1819863,2010929,,-503041.0,,494385.0,0,6441,1513694,56195,1354812,-2506717,-1151905,0.0,145544,11045.0,858496,10703.0,-326.0,38473.0,,,497235,,57.0,3552173,-204278,-24286,,,131396.0,-63895.0,,,,
2014-03-24,4,2013,2244942.0,,0.0,-1500.0,-102529,0.0,0.0,0.0,173703,79460,17339,0.0,-5200.0,,0.0,0.0,0.0,54205.0,-59834,-96451,124441,233955,-1260585,-26582.0,-1090883,0.0,-22319,11419.0,100704.0,0,-6665.0,-23924,,-81433,-135054.0,864767,,,-1009145,0,-263116.0,0.0,0.0,5480.0,-2430769,1904514,-701759,612.0,100422,,-105842,0.0,93583,30770.0,,2013年01月01日至2013年12月31日,3109451,7128777,4019326,1931635,,3048995,3311123,0.0,-503041.0,4020000.0,,-270730,3167145,1931635,101569,1110539,-1975993,-865454,0.0,193134,11566.0,134251,,-326.0,35803.0,,,1379488,49250.0,,7128777,-280639,-28337,0.0,0.0,,-63894.0,151396.0,0.0,-264864.0,0.0
2014-05-14,1,2014,600631.0,,,0.0,-3906598,,,,-251053,-46962,1971,-618.0,-197.0,-564516.0,0.0,,,40784.0,927,-31549,42168,-7499,-127007,0.0,-53869,,-14907,-626.0,47032.0,13949,,2989,,-230567,,-66396,240451.0,,-209926,199703,128610.0,,,1424.0,1378956,491681,119408,,55667,17447.0,-35213,,33535,,,2014年01月01日至2014年03月31日,7128777,4116887,-3011890,528774,,1003200,1012907,,,,0.0,-1447592,-5386547,528774,38902,-76146,-40352,-116498,0.0,7570,,1268053,938.0,,,820914.0,-41235.0,484133,-2543.0,0.0,4116887,-8029,26311,,,,-93141.0,,,-1055.0,
2014-08-13,2,2014,1260863.0,3230.0,,0.0,-3819755,,,,-50803,-82843,5684,-926.0,-386.0,-373582.0,,,,60283.0,1982,-77614,72430,-99336,-402888,0.0,-94259,,-23280,9673.0,177253.0,26076,,0,10537.0,-238797,,650329,529988.0,,-1746729,168038,218593.0,-10295.0,,2847.0,2796026,1007301,395761,,69280,36371.0,-50714,,77576,,,2014年01月01日至2014年06月30日,7128777,6987950,-140827,1186556,,2019044,2288266,,,,0.0,-1139037,-4856561,1186556,77478,1138045,-1297198,-159153,0.0,63850,0.0,1167710,6316.0,,229250.0,2494001.0,-959039.0,1101710,,0.0,6987950,-296084,18967,,,768468.0,-100712.0,,,-109576.0,
2014-11-07,3,2014,1915587.0,4882.0,,0.0,-3944661,,,,63893,-246162,5551,-22194.0,-386.0,368832.0,0.0,,,91072.0,5386,-114794,82135,-14283,-780697,0.0,-1062602,,-80296,23476.0,209037.0,14346,,9790,,-433312,0.0,1372540,1235172.0,,-2812764,-20391,228997.0,-39249.0,,4267.0,1666670,1525157,689297,0.0,75939,55384.0,-47231,,113800,0.0,,2014年01月01日至2014年09月30日,7128777,5169416,-1959361,2026993,,3574599,3968225,,-1273427.0,,-1980039.0,0,-7186347,2026993,106534,2681423,-2655778,25645,0.0,78896,0.0,1169777,7455.0,-529.0,234707.0,2490543.0,-955581.0,1941232,,0.0,5169416,-460195,36574,,,795338.0,-211217.0,37877.0,,-622998.0,
2015-03-18,4,2014,2668719.0,,0.0,0.0,-4061700,,,0.0,147314,-225125,9149,,-3503.0,,194043.0,,0.0,16179.0,20802,-149680,101596,134280,-1792430,0.0,-1016025,,-103783,45387.0,218768.0,52289,0.0,0,19596.0,-600642,0.0,1412727,1589492.0,0.0,-2583977,128932,188463.0,-11222.0,,5683.0,257794,2148143,689297,0.0,118397,,-26445,,149028,0.0,,2014年度,7128777,6210707,-918070,2750305,,5743487,6142505,,-1273427.0,0.0,,-1868176,-7053631,2750305,141394,3137755,-2414274,723481,112000.0,106798,4882.0,1169779,,-529.0,233217.0,2490543.0,-955581.0,3392200,-26610.0,,6210707,-521601,40639,,,868515.0,-229882.0,55890.0,,-831259.0,
2015-05-14,1,2015,,,,,-3309,,,,-311995,33372,-1233,-4225.0,0.0,-612377.0,0.0,,,87285.0,873,-37680,20627,-103105,-508165,,-99876,,-20518,4496.0,20632.0,0,-26073.0,-2054,0.0,56571,,-591335,-825850.0,,989578,273303,32384.0,,,,-905604,568888,-32835,,22913,18569.0,-33018,,37515,,587610.0,2015年01月01日至2015年03月31日,6210707,6680604,469897,701873,1477.0,803188,890086,,,,693189.0,0,675418,701873,32250,-1747545,1348148,-399397,,29474,,254815,-3532.0,,,0.0,0.0,188213,-18609.0,,6680604,-91395,-42794,,,,-9021.0,3000.0,,-34188.0,
2015-08-06,2,2015,,0.0,,,-43482,,,241.0,-301351,-17493,-2090,-237.0,-5000.0,-1011319.0,,,,90841.0,2080,-79376,49015,-141010,-862919,-30000.0,-198948,,-86212,-5229.0,43640.0,0,-29892.0,0,1069.0,327041,,-503844,-1174057.0,,558241,364233,57333.0,-38307.0,,,-2477418,1129452,-301425,,47442,39029.0,-38934,,70123,,1256788.0,2015年01月01日至2015年06月30日,6210707,9886343,3675636,1125940,2067.0,1024740,1336692,,,5025000.0,288079.0,0,5269324,1125940,63317,-1995422,949386,-1046036,,52567,,300779,-8617.0,,-4758.0,0.0,0.0,210752,-16147.0,,9886343,-343141,11845,,,588.0,-9021.0,12000.0,,-733517.0,
