date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損迴轉利益,金融資產重分類淨損失（利益）,非控制權益變動,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-06,1,2013,22827,-15000,-5073,606,,-1339,-1063,,435,,,,,1385,,,-59,640,1102,-9290,,-1215,92,2090,,0,,562,-17532,,5888,,-341,41973,,3549,,-9943,19434,0,874,-716,59,,2013年01月01日至2013年03月31日,109026,234519,125493,91668,,140674,141598,,,6570,0,-6340,91668,277,-865,27968,27103,,,,184,49930,,234519,-267,,,,,,
2013-07-30,2,2013,44526.0,-45000,-7949,-1116,,8337,-12071,,,,,,,205.0,,,-242,1350,1144,-17124,,-1684,180.0,2090.0,,0.0,,562.0,-17353,,30445,,-341.0,-13463.0,,1586,,-18246,40496,0.0,1708,-1424,242,,2013年01月01日至2013年06月30日,109026,511087,402061,197561,,204839,230162,,,7234.0,,214324,197561,486.0,30492,-42417,-11925,250000.0,,,343,32601,,511087,-24141,,,,,,
2013-10-31,3,2013,67395.0,-295000,2600,-1510,,3510,-14020,3.0,,,,,,,,,-464,2454,2345,-18803,,-3383,264.0,2090.0,,0.0,,562.0,-44884,,44516,,-341.0,-11990.0,,3074,,-21138,61509,0.0,2598,-2381,464,,2013年01月01日至2013年09月30日,109026,482954,373928,288639,,292123,336992,-242356.0,250000.0,111764.0,0.0,100598,288639,936.0,50288,-69330,-19042,276500.0,486.0,,98,48353,,482954,-42952,0.0,,,-2400.0,,
2014-02-21,4,2013,91363.0,-481500,157,-2861,,2944,-11436,,-16767.0,,-6887.0,,,1041.0,,,-1008,4207,4007,-26096,0.0,-4932,264.0,16616.0,,0.0,,562.0,-47690,,64228,,-341.0,-122860.0,,-626,7.0,-35473,82434,,3335,-2996,1008,,2013年01月01日至2013年12月31日,109026,425721,316695,430804,,340455,386922,-242356.0,244805.0,36041.0,,7706,430804,1018.0,66995,-202240,-135245,436500.0,1880.0,,644,-43882,,425721,-44479,-572.0,,,-2400.0,,0.0
2014-04-22,1,2014,23572.0,0,-6301,-1948,,-4258,-4173,,-1652.0,-12.0,,,,,,,-374,1511,379,-12842,,-931,0.0,0.0,6.0,,,0.0,-32750,,-8016,,0.0,-55178.0,,1455,-249.0,-13784,21114,,699,-542,374,,2014年01月01日至2014年03月31日,425721,465559,39838,166675,,75502,77177,,,0.0,-22265.0,-22259,166675,75.0,-18824,-94246,-113070,,1.0,962.0,3,-89498,,465559,-1507,-418.0,,,,,
2014-07-28,2,2014,46494.0,0,5432,-1903,,-3359,-7523,,-29308.0,,,,,,,,-1116,2741,-9021,-48195,,-2418,30.0,0.0,3.0,,,0.0,-23206,,-3988,-2352.0,0.0,-135947.0,,2572,-1155.0,-50612,41899,,1340,-1012,1116,,2014年01月01日至2014年06月30日,425721,517698,91977,361502,,171885,207259,,,0.0,-23265.0,-20275,361502,125.0,-5422,-195315,-200737,2987.0,1.0,1492.0,145,-154243,,517698,-35478,-162.0,,,,,
2014-11-10,3,2014,67067.0,-274,8847,222,,-167,-11477,,-36635.0,,,,,,,,-1506,3323,3175,-89675,,-6849,30.0,0.0,,,,0.0,-59168,,2826,,0.0,-241523.0,,-374,-1343.0,-96523,62907,,2182,-1350,1506,,2014年01月01日至2014年09月30日,425721,237896,-187825,582132,,238634,310407,-374822.0,0.0,0.0,-71002.0,-333111,582132,125.0,10163,-348955,-338792,112987.0,1.0,,156,-271725,,237896,-71929,-150.0,,,,,
2015-02-24,4,2014,111689.0,-110593,25362,-15361,,1259,-53876,,-4984.0,,-242.0,,,14709.0,,,721,5042,5528,-149646,,-10216,2728.0,660.0,,3.0,,0.0,-53884,,4970,,0.0,,-186982.0,463,-1411.0,-159396,85247,,3281,-2790,721,,2014年度,425721,465660,39939,880519,,635358,707764,-374822.0,0.0,-69964.0,,-441551,880519,125.0,30180,-314624,-284444,113165.0,708.0,,33,-172755,,465660,-70337,-197.0,,,,,
2015-04-23,1,2015,,-48280,-5914,15777,,12076,-8236,,-12308,,,,,-2491,-6134,,-332,279,-2743,-45456,,-984,,,9,,,,-45464,,19956,,,-86078,,-1304,,-52574,23172,,1236,-266,332,19925,2015年01月01日至2015年03月31日,465660,625832,160172,292051,-156,195823,200325,,,,-63,19666,292051,0,25962,-137613,-111651,68000,0,,152,-91726,,625832,-4568,30,,-2121,,,
2015-07-30,2,2015,,-68562,6301,17379,,11930,41162,,-48506.0,,,,,-2295.0,1127.0,,-623,595,-7010,-78742,,-1638,-2103.0,,116.0,,,,-38369,,35871,,,-218459.0,,-704,,-79158,47434,,2409,-445,623,45523.0,2015年01月01日至2015年06月30日,465660,781224,315564,588770,-270.0,342769,440628,,,,-591.0,58963,588770,0.0,53832,-247497,-193665,128000.0,95.0,,69,-148142,,781224,-98037,37.0,,,,,
