date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無活絡市場之債券投資,取得透過其他綜合損益按公允價值衡量之金融資產,存入保證金增加,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-09,1,2013,5542,5078,706,230,15,,,,,,,,-295,384,3058,-7125,,,-35762,0,104,-2,-64332,62929,,-7,,-356295,,-42889,5368,,85,-279,321,,2013年01月01日至2013年03月31日,300068,149142,-150926,78823,-309057,-309068,,197858,,197962,78823,68183,-461616,-393433,0,,0,,,0,0,-387891,,149142,-31,0,,,-41710,,-47
2013-08-09,2,2013,12208.0,13256,786,156,-513,,,,,,,,-456,2139,5130,-17874,,,-38801.0,0.0,139.0,-222.0,-151112,143607,,-11.0,,-580490,,-56897,10143,,173.0,-875,492,,2013年01月01日至2013年06月30日,300068,389735,89667,169831,-440983,-440591,,582278.0,,582417,169831,156961,-779591,-622630,0.0,,209.0,,,0.0,0.0,-610422,,389735,-9,0.0,0.0,,-48262,0.0,-47.0
2013-11-08,3,2013,19236.0,7187,-539,6450,286,261.0,-62067.0,,,,-1.0,,-729,4288,3274,-18061,,0.0,,,123.0,,-186012,134616,0.0,-11.0,0.0,304390,-847358.0,-80129,15934,,,-4288,729,,2013年01月01日至2013年09月30日,300068,179122,-120946,263277,-308606,-304940,-46785.0,311177.0,,264515,263277,148242,-735695,-587453,0.0,0.0,410.0,,,0.0,,-568217,,179122,-107,,0.0,-667.0,-6723,,
2014-03-26,4,2013,57911.0,6913,-27,728,617,349.0,-64658.0,,149.0,,-2.0,,-1056,5985,5645,-21294,,,,,,,-502428,513406,0.0,-11.0,0.0,182330,-1031776.0,-85950,21170,0.0,,-5985,1056,,2013年01月01日至2013年12月31日,300068,274525,-25543,353762,-425890,-420848,-46785.0,527288.0,,480652,353762,521036,-1353557,-832521,4.0,,460.0,,,0.0,,-774610,0.0,274525,-113,,32104.0,-752.0,-2622,,
2014-05-06,1,2014,5413.0,-3196,5422,-735,-2848,90.0,13389.0,,0.0,,-4360.0,,-216,3029,-532,-588,,,,,,,-183277,90738,,0.0,,-103447,-107122.0,13623,3554,,,-3029,216,,2014年01月01日至2014年03月31日,274525,221307,-53218,101875,-193142,-190300,,126833.0,,126833,101875,86807,-384395,-297588,,,,5182.0,-954.0,,,-292175,,221307,-29,,,,6787,,
2014-08-08,2,2014,11117.0,-5870,5440,-750,-1294,176.0,0.0,12460.0,0.0,-17.0,-4329.0,,-521,6130,-2642,-615,,,,,,,68536,-485331,,50.0,,231815,298324.0,13210,7034,,,-6130,521,,2014年01月01日至2014年06月30日,274525,263947,-10578,140158,242942,250365,,0.0,-264071.0,-264088,140158,-491901,590991,99090,,,0.0,5694.0,-1526.0,,,110207,,263947,-1814,,,,-12006,,
2014-10-28,3,2014,14637.0,-5735,5943,-635,-249,264.0,,25251.0,15.0,,0.0,,-1088,6650,335,-11341,-14802.0,,,,,,276527,-203639,,1.0,,77119,229951.0,4802,10601,,,-6650,1088,,2014年01月01日至2014年09月30日,274525,288234,13709,207436,601218,608644,-28352.0,0.0,-564309.0,-592646,207436,-210008,596579,386571,,,0.0,5694.0,-1526.0,,,401208,,288234,-1864,,,0.0,7024,,
2015-03-23,4,2014,28596.0,14101,5912,694,-273,354.0,0.0,29333.0,60.0,,-3.0,,-1430,6964,1374,-11686,,,,,,,331450,-266201,,0.0,,103196,76439.0,23338,14314,,,-6964,1430,,2014年度,274525,347759,73234,285532,577368,584786,-28352.0,0.0,-500554.0,-528846,285532,-251406,522064,270658,0.0,,25.0,5694.0,-1526.0,,,299254,,347759,-1884,,10249.0,0.0,4986,,
2015-04-29,1,2015,,-7864,147,-1423,265,91.0,-54995.0,0.0,43.0,,0.0,1.0,-294,1446,-1804,-1433,,,,,,,-235030,56761,,,,-176097,10892.0,-56427,3307,,,-1446,294,4461.0,2015年01月01日至2015年03月31日,347759,248866,-98893,6432,-340917,-339753,,,300212.0,300255,6432,47474,-398120,-350646,,,2.0,0.0,0.0,,,-346185,,248866,-12,,,,1612,,
2015-07-31,2,2015,,-1985,62,-1442,78,180.0,-36303.0,1637.0,29.0,0.0,-58.0,,-597,3398,-4435,-2291,,,,,,,-117915,267814,,57.0,,-313570,-174283.0,-37015,6635,,,-3398,597,9464.0,2015年01月01日至2015年06月30日,347759,247502,-100257,31369,-320152,-303225,,261316.0,0.0,261345,31369,260110,-604168,-344058,,,28.0,0.0,0.0,,,-334594,-4334.0,247502,-14126,,,,1280,,
