date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,保證責任準備淨變動,備供出售金融資產（增加）減少,償還特別股負債,償還金融債券,其他各項負債準備淨變動,其他籌資活動,其他負債增加,其他負債減少,其他資產增加,其他資產減少,其他金融負債增加（減少）,其他金融資產（增加）減少,其他項目,再保險合約資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債增加,取得不動產及設備,取得以成本衡量之金融資產,取得子公司股權,取得投資性不動產,取得採用權益法之投資,取得無形資產,各項保險負債淨變動,呆帳費用提列（轉列收入）數,員工福利負債準備增加（減少）,因合併產生之現金流入,央行及同業融資增加,央行及同業融資減少,央行及銀行同業存款增加（減少）,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,庫藏股票買回成本,應付商業本票增加,應付款項增加,應付款項增加（減少）,應付款項減少,應收款項減少,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,概括承受他公司之淨現金收取數,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,發行金融債券,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產及設備,處分以成本衡量之金融資產,處分及報廢不動產及設備損失（利益）,處分待出售資產,處分待出售資產損失（利益）,處分承受擔保品,處分承受擔保品損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無形資產,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融負債增加（減少）,避險之衍生金融資產（增加）減少,金融資產減損損失,金融資產減損迴轉利益,金融資產重分類淨損失（利益）,附買回票券及債券負債增加,附買回票券及債券負債減少,附賣回票券及債券投資增加,附賣回票券及債券投資減少,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-24,1,2013,-75596.0,21214,-306.0,-14011903,,,-12734,,755707.0,,,2011017.0,2145901,-1729967,274343,-160803,-11311801,3434504,733077,,-1980700,-494061,,-250,,-77399,8295097,-245250,-33577,,,-22496.0,6444402,-4926685,42688331,,,,-5361783,-156054.0,1081355,-1987745,608591,330118,23408819,-21770,165537,-3412297,11980895,,,2013年01月01日至2013年03月31日,121986399,149765406,27779007,7634189,,-867195,-9219911,3355454.0,,0.0,4811000.0,80841307,9085828,27304534,7634189,0.0,,48623349,-65401853,-16778504,2904,42367,3945,,,2144,947,-33682,,,0.0,-16854100,364215,-53385529,59838271,-215882,2352102,-12765431,-944218,23758,157391,0.0,,,18560923.0,,,,0.0,,-10326.0
2013-08-23,2,2013,2560300.0,46081,-733.0,-34905040,,0.0,-39215,,3070613.0,,,333941.0,421224,-7995303,-12350,234558,-23041560,7045813,522338,,-4195653,-553598,-2514.0,-250,,-148723,19175294,-196982,-72124,,,1458647.0,-1150070,-6304345,132837353,,1599726.0,60249.0,357039,0.0,1477919,-22036335,-3289985,658147,27766564,-31094,321599,-6959263,23035427,111057.0,,2013年01月01日至2013年06月30日,121986399,181876828,59890429,15490374,,20321076,6053869,19988762.0,,0.0,4904000.0,106955046,2269940,42337000,15490374,334817.0,-402064.0,139691752,-151688557,-11996805,8935,42367,-1866,,,35258,1660,-33682,,,4.0,-9436505,521446,-77677056,72651842,-1920014,6661192,-31105887,-1210542,115692,334287,3500.0,,,11261712.0,,-336262.0,,-4195.0,,-10446.0
2013-11-27,3,2013,8751799.0,154477,-1194.0,-69473793,,0.0,-47771,,2187369.0,,,2328605.0,-2614364,-13415855,-477651,143869,-35121533,10773713,-835676,,-5415718,-715776,-2514.0,-422,,-204793,33475812,950081,-117399,,4510400.0,0.0,5801887,-21316604,156813464,,1499726.0,,3335875,-307625.0,1534458,-26222399,-1936539,991240,18678988,-62805,472624,-10842013,35971120,796071.0,,2013年01月01日至2013年09月30日,121986399,139273349,17286950,21018082,,1749778,-20499544,19988762.0,-10804196.0,0.0,4847000.0,59768645,6762824,18309387,21018082,334817.0,-782899.0,164423887,-214693312,-50269425,24244,42367,21837,,,316019,29313,-36771,,,4.0,-41517626,426682,-84966232,72741880,-3675856,715751,-18600194,-1756019,61991,478908,3500.0,,,0.0,-3605340.0,,,-4195.0,,-14499.0
2014-02-27,4,2013,33026963.0,190628,-7141.0,3459346,0.0,-450000.0,-72142,,3442473.0,,,1219341.0,-3047556,-27897115,-883768,171143,-47789311,14629089,-921639,,-7140314,-874398,-2514.0,-422,,-316315,60001187,6415749,-187503,0.0,,3159249.0,17719093,-14277054,205209465,,199985.0,,-8868680,-90321.0,773591,-30068959,-5567947,1301090,-7451159,-75806,651146,-14728081,47526937,846508.0,,2013年01月01日至2013年12月31日,121986399,199908777,77922378,21552115,,61105243,31129086,19988762.0,-10804196.0,0.0,4947000.0,75911596,8836019,23306721,21552115,334817.0,-787232.0,215001532,-238451524,-23449992,28576,155111,25732,,,396255,28131,-58536,,,2598.0,9576971,543150,-157380867,115161162,-3669207,3413410,-5674700,-730203,220153,667841,19754.0,,,2920478.0,,,,-4195.0,,21809.0
2014-05-23,1,2014,5826974.0,661,-207.0,20164490,,,-12704,,-5778032.0,,,-5788087.0,50930,-41396523,537284,-161323,-13875631,4319028,865858,,-2058209,-1733691,,0,,-103796,20288726,511326,1089097,,,312450.0,-3461491,2508730,59881539,-28703.0,299957.0,,2690700,-90321.0,773591,8188863,-2397967,316152,-12630984,-19882,144745,-3834054,14148828,4785.0,,2014年01月01日至2014年03月31日,199908777,235535539,35626762,8903474,6497092.0,35697452,25556303,0.0,,0.0,,94441525,4834491,1461419,8903474,,-4854.0,72658054,-61832199,10825855,6132,3256,2756,,,4368,396,-4089,,716.0,,16652829,73603,-45460539,136259523,-178410,12424344,6796244,-6376023,-90668,158843,,,,6746068.0,,,,,,-49.0
2014-08-20,2,2014,482335.0,22528,-2455.0,36137330,,-300000.0,-39929,,822414.0,,-6199591.0,0.0,244870,-61560167,-14140895,429719,-29664414,9275786,89818,,-4833882,-2044966,0.0,-97357,,-170731,39209277,870400,-100615,48203353.0,3136400.0,,-3012213,598055,126661953,-28703.0,1449730.0,0.0,15299207,-24619.0,872091,-26891384,42288388,645359,-15672660,-43686,319379,-8856089,29006682,133083.0,,2014年01月01日至2014年06月30日,199908777,348218441,148309664,30651953,6507724.0,65794456,47295067,0.0,,,35000000.0,192405534,1845411,40137002,30651953,0.0,-92162.0,142777451,-126616672,16160779,15318,5140,2575,,,7144,808,-8081,,1617.0,0.0,16643114,-4310,-74720556,153967496,-1784287,3826842,14839009,-5848674,-138283,223982,0.0,,0.0,81862.0,,0.0,,-82.0,,-953.0
2014-11-28,3,2014,26401528.0,137165,-5049.0,-41312440,,-2496990.0,-55569,257.0,8556963.0,,,-4923625.0,-3858563,-82671918,-12861915,357265,-48734828,15126159,-1504027,,-6642545,-2316071,0.0,-143618,,-1287275,75370760,132439,-111400,,,162701.0,10211845,1488264,164676043,,949930.0,48781.0,12767729,,1095868,-9361451,40651284,1013283,-19332175,26620,551937,-15767318,47678702,951418.0,,2014年01月01日至2014年09月30日,199908777,340992936,141084159,41413075,54711077.0,60340902,31311205,0.0,-5590370.0,,35000000.0,185780606,1411451,41596000,41413075,0.0,-921575.0,192169613,-228673011,-36503398,21161,5502,2132,,,7044,1229,-10677,,1617.0,0.0,-10101870,129245,-95140472,153800879,-3833105,8106217,17806558,-3223783,248497,-506642,0.0,-8355.0,0.0,4964810.0,,-15016.0,,-82.0,,-1280.0
2015-03-31,4,2014,48696092.0,139383,-5645.0,-40038236,,-5996990.0,-57543,257.0,16870044.0,,,-13519662.0,-14527885,-102886566,-10243846,396608,-67442151,20880860,-1703364,32764694.0,-8549899,-3075629,0.0,-150018,,-1522618,104063750,3644750,179325,,1651714.0,,924870,-36892592,188304785,,6915896.0,928291.0,6252387,,514655,-12431895,28624488,1421105,-31662655,11428,776744,-21571490,65479205,1045605.0,,2014年度,199908777,325668807,125760030,45161214,54711077.0,16088179,-24450213,0.0,-5590370.0,,35000000.0,188185775,3835902,82750727,45161214,0.0,-992951.0,214241434,-332548953,-118307519,49059,20353,17169,,,7071,1673,-25241,,716.0,573.0,-69611427,422987,-103851387,133647130,-4414928,32023755,-4592857,-3420682,661210,-589373,29176.0,,,207273.0,,,,-82.0,36923.0,0.0
2015-05-26,1,2015,,278,180.0,-93853283,,-16249020.0,-15135,,,-6456555.0,-2834958.0,,-1261517,-21080360,-1670706,-10568,-18565890,5522517,-1188708,8070057.0,-1466559,-330797,,-225160,,-221739,29679011,-239094,-52090,,0.0,-3728016.0,-7173966,22016302,83634053,0.0,1114200.0,,351409,-385046.0,2197055,1416865,-2878307,422547,-26331219,-14684,224202,-9519102,19890760,53522.0,13821368.0,2015年01月01日至2015年03月31日,325668807,290932438,-34736369,11486607,0.0,-8539743,-18183945,,,,,186736570,2908410,-22129611,11486607,,-54107.0,69361502,-112853422,-43491920,1255,0,1589,,,2318,402,-1847,,0.0,,-29670552,33396,-13433745,101287458,-780978,-5263553,17300955,-1523929,-906230,1121631,56734.0,,,0.0,-4495231.0,,,,,-422.0
2015-08-28,2,2015,,6648,-380,25624419,,-20253020,-12975,,92184,,0,221643,-11815467,-43517584,-3428339,-33010,-37264949,10813136,-3084531,8070057,-4067366,-753441,,-229964,,-388963,51871739,-606708,-73143,0,0,-18113153,-10496646,19653663,106813961,0,1323779,,-3716167,-512270,1741192,-1389451,-3186883,943098,-42673822,-9172,562840,-15768640,38358675,279006,19871494,2015年01月01日至2015年06月30日,325668807,327303536,1634729,20238549,0,24462898,4722927,,,,17000000,242948256,2874346,-16556755,20238549,,-264385,59464534,-94851650,-35387116,31461,16756,8522,,,2318,304,-17989,232833,0,722,-15515622,103930,-79068383,81480934,-3129070,-20523724,25357043,-2821007,-828210,1195475,97578,,,0,-4164332,,,0,,-541
