date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得待出售非流動資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-14,1,2013,11140,,0,14889,2199,58,-9,226166,1341,-3040,,,,0,0,-1073,0,18136,-2568,,,,,-30,,-89,-212,,-63653,,,32272,,,472,-8477,-23,-54,166880,14922,,-76443,,1159,0,,530,,,2013年01月01日至2013年03月31日,244046,360571,116525,29132,,-68402,-68751,,,,,0,-89,29132,,,50647,-159670,-109023,6814,,,,-1967,,,,,,-97883,360571,-181,-1871,,,,,,-8555,-63320,
2013-08-13,2,2013,-27865.0,5415.0,0.0,32806,3796,-708,-11,366600.0,-2906,-1656,,,,-865.0,,-4385,0,32755,-82235,,-23906.0,,,-1486,,-97.0,4721.0,,-45902,,,52068,,,-43347,-17246,-1256.0,-105.0,761486,29851,,-212231,,2277,0,,2069,,,2013年01月01日至2013年06月30日,244046,877448,633402,114553,,-160742,-162489,,,,,0.0,-97,114553,,,85659,-334836,-249177,18524,,,,-87001,487682.0,,,,,-277042,877448,-322.0,-1231,,,,34110.0,,-12479,-14450.0,
2013-11-08,3,2013,-33217.0,5415.0,0.0,41997,6342,1219,-8,477711.0,-4491,-3935,,-284091.0,,,,-7780,0,19620,-93036,,-33695.0,,,-1619,,-99.0,,3392.0,21430,,,-54278,,,58807,-11645,-155.0,-155.0,569725,40455,,-457185,,3744,0,,3420,,,2013年01月01日至2013年09月30日,244046,563037,318991,147494,,-270255,-272986,,,,,0.0,-99,147494,,,-10585,-376678,-387263,21452,,,,-89610,490987.0,,,,,-420480,563037,-689.0,-12748,,,,34341.0,,14794,-18410.0,
2014-03-25,4,2013,-553635.0,15165.0,0.0,74946,7120,755,-21,-1234.0,-4583,9418,,-49190.0,,,,-77079,0,44818,-117865,,-48247.0,,-6810.0,-1462,-97.0,,,3367.0,-18288,,,12097,,,34742,271,-43.0,-206.0,883761,48871,0.0,-1164116,,4952,0,,72358,,,2013年01月01日至2013年12月31日,244046,287400,43354,629657,,-885128,-956752,,,,,0.0,-97,629657,,,89374,-1122148,-1032774,23777,,,,-631914,1055962.0,,0.0,,2758.0,-1586409,287400,-734.0,-24853,,-2085.0,,129935.0,,15134,6078.0,
2014-04-24,1,2014,-17524.0,,,-2550,-2007,4447,4,0.0,928,-1461,,,,,,-1912,54,-1908,-17075,-147967.0,,,,-2787,,-49.0,5.0,,-53516,,,6632,,,-9415,-6191,,-46.0,-169105,6686,,39641,,1380,-2,,1520,,,2014年01月01日至2014年03月31日,287400,198304,-89096,50462,,5872,4744,,,,76094.0,,76045,50462,,,2957,-31151,-28194,146,,,,-60,,,,,,-45718,198304,-390.0,-22591,,,,1706.0,0.0,-4660,-4214.0,
2014-08-07,2,2014,-54356.0,4873.0,,-12027,-2378,4588,-6,,2306,47384,,,,0.0,,-2196,105,-41837,-17476,-147872.0,0.0,,,-2778,,-50.0,,31.0,-4964,,,-56263,,13.0,8151,-9771,-3845.0,-93.0,-163432,13179,,217193,,2667,-105,0.0,3698,0.0,,2014年01月01日至2014年06月30日,287400,338582,51182,106962,,256501,252982,,,,,,-50,106962,,,-68442,268818,200376,312,,,,-59,0.0,,,,,146020,338582,-74.0,-63469,,,,0.0,-1805.0,10088,-3300.0,
2014-10-31,3,2014,-72708.0,4873.0,,-48960,-3715,1145,13,,-634,-3295,,0.0,49000.0,0.0,,-2577,105,3957,-9761,-157690.0,0.0,,,-3072,,-49.0,,-5.0,35379,,-5092.0,-75315,,,-3324,-12027,-3442.0,-139.0,-118253,20597,,103023,,3717,-105,,8081,9664.0,,2014年01月01日至2014年09月30日,287400,247728,-39672,148670,,93339,75773,,,-13574.0,,,-18715,148670,,-9664.0,-128763,128574,-189,936,,,,193,0.0,,,,,-72897,247728,-74.0,-84480,,,,2473.0,0.0,11102,-5606.0,
2015-02-17,4,2014,-72718.0,4873.0,,-9309,-3090,369,18,,-41,1083,,0.0,49000.0,0.0,,-6238,5111,61528,-28563,-159208.0,0.0,,0.0,-8936,,-49.0,-29.0,0.0,38656,,-5092.0,-49423,,,2152,-14398,-3870.0,-186.0,-140198,28238,,983064,,4738,-120,,8781,9664.0,,2014年度,287400,929525,642125,161021,,1054626,1036396,,-406009.0,-13574.0,90893.0,,-333831,161021,,-9664.0,-62049,1010142,948093,897,,,,194,0.0,,,,0.0,875375,929525,-95.0,-92117,,0.0,,5956.0,0.0,3068,-7168.0,0.0
2015-04-17,1,2015,,,,-3175,683,164,-11,,-65,-2496,,,,-78.0,,-226,693,-12664,-5029,0.0,,,,-33,,0.0,,13.0,-39147,,,3505,,,67207,8414,-3089.0,,-3325,8283,,81281,,991,-304,,3235,,9324.0,2015年01月01日至2015年03月31日,929525,993661,64136,9891,-48.0,127409,124478,,,,0.0,-47284.0,-47284,9891,,,900,104363,105263,672,,,,2,,,,,,114587,993661,0.0,-3318,,,,2932.0,,-7960,0.0,1097.0
2015-08-12,2,2015,,463.0,,9947,3805,911,-11,,10708,-2927,,,,-78.0,,-560,1421,-30524,-10160,-3525.0,,,,949,,0.0,,51.0,6411,,-6927.0,-48274,,0.0,51246,-80,-9800.0,,8132,17026,,76815,,1935,-553,,3484,,11282.0,2015年01月01日至2015年06月30日,929525,984419,54894,19196,-85.0,80981,132542,,,,3232.0,,-3695,19196,,,-23899,125963,102064,0,,24845.0,,112,,-1113.0,,,,113346,984419,-54492.0,-7832,,-463.0,,,-193.0,3398,-3464.0,
