date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,按攤銷後成本衡量之金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少
2013-05-06,1,2013,21149.0,,-4389.0,-29104,587,1254,3922,,-125.0,-3047,,-501,882,11193,-25546,,,,-9965,,,-1094,14685,-52307,,,1287,-8282,9945,-89.0,-38328,15956,,,4145,-659,451,,,2013年01月01日至2013年03月31日,371127,351320,-19807,47655,,8435,10775,,3407,,-1107,47655,,-78959,20930,-58029,,230,,492,,,1269.0,,-36880,351320,-2132,0.0,,73
2013-08-06,2,2013,50909,,-9844,8618,8379,-1505,3746,,-125,-19292,9315,-1226,1587,12035,-60830,,,-25088,-10561,,,6860,-67487,202869,,,13755,-114925,-28205,-89,-157317,32090,-52291,2478,8667,-1439,1040,,,2013年01月01日至2013年06月30日,361627,392216,30589,134718,,199294,211354,,0,-13454,-23423,134718,,223648,-197921,25727,0,1430,,453,,,,,76636,392216,-11661,0,,571
2013-11-06,3,2013,65607.0,,-15676.0,28673,-12749,5689,-10278,,-125.0,-29004,819.0,-2302,2328,13176,-76694,-5000.0,,-25088.0,-21389,-49625.0,,-1194,-71881,207429,,,9178,-141065,-18562,-89.0,-203778,49074,,4109.0,13180,-2394,1992,,,2013年01月01日至2013年09月30日,361627,409852,48225,291540,,336109,355674,-71279.0,122593,-132795.0,-97282,291540,,250880,-252353,-1473,0.0,2203,,412,,,,,64134,409852,-19163,0.0,,2182
2014-03-19,4,2013,85514.0,,-85943.0,28284,-3351,2071,-11221,,-125.0,-36235,2651.0,-4044,2929,17293,-107125,-5000.0,,-25088.0,-27002,-133252.0,,-2070,-4838,133274,,,79,-173604,2900,-89.0,-323061,67961,,4167.0,17843,-3030,3309,,,2013年01月01日至2013年12月31日,361627,469723,108096,459044,,496043,526235,-71279.0,257249,-248252.0,-82179,459044,,163619,-181942,-18323,66171.0,7990,,-1272,,,,,67191,469723,-30471,0.0,0.0,8172
2014-05-06,1,2014,20577.0,,-23214.0,-32629,4797,1972,-4180,,0.0,-13440,,-2571,714,1375,-22852,-5600.0,,,-1201,-150151.0,,-513,58707,-16016,,,769,-44538,8453,46.0,-193185,17656,,864.0,4386,-797,1729,,,2014年01月01日至2014年03月31日,469723,417066,-52657,186158,,159896,168043,,2471,,-20743,186158,,-45858,7166,-38692,,59,,41,,,,,-18115,417066,-9079,,,-16073
2014-07-30,2,2014,44053.0,,-22572.0,-8791,-134,14192,15053,,0.0,-22140,1523.0,-6445,1263,-7513,-39551,-5600.0,,0.0,-5144,-173121.0,,-937,25209,-23976,,,503,76697,9128,46.0,-243733,37944,,1855.0,8871,-1409,4219,,,2014年01月01日至2014年06月30日,469723,585232,115509,318274,,417784,444487,,31367,-59824.0,-51029,318274,,-18026,100186,82160,,300,,1502,,,,,126213,585232,-29513,,,-25767
2014-10-30,3,2014,60723.0,,-23140.0,14394,-8540,783,15003,,0.0,-30696,1994.0,-10175,1969,2020,-52091,-5600.0,,0.0,-10331,-171306.0,,-6669,-52182,38393,,,677,-9070,7686,46.0,-267309,59113,,2363.0,13647,-2004,7808,2100.0,,2014年01月01日至2014年09月30日,469723,372470,-97253,456184,,457664,502834,-237597.0,33271,-62162.0,-289628,456184,-2100.0,54293,-68366,-14073,,721,,2575,,,,,46650,372470,-53074,,,-21263
2015-03-19,4,2014,90994,,-23619,41079,-25623,9684,15234,,0,-35080,3361,-13508,2235,24486,-99550,-5600,-5400,0,-12594,-166939,,-537,-188366,56233,,,-72,-61390,3494,47,-319641,81152,,2869,18138,-2350,10928,,,2014年度,469723,422088,-47635,653203,,539064,585993,-237597,159230,-189558,-291544,653203,-2200,106971,-265175,-158204,0,956,,2845,,,,,-67210,422088,-57707,,,-8524
2015-04-28,1,2015,,,0.0,-48957,17853,-14486,-276,,,-27424,3605.0,-2941,543,-3929,-25298,0.0,,,-1220,,0.0,6349,43698,-146417,,,1230,-13395,-32,,-6084,25369,,1445.0,3935,-526,4267,,33157.0,2015年01月01日至2015年03月31日,422088,428673,6585,115424,0.0,-9099,-10387,,26486,-789.0,25697,115424,,-208630,49662,-158968,,576,5486.0,329,-1872.0,,,38191.0,-125811,428673,-2453,,,1814
2015-07-29,2,2015,,,0.0,-35234,26764,-12226,-550,,,-33847,4752.0,-5800,1347,-17064,-42143,0.0,,,-2030,,0.0,7668,66921,-69901,,,731,-93308,-60,,-14770,51037,,1828.0,7520,-1264,6850,875.0,60299.0,2015年01月01日至2015年06月30日,422088,544285,122197,182946,0.0,51311,128227,,106414,-3694.0,102720,182946,-875.0,-116630,1612,-115018,,1270,8158.0,583,-2758.0,,,49070.0,-54719,544285,-83377,-251.0,,1845
