date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,按攤銷後成本衡量之金融資產到期還本,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-10,1,2013,,13668.0,-5709,-62000,-24874,2557,-23001,-73483,,-2633,-9627,,0.0,-5,,5171.0,,,-2324,7236,8258,-57245,,,0.0,-182900.0,,-319,-10.0,,,1975.0,-505190,-68342,-97036,167961.0,,-16,66419,15479.0,37742,-14829.0,-231522,86643,336739,,,-4521,3581,-7276,3540,,,2013年01月01日至2013年03月31日,943780,966668,-390.0,22888,408973,,,4195,10321,0.0,136011.0,,241957,414682,,-211570,-200750,-412320,0.0,1477,,-995,,-1541.0,,,,-398652,-6397.0,966668,-2390,-44254,,,,-29448.0,-45828
2013-08-07,2,2013,,107393.0,-8297,-62000,27204,-2455,10508,-73989,,-5430,120669,,,-7,,12256.0,,-4199.0,-8256,14777,8875,-120491,,,-1832.0,-183023.0,,-19,2762.0,-2390.0,0.0,1977.0,-196479,99246,-214541,57935.0,,162,-326896,-3424.0,43626,-17678.0,-240267,172215,-160212,,,-14068,5806,-14839,9604,,,2013年01月01日至2013年06月30日,943780,800799,-2538.0,-142981,621565,,,-152576,-107768,-4.0,244691.0,,240987,629862,,-113492,-723234,-836726,0.0,2335,,-1657,0.0,-1785.0,39511.0,9000.0,,-729333,,800799,-39573,-55542,,,2659.0,0.0,-137037
2013-11-11,3,2013,,210397.0,-14020,-62000,34383,-3293,4104,-30619,,-7710,27920,,,-10,,,1256.0,-3538.0,-10524,21923,4326,-221495,,,-1832.0,-193514.0,,-19,5099.0,-2042.0,-78.0,1977.0,3947,86933,-193388,,-26969.0,-217,-13746,7390.0,82942,-29427.0,-351829,258478,60405,,,-19653,7992,-21872,12245,1003.0,,2013年01月01日至2013年09月30日,943780,1143578,3288.0,199798,791866,,814359.0,814359,887112,-169922.0,,-11214.0,-267058,805886,-1003.0,-112719,-2432,-115151,0.0,2418,,-1725,0.0,-3645.0,39511.0,18925.0,,95246,,1143578,-63126,-41732,,,555.0,0.0,-144775
2014-03-13,4,2013,1480.0,296363.0,-17515,-62000,-27334,-723,13628,-3304,,1718,5631,,,-14,,,-1235.0,,-13422,27947,10100,-328525,,,-1832.0,-193924.0,,-19,5561.0,-3071.0,-1692.0,1988.0,-180463,237590,-288869,100000.0,-346920.0,-102,-39666,-17774.0,77450,-32337.0,-459389,344159,94627,,,-21879,10174,-27800,14841,1003.0,,2013年01月01日至2013年12月31日,943780,928585,,-15195,985832,,,923000,1014526,-169926.0,,-12536.0,-488906,1003347,-1003.0,-109330,-158339,-267669,0.0,6392,,-5105,0.0,-1002.0,39511.0,18925.0,,28694,727.0,928585,-78567,-40622,0.0,,3181.0,-7526.0,-108468
2014-05-09,1,2014,,116690.0,-7838,-62000,-118283,-4476,-15999,244,,8974,29801,1870.0,,-7,,,8841.0,,-3035,7094,5965,-86201,,,,-170308.0,,124,,-3009.0,,1050.0,-84845,-111453,98626,399899.0,,56,-20506,27105.0,-8727,-15940.0,-245951,87329,-572471,,,531,2343,-7024,3429,,,2014年01月01日至2014年03月31日,928585,629270,,-299315,186463,,,-594212,-590455,,,200000.0,534883,194301,,-150558,-743050,-893608,,667,,779,,-1225.0,,,,-776918,-9932.0,629270,-162,9864,,,,12886.0,-97652
2014-08-07,2,2014,,205678.0,-14189,-62000,-46416,-2512,-20418,-5012,,17737,25542,,,-9,,,2299.0,9566.0,-9646,14721,2337,-139501,-100000.0,,-1641.0,,,-90,480.0,-3674.0,,1050.0,16390,146265,-13703,374833.0,,116,-323201,27.0,-21038,-20246.0,-416550,176612,177094,-236928.0,,-2393,4673,-14734,9540,,,2014年01月01日至2014年06月30日,928585,1028574,,99989,173776,,,204578,359317,-6.0,0.0,,309624,187965,,72524,-92661,-20137,,2062,,57,,-5833.0,0.0,56109.0,,185541,-8717.0,1028574,-149545,21449,,,,-3438.0,57955
2014-11-07,3,2014,,322795.0,-21189,-62000,60427,-1736,-44880,-37293,-17319.0,46550,43130,,,-12,,,0.0,21568.0,-12825,21935,7634,-195924,-100000.0,,-1641.0,-686252.0,,63,574.0,-4414.0,0.0,1650.0,-248714,89363,-2035,574806.0,,43,-275446,764.0,-48888,-27127.0,-511308,268717,-212356,,,-3933,4653,-21805,12336,426.0,,2014年01月01日至2014年09月30日,928585,434827,,-493758,234266,,,-370637,-177530,-360148.0,231747.0,,380553,255455,-426.0,156035,-890626,-734591,,2772,,590,,,0.0,484980.0,,-411796,-9450.0,434827,-183638,6894,,,15559.0,,-66943
2015-03-11,4,2014,0.0,518267.0,-26566,-246427,-31563,-5113,-8985,-802,-17325.0,6009,41389,,,-202,,,0.0,27563.0,-15814,29884,19652,-255569,-100000.0,-250.0,-1851.0,-396945.0,,1668,3247.0,-6068.0,0.0,1650.0,-501278,-197276,-26104,474772.0,0.0,84,-7275,82379.0,-38864,-31501.0,-571383,364397,543344,,,-2154,6929,-29676,15046,426.0,,2014年度,928585,760429,,-168156,127926,,,218478,414851,-360225.0,,300000.0,165097,154492,-426.0,-289627,58285,-231342,0.0,3464,309.0,1735,0.0,29.0,0.0,194708.0,,286925,-4163.0,760429,-181743,-6496,0.0,,0.0,110952.0,-51623
2015-05-11,1,2015,,,-6614,-124000,40130,2754,-10049,-7145,-238.0,72982,754,0.0,,225,,,0.0,6203.0,-1973,7450,-3178,-51439,,,,,-56030.0,118,210.0,-2105.0,,0.0,605998,-63436,13637,177.0,,197,-153523,-28842.0,38205,,-36481,93678,-541729,,,3179,2294,-7244,3143,,-26581.0,2015年01月01日至2015年03月31日,760429,938250,,177821,198472,-13506.0,,162978,167386,-5.0,,-89000.0,54502,205086,,47655,-52160,-4505,269000.0,1419,,-331,,,,,69807.0,-31086,-5103.0,938250,-307,-17368,,,,-119831.0,44171
2015-08-07,2,2015,,,-13627,-124000,-26820,6929,-8531,-18959,,-349,913,,,220,,-238.0,0.0,10618.0,-9244,15924,-8573,-100165,0.0,,-6232.0,,-56030.0,234,260.0,-2160.0,,0.0,318330,438397,51658,32.0,,28,-205489,-18295.0,8383,,-84325,188725,-985658,,,4176,4845,-15874,9830,,87145.0,2015年01月01日至2015年06月30日,760429,1386449,,626020,531397,-18097.0,,222576,234567,-10.0,200000.0,,496342,545024,,447700,-831675,-383975,422000.0,1633,,417,,,,,76707.0,-296830,-4046.0,1386449,-5947,-10378,,,,-118172.0,77631
