date,season,year,不影響現金流量之收益費損項目合計,償還公司債,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得子公司股權,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,子公司發行特別股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分採用權益法之投資損失（利益）,處分無形資產,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款增加
2013-05-08,1,2013,20566.0,,-9649,,0.0,-76511,,15261,-73757,,,13258,,,10711,16493,-3497,,-122.0,-97,0.0,,0.0,,,2397.0,275730,409696,20017.0,0.0,16069,-328798,-92837,-93.0,-754,7374,,31,-10728,,,2013年01月01日至2013年03月31日,465167,447262,-22115,-17905,55862,,,213924,224797,,0.0,-267585.0,-247568,55862,,431284,-282915,148369,,468.0,0.0,,,,,168935,,447262,-145.0,964.0,,23698.0,0.0,
2013-08-09,2,2013,57110.0,,19177,,2880.0,-43683,,23791,-43044,0.0,0.0,-2292,34325.0,-2119.0,22778,10202,-11412,,-933.0,-17,0.0,,485.0,,,2222.0,-54581,346876,,-40035.0,12769,-714477,5941,-15.0,-8472,14229,,124,-21492,2152.0,,2013年01月01日至2013年06月30日,465167,275453,-11950,-189714,113966,,,-305607,-278462,,150833.0,,114163,113966,,402598,-852136,-449538,,1651.0,0.0,,,,,-392428,,275453,-7805.0,-260.0,,,,
2013-11-08,3,2013,98537.0,,-35097,1590.0,,-113660,,87866,-25600,0.0,11848.0,9537,33371.0,-702.0,32804,4821,-14905,,-933.0,6063,0.0,,486.0,,,2244.0,29806,717769,10035.0,,31644,-750998,-53044,-23.0,-11943,20276,,216,-31207,736.0,,2013年01月01日至2013年09月30日,465167,331880,7113,-133287,163650,,,111601,160387,-56799.0,,-204926.0,-237766,163650,,802159,-903959,-101800,,1651.0,0.0,,,,,-3263,,331880,-18315.0,-604.0,,,,
2014-03-07,4,2013,113880.0,-74700.0,-15265,2295.0,,118659,0.0,15650,8669,0.0,,23708,38485.0,-876.0,46216,7676,-21181,11848.0,-1998.0,7080,0.0,,486.0,,,1620.0,264784,676222,,-80067.0,14336,-644550,-80781,-26.0,-19906,26437,,347,-43721,1103.0,,2013年01月01日至2013年12月31日,465167,290663,-6377,-174504,221017,,,655005,716303,-56799.0,,-620342.0,-817279,221017,,690917,-309511,381406,,1653.0,138.0,,,,,495286,3043.0,290663,-18680.0,-613.0,0.0,,,
2014-05-07,1,2014,19095.0,-1799.0,28636,,1995.0,-132808,,-3190,-13909,0.0,,19020,6034.0,-188.0,12948,8614,-4457,,0.0,-17,,,,,,637.0,-77056,-136960,,105.0,12961,208127,-20641,25.0,-3820,5976,,135,-11484,179.0,,2014年01月01日至2014年03月31日,290663,586449,-5870,295786,86181,,-21824.0,-21824,-10519,,312515.0,,312816,86181,,-98528,-17267,-115795,,0.0,,,,,,-96700,77.0,586449,0.0,0.0,,,,
2014-08-08,2,2014,61774.0,-1799.0,75485,,0.0,-40751,,-32095,-41006,0.0,,9865,6092.0,-461.0,27195,624,-9266,,-398.0,208,,,-13.0,,,-170.0,-77690,-186932,,126.0,21480,-62375,64907,43.0,-9832,11875,,271,-67706,446.0,,2014年01月01日至2014年06月30日,290663,311339,16492,20676,174388,,-125117.0,-125117,-32907,,156687.0,,155001,174388,,-122019,-147050,-269069,,2.0,25.0,,,,,-207295,77.0,311339,-24950.0,0.0,,,,
2014-11-07,3,2014,75125,-1799,74045,,1845,-57749,,-4506,-44456,0,,4175,14584,-696,42293,7448,-15309,,-1009,311,,,-13,,,-2707,-444457,35301,,171,19391,-177728,45796,61,-19020,18143,,429,-82104,679,,2014年01月01日至2014年09月30日,290663,415790,-38,125127,270098,,-327898,-327898,-204904,-146257,595650,,464597,270098,,124292,-674419,-550127,,5,22,,,,,-475002,77,415790,-41569,0,15000,,,
2015-03-20,4,2014,62990.0,-1799.0,65677,5535.0,,-113403,,-46806,-12829,0.0,,8485,,-994.0,57772,27192,-18508,36720.0,-1290.0,-2436,,,0.0,-12.0,-4837.0,0.0,-235878,-136301,115.0,0.0,-10387,79511,129059,-9.0,-56630,24349,,598,-55521,989.0,,2014年度,290663,499912,-46098,209249,369362,,62998.0,62998,159471,-146257.0,273407.0,0.0,175689,369362,,-127826,-145055,-272881,,5.0,40.0,,7980.0,,,-209891,77.0,499912,-41941.0,0.0,,29682.0,,-32000.0
2015-05-08,1,2015,,0,-13170,0,,8142,,33785,-17051,0,,624,,-210,16474,-2428,-123422,,,677,,,,-385,,1846,-248761,-51189,79899,,9047,-340187,16756,,-122439,6051,-119,312,-16171,202,75894,2015年01月01日至2015年03月31日,499912,345165,45029,-154747,103983,31,-438065,-438065,-422096,,208671,,408185,103983,,-21496,-580477,-601973,120000,,,-863,,-199,,-526079,0,345165,,,,7879,,
2015-08-07,2,2015,,0.0,13002,,,63169,,57336,-42114,0.0,,5091,,-602.0,32473,-14704,-130772,,0.0,983,,,,-385.0,0.0,1556.0,-831242,394544,114943.0,,12745,-646122,15829,,-130079,12170,-119.0,624,-32246,578.0,134834.0,2015年01月01日至2015年06月30日,499912,332490,76578,-167422,158531,100.0,-737724.0,-737724,-664297,,480527.0,,715085,158531,,477727,-1435389,-957662,120000.0,0.0,24.0,-863.0,,-199.0,,-822828,0.0,332490,-41759.0,,,12902.0,,
