date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務商品投資到期還本,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預收款項增加（減少）
2013-05-13,1,2013,1256544.0,,,-6830.0,-285167,-1468862,-1004498.0,-285700,,526986,852891,,181797.0,,18775,10718.0,-176513,145002,983416,-1420732,,-4425623,,-50075,26581,,2998069,-13247041,-14107.0,,-916954,-4622.0,-5690400,971238,,,,-2114,252144,-126243,117246,,,2013年01月01日至2013年03月31日,36203613,41771239,5567626,2313859,,,,-8012542,-7958038,,16734866.0,,18287152,2313859,10692,-14176747,2648306,-11528441,1060500.0,76737,,0,,-9598,0.0,110518.0,-74493.0,0,,-10271897,41771239,-45507,-63450.0,150000.0,1606484,16337.0,,30899
2013-08-13,2,2013,2749169.0,,15000.0,-6830.0,-484000,543952,-1003950.0,456206,,-392225,527198,,22078.0,,12387,-4954.0,-468049,289966,1463396,-1970887,0.0,-12079136,,-111756,57588,,2883320,-6944446,-14107.0,,1545673,-20467.0,-10096556,1994933,41196.0,3128.0,,62467,540501,-243539,206235,,,2013年01月01日至2013年06月30日,36203613,39045377,2841764,4568467,,360000.0,,4575029,5920611,,5657613.0,,6899895,4568467,13105,-6812550,5415525,-1397025,1108500.0,57138,,3509532,,10394,0.0,111166.0,-74963.0,-39300,,1352144,39045377,-1308278,,351041.0,1606484,16440.0,,-26453
2013-11-12,3,2013,3982291.0,,15000.0,-6830.0,-484000,1013812,-1011202.0,-339501,,-248638,709982,0.0,2219.0,,-308639,-3583.0,-838757,442304,1106405,-2480547,0.0,-17535308,,-152499,53283,,-2890730,11141398,,-14107.0,-10186466,-31105.0,-5618656,2940593,83086.0,22672.0,,110651,824160,-416800,446462,,,2013年01月01日至2013年09月30日,36203613,42574225,6370612,6744416,,360000.0,,8196851,10042452,-2869980.0,4516821.0,,2686012,6744416,15785,11999788,-12684043,-684255,932500.0,31460,,14342304,,-69285,0.0,109573.0,,-161151,,3298036,42574225,-1875263,,351041.0,1606484,317250.0,,55342
2014-03-25,4,2013,6277007.0,0.0,15000.0,-6830.0,-484000,2077346,-1010415.0,125498,-329090.0,452245,1320864,0.0,-713934.0,,-1317501,-40531.0,-1483583,661981,2050013,-3013220,0.0,-24049791,,-296392,9105,,-2994479,9808744,,-26239.0,-3297610,-88998.0,-7084132,3963000,94561.0,-31237.0,,280024,1113915,-634400,876604,0.0,,2013年01月01日至2013年12月31日,36203613,56932670,20729057,8924326,,360000.0,,21107362,22813788,-2869980.0,4198824.0,,4655814,8924326,18183,12489419,-4876964,7612455,3311250.0,62711,,21373540,,4228,,110611.0,-74983.0,-250756,,13889462,56932670,-1948630,,384436.0,2230899,1691988.0,,171760
2014-05-13,1,2014,976424.0,,,0.0,0,-903863,0.0,135060,,-14330,-48323,,-1134.0,,-104597,344.0,-678494,378413,449569,-740435,,-8568317,-939.0,-98369,-5469,,9211785,-19549050,-14107.0,,-860685,-4835.0,-3477876,1026861,14372.0,-204317.0,,1022,284413,-262587,400401,,,2014年01月01日至2014年03月31日,56932670,46534049,-10398621,2704985,,169735.0,,-8526050,-8436348,,622864.0,,1155736,2704985,1499,-20351277,8233520,-12117757,540064.0,40826,,5824220,,6109,,0.0,0.0,-43676,,-11141333,46534049,-227516,,0.0,-6058,5402.0,,120536
2014-08-12,2,2014,1451330.0,,6650.0,0.0,-9500,-67192,0.0,87115,,258982,-523738,,-2556.0,,56451,417.0,-1547020,649207,-274495,-2315248,-60000.0,-14888507,-939.0,-168497,-8272,,7758410,-20786587,-14107.0,,591141,-18858.0,-2084262,1883707,-42697.0,-50698.0,,5497,591420,-659477,1578310,,,2014年01月01日至2014年06月30日,56932670,42865341,-14067329,4828528,,169735.0,,-6584933,-6312397,,-5418179.0,,-5123639,4828528,3306,-20454485,7862230,-12592255,314064.0,77655,,15038438,,21130,,0.0,0.0,-154712,,-11140925,42865341,-1191369,,0.0,-7468,6650.0,,215974
2014-11-07,3,2014,2379987.0,0.0,6650.0,0.0,0,222374,0.0,284936,,500165,-1148830,,19104.0,,534250,343.0,-2228280,1029468,235182,-3575957,-60000.0,-24661678,-939.0,-274549,14287,,4214267,-25210029,-14107.0,,7542622,-23482.0,-9394333,2841588,11706.0,-26100.0,,-2258,914419,-786276,2400489,,,2014年01月01日至2014年09月30日,56932670,29850740,-27081930,7110195,,169735.0,,-3849697,-3768373,-5739960.0,-9444720.0,,-14073082,7110195,7965,-24125450,10866895,-13258555,876814.0,94889,1268.0,18371998,,-21174,,0.0,,-183021,,-10878568,29850740,-1695537,,0.0,215680,6650.0,,387923
2015-03-24,4,2014,4810407.0,,6650.0,0.0,0,2366838,0.0,-27568,0.0,1638197,-1646819,0.0,19090.0,,438857,-38264.0,-2864110,1251417,1512290,-4781393,-144403.0,-33777739,-939.0,-378368,15856,,8914388,-31253048,,-26239.0,6006396,-30129.0,-8774694,3813990,-64739.0,-227010.0,,56450,1222212,-944491,2942046,,,2014年度,56932670,37731741,-19200929,9680698,,208740.0,,815894,723306,-5739960.0,-9035069.0,,-12754419,9680698,9575,-26787186,13019387,-13767799,1982345.0,93680,1268.0,29491624,,162409,,0.0,,-383461,67329.0,-8957392,37731741,-1904967,,109590.0,19175,1454743.0,,581934
2015-05-11,1,2015,,,,,-2181705,-2101987,,87921,,388479,537638,,,-1367.0,145468,0.0,-598156,99236,-495605,-1221834,,-2608578,0.0,-42258,-1670,,-941804,-12611850,0.0,,12971665,,1904055,973382,83436.0,159790.0,,10626,248752,-325562,356628,,534069.0,2015年01月01日至2015年03月31日,37731741,36273503,-1458238,1770105,-10335.0,,0.0,782758,939797,,-1466374.0,,-3649446,1770105,2017,-14179587,12815210,-1364377,0.0,55189,,5561527,,4331,,14541.0,,-61950,,-830308,36273503,-188105,,,0,,-142499.0,72670
2015-08-11,2,2015,,88354,0,,-2824471,-1765813,,152668,,1178826,286022,,5329,,62982,-250,-1135182,386434,-689604,-2613755,0,-11326534,0,-98069,6252,,1174137,-14987447,0,,12070600,,-961890,1927219,144456,308279,,29730,512128,-540501,1088712,,1484464,2015年01月01日至2015年06月30日,37731741,34597658,-3134083,3156647,-22726,,0,2685952,3317853,,-2561064,,-4168541,3156647,4233,-15314964,13991706,-1323258,1211665,69007,,12856125,,48260,,,,-152008,,161206,34597658,-1180112,,,0,-142352,,137740
