date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款增加,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付款項增加,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延借項（增加）減少,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）,預收款項增加－處分資產
2013-05-13,1,2013,17615.0,,,,-4067,,,,-32104.0,-403,,,,,7607,11000.0,,0,,8168.0,,-28833.0,,,,-767,1192,7671,0,,-457.0,,,3184.0,,,,-94339,0.0,,,49382,,,0.0,991,-16867,,547,,,-61394,16320,0,102,417,-1275,248,,,2013年01月01日至2013年03月31日,211610,118293,-93317,-58305,-88203,-87176,,,,,48609,-58305,,,53913,-100399,-46486,40716,,,,,,,,,,,,-28871,118293,,-2833,,-275,,0.0,,-337,,,
2013-08-13,2,2013,40494.0,,,,21543,,,-22328.0,,-11846,,12253.0,,37115.0,0,43767.0,0.0,-25,,-15297.0,,0.0,,11763.0,,-862,10568,-19186,-149053,,-426.0,,,-279.0,,,,-65896,0.0,28319.0,,137269,,,0.0,1620,-202411,,4764,,,-100111,27433,6218,227,840,-7241,1247,,,2013年01月01日至2013年06月30日,211610,198549,-13061,-59905,-89589,-83449,,,,37000.0,195825,-59905,,,160432,-224470,-64038,168131,,,,,,,,,,,,-23544,198549,-146.0,-9196,,0,,0.0,,959,,,
2013-11-11,3,2013,37003.0,,,-447.0,18057,,,-22409.0,,-44,,12253.0,,1528.0,35546,42891.0,2691.0,-25,,,-21956.0,,,,-19030.0,-1067,13726,9188,-158017,,740.0,,,0.0,4400.0,,-12513.0,-1883,0.0,28319.0,,68353,,,0.0,1478,-137264,,4445,,,-185028,38680,-24104,344,1229,-10975,1459,5618.0,,2013年01月01日至2013年09月30日,211610,182306,-29304,-74425,-47071,-43016,,,,37000.0,193607,-74425,,-5696.0,126125,-131719,-5594,168700,,,,0.0,,,,,,,,31409,182306,-157.0,-10213,,0,,,,-15735,-9989.0,,0.0
2014-03-19,4,2013,48179.0,,,-447.0,6998,,7384.0,-29171.0,,-10213,,12253.0,0.0,-3563.0,1649,-654500.0,2526.0,-177,0.0,0.0,-17729.0,,,,-38701.0,-1572,24342,-1955,-185250,,-15348.0,,,0.0,6543.0,,-11462.0,-2824,0.0,28319.0,,2955,,,0.0,0,22931,,-3794,0.0,,-251921,50746,-9970,454,1741,-13010,1896,5726.0,,2013年01月01日至2013年12月31日,211610,232929,21319,-109199,-717300,-711387,800000.0,,,37000.0,992495,-109199,2966.0,-5726.0,21512,-671879,-650367,168700,809.0,,,-63.0,,,0.0,0.0,,,,-602188,232929,-525.0,-11594,,-720,0.0,-13115.0,,-13332,-10659.0,,
2014-05-09,1,2014,2021.0,,,-216.0,11559,,,,,-4659,,0.0,,-27220.0,3469,100000.0,1452.0,0,,,,,,,-3012.0,-2055,1858,844,-5530,-18750.0,0.0,-9815.0,,0.0,,-6.0,-11150.0,-35520,,,,67590,,,,2895,-51498,,8467,,,-48426,11614,9877,719,480,-5192,2056,,,2014年01月01日至2014年03月31日,232929,240841,7912,-57036,45716,52446,,,,10000.0,9778,-57036,,,86965,20496,107461,0,1143.0,,,-171.0,,,37729.0,-6614.0,,,-4093.0,109482,240841,-3594.0,283,,0,,,-11821.0,-6171,0.0,,
2014-08-11,2,2014,19364.0,,,-216.0,59213,4901.0,,,,-15230,,0.0,,-407749.0,8004,399012.0,,0,,705.0,,,,,,-3828,5225,9543,-49570,-18752.0,0.0,-9815.0,,0.0,3606.0,,-11787.0,-39108,,0.0,,151871,,,,2430,-127436,,-10285,,,-466138,22939,54444,3866,855,-5244,3830,,,2014年01月01日至2014年06月30日,232929,209547,-23382,-105394,378884,380547,,,,45333.0,54329,-105394,,,221518,245059,466577,0,1276.0,,,-242.0,,,37759.0,-6614.0,-4093.0,,,485941,209547,-249.0,1256,-5786.0,0,,,-7500.0,-10552,,,
2014-11-11,3,2014,-50569.0,,,-216.0,53175,11964.0,,,,378,,0.0,,-27362.0,9142,399546.0,-1104.0,0,,1966.0,,166.0,,,,-4804,7734,16034,-472263,-26190.0,0.0,-11228.0,,0.0,2853.0,,-12253.0,-824,,0.0,,104406,,,,2265,-132843,,7611,,,-278729,35900,54444,7748,2097,-9769,4806,1394.0,,2014年01月01日至2014年09月30日,232929,534287,301358,-51965,345203,357202,,,,6333.0,218850,-51965,,-1394.0,167884,291852,459736,2900,1536.0,,,-234.0,,,252235.0,-89657.0,-9215.0,16630.0,,409167,534287,-8430.0,1256,-4723.0,193050,,,,-31737,0.0,,
2015-03-24,4,2014,-36019.0,-74669.0,,-94216.0,66924,108460.0,0.0,,,-8488,,567.0,,664388.0,0,,-1104.0,0,,19973.0,,-1300.0,,294.0,,-6359,10587,22760,-870991,-26192.0,0.0,-13999.0,,0.0,2228.0,,-11576.0,13454,,0.0,-70174.0,64020,,,,2367,-24372,,-5759,,0.0,86657,48904,54444,11455,2600,-22240,6361,1394.0,,2014年度,232929,554147,321218,-136324,-88353,-64334,0.0,,,6333.0,300154,-61655,822.0,-1394.0,132207,-24198,108009,134500,1777.0,,,-234.0,,,308811.0,-90781.0,-13169.0,24975.0,,71990,554147,-9534.0,1256,,193050,,,,-53477,-561.0,,10758.0
2015-05-05,1,2015,,-30962.0,,-150.0,-7555,21134.0,,,0.0,9402,,,,6743.0,0,-95049.0,0.0,0,,919.0,,,,-3433.0,,-144,2493,-401,-520991,0.0,0.0,-1432.0,,0.0,-59.0,,-12249.0,-17502,,,,6696,,,,9419,-21792,,16343,,,-470061,10487,0,3136,2166,-5182,130,,15481.0,2015年01月01日至2015年03月31日,554147,517952,-36195,-79840,-205473,-200421,,,495000.0,0.0,639740,-48878,822.0,,8560,-144622,-136062,64400,2176.0,7179.0,,209.0,,,0.0,0.0,0.0,,,-120581,517952,0.0,-255,,58496,,,0.0,-36024,-13045.0,,61558.0
2015-08-11,2,2015,,79645.0,,-789.0,-2883,-85586.0,,,0.0,8216,,,,173912.0,399,2900.0,-4287.0,-5246,,0.0,,,,356.0,,-955,8978,-7474,-941392,0.0,0.0,-29653.0,,0.0,4.0,,-55649.0,-20085,,,,7994,,,,4600,-15545,-115.0,16343,,,-836970,10877,0,6343,4112,-7784,929,,-81862.0,2015年01月01日至2015年06月30日,554147,658762,104615,-33366,-193590,-184773,,,495000.0,200000.0,1142649,-113011,1643.0,,13804,-83349,-69545,472965,2174.0,,13149.0,209.0,,-110824.0,0.0,0.0,-3927.0,,0.0,-151407,658762,-1962.0,1326,,61055,,,0.0,-69817,489.0,7981.0,
2015-11-10,3,2015,,79645.0,,-23679.0,29682,4576.0,,,,2550,,,,9753.0,293,5800.0,-4308.0,-42949,,,,,,2525.0,,-1124,14652,-20094,-1583230,0.0,,-164203.0,,,12849.0,,-72590.0,-37158,,,,113661,4211.0,0.0,,-106,-12358,,15126,,,-1561305,15869,0,12055,6463,-11054,968,2785.0,-135242.0,2015年01月01日至2015年09月30日,554147,418015,-136132,-29651,-181467,-167400,,,495000.0,200000.0,1626734,-109296,2464.0,-2785.0,164050,-166557,-2507,740965,2176.0,,16699.0,209.0,,-110824.0,230072.0,-69498.0,-5708.0,0.0,,-137749,418015,-6766.0,460,,197023,,,,-97568,18.0,20617.0,
2016-03-25,4,2015,,65083.0,,-46922.0,47368,-10684.0,,,,12399,-20.0,,-1806.0,-1084.0,1644,,0.0,-4803,29197.0,,,-3917.0,3136.0,4697.0,,-2473,13258,-14938,-2209241,0.0,0.0,,-7036.0,0.0,8030.0,,-82455.0,-64548,-164203.0,,0.0,114843,1002.0,0.0,,3508,-6511,,16053,,,-2019738,25819,0,4408,7083,-15863,2216,2818.0,-121561.0,2015年度,554147,556407,2260,-129184,-252342,-235534,,,495000.0,241767.0,2289278,-194267,4310.0,-2818.0,188433,-173222,15211,958014,2189.0,,20625.0,209.0,,-96261.0,262353.0,-71853.0,-6627.0,0.0,,-106350,556407,-5979.0,-1313,,614876,,,,-124006,-18425.0,20068.0,178340.0
2016-05-06,1,2016,,0.0,,-2616.0,-12617,-46730.0,1955.0,,,-10108,,,1587.0,52330.0,-667,,0.0,-294,,14000.0,,-1581.0,1278.0,-30412.0,,-364,4824,4784,-835203,0.0,0.0,,-614.0,0.0,-180.0,,-5936.0,-9404,234136.0,,0.0,12354,796.0,-1173.0,,3279,5780,,-563,,,-558933,9842,0,13145,2573,-4043,250,0.0,-151555.0,2016年01月01日至2016年03月31日,590087,299001,-291086,89289,-111589,-107796,,,0.0,136951.0,374652,89289,3084.0,0.0,17177,-62707,-45530,394400,0.0,0.0,0.0,781.0,,,0.0,0.0,0.0,0.0,-154500.0,-197085,299001,0.0,-528,,-120000,,,,-49705,-3343.0,12077.0,
2016-08-11,2,2016,,71059.0,,-5588.0,26740,,3240.0,-88100.0,,-11769,,,499.0,47669.0,6340,-2810.0,-3441.0,-7108,,,-24650.0,-2808.0,0.0,5097.0,,-737,26006,11740,-1869782,0.0,0.0,0.0,-2739.0,0.0,-3397.0,,-20309.0,-4695,0.0,,0.0,308117,9333.0,,,216,-973,-16607.0,97,,,-1613945,64763,0,28776,5334,-25097,348,0.0,-122304.0,2016年01月01日至2016年06月30日,590087,419918,-170169,32708,132980,164629,,,0.0,204434.0,1299056,-38351,6644.0,0.0,365965,-111740,254225,1336357,1657.0,0.0,0.0,588.0,11518.0,-71059.0,0.0,0.0,-187652.0,234136.0,,131921,419918,-6900.0,-64,,-120000,,,,-68374,-13287.0,15420.0,
2016-11-13,3,2016,,71059.0,7500.0,-14796.0,59555,0.0,5550.0,-57100.0,,-11192,,,1826.0,37911.0,29187,-3672.0,-2378.0,-19673,,,-22450.0,-9599.0,0.0,7347.0,,-1308,53616,-7417,-2025089,0.0,0.0,0.0,-5046.0,0.0,4517.0,,-31921.0,-10417,,,0.0,180578,9138.0,0.0,,-1285,-20350,-9412.0,290,,,-1819922,149444,0,53022,8273,-65597,936,3483.0,19445.0,2016年01月01日至2016年09月30日,590087,138146,-451941,-135611,-34813,33265,,-1080.0,0.0,170600.0,1410211,-206670,9589.0,-3483.0,310851,-161420,149431,1450520,1657.0,0.0,0.0,583.0,11518.0,-71059.0,0.0,0.0,-187697.0,234136.0,,168876,138146,-6900.0,1118,,-120000,,,,-88820,-40989.0,30506.0,
