date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得持有至到期日金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融負債增加（減少）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付設備款增加
2013-05-10,1,2013,471484.0,-61087,-176134,17111,-82217,,,,1704.0,,,,36921,-1889,-372203,0.0,-3369.0,,181457,0.0,400.0,,-286089,0.0,-72313,8996.0,-4942,-55003,21240,111.0,-498654,255439,-9009,-401,4236,-36664,,,,2013年01月01日至2013年03月31日,1317089,819667,-24695,-497422,224267,,-71945,62444,,141095.0,,75066,224267,,-222229,-411078,-633307,0,244,1266.0,1185,300.0,-161823,819667,-97725,7897,,,,,9145.0,,-126696
2013-08-07,2,2013,660764.0,-457210,-76192,36342,-31230,46904.0,,-12231.0,,,,,74340,-1967,-533711,0.0,-3369.0,,82272,0.0,-2422.0,,-450988,0.0,-33337,9364.0,-9925,527054,12829,118.0,-725500,520665,-3233,-2638,8705,-65070,,,,2013年01月01日至2013年06月30日,1317089,1235275,-35098,-81814,848000,,926349,1499491,,186439.0,,-280696,848000,,-63705,54432,-9273,0,302,20672.0,2458,-3575.0,651491,1235275,-508072,1583,,,0.0,,12052.0,,-241645
2013-11-13,3,2013,1020027.0,-569115,-97050,42667,-60920,14789.0,,-131925.0,,,,,113277,-3205,-1391519,-5100.0,-3369.0,,48585,0.0,-8925.0,,-267957,0.0,-267237,8420.0,-14952,231305,21397,117.0,-1835533,787152,-3330,-7646,12443,-113848,,,,2013年01月01日至2013年09月30日,1317089,1173432,8885,-143657,1585733,,1444852,2213172,-665355.0,1106239.0,,250229,1585733,,-313083,-79505,-392588,200000,800,39195.0,2583,-9769.0,627439,1173432,-654472,2579,,,193412.0,61938.0,,,-349479
2014-03-28,4,2013,1198456.0,-1065902,21239,48376,-192340,,,0.0,62182.0,,,,149030,4312,-2124341,-21000.0,-3369.0,,-25816,0.0,-206260.0,,-173460,0.0,220423,17434.0,-20172,-309225,-25020,64.0,-2737281,1056257,-6493,-11069,16626,-149458,,,,2013年01月01日至2013年12月31日,1317089,1185673,-28789,-131416,2504310,,2441736,3303764,-665355.0,791246.0,,159817,2504310,,307536,-706538,-399002,929280,2698,39195.0,2456,-9770.0,799454,1185673,-712570,7674,,0.0,190720.0,41857.0,,,-486386
2014-04-30,1,2014,230725.0,-145130,-41842,-1477,19608,,,-24796.0,,111.0,,,41502,2070,-171031,,0.0,,-5943,,-76389.0,,-310588,,27487,-14035.0,-5257,-279270,26406,21.0,-352418,269903,-2792,-3786,3338,-41882,,,,2014年01月01日至2014年03月31日,1185673,1782238,-79624,596565,640663,,197838,294906,,648335.0,,749075,640663,,-29846,-546636,-576482,83000,656,0.0,554,0.0,-345757,1782238,-55186,928,,,168127.0,3742.0,,-8410.0,-72448
2014-08-11,2,2014,656012.0,-702052,-4746,40283,111512,-341590.0,,-24249.0,,111.0,,,85753,-3169,-190105,,0.0,,8815,,-3328.0,,-459764,,67702,-13009.0,-10556,-215165,48863,13.0,-887537,543219,-2792,-4298,7364,-86443,,,,2014年01月01日至2014年06月30日,1185673,2246912,13132,1061239,1144632,,973578,1373541,,437108.0,,978367,1144632,,90243,-517346,-427103,1085740,1523,0.0,1507,0.0,228909,2246912,-313520,-51,,,168127.0,460.0,,,-329788
2014-11-06,3,2014,957037.0,-803341,123912,23233,1863,-362640.0,,-42061.0,,111.0,-18019.0,,129496,-36268,-491896,0.0,0.0,,-1741,,185714.0,,-162108,,41324,,-15904,-375031,-24201,54.0,-1189769,815810,-2792,-8466,11167,-129902,,,,2014年01月01日至2014年09月30日,1185673,2169402,-32038,983729,2047582,,1979349,2620987,-685316.0,,-223719.0,230417,2047582,,178637,-562269,-383632,1790570,1523,0.0,1490,0.0,573405,2169402,-511736,6956,-9886.0,,168127.0,34252.0,,,-462390
2015-03-23,4,2014,1128791.0,-1429649,300888,19434,18292,-346922.0,,-60385.0,,111.0,-97102.0,-14401.0,172112,-12029,-733419,0.0,0.0,,-1272,,185481.0,,-86133,,333689,-10458.0,-21279,-698485,-1396,256.0,-1640252,1091917,-2792,-10055,14587,-173214,6516.0,,,2014年度,1185673,2460006,-164532,1274333,2910942,,3219265,3913028,-685316.0,,-703819.0,-292651,2910942,,643809,-770514,-126705,2226380,1731,0.0,820,0.0,1002086,2460006,-527065,13563,,9200.0,321032.0,16741.0,,,-589636
2015-05-11,1,2015,,-301459,-208673,-9188,-143427,48278.0,,-3653.0,,112.0,,-6111.0,43889,-98564,-286743,,,-256907.0,3698,,-3253.0,,-454549,,233932,8022.0,-5414,-144546,29414,,-727158,319845,-13563,-3675,3967,-41650,4624.0,,360113.0,2015年01月01日至2015年03月31日,2460006,2042348,-16335,-417658,555403,42.0,28090,212980,,607847.0,,379974,555403,,24135,-726671,-702536,79000,196,,-183,,-342423,2042348,-147864,-6322,,,0.0,21228.0,,0.0,-225076
2015-08-11,2,2015,,-1028475,-124498,-34911,-115494,45113.0,1277.0,17766.0,,112.0,,-8733.0,86013,-92542,-627314,,,,4646,,-6924.0,,-784965,-240853.0,464015,-5955.0,-10871,-274548,-77167,,-1355888,654709,-13563,-7991,8097,-83820,14753.0,3224.0,759866.0,2015年01月01日至2015年06月30日,2460006,2196733,-27348,-263273,1126731,38.0,356913,919549,,401071.0,,828244,1126731,,298689,-1265737,-967048,1225740,715,,-334,,-207182,2196733,-493569,3412,,9508.0,239502.0,37775.0,,,-547615
