date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存入保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2015-03-17,4,2013,43522,-9561,31516,-1919,712,,86,,-239,7151,10759,-148000,4066,,,0,-70144,9877,,-33679,-142422,34427,,794,-7151,239,,2013年01月01日至2013年12月31日,145648,47912,-97736,91698,,26853,42781,0,,18554,,7074,91698,63831,-156270,-92439,0,,680,,-48917,47912,-8777,767,-58,-53245,,1273,22438
2015-03-17,4,2014,48800,-10407,9999,-43681,-31848,,-66693,,-604,8758,13510,-43481,-15276,,,4427,-17219,-5967,76380,-74533,-50325,37184,,903,-8758,604,,2014年度,47912,152942,105030,262736,,186570,212102,,,9363,,-44725,262736,67091,-166525,-99434,,,0,,-50634,152942,-16774,2388,171,23768,,3401,-13321
2015-08-06,2,2015,,,-3003,,17040,,29547,,-635,2028,-8918,-18395,,-115376,,,-28960,236,114667,756,-133136,21319,,459,-2028,635,18364,2015年01月01日至2015年06月30日,152942,252277,99335,141811,,273499,303245,20000,,,-52110,-32110,141811,106035,37035,143070,,,,,161434,252277,-27718,-4719,-88,18652,,,-5865
2016-03-28,4,2015,,0,29287,,19691,14949,15336,0,-2031,2507,-10641,-27331,,-255797,,0,-86951,967,261898,-111730,-280901,41978,-3254,923,-2507,2031,51572,2015年度,152942,622893,469951,302815,,456773,509179,406560,,,-101840,304720,302815,294987,-140195,154792,,196,-36,,206364,622893,-49899,6304,1927,23459,,,-8860
2016-05-09,1,2016,,,-7208,,4782,-14931,25003,,-1164,0,-4326,-6236,,0,3978,,63755,-1280,-81890,63112,53608,10361,-5596,241,0,1164,10642,2016年01月01日至2016年03月31日,622893,786179,163286,72155,58675,110026,123144,0,,,0,3978,72155,-106751,147098,40347,,5,-1,,50989,786179,-13118,527,678,-9554,,,4154
2016-08-10,2,2016,,,1727,,7326,-14930,43026,,-1944,0,-25346,-21522,,0,1938,,47729,477,-336064,91576,208869,21489,-5910,484,0,1944,21344,2016年01月01日至2016年06月30日,622893,757775,134882,156704,,-50579,-28409,0,,,0,1938,156704,-344886,138429,-206457,,5,-1,228442,-185113,757775,-22170,854,462,-51228,,,9814
2016-11-09,3,2016,,,-5703,,9420,-14930,48376,,-2447,0,-53557,-51895,,0,939,,9538,-2059,-332172,99401,81693,33894,-6295,604,0,2386,33124,2016年01月01日至2016年09月30日,622893,466475,-156418,221599,,46907,73064,0,-232400,,0,-231461,221599,-358413,176754,-181659,,5,-1,229292,-148535,466475,-26157,857,217,10019,-98095,,2746
