date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預收款項增加（減少）
2013-05-06,1,2013,0.0,711800.0,-194988,112833,102092,-510,75314,13332,-6402,-20858,14213,-93679,-1607320,,,-5854,-3.0,,-5421,41411,0.0,-5365,0.0,-41310,,-150343,,47262,4055.0,187717,-8035,-5060,-1045.0,-1613611,729081,0,,3558,-15356,29096,,2013年01月01日至2013年03月31日,10054725,9946855,-107870,842511,,1817694,1805457,,0,-127195.0,-218274,842511,101150,149996,251146,0.0,4931,,-1366,,,,962946,,9946855,-1503,-7407,62498.0,,-91828,13074
2013-07-29,2,2013,,1394733.0,-467596,422552,77548,-337,39,-12609,-10427,-42923,29827,-148391,-2149152,,,-7539,-11.0,,-33857,25032,,0,32895.0,-3065,,46608,,48344,1014.0,-168043,-88343,-14768,-2107.0,-2104204,1456920,0,,6154,-29139,50625,,2013年01月01日至2013年06月30日,10054725,10445301,390576,1780405,,3000123,3379364,,0,-20457.0,-356952,1780405,523081,-318855,204226,0.0,9012,10591.0,-1970,-5007.0,,,1598959,,10445301,-400727,-14411,106069.0,0.0,-98811,6631
2013-10-28,3,2013,,2155979.0,-801617,427380,-34484,-371,-28904,20473,-6190,-66567,41648,-124251,-2977240,,,-16678,-19324.0,,11367,14037,,0,35408.0,-11500,,44688,,-3025,0.0,36697,-70258,39683,-3140.0,-2954622,2190241,-200000,,10585,-43121,75594,,2013年01月01日至2013年09月30日,9631668,9274420,-357248,2750070,,4682539,5062559,-1338000.0,0,-182002.0,-1960914,2750070,425501,-268991,156510,260364.0,12615,10597.0,-4938,-10732.0,,,2312489,,9274420,-412493,-15625,86304.0,0.0,-43041,-11498
2014-01-27,4,2013,,2832460.0,-1070196,515199,188275,-917,16059,-8492,-9058,-87324,55589,-163629,-3629501,,,-21302,-78426.0,,-27767,14349,,0,24578.0,-31882,,-28573,163.0,-243,0.0,150701,-84700,-13234,-4184.0,-3676195,2915154,-700000,,15563,-56613,98539,,2013年01月01日至2013年12月31日,9634725,9787827,153102,3663348,,6077233,6450000,-1338000.0,0,-217195.0,-2084307,3663348,486395,-532203,-45808,305065.0,17859,10597.0,-5074,-10732.0,,,2786652,,9787827,-414693,-22949,221670.0,0.0,-22896,-12026
2014-05-05,1,2014,,718875.0,-279985,-30478,-112982,508,-12957,15762,-1989,-22057,14980,-35415,-792349,,,-9229,0.0,,-957,59465,0.0,0,1870.0,42175,,-83433,-163.0,-1780,0.0,-274443,105765,47228,-994.0,-778437,729336,-40000,,4694,-14174,21849,,2014年01月01日至2014年03月31日,9787827,10276558,488731,893789,,1270018,1263851,,155335,0.0,32565,893789,-129381,-219432,-348813,70000.0,1412,,90,,19859.0,,370062,,10276558,-1508,-7211,27750.0,,-1456,424
2014-07-28,2,2014,,1430455,-660622,336084,-47294,703,-40608,16497,5223,-48175,30204,14548,-1453536,-50000,,-18951,0,,-2812,0,-14267,0,1740,-144248,,271955,-163,3900,0,-779587,56911,61630,-1994,-1460218,1477991,25,,12036,-28955,46760,,2014年01月01日至2014年06月30日,9787827,11191807,1403980,2341860,,3003487,3483873,,465794,0,-153837,2341860,595456,-883898,-288442,70000,1387,51619,89,-25637,7523,,1142013,,11191807,-498191,-13241,-14742,0,-53758,26282
2014-10-27,3,2014,,2178017.0,-960102,410613,-165957,680,2744,-7649,1801,-72027,43577,-26462,-2531641,-50000.0,,-21931,0.0,,-13099,-20574,,-850,0.0,-246774,,415265,-163.0,-1261,0.0,-736037,44583,67613,-1975.0,-2512536,2245572,-27937,,18947,-43791,69634,,2014年01月01日至2014年09月30日,9787827,10552808,764981,3531894,,4646367,5454975,-1561000.0,879831,0.0,-1342388,3531894,832044,-1086980,-254936,70000.0,7930,51620.0,835,-26069.0,32336.0,,1923081,,10552808,-834451,-19719,249457.0,0.0,-17303,6821
2015-02-09,4,2014,,2958452.0,-1238051,411866,45116,622,-2478,-26170,-9195,-96170,56482,-11563,-3348791,-50000.0,,-32271,0.0,,5876,0,-33678.0,-3661,0.0,-157472,,101197,-163.0,942,,-32739,124063,63131,-3973.0,-3331389,3018003,28033,,26567,-57162,93723,,2014年度,9787827,11541615,1753788,4151072,,6887088,7688412,-1561000.0,225442,0.0,-1790348,4151072,529331,49557,578888,524402.0,8113,51620.0,724,-26135.0,43601.0,,3537340,302.0,11541615,-837885,-26895,292537.0,,14168,21638
2015-04-27,1,2015,,,-345370,-156716,47947,66,-23107,21341,5953,-22103,12229,37151,-1184823,,,-9899,,,-9906,7216,,-549,0.0,11635,,-191620,0.0,-1983,0.0,23021,95867,5767,,-1130455,770527,16259,,7762,-13071,21175,720385.0,2015年01月01日至2015年03月31日,11541615,11333298,-208317,670948,-1071.0,1195410,1190243,,57957,,-310423,670948,-389090,188000,-201090,0.0,0,46520.0,0,-30957.0,,18296.0,519295,-44.0,11333298,-2937,-7167,-30226.0,,-39856,-14549
2015-07-27,2,2015,,,-694869,-30702,-54177,-333,-20128,3820,10298,-44386,25628,9331,-2406764,0.0,,-17452,,0.0,-11817,7878,0.0,-1003,0.0,17812,,-274535,0.0,35028,0.0,-36700,80412,1054,,-2338296,1560671,17317,,15434,-25180,48525,1622978.0,2015年01月01日至2015年06月30日,11541615,11375431,-166184,1325694,-2128.0,2186036,2611484,,352453,,-23255,1325694,-302916,-34272,-337188,311283.0,1674,46520.0,108450,-31068.0,,38729.0,1285790,-87.0,11375431,-448793,-14099,,14165.0,-73775,-10364
2015-10-26,3,2015,,,-914159,-89780,63656,-1399,-9215,6302,5484,-64920,39308,10011,-3586096,0.0,,-25880,,,-13088,-21500,,0,1756.0,-13353,-32895.0,-26730,0.0,-3368,0.0,-568899,-12882,4887,,-3526462,2370896,1582621,,24242,-39197,69486,2428110.0,2015年01月01日至2015年09月30日,11541615,11997572,455957,2197976,-3181.0,4685588,5456397,-1784000.0,1610674,,-713180,2197976,-147639,977950,830311,428700.0,1687,46520.0,108738,-74577.0,,35551.0,3258421,67.0,11997572,-801098,23309,0.0,14202.0,-88467,-15432
2016-02-01,4,2015,,,-1310123,73374,111215,-774,-2035,-44397,13291,-86116,56968,10806,-5000206,0.0,,-44806,,0.0,-19603,0,-29106.0,-363,0.0,-122467,-32885.0,10050,0.0,14473,,-529703,187497,4417,,-4961460,3196903,1623650,,34432,-55519,90561,3250171.0,2015年度,11541615,12746307,1204692,3205248,-4241.0,6938575,7717811,-1784000.0,1288134,,-783229,3205248,80367,1182025,1262392,1084751.0,1680,46520.0,108807,-30845.0,,35715.0,4512563,-8.0,12746307,-814278,-24586,0.0,14211.0,-60704,-11246
2016-04-25,1,2016,,,-145550,-291836,-132919,671,14619,-11618,5661,-19975,17930,598,-1337690,,,-6603,,,-20022,3556,,-5199,,130402,,-277191,,-16862,,612553,-59416,1767,,-1344973,860644,-63979,,8731,-18325,19751,847214.0,2016年01月01日至2016年03月31日,12746307,12282263,-464044,564598,-1037.0,1296268,1302196,,0,-273943.0,-415937,564598,-572078,462462,-109616,,4446,0.0,3382,0.0,,73.0,737598,-119.0,12282263,-7354,-3476,,,-20660,348
2016-07-25,2,2016,,,-317991,-155630,158950,1162,4101,-38087,13433,-39573,35865,-420,-2583918,,-450000.0,-14752,,,-15024,0,-265.0,-5087,,-106419,,-11224,,-18943,,195014,6683,-2411,,-3046362,1730427,210174,,18384,-34874,39470,1769044.0,2016年01月01日至2016年06月30日,12746307,12005613,-740694,1261478,-2065.0,3041886,3266472,,0,-417542.0,-735798,1261478,-186157,422107,235950,0.0,4774,0.0,45203,-10920.0,,2621.0,2004994,-294.0,12005613,-229182,4682,,0.0,-16392,-2102
2016-10-24,3,2016,,,-523419,-275075,-170354,308,16373,12787,24149,-55698,52850,-9498,-3826638,,-450000.0,-20295,,,-12339,-9420,,-4492,0.0,84530,0.0,-34905,,-13630,,-46111,-172735,-660,,-4277348,2611003,382589,-10.0,25310,-55322,55974,2655413.0,2016年01月01日至2016年09月30日,12746307,10627205,-2119102,2005038,-3089.0,3983168,4472878,-1559075.0,0,-523510.0,-1815424,2005038,-289485,101912,-187573,800000.0,19022,0.0,42808,,,5055.0,2467840,-294.0,10627205,-490362,-8511,,0.0,-12591,21135
