date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券減少,應付票據增加（減少）,應付租賃款增加,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-05-13,1,2013,32047.0,-7370,-33928,-10926,1865,-142,,-48992.0,1992,,,-5468,4514,26409,-16296,,,-810,11,,,-165,-1320,,-31374,,4304,0.0,-4137,,104312,-760,-53.0,-73610,27083,-2797,,2074,-4224,,1598,6.0,,2013年01月01日至2013年03月31日,420992,554229,216.0,133237,17855,,64272,72775,,64051,,116166,17855,-6.0,-31949,54822,22873,59650.0,127,,-118,,,,54920,0.0,554229,-5883,,1749,0.0,-3491,-6319
2013-08-13,2,2013,61820.0,-92731,11866,-52410,4228,-2412,,-2222.0,3287,,,-10736,8938,41114,-38242,,,-1111,-3631,,,-49,-1516,,-51655,,11367,0.0,-3865,,5530,-801,-4943.0,-47929,55276,-2791,,4259,-8558,,5743,6.0,,2013年01月01日至2013年06月30日,420992,405513,111.0,-15479,42439,,-5687,11459,,1397188,-1367385.0,-2977,42439,-6.0,18653,-111453,-92800,60000.0,1979,,-547,,,,-30980,0.0,405513,-14337,,4869,0.0,-6914,-6817
2013-11-11,3,2013,103385.0,-118209,12675,-21353,11239,-800,,-75799.0,6019,,-204.0,-15578,13416,13080,-64914,-112307.0,,-4033,-3586,,,19148,-566,,-17385,,-1843,0.0,-3492,,31961,96,-9280.0,-264968,84154,9193,,13631,-13580,,8573,12.0,,2013年01月01日至2013年09月30日,420992,453308,1719.0,32316,62035,,163264,187295,-55366.0,1768741,-1642084.0,120940,62035,-12.0,9299,12576,21875,148710.0,1988,0.0,-227,,,,125260,0.0,453308,-19036,,3849,0.0,10864,-9133
2014-03-28,4,2013,145858.0,-143561,26959,-93987,17330,-1515,,-65888.0,11977,,-4097.0,-19704,19507,25923,-83907,0.0,-113200.0,-5431,-4139,,38462.0,-19896,-2581,2553.0,-60747,,7023,0.0,4337,,60299,-1404,-9297.0,-283905,113675,9803,,17953,-19465,,23945,12.0,,2013年01月01日至2013年12月31日,420992,630908,,209916,103042,,190132,207554,-55366.0,2727553,-2490906.0,277766,103042,-12.0,46352,-87698,-41346,150563.0,2484,0.0,1618,,,989.0,104512,,630908,-21914,70917.0,3994,0.0,-147,-13838
2014-05-12,1,2014,31093.0,-18000,113434,-295347,-8586,-622,,-4005.0,2070,,-4525.0,-3471,7930,20476,-25431,,,-5231,-10878,,,0,-1814,1141.0,-15695,,12533,,-7665,,31526,871,-169.0,-62629,27137,8151,1741.0,4378,-7085,,3260,0.0,,2014年01月01日至2014年03月31日,630908,643203,0.0,12295,42381,,-98596,-88426,,965375,-794331.0,153044,42381,0.0,109547,-271447,-161900,0.0,4266,,603,,,,-130807,,643203,-6345,,1583,,-331,-27030
2014-08-11,2,2014,76153.0,-36000,69309,-8681,-10799,-1207,,957.0,8866,,-4525.0,-7893,16959,-7070,-74258,,,-5717,-13656,,,0,-3361,1714.0,-39940,,435,,-654,,-58082,856,-234.0,-97823,56478,7734,2349.0,8372,-14637,,8167,0.0,,2014年01月01日至2014年06月30日,630908,832269,270.0,201361,95913,,68645,86728,,2108827,-1835218.0,237609,95913,0.0,58057,-143395,-85338,0.0,4266,,705,,,,-9185,,832269,-11613,,3703,,-44075,-16899
2014-11-14,3,2014,-18491.0,-54000,84346,-175027,-25025,-5770,-5707.0,,13504,-4525.0,,-13259,26708,-5821,-167625,0.0,,-8255,-14775,,0.0,0,-1816,2292.0,-45666,,74345,,-10052,,-45632,579,-263.0,-60141,84674,7824,3023.0,13961,-23943,,11834,0.0,,2014年01月01日至2014年09月30日,630908,727126,2767.0,96218,272847,,14647,77375,-72942.0,3113350,-2838875.0,147533,272847,0.0,123351,-300332,-176981,0.0,14042,,540,121774.0,-138421.0,,-195472,,727126,-50619,,2787,,-36640,-10321
2015-03-23,4,2014,27860.0,-72000,57105,-229538,-31042,-4809,,-12059.0,17338,,-4525.0,-17895,37667,77100,-222683,,0.0,-9716,-14182,,0.0,-2947,-3407,3816.0,-61564,,37471,,-11117,,-18242,762,-343.0,-160875,117957,-788,3738.0,18490,-34545,0.0,18642,0.0,,2014年度,630908,735496,,104588,293978,,-51841,20616,-72942.0,4524815,-4183004.0,240204,293978,0.0,52074,-353296,-301222,46282.0,9643,,960,121774.0,-138421.0,0.0,-273362,,735496,-56554,0.0,2208,,-39117,-43718
2015-05-13,1,2015,,-18000,-58721,-159114,-5692,1815,,-1584.0,4832,,0.0,-4253,10611,-46547,-43896,,,-2170,-1125,,,-506,-2395,2.0,30512,,18940,,990,,31205,14,,-82875,33255,6,2004.0,5473,-10326,,2510,,52317.0,2015年01月01日至2015年03月31日,735496,745396,,9900,7463,-35.0,-99950,-85852,,957597,-699819.0,239272,7463,,-44518,-101114,-145632,,0,,142,,,,-93315,,745396,-6282,,1378,,-5552,-32832
2015-08-12,2,2015,,-36000,-52322,-135358,-2209,-6095,,-30783.0,14355,,0.0,-8455,23001,-98521,-89871,,,-4209,-460,,,-506,-2588,0.0,50088,,13568,,530,,-423,286,,-170887,65170,355,2975.0,10864,-22123,,8128,,110737.0,2015年01月01日至2015年06月30日,735496,656437,0.0,-79059,34495,-70.0,-24288,5345,,2464050,-2212907.0,214637,34495,,-40503,-99384,-139887,,146,,464,,,,-29150,,656437,-15638,,2823,,-8237,-43582
