date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產（增加）減少,其他負債增加（減少）,其他資產（增加）減少,其他金融負債增加（減少）,其他金融資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,員工福利負債準備增加（減少）,員工購買庫藏股,央行及同業融資增加,央行及同業融資減少,央行及銀行同業存款增加（減少）,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,庫藏股票買回成本,應付款項增加（減少）,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產及設備,處分及報廢不動產及設備損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,金融資產減損損失,金融資產減損迴轉利益,附買回票券及債券負債增加,附買回票券及債券負債減少,非金融資產減損損失,非金融資產減損迴轉利益
2013-04-29,1,2013,-711992.0,-5069551,-31010,-69713,-1134,1439,-1300150,293298,54528,-2470,,,285760,0.0,-19747,,-1018005.0,,1613125,,1851103,,-185266,5055,610653,9523,257227,0.0,-276514,1237972,,2013年01月01日至2013年03月31日,51595236,49895589,-1699647,1180129,-1983422,-2918221,,41739321,3183110,-381406,1180129,0.0,3229325,-6615683,-3386358,,-423,613123.0,,-4098350,-2975961,4973158,-26659,2254,1235821,,,636599,,,
2013-07-29,2,2013,-1647988.0,-7020782,-101310,-254131,-2269,1506,-2660363,589036,45016,-3705,-1683533.0,,442348,0.0,-43866,,69270.0,0.0,4951002,-130741.0,6117454,,-88676,-34151,-1575533,19234,288205,0.0,-597848,2568637,,2013年01月01日至2013年06月30日,47627698,49746141,2118443,2195643,1570847,13207,,33256763,1365051,2078113,2195643,0.0,10979149,-11513597,-534448,111705.0,-38243,,,-2182436,-5924172,15124327,-413149,146814,1560669,,,2008843,,,
2013-10-21,3,2013,-2681399.0,-7804737,-126715,-207942,-549,430,-4102743,904632,24242,-5949,-1463058.0,,526315,0.0,-75070,,,-303930.0,7865491,-257807.0,6695502,,-1159169,-21222,-1357302,29051,315176,0.0,-875161,3871151,,2013年01月01日至2013年09月30日,47627698,48480407,852709,3465364,836960,-1581534,-1801852.0,33279642,494238,1348809,3465364,0.0,13228374,-15593873,-2365499,111705.0,-38654,,,-5046898,-9567222,14706527,-577496,28884,1949451,,,3454591,,,
2014-02-24,4,2013,-3612318.0,-6663299,-121769,-178004,-3498,-573,-5563599,1222437,42043,-7942,-1289949.0,,567374,0.0,-92062,,,-1217530.0,7085074,-208212.0,6211301,,-1314203,-208844,-1186186,39098,343988,0.0,-1212962,5354785,,2013年01月01日至2013年12月31日,47627698,50114079,2486381,4762541,145464,-3390110,-1801852.0,33537556,248029,3485060,4762541,0.0,11849698,-16390031,-4540333,111705.0,-39081,,,-8152651,-11565845,16328494,-606249,84855,2090758,161453.0,,6504442,,,
2014-04-28,1,2014,-1209810.0,-5303350,19230,-17848,-302,2022,-1505099,328332,23969,-3278,,,-41435,,-15500,,-172400.0,,904259,21998.0,1988061,,-268765,202162,1036001,8818,21722,,-279752,1361842,,2014年01月01日至2014年03月31日,50114079,48248025,-1866054,1450177,-6384950,-7443909,,31951650,305974,3458926,1450177,,2574996,-10259272,-7684276,,-426,1039279.0,,-8894086,-4727579,15990401,-23131,-51987,-458399,,,3631326,,,
2014-08-11,2,2014,-2358896.0,-5039824,-93874,-17374,-542,2403,-3080121,669371,-19402,-4090,1141162.0,,72623,,-34248,,0.0,-393375.0,-2644224,-117135.0,5375313,,-220259,188496,1245037,17386,50011,0.0,-682164,3156904,,2014年01月01日至2014年06月30日,50114079,49136475,-977604,3412465,-6462962,-8670547,,33047978,0,4259723,3412465,,2293333,-12017449,-9724116,107965.0,-52655,,,-12083012,-6433641,16088497,-267155,-88833,-650385,,,4653098,,14500.0,
2014-10-27,3,2014,-3654360.0,-10321900,-74011,88916,-781,2945,-4705456,1020482,22835,-14622,1065778.0,,47308,,-47514,,0.0,-1185668.0,-3081910,-204069.0,9696043,,83843,202978,1159121,26617,72657,0.0,-992315,4605477,,2014年01月01日至2014年09月30日,50114079,44761434,-5352645,4732724,-11729108,-14990718,-1801852.0,30143814,230215,5194507,4732724,,6630775,-22699857,-16069082,107965.0,-53081,,,-19723442,-11193882,14387405,-351552,55105,-1347502,,,8182027,,0.0,9770.0
2015-02-16,4,2014,-4865745.0,-16983303,2908,-262569,-1177,2592,-6331857,1378258,82291,-26597,2114969.0,,114470,,-57872,,543484.0,0.0,-2582206,-1169661.0,13643425,,597559,194781,2259154,37069,83843,,-1378813,6458617,,2014年度,50114079,40387931,-9726148,6033388,-16059070,-20754381,-1801852.0,27750525,772295,3991477,6033388,,12103493,-34025517,-21922024,170782.0,-61263,,,-26787769,-14102596,11865111,-384493,500856,-1788604,0.0,-10784.0,5249845,,8362.0,
2015-04-27,1,2015,,-1860143,2362,85301,0,-5643,-1675043,362645,-29948,-4342,,,-10640,,-15043,,,-2022009.0,4799773,-65451.0,2661876,,-270995,-9494,542462,10075,0,,-327939,1544352,-1366545.0,2015年01月01日至2015年03月31日,40387931,39983433,-404498,1325579,4874055,3679561,,26149938,2181994,-5791067,1325579,,6888209,-3167682,3720527,,0,,546804.0,2353982,-1192618,11651501,-21919,-289764,-119634,,-53582.0,0,-3769058.0,,
2015-08-03,2,2015,,-2533155,122602,15806,0,350,-3289843,719578,-55648,-17027,,,119060,,-34753,,0.0,-804034.0,7686529,402778.0,4136750,,-262932,-57437,573266,21212,0,0.0,-736248,3245820,-2456320.0,2015年01月01日至2015年06月30日,40387931,40091218,-296713,2924501,6731295,5027331,,26404616,2485514,-7545626,2924501,,11312958,-6753808,4559150,250.0,-175,,590043.0,2102830,-3327448,11201088,-805608,-335238,-1254702,,-26152.0,0,-6741592.0,0.0,
