date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收款項增加,應收款項減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付投資款增加,預付款項（增加）減少,預付費用（增加）減少
2013-05-09,1,2013,67423.0,,-5000,144798,-1529,-2261.0,-11356.0,-2662,-1575,174.0,,-432194.0,,,164,0.0,,21519,6270,99074,-12343,,,,,,,0.0,-141035,,-57731,1921.0,,,874,2237,,,1678,-492582,39064,,,1176.0,-2983,-21519,,,2013年01月01日至2013年03月31日,2019631,1883355,-136276,234299,,144141,144141,,,121074.0,,113091,234299,,87374,-244955,-157581,,0,,,,1025,,,,,-90158,1883355,-15334,-1631,,,,,-102470.0
2013-08-09,2,2013,44521.0,,-26500,122956,-2207,,,12719,-1597,,,,733.0,,-16420,,-12777.0,-34301,13596,157341,-27395,,0.0,-24595.0,,-515186.0,,,36717,,-121827,,,,412,23940,,,1003,-545006,78749,,1438.0,,-7536,34301,0.0,,2013年01月01日至2013年06月30日,1545241,2058165,512924,423310,340586.0,340586,430887,,0.0,593306.0,0.0,560003,423310,0.0,14260,-51204,-36944,,4289,,,0.0,1154,0.0,0.0,,,7577,2058165,-90301,-3338,,,,,-109060.0
2013-11-07,3,2013,63686.0,,0,-10629,219,,,12996,-8256,,,,1291.0,,-13901,0.0,-12777.0,-53488,19479,115870,-44117,,,-24595.0,,,,,-20741,,-80596,,100000.0,0.0,247,52385,,,7572,380976,115734,,-2130.0,,-9898,51755,539.0,,2013年01月01日至2013年09月30日,1545241,2170766,625525,611185,,337414,512678,-527505.0,0.0,208877.0,0.0,-208735,611185,-539.0,-77982,-84211,-162193,18500.0,4250,,,,1143,,407045.0,,0.0,-98507,2170766,-175264,-3736,,,,-115390.0,
2014-03-19,4,2013,70809.0,,0,2861,-12902,,,-7130,-2856,,0.0,,400.0,,-13831,,-12777.0,-79852,26206,155483,-76685,,0.0,-24595.0,-33426.0,0.0,,,-43973,,62632,,0.0,,-1982,85847,,,-1178,16473,153186,,-7590.0,,-15149,79852,4649.0,,2013年01月01日至2013年12月31日,1545241,2153597,608356,826030,,660667,898477,-527505.0,0.0,254487.0,0.0,-224267,826030,-4649.0,56381,-54743,1638,63500.0,4695,2643.0,,0.0,1033,-615.0,73171.0,,,72447,2153597,-237810,-4133,,,,-79681.0,
2014-05-08,1,2014,23578.0,,0,83168,-976,,,-4171,-5167,,,,0.0,-258.0,0,573.0,,-15093,5893,3059,-22842,,-5395.0,,-10000.0,0.0,,0.0,-11691,,-139028,,,,-373,147082,,,-22654,7354,39718,,-7808.0,2250.0,-3803,15093,537.0,,2014年01月01日至2014年03月31日,2153597,2221807,68210,202499,,242033,248279,,,0.0,-261842.0,-184236,202499,-537.0,-60404,82606,22202,81667.0,242,,,,29,,29146.0,,,45780,2221807,-6246,-874,,,,,-23988.0
2014-08-07,2,2014,46755.0,,0,83409,-180,,,-7438,-1967,,,,0.0,,-48937,,,-28640,11112,-42182,-28994,,-64276.0,0.0,-10000.0,-145357.0,,,29416,,-145619,,,-100000.0,5105,128315,,,-34940,-267642,77642,,-16460.0,4498.0,-7511,28677,537.0,,2014年01月01日至2014年06月30日,2153597,2054132,-99465,350309,,398037,439987,,,0.0,-247853.0,-187678,350309,-537.0,-64543,107466,42923,167686.0,708,,0.0,,14,,,,,89678,2054132,-41950,-874,,,,,-13178.0
2014-11-11,3,2014,24605.0,,0,21647,1138,,,9044,1997,,,,382.0,,-60049,,-24375.0,-61962,17429,15614,-52887,,-64276.0,0.0,-10000.0,-379722.0,,,40903,-32881.0,-168173,,,100000.0,-497,53622,,,-40914,-475446,117369,3853.0,-20071.0,6748.0,-12250,57828,5104.0,,2014年01月01日至2014年09月30日,2153597,1927596,-226001,616309,,526244,584176,-602648.0,,87742.0,0.0,-292413,616309,-5104.0,-134126,77388,-56738,134361.0,660,,,60777.0,299,-1896.0,,,,-32133,1927596,-57932,-3832,,,,,20642.0
2015-03-25,4,2014,61053.0,,-82298,-25899,6511,,,-14676,2165,-3895.0,,,0.0,,-8528,,-24878.0,-77883,22928,97604,-152686,,-64266.0,0.0,-10000.0,-923087.0,,,75758,-32881.0,-93335,,-90000.0,,-3127,185708,-10624.0,,-49913,-1046092,158773,4419.0,-21413.0,8997.0,-16413,76024,5104.0,,2014年度,2153597,1464664,-688933,833898,,886174,1024242,-602648.0,,0.0,-35260.0,-626619,833898,-5104.0,-136513,265804,129291,200000.0,11145,2940.0,,60767.0,950,-2808.0,0.0,,,190344,1464664,-138068,-1009,2500.0,,,45575.0,
2015-05-07,1,2015,,,0,3045,-23782,,,-6084,-3128,,,,0.0,0.0,-77470,0.0,,-20358,6015,-21704,-13000,,-77720.0,,0.0,,0.0,0.0,16222,,-135433,,,-10000.0,-639,257145,,10624.0,-39634,69987,40847,,-7006.0,2249.0,-4783,14642,0.0,23936.0,2015年01月01日至2015年03月31日,1464664,1678071,213407,110657,,214544,224983,,,0.0,-1313.0,-49420,110657,0.0,-139111,229501,90390,-33324.0,178,,,,0,,,212733.0,,114326,1678071,-10439,2189,,,,,22678.0
2015-08-12,2,2015,,,-49983,21332,-24216,,,-4742,-3103,,,,,,-78713,,,-37079,10785,-62974,-25374,,-169618.0,,0.0,,,,9121,,-134144,,,190000.0,814,275160,,10624.0,-1552,560994,81188,0.0,-24465.0,4394.0,-8427,30293,555.0,37990.0,2015年01月01日至2015年06月30日,1464664,2268938,804274,250554,,370524,450520,,,,-195860.0,-64270,250554,-555.0,-116740,278716,161976,0.0,3402,,,,-1215,,,789825.0,,199966,2268938,-79996,4937,,,,23306.0,
2015-11-10,3,2015,,1889.0,-83307,9499,-30447,,,10248,-6794,,,,0.0,,-62089,,0.0,-57140,15813,58235,-52304,,-180745.0,,-395.0,,0.0,,56919,414.0,-77095,,,-10000.0,3795,-62343,,10624.0,4324,698551,122971,0.0,-26334.0,6668.0,-12324,46639,4673.0,68971.0,2015年01月01日至2015年09月30日,1464664,2277998,813334,611773,,455542,589411,-624257.0,,,301229.0,-398994,611773,-4673.0,-53553,-37780,-91333,0.0,7764,,,0.0,-1199,0.0,,922081.0,,-22362,2277998,-133869,12865,,29665.0,,561.0,
2016-03-24,4,2015,,1889.0,-99966,-34068,-2788,,,-6394,-2780,-2001.0,,,,,-5559,,0.0,-78844,20089,-40073,-171885,-3800.0,-186160.0,,0.0,,0.0,,123550,-487.0,-73721,,,-10000.0,2531,112362,0.0,10624.0,-9626,605408,157854,0.0,-27656.0,8663.0,-15542,79458,4665.0,97647.0,2015年度,1464664,2459304,994640,798778,,884625,1042744,-624257.0,,266543.0,0.0,-455320,798778,-4665.0,-113653,259972,146319,0.0,33950,2999.0,,265406.0,8261,-971.0,,574308.0,,243966,2459304,-158119,14916,0.0,27902.0,,39254.0,
2016-05-10,1,2016,,,-33325,142439,-14620,,,25813,-10376,,,,0.0,0.0,7638,0.0,,-10222,7253,-31902,-20174,-12360.0,-69552.0,,0.0,,-58370.0,0.0,-3465,,-151693,,,0.0,-602,189165,,0.0,1991,-94650,35644,,-1198.0,1929.0,-6163,7823,0.0,16059.0,2016年01月01日至2016年03月31日,2459304,2550145,90841,161346,,274931,334613,,,0.0,-18050.0,-57538,161346,0.0,15957,141251,157208,0.0,21970,,,28375.0,0,-11.0,,0.0,,173267,2550145,-59682,-17336,,0.0,,,-21444.0
