date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還金融債券,其他各項負債準備淨變動,其他負債增加（減少）,其他資產（增加）減少,其他金融負債增加（減少）,其他金融資產（增加）減少,出售及攤銷不良債權之損失,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得持有至到期日金融資產,取得無形資產,呆帳費用提列（轉列收入）數,員工福利負債準備增加（減少）,央行及同業融資增加,央行及同業融資減少,央行及銀行同業存款增加（減少）,存入保證金增加,存出保證金增加,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,已收現之出售不良債權,應付商業本票增加,應付款項增加（減少）,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行金融債券,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產及設備損失（利益）,處分待出售資產,處分待出售資產損失（利益）,處分承受擔保品,處分承受擔保品損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,調整項目合計,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,附買回票券及債券負債增加（減少）,附賣回票券及債券投資（增加）減少,非金融資產減損迴轉利益
2013-05-08,1,2013,-1498549.0,,,,14323,-111819,-2653,-228148,,-2317260,859682,15111,-40871,,-2946205,1205840.0,-23964,282075,-21910,1337203.0,,698291,39581.0,-38414,-651207,9437899,,,-695320,-661152,418723,39084,0,-224,5902,-729309.0,2330248,,,2013年01月01日至2013年03月31日,10264038,9582076,-132021,-681962,904191,-2492580,-4075507,,,,,,1376784,904191,,,9477529,-12958678,-3481149,1480,,2241342,-300,,,19515.0,15104.0,5209,,-4979698,-877190,9582076,-18012,-171889,-6065381,-30143,,-191038,218788,-4363781.0,-34619
2013-08-14,2,2013,-2793804.0,1090.0,-2561664.0,,17036,-66936,25069,-246078,,-4762458,1751516,27978,-63318,,-3545629,,-42165,787204,-18940,851967.0,0.0,4749435,66492.0,-79760,-1087382,22713523,,,-178675,-1247808,4987688,82370,50000,537,10374,-1686734.0,4710300,287.0,,2013年01月01日至2013年06月30日,65866855,68520166,7949,2653311,1909518,-3219150,-5932450,,,2500000.0,54317532.0,4380862.0,856795,1909518,,-287.0,26997460,-32045624,-5048164,2190,0.0,2843525,6,,,19515.0,15104.0,3758,5802240.0,-7841968,-22326877,9821772,-310553,-308754,-7070543,9493,11610.0,-676361,-1234,,-34619
2013-11-07,3,2013,-4286548.0,1090.0,-2561664.0,,21105,-218352,27691,-269917,,-7299947,2664776,11016,-79031,,-3545627,,-47883,1018743,-15969,1708230.0,0.0,7762147,108504.0,-79668,-1464571,29945324,,,-4722111,-1415099,5465109,121615,550000,-476,17550,-2519505.0,7323934,18379.0,,2013年01月01日至2013年09月30日,65866855,66854693,-31157,987838,2879589,-6243357,-10548009,,,2500000.0,55960108.0,5027475.0,1755070,2879589,,-18379.0,32642761,-41783811,-9141050,2190,,2841805,52,0.0,0.0,19993.0,17014.0,3758,5802240.0,-13427598,-33145919,5867110,-518156,-365429,-5269953,-51192,11610.0,-703508,-9997,,-37007
2014-03-12,4,2013,-5334274.0,1090.0,-2561664.0,,161138,-166182,-9603,-288137,,-9917145,3606878,24265,-124208,,-3545627,0.0,-62600,1864173,-27490,2554034.0,0.0,3189960,,-98891,-1999449,44193574,,104136.0,-4662238,-2615009,5469223,160602,550000,-9708,24726,-3639685.0,9951168,18379.0,,2013年01月01日至2013年12月31日,65866855,72438282,-87290,6571427,3536979,-4286693,-10075636,,-231874.0,5500000.0,62296753.0,4550801.0,5364632,3536979,,-18379.0,42503406,-50781747,-8278341,2190,,2842748,912,0.0,0.0,102281.0,80660.0,3758,5802240.0,-13612615,-40633827,5590728,-540919,-436659,-5079143,-150726,0.0,-709794,94724,,-182941
2014-05-07,1,2014,-1584289.0,,,1300.0,45201,-3056378,-1514,47761,-68712.0,-2663227,974594,598,-26423,,-254254,,-29643,608509,2880,0.0,-1020963.0,5483519,,-36163,-2381839,6745755,343494.0,478.0,-659386,-28405,3175601,38861,0,-515,7947,,2661149,-810815.0,,2014年01月01日至2014年03月31日,72438282,69626965,-43566,-2811317,1131757,-4967031,-6786068,,,,57628811.0,5175963.0,-1020485,1131757,,,11354079,-17687615,-6333536,33,757.0,712400,250,,,0.0,0.0,43,2465400.0,-7917825,-1992997,6822191,-31297,-164495,-10275757,24307,,-464080,-97881,,0
2014-08-12,2,2014,-3278304.0,757.0,-49900.0,800.0,110287,-15022,-3673,28124,-68712.0,-5396325,1967339,-20094,-43678,,-1707577,,-30275,764152,4467,0.0,-1241666.0,3266401,,-42435,-2777099,7117011,343494.0,99911.0,-203608,-735549,1698327,76582,0,-1552,16829,-1918412.0,5336644,357.0,,2014年01月01日至2014年06月30日,72438282,69450470,-31275,-2987812,2316919,-3474390,-6538630,,,0.0,62006678.0,1654260.0,-1191655,2316919,,-357.0,9977725,-15554970,-5577245,33,,711800,263,,,808.0,1435.0,43,2465400.0,-8855549,-11979389,5789532,-354349,-211884,-76035,-150327,,-454956,-101276,,-2243
2014-11-05,3,2014,-5121078.0,757.0,-49900.0,800.0,102559,-415943,-5479,25578,-68712.0,-8236267,2953021,9310,-63460,-3000.0,-2109022,,-46025,833416,8642,0.0,-1582382.0,-759908,,-29853,-3381134,11834722,343494.0,195258.0,465059,-940707,1571862,113333,300000,-431,25963,-2761344.0,8177162,19437.0,,2014年01月01日至2014年09月30日,72438282,67836456,-140712,-4601826,3534822,-4745974,-9532877,,,0.0,60264020.0,485815.0,-1437024,3534822,,-19437.0,11341831,-19288452,-7946621,963,,711800,158,,,808.0,1435.0,43,2465400.0,-13067699,-16536773,7086621,-648352,-207680,1960527,-73698,,-507747,-96084,,-2243
2015-03-11,4,2014,-6212167.0,757.0,-49900.0,800.0,111515,-167898,-5985,16228,-68712.0,-11116277,3954300,88781,-1838149,-3000.0,-2109022,-812943.0,-74337,1982816,69797,0.0,-1468279.0,2355879,,-42407,-1736108,26261655,343494.0,234540.0,2922447,-1624607,-624036,151034,300000,-423,35284,-3927599.0,11068298,22437.0,,2014年度,72438282,78476334,-7976,6038052,4200243,8370503,1839414,,-513557.0,0.0,67378018.0,1545361.0,-1797196,4200243,,-19437.0,31339368,-27488030,3851338,963,,667600,158,,,808.0,1435.0,43,2942200.0,-2360829,-23605307,9552955,-632047,-290744,-370338,-96948,,-1026021,-85196,,-2243
2015-05-06,1,2015,,0.0,,0.0,60434,-289949,-292,1797,-2742.0,-2864420,1017065,-66099,-4094143,0.0,-500000,-1975708.0,-13809,68014,2848,219726.0,,5995131,,-60255,-94900,410479,84921.0,414.0,-2914363,210937,-6308445,38140,250000,-234,9721,-861070.0,2871567,,-1845670.0,2015年01月01日至2015年03月31日,78476334,76438434,30107,-2037900,1205959,4116504,2130396,,,,64445856.0,3449995.0,220140,1205959,,0.0,4156193,-1386086,2770107,549,,0,-540,,,,0.0,0,0.0,924437,7578973,8542583,-24389,-88516,-8792944,-119178,,-21603,690472,,0
2015-08-07,2,2015,,0.0,0.0,0.0,11871,-48890,4199,150917,-2742.0,-5733085,2047428,-81690,-4140516,,-500000,-2749587.0,-31354,69696,5696,306260.0,,5166378,,-73056,-1356175,7291787,84921.0,-39762.0,-3147169,951789,-5651500,77006,250000,580,20491,-2015359.0,5708982,346.0,-3762185.0,2015年01月01日至2015年06月30日,78476334,77869279,81672,-607055,2381174,4859637,1432795,,,,64984294.0,4279554.0,266498,2381174,,-346.0,9958477,-7144671,2813806,559,,1507533,-224,,,0.0,0.0,-7948,0.0,-948379,2413028,8605431,-267127,-123425,-9255340,-293110,,-21603,749140,,0
