date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,預付款項（增加）減少,預付費用（增加）減少
2013-05-09,1,2013,938.0,,,-1504,2313.0,7011,8508,2,-4375.0,9939.0,,,,,,-1380,1011,24284,-7917,,,,907.0,-93345,340865,43560,-474185,,7223,,2929,1307,,,-951,1360,,2013年01月01日至2013年03月31日,737722,714900,-22822,37761,-127886,-128285,,,77851.0,,77851,37761,389934,-556918,-166984,,,,-166046,714900,-10,,,-3057.0
2013-08-08,2,2013,9312.0,,,6452,626.0,392,4922,2,-2155.0,12451.0,,,,,6176.0,-1663,2004,37306,-11635,-19500.0,,,605.0,-229464,289144,101162,-568664,,-5491,,-18079,2783,,,-1941,1677,,2013年01月01日至2013年06月30日,737722,580660,-157062,73627,-338393,-325621,,,315859.0,-203755.0,162104,73627,397152,-805712,-408560,50000.0,,12.0,-399248,580660,-12508,,,-5486.0
2013-11-13,3,2013,12691.0,1913.0,,28002,,5348,-2669,2,-3459.0,18033.0,,,,,,-2756,4387,18757,-12622,-19500.0,,6687.0,140.0,-394718,683162,98218,-815633,-30364.0,4523,,-12036,4361,,,-4301,1871,,2013年01月01日至2013年09月30日,737722,928894,191172,117976,-321484,-298888,,0.0,455935.0,,505935,117976,814732,-1244287,-429555,50000.0,,12.0,-416864,928894,-20166,,,-1967.0
2014-03-26,4,2013,29646.0,1913.0,,31774,-28812.0,1224,12676,354,,,,,-10626.0,,,-5152,8032,24707,-13128,-19500.0,,15566.0,,-618238,540659,289301,-1261345,-87440.0,-57362,,-41134,5924,,5275.0,-8032,5152,,2013年01月01日至2013年12月31日,737722,791870,54148,180546,-984690,-967739,,0.0,1005265.0,,1055265,180546,863312,-2041243,-1177931,50000.0,207.0,1.0,-1148285,791870,-14071,0.0,-722.0,
2014-05-13,1,2014,6258,,,-26880,-39652,3498,-23749,54,,,,608,,386,,-2304,6968,22777,-1525,,,,,-279354,-22605,-16767,-42134,-2056,65033,,-1139,1594,,,-6968,2304,,2014年01月01日至2014年03月31日,791870,935573,143703,12647,-371684,-367864,,,463141,,493749,12647,-62700,-324069,-386769,30000,,,-380511,935573,844,,-2157,
2014-08-08,2,2014,15032.0,,,-18540,-24542.0,8424,-34349,662,,,0.0,,1916.0,,,-4208,16085,-505,-4360,0.0,,,,-882666,49233,173785,-194969,15389.0,47970,,-2444,3155,,,-16085,4208,,2014年01月01日至2014年06月30日,791870,673562,-118308,-12027,-882899,-862972,,,582119.0,,767540,-12027,213564,-1079541,-865977,90000.0,,0.0,-850945,673562,-8050,95421.0,-6374.0,
2014-11-12,3,2014,24315.0,1083.0,,-4888,-35796.0,13205,-61364,662,,,0.0,,1358.0,,,-4498,23958,22537,-4360,0.0,,,,-730161,535264,117064,-926606,-11278.0,34318,,-1919,4855,,,-23958,4498,,2014年01月01日至2014年09月30日,791870,568118,-223752,78872,-1013246,-985068,,,623455.0,,768876,78872,661307,-1749562,-1088255,50000.0,,0.0,-1063940,568118,-8718,95421.0,-18675.0,
2015-03-25,4,2014,87435.0,1083.0,,-3126,-28964.0,3043,-81961,-1058,,,,,2192.0,,,-4972,33023,81994,-4360,0.0,-26000.0,52247.0,,-161222,-50255,33563,-1434455,14218.0,38769,,-27085,6615,522.0,,-33023,4972,,2014年度,791870,600154,-191716,130383,-1544183,-1453630,,,1177137.0,,1297558,130383,-17833,-1653615,-1671448,25000.0,0.0,0.0,-1584013,600154,-62502,95421.0,,
2015-05-13,1,2015,,,,-30891,-1041.0,3549,-2902,-2,,,,0.0,,-1304.0,,-311,10249,-12775,-339,,,87732.0,,-160140,399560,-234529,243806,-20336.0,-60475,,-1643,1847,814.0,,-10249,311,100331.0,2015年01月01日至2015年03月31日,600154,677470,77316,-37166,189826,199764,,,-98092.0,,-98092,-37166,137687,-1088,136599,0.0,,,236930,677470,0,,,
2015-08-10,2,2015,,,,-23640,-774.0,-4033,22487,-2,,,,,-3562.0,,,-714,19779,-31651,-1983,,,166603.0,,-332328,92173,-166082,508207,-20811.0,7295,,-5432,3572,229.0,,-19779,714,189484.0,2015年01月01日至2015年06月30日,600154,632455,32301,-113357,111670,144415,,,-17286.0,,-42286,-113357,-101584,169872,68288,-25000.0,113.0,15.0,257772,632455,-13680,0.0,,-14204.0
2015-11-12,3,2015,,1464.0,-25000.0,-13721,11318.0,1353,1039,-2,,,,,-4921.0,,,-990,29177,63885,-2665,,,228405.0,,633365,-489688,-166291,584262,-6099.0,3510,,-5988,5318,-341.0,,-29177,990,261622.0,2015年01月01日至2015年09月30日,600154,756293,156139,-183405,572054,637263,,,-547547.0,,-473812,-183405,-668349,1227395,559046,0.0,134.0,53.0,820668,756293,-37022,98735.0,,0.0
2016-03-08,4,2015,,1464.0,,3944,-24515.0,-1565,42372,-372,,,,,-3128.0,,,-1347,35288,55608,-2802,,0.0,447443.0,,597596,-689276,160639,1262207,-15624.0,12307,,-3745,6764,606.0,,-35288,1347,491945.0,2015年度,600154,770277,170123,-437862,1313326,1401796,,,-1106907.0,,-1195066,-437862,-526630,1874343,1347713,-50000.0,721.0,3191.0,1839658,770277,-54529,-38159.0,,
2016-05-11,1,2016,,,,-28442,27740.0,2724,16137,0,,,,,4794.0,,,-227,5074,-31310,-166,,,-7529.0,,220227,-139076,-456177,575977,38865.0,-12810,,4760,1084,843.0,,-5074,227,1079.0,2016年01月01日至2016年03月31日,770277,667948,-102329,7368,248608,253612,,,-285283.0,,-324387,7368,-620971,866136,245165,,132.0,1834.0,246244,667948,-157,-39104.0,,
2016-08-04,2,2016,,,-25000.0,-21225,41737.0,4694,-23826,0,,,,,5161.0,,,-593,8266,-31020,-191,,,64437.0,,143489,-327888,-328753,559354,44636.0,11680,,5101,1688,2079.0,,-8266,593,77693.0,2016年01月01日至2016年06月30日,770277,653634,-116643,44812,211651,226403,120000.0,,,-357780.0,-302375,44812,-673172,777070,103898,,131.0,1816.0,181591,653634,-7079,-39595.0,,0.0
2016-11-08,3,2016,,0.0,-25000.0,-32588,47404.0,-2568,-44303,0,,,,,0.0,5806.0,,-883,12415,-79162,-1546,,,80181.0,,58488,-325212,-293052,610602,77002.0,14536,-31304.0,4389,2269,3779.0,,-12415,883,99552.0,2016年01月01日至2016年09月30日,770277,607165,-163112,71903,237197,250460,120000.0,,,-385811.0,-325536,71903,-653420,732425,79005,0.0,129.0,1791.0,178557,607165,-1731,-34725.0,,0.0
