date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,預付款項（增加）減少,預收款項增加－處分資產
2013-05-10,1,2013,,106300.0,,,-27544,60384,-21776,,330000.0,,-2921,13271,15090,-12354,-1908.0,-4965,,,-200.0,-1455,,-82255,66251,-2635.0,277772,,-57183.0,310332,58571,5592.0,34636,-14146,3015,,2013年01月01日至2013年03月31日,1539379,1844713,6599,305334,-255938,,44862,57970,,,-62115,-64950,-255938,1810.0,-39948,247556,207608,1014,,455,1347.0,,313908,304,1844713,-1977,-7468,0.0,,-13937,
2013-08-14,2,2013,,152368.0,,-320940.0,-85648,-1766,-21948,330000.0,,-53550.0,-4489,21990,24541,-32263,-1925.0,-17482,42.0,,-1860.0,-838,,-37255,186467,-15673.0,235489,,-56433.0,307299,118030,5597.0,69009,-23242,4731,,2013年01月01日至2013年06月30日,1539379,1310098,7702,-229281,-355219,,-10836,13782,,,-211812,-550285,-355219,3620.0,29759,186874,216633,4643,25164.0,1963,-5913.0,,369001,7321,1310098,-6107,-6036,0.0,,-15191,
2013-11-12,3,2013,,260094.0,5967.0,-320940.0,-108536,58853,9144,854514.0,,-60055.0,-7145,32110,11538,-56001,-1930.0,-21911,-482.0,,-1860.0,-3278,,87334,-58123,-696.0,238271,-8523.0,-106037.0,809522,177608,5612.0,105874,-32829,7235,,2013年01月01日至2013年09月30日,1539379,1500371,7390,-39008,-547714,,-194747,-157653,0.0,,-341825,-665321,-547714,5432.0,-254289,384256,129967,6927,25234.0,1728,-7292.0,,390061,9263,1500371,-11500,4926,0.0,,2709,
2014-03-26,4,2013,,453237.0,5975.0,-392340.0,-99542,73872,-25130,854514.0,,-60055.0,-8563,39250,17478,-81185,-4147.0,-34395,823.0,,-1840.0,-4325,,178286,3803,-888.0,631297,-54410.0,-128836.0,775082,233783,5620.0,140756,-41333,8685,,2013年01月01日至2013年12月31日,1539379,1515758,5620,-23621,-884985,,113133,159927,0.0,,-534246,-929314,-884985,7243.0,-239886,831561,591675,13375,25270.0,5647,-7302.0,,1044912,9819,1515758,-14146,-1381,0.0,97416.0,-3104,
2014-05-06,1,2014,,99114.0,,0.0,-54189,-63559,-10544,0.0,,0.0,-3082,8319,11851,-8214,0.0,-5581,4500.0,,980.0,1762,,-163465,187701,-97.0,46480,20362.0,-2127.0,-3065,51535,0.0,31252,-7878,2929,,2014年01月01日至2014年03月31日,1515758,1437758,-1257,-78000,-157638,,-88634,-81614,0.0,,965,1848,-157638,408.0,125725,-148815,-23090,8968,,650,0.0,,76024,4884,1437758,-2071,-3065,,9854.0,11367,
2014-08-12,2,2014,,225910.0,,-71400.0,-47323,50746,8310,0.0,,0.0,-6469,18078,-4034,-60360,0.0,-9057,4502.0,,980.0,2358,,-60342,-122884,-191.0,-169647,40563.0,-1999.0,-52076,97516,0.0,62181,-17297,6251,,2014年01月01日至2014年06月30日,1515758,1290228,482,-225530,-296201,,-387082,-363094,,,288273,217662,-296201,816.0,-157454,-135349,-292803,14983,0.0,1422,0.0,,-66893,6442,1290228,-12942,3183,34361.0,9838.0,3331,
2014-11-06,3,2014,9.0,298572.0,6018.0,-71400.0,-56650,13489,24497,,0.0,0.0,-8877,28244,3785,-67279,0.0,-21903,4486.0,980.0,0.0,0,4902.0,-49331,-136359,-268.0,-247384,47092.0,412.0,-59855,140245,0.0,85349,-26571,8922,,2014年01月01日至2014年09月30日,1515758,1184179,3635,-331579,-361018,,-480642,-447943,0.0,275821.0,0,205133,-361018,3308.0,-157021,-228476,-385497,18407,0.0,2797,0.0,,-86925,11079,1184179,-15050,-7965,34361.0,12980.0,7658,
2015-03-20,4,2014,,419509.0,6042.0,-142800.0,6994,42590,16317,,0.0,9.0,-10344,38624,40759,-160110,0.0,-27136,4920.0,,979.0,-612,6344.0,-54775,-52653,-264.0,-166747,45115.0,2854.0,-154814,180908,5161.0,106905,-37436,9087,,2014年度,1515758,1364924,3974,-150834,-521257,,-299691,-251845,,3372182.0,-2967185,262912,-521257,5801.0,-18539,-131558,-150097,20658,0.0,7484,0.0,,269412,7949,1364924,-19497,-14606,95834.0,0.0,-2902,
2015-05-06,1,2015,,,,,-23828,-10124,-14585,-139205.0,,,-2208,11286,-11614,-116052,,-3927,0.0,0.0,-5.0,-633,1259.0,136777,-71973,0.0,79198,-1482.0,,-258378,39443,,20727,-10324,2157,97065.0,2015年01月01日至2015年03月31日,1364924,1288355,7290,-76569,11895,-12525.0,183517,193622,,541517.0,-531606,9906,11895,625.0,-130616,215278,84662,180,,485,,,181727,-7705,1288355,-1938,19417,,0.0,10909,
2015-08-11,2,2015,,,,-71400.0,-72125,-15629,1882,-137069.0,,,-3728,21620,-32276,-116327,,-10816,0.0,714.0,,-912,3766.0,108916,-195118,0.0,148685,1679.0,,-163100,78073,,40029,-22345,3631,157746.0,2015年01月01日至2015年06月30日,1364924,1093647,6065,-271277,-117034,-37207.0,-42303,-19663,,1285279.0,-1248191,-33598,-117034,0.0,-317477,257102,-60375,158,,930,,,97371,-14909,1093647,-3926,14757,0.0,0.0,13451,98100.0
