date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-10,1,2013,67689.0,,-194772,-134035,20080,66734,1526,-23149,0.0,0.0,-20164.0,-9930,17346,169596,-39809,,,,23495.0,-570,4266,0.0,0.0,-1913.0,165898,0.0,249299,12385,-346442,5129,-6000.0,-14393,73983,-4672,10161,,1109,24533,-17309,9930,,2013年01月01日至2013年03月31日,2518876,2453820,-65056,19753,,-25487,10410,,,,-194772,19753,,138583,-215615,-77032,0.0,4404,,,-8,,-9343,0.0,2453820,-28518,-13446,,,,-10000.0,-93946
2013-08-09,2,2013,225582.0,0.0,-3313,-122852,53062,-23681,1512,-27490,,,,-19346,49636,226753,-82133,,,-5810.0,,-1848,7527,0.0,,-1634.0,351267,-80039.0,16291,4923,-629445,-5846,-9045.0,-50320,145043,-4672,10161,23881.0,1738,50414,-37452,19346,,2013年01月01日至2013年06月30日,2518876,2613854,94978,76601,,-245496,-167758,,247393.0,,164041,76601,,-60781,-409160,-469941,,17224,,,2462,9300.0,-244359,0.0,2613854,-59632,-11192,,0.0,,-10000.0,-84126
2013-08-09,3,2013,366350.0,0.0,-218413,-5006,8186,43686,-193,-4244,,,9300.0,-28528,71952,181958,-173431,,,-5759.0,0.0,-2390,21534,6413.0,-1277.0,0.0,322328,-157059.0,123054,1383,-500335,17839,-11312.0,-121089,232777,-4672,10161,23709.0,4245,74293,-55733,28528,,2013年01月01日至2013年09月30日,2518876,2738045,219169,137793,,395579,479510,0.0,131780.0,,-237279,137793,,111440,-136073,-24633,,33074,4985.0,,2462,715.0,341717,0.0,2738045,-56726,-12400,,0.0,,-10000.0,-25508
2014-03-28,4,2013,-1531913.0,0.0,-238308,-14577,45498,-34085,-54,-32349,,,9300.0,-38714,92919,217501,-227999,,,-5870.0,0.0,-18757,24950,28677.0,1911.0,0.0,180200,-157059.0,435536,10939,-712136,-9022,-11739.0,-189844,312175,-4671,30616,24169.0,6736,100404,-72370,38714,,2013年01月01日至2013年12月31日,2518876,2438196,-80680,2054696,,330967,409311,0.0,424079.0,,-439304,2054696,,460932,-574404,-113472,,31717,4985.0,,2562,-2022221.0,-1645385,0.0,2438196,-44688,-10024,,-496693.0,,-10000.0,2372
2014-05-09,1,2014,158875.0,,-13505,-299383,38909,-216114,-1595,-3582,,,,-8100,21968,46560,-163012,,,,,-1952,4025,3403.0,3212.0,,95513,,-127024,-19373,-143487,28955,-2409.0,-158229,77522,-1680,7770,0.0,12775,25216,-17994,8100,,2014年01月01日至2014年03月31日,2438196,2065054,-373142,36539,,-565006,-528018,,314135.0,,303533,36539,,-412555,-310877,-723432,0.0,3523,,,0,,-564557,,2065054,-27094,25469,,-500.0,,0.0,-79932
2014-08-08,2,2014,261318.0,,-25248,-382875,22745,-245295,-3861,16603,,,,-16866,41804,-16055,-233727,,,0.0,,-4102,11878,4651.0,0.0,11340.0,-165189,0.0,133620,-4181,706,21499,-5107.0,-211187,152836,-1680,7769,0.0,12747,50646,-34412,16866,,2014年01月01日至2014年06月30日,2438196,2103769,-334427,186834,,-304563,-248455,,218475.0,,197378,186834,,-241339,-455268,-696607,,15302,,,0,0.0,-435289,,2103769,-38562,8273,,-500.0,,0.0,-91361
2014-11-11,3,2014,341397.0,,-69839,-266777,11887,-220823,-3392,-20948,,,0.0,-25863,63665,34782,-270065,-49780.0,-500000.0,0.0,,-4172,-8803,4651.0,0.0,10370.0,-110862,0.0,-338669,4111,72201,16988,-10247.0,-786718,227960,985,-82,0.0,12923,75876,-52636,25863,,2014年01月01日至2014年09月30日,2438196,2029986,-408210,277014,,-406103,-330974,,815517.0,,749829,277014,,-602102,-347283,-949385,,26929,0.0,,0,0.0,-607988,,2029986,-48356,-4361,,-500.0,,0.0,-83757
2015-03-27,4,2014,578848.0,-750310.0,0,-385405,-64314,-86331,-2391,-81142,,,0.0,-34470,94518,186759,-310990,-49780.0,,0.0,,-7172,-20840,4651.0,-16860.0,0.0,-483499,0.0,-539,-11444,-67843,28821,-9035.0,82672,304882,10938,-9457,0.0,21786,101416,-82019,34470,,2014年度,2438196,2570387,132191,302600,,-368487,-229220,-82396.0,863959.0,,231247,302600,,-462190,-648478,-1110668,197485.0,21378,0.0,446096.0,14741,75777.0,-531820,1720.0,2570387,-91718,18997,,-2142.0,,321.0,50973
2015-05-08,1,2015,,,-75110,-64982,1745,143902,-1768,-53807,,,,-8128,23577,-47503,-70654,,,,,-518,3401,0.0,,18379.0,132606,,-418817,13910,192785,-2892,,709800,75636,-10000,11892,,171,24497,-22901,8128,-72812.0,2015年01月01日至2015年03月31日,2570387,2562161,-8226,153428,-8542.0,-481497,-113617,,0.0,-113916.0,-189026,153428,,-488454,294221,-194233,,2188,,760405.0,943,-168991.0,-267045,,2562161,-353107,-23918,,0.0,,,-130265
2015-08-07,2,2015,,,-75110,-116627,1208,67279,-3770,-138364,,,,-17122,46512,-99918,-111374,,,,,-510,5630,0.0,,19119.0,280443,,-74271,22670,92458,-4377,,909437,148248,-9034,11649,,697,47315,-45300,17122,-60546.0,2015年01月01日至2015年06月30日,2570387,2781922,211535,420490,-7871.0,-246301,375227,,-276573.0,,-351683,420490,,-187695,202978,15283,,9732,,992470.0,46,-299507.0,-45263,,2781922,-593350,-24057,31692.0,0.0,,,-106110
2015-11-06,3,2015,,,-135110,-42986,5026,-40166,-14698,16902,,,,-26108,68274,177500,-397175,0.0,0.0,,,-26133,10276,0.0,,17945.0,221646,,-153093,32786,-11265,-31113,,636086,222842,11516,-6582,,1062,71872,-65521,26108,82664.0,2015年01月01日至2015年09月30日,2570387,2654037,83650,635155,-7297.0,-141677,583146,-177152.0,0.0,-275997.0,-588259,635155,,-168746,34073,-134673,,15894,17637.0,1007918.0,3536,-272424.0,-52009,,2654037,-685410,3334,,0.0,,,-115349
2016-03-25,4,2015,,0.0,-134451,-157779,13104,119743,-28385,50799,,,,-41894,116599,60776,-452601,0.0,,,,-28389,7840,0.0,0.0,17789.0,280824,,-68753,22886,-92963,-5993,,605512,306369,14311,-9093,,1271,96223,-96457,41894,225009.0,2015年度,2570387,2963051,392664,747255,-6348.0,313827,1143005,-177152.0,0.0,-275848.0,-587451,747255,3327.0,-210964,381705,170741,0.0,17064,17637.0,1034012.0,9683,-281198.0,395750,0.0,2963051,-774615,6789,,0.0,0.0,,38388
2016-05-06,1,2016,,,-50073,-137831,925,9891,-1268,-3555,0.0,,,-18721,18299,-33655,-49238,,,,,-1680,1753,,,186.0,341640,,-353271,11435,134585,11126,,-48226,79510,-20151,29042,,378,22661,-18130,18721,87633.0,2016年01月01日至2016年03月31日,2963051,2725867,-237184,118601,-30370.0,77513,111435,,,-182743.0,-232816,118601,4512.0,-530531,435732,-94799,,2506,,0.0,0,0.0,-7166,,2725867,-34513,-20759,,,,,-86997
2016-08-05,2,2016,,0.0,-310418,-22762,-26821,36874,378,-1355,,,,-30594,34786,-109419,-83691,0.0,,,,-4774,6386,,0.0,154.0,777917,,-141120,2729,-106829,6859,,-83794,157627,-23474,-137466,,734,45064,-41999,30594,195967.0,2016年01月01日至2016年06月30日,2963051,2785896,-177155,377905,-40751.0,690483,828985,,0.0,-364007.0,-674425,377905,9216.0,-251821,506934,255113,0.0,4517,0.0,0.0,-54,0.0,451080,0.0,2785896,-127097,-27198,0.0,,0.0,,-69066
2016-11-04,3,2016,,,-310659,-62150,-43318,-26352,-1440,38794,,,,-39576,49004,37913,-166738,0.0,,,,-6830,4699,,0.0,1928.0,832212,,-698370,12922,678352,14622,,-157630,236910,-30582,-193769,,1093,66811,-64459,39576,1275586.0,2016年01月01日至2016年09月30日,2963051,2826311,-136740,-419603,-50968.0,1021000,1280912,-425165.0,,-302199.0,-1038023,-419603,13384.0,-873906,1298835,424929,,14010,0.0,0.0,-54,0.0,1700515,0.0,2826311,-235029,-30485,0.0,,973800.0,,-45024
