date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損迴轉利益,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-14,1,2013,12237.0,,-12099,8678,-9036.0,1882,8075,,0,-32377.0,,-15,559,14026,-160,,,,-90,,,-278,6466.0,,-1642,1387,-1565.0,-41573,9223,,2922,-535,,,,2013年01月01日至2013年03月31日,77702,53692,-24010,-15406,,-1163,-1061,,4700,,4700,-15406,,-5316,7424,2108,,,8,,,,,14345,,53692,433,,,-370.0,-8796
2013-08-13,2,2013,16420.0,,-6514,-1271,-2192.0,-2273,991,,-64632,,5200.0,-70,1189,2351,-6832,,,,-1859,,,-9934,45939.0,,-20598,3239,-2271.0,7084,16672,,5436,-1160,70.0,,,2013年01月01日至2013年06月30日,77702,108277,30575,2322,,19440,20097,,1700,,1700,2322,,29490,-28135,1355,,,8,80740.0,,,-9442.0,17775,-5391.0,108277,433,,-714.0,,-562
2013-11-13,3,2013,14747.0,,-9897,6989,6834.0,-552,855,-73403.0,-102431,,-6217.0,-103,1838,1203,-18708,,,,-2468,,,4835,107558.0,,-23100,4852,-2621.0,-33560,25626,,7579,-1809,103.0,,,2013年01月01日至2013年09月30日,77702,53553,-24149,-15121,,6508,7781,,1700,,1700,-15121,,21085,-12930,8155,,5.0,684,80740.0,,,-9442.0,22902,,53553,433,,,-2750.0,-7361
2014-03-28,4,2013,-51017.0,,-59846,12860,4321.0,-3281,9094,,-188979,,0.0,-137,2523,1555,-39379,,,,-2877,,-22.0,-18346,,122103.0,-22892,4393,-2909.0,27015,34644,,9897,-2523,137.0,,,2013年01月01日至2013年12月31日,77702,127937,50235,27960,,-13,4165,,236136,-214436.0,21678,27960,,56067,-28845,27222,,15252.0,8431,80740.0,155060.0,-72516.0,-9442.0,-23795,,127937,-1792,,-21540.0,,-13954
2014-05-14,1,2014,10982.0,,-24590,-23779,0.0,5758,-1392,,-7595,,,-47,695,1439,-4241,,,,-626,,32.0,34846,-35135.0,,45339,-327,389.0,-11586,8844,-5018.0,2184,-695,47.0,,,2014年01月01日至2014年03月31日,127937,108980,-18957,-19445,,-8842,-8194,,70000,-70000.0,32,-19445,,-53578,53847,269,,250.0,2,,,,,11251,,108980,0,,,-70.0,4178
2014-08-13,2,2014,20864.0,,-63030,28270,0.0,5055,-9868,,-10463,,-20.0,-109,1386,-92,-6823,,,,-1279,43.0,,30299,-48264.0,,16286,418,-5980.0,-16098,17692,,4275,-1386,109.0,,,2014年01月01日至2014年06月30日,127937,64675,-63262,-25616,,-47115,-45838,,70000,-70000.0,43,-25616,0.0,-112219,71133,-41086,,1188.0,-746,0.0,,,0.0,-20222,0.0,64675,0,,-335.0,,5728
2014-11-13,3,2014,30298.0,2100.0,-69947,31936,0.0,2796,-9480,,-10396,,,-146,2082,981,-11699,,,,-1910,12.0,,48833,-52040.0,,-12556,-5186,-6100.0,-19269,25959,,6008,-2082,146.0,,,2014年01月01日至2014年09月30日,127937,53837,-74100,-15681,,-56024,-54088,,-190000,198500.0,212,-15681,,-125291,56586,-68705,-10400.0,2826.0,-1466,0.0,,,-20.0,-38407,,53837,0,,,-209.0,3039
2015-03-30,4,2014,-130476.0,-2763.0,-45622,33313,0.0,4381,4557,,-7300,,,-170,2772,2960,-12331,,,-5000.0,-2517,,1120.0,61867,-71855.0,,-6172,-6347,-6948.0,-22404,33940,,6933,-2772,170.0,,,2014年度,127937,56399,-71538,124061,,-48351,-41322,-4000.0,301500,-310000.0,-3743,124061,,-120044,85137,-34907,10400.0,2227.0,-856,0.0,0.0,-111360.0,0.0,-165383,,56399,-4427,4.0,,-59222.0,-2081
2015-05-13,1,2015,,-674.0,-16434,476,,-2312,-16102,,-2415,,,-20,652,-493,-1063,,-2035.0,,-773,,0.0,-20449,14966.0,,15572,38669,,-5513,9776,-1014.0,1361,-652,20.0,,10923.0,2015年01月01日至2015年03月31日,56399,49847,-6552,-14804,-740.0,10128,10760,,5000,-15000.0,-10674,-14804,,-4520,19161,14641,,0.0,0,,,,,25564,,49847,0,,,-73.0,2009
2015-08-13,2,2015,,-1351.0,6545,7039,,-8544,-16357,,0,4405.0,0.0,-39,1294,-1278,-13767,,-2035.0,,-1498,1940.0,,-33837,20119.0,,14101,36779,,-11397,17979,-969.0,2767,-1294,39.0,,20358.0,2015年01月01日至2015年06月30日,56399,62201,5802,-14876,-1034.0,27888,29314,,0,-10000.0,-9411,-14876,,17086,6746,23832,,0.0,0,,,,,44190,,62201,-171,,-145.0,,-10
