date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無形資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動
2013-05-13,1,2013,485.0,1306894.0,,-1396792,13307,-28842,213846,-77489,-595,83808,-16125.0,,-36962,200407,-124937,,-1778348,,-11961,,-4588.0,43469,3849.0,,-163571,47838,-249064,-5775,-2506.0,-1658698,1073680,33867,0.0,824,11456,-81912,37826,,,2013年01月01日至2013年03月31日,25643131,23732400,112440,-1910731,165269,,1308139,1336987,,,,-1435235,165269,,305757,-440933,-135176,0,39453,,71196.0,-42958,-12478.0,,1171718,23732400,-28848,,,
2013-08-13,2,2013,485.0,2528740.0,,-1794765,129221,-48476,405241,-161142,-27333,-13603,-41051.0,,-76823,402793,-209588,,-5998576,-152529.0,-13852,,,18301,,6421.0,35024,83501,-488493,-2036,-3702.0,-5872746,2179122,152806,0.0,-2503,23033,-452620,75057,26777.0,,2013年01月01日至2013年06月30日,25643131,20549878,136940,-5093253,691132,,3215358,3280880,,,,-2226277,691132,,739734,-678726,61008,0,132784,,100401.0,-112385,-21922.0,-8178.0,2589748,20549878,-65522,,,2807.0
2013-11-12,3,2013,485.0,3648043.0,,-3830953,199834,-189762,531277,-168802,-16259,-89058,-78329.0,,-113663,608158,-28535,,-6500857,-152529.0,-75474,,-10371.0,89726,,5980.0,-210290,-314782,-359887,-17479,-2171.0,-6325057,3269891,80235,0.0,-22963,34647,-580770,111066,96678.0,,2013年01月01日至2013年09月30日,25643131,19288751,135060,-6354380,1090241,,4097249,4181140,-1774639.0,,,-4098037,1090241,-93921.0,478134,-1035278,-557144,1998112,162829,,115950.0,-144323,-25328.0,,3090899,19288751,-83891,,,487.0
2014-03-19,4,2013,485.0,4667305.0,,-4297969,1474123,-636441,680854,-122061,-30190,-60186,-42532.0,,-160646,808481,-129347,,-7830958,-152529.0,-345949,,-32988.0,94107,,10474.0,-92094,-747690,-459912,-17232,-56195.0,-7553743,4343385,125753,0.0,-39698,45569,-818174,150411,120536.0,,2013年01月01日至2013年12月31日,25643131,20251496,163620,-5391635,2504764,,7091674,7230798,-1774639.0,,,-4800219,2504764,-93921.0,1446655,-1387926,58729,1995974,204113,179367.0,186312.0,-173257,-226713.0,,4726034,20251496,-139124,,,482.0
2014-05-14,1,2014,0.0,1202143.0,,-2146507,-1307115,340190,-258163,113212,3438,57585,25484.0,,-53883,204483,-178448,,-412944,,-56056,,-169.0,13441,32488.0,,153309,-276669,128064,-13323,6704.0,-281648,1040656,114183,0.0,-16650,10361,-165873,51197,,,2014年01月01日至2014年03月31日,20251496,19091588,98120,-1159908,763746,,994727,1027304,,,,-1694539,763746,,-1717622,779037,-938585,604400,67838,,10514.0,-76211,-4733.0,,263558,19091588,-32577,,,
2014-08-12,2,2014,476.0,2214835.0,,-2728686,-257074,375730,42379,79407,7323,27138,,378.0,-116666,412321,4977,,-1951016,0.0,-68386,,-4971.0,21986,,33809.0,-87331,192916,-297923,-11470,7228.0,-1509738,2088369,1025,,-31775,19205,-448066,109349,32315.0,,2014年01月01日至2014年06月30日,20251496,20807617,34875,556121,2150278,,4223491,4444461,,,,-2162609,2150278,-1864.0,-6203,85551,79348,994660,152195,,186589.0,-157820,-32286.0,,2294183,20807617,-220970,,,-2503.0
2014-11-07,3,2014,476.0,3288557.0,,-3597483,-60354,1894,-13944,168016,3881,-3098,,36564.0,-179987,614339,-157213,,-2312802,0.0,-423816,,-5683.0,40563,,,-335959,668586,-408162,7045,-12554.0,-1820700,3149323,88141,,-47191,27425,-668702,177786,140188.0,,2014年01月01日至2014年09月30日,20251496,22383561,106824,2132065,4308620,,7318079,7700669,-1774637.0,1800000.0,,-3208101,4308620,-109968.0,673756,-570264,103492,994660,206882,,360181.0,-211442,-61242.0,,3392049,22383561,-382590,,,-2502.0
2015-03-09,4,2014,476.0,4692568.0,,-4149373,115883,465813,77064,182509,3258,-82195,37702.0,,-248803,820373,-538669,,-3358298,0.0,-477972,,-12432.0,105735,,0.0,264529,837544,-652318,5513,-46620.0,-2771229,4253614,374885,0.0,-59076,35363,-809493,243467,140942.0,,2014年度,20251496,26784275,282716,6532779,6579193,,12350567,12817626,-1774637.0,1800000.0,,-2507890,6579193,-110949.0,1362014,183851,1545865,2322380,295181,0.0,360181.0,-284904,-61242.0,,6238433,26784275,-467059,,65000.0,-2502.0
2015-05-12,1,2015,0.0,,,-1341562,-175663,-67961,-342824,-20481,3554,155571,1937.0,,-76705,206226,20600,,-1451251,,-29841,,-131.0,4943,,,44874,-254313,892175,-11398,,-1242779,1113241,-110539,0.0,-11552,7090,-159063,73288,,962426.0,2015年01月01日至2015年03月31日,26784275,30663821,-72957,3879546,2478956,-37501.0,3445137,3516876,,,,1656588,2478956,,-917286,992780,75494,3152270,163219,,0.0,-202917,0.0,,1037920,30663821,-71739,,,
2015-08-11,2,2015,0.0,,,-1976411,-216671,168922,-282705,-7738,828,109634,,4043.0,-157583,421238,152286,,-2667535,-75890.0,-102294,,-1108.0,-3453,,,-21897,504695,971091,-709,,-2177131,2208003,-7252690,,-29294,14290,-444541,156162,21583.0,1870801.0,2015年01月01日至2015年06月30日,26784275,26055759,-118284,-728516,3979257,-78029.0,-963531,-255211,,,10000.0,2259860,3979257,-1430.0,-7324572,1219303,-6105269,4676850,473048,,14860.0,-463840,-2299.0,,-4234468,26055759,-708320,,,-2585.0
2015-11-11,3,2015,0.0,,,-3604322,-281124,-128000,-108533,-64524,19639,-61015,,-38489.0,-223417,552368,-262018,,-4139542,,-176152,-80634.0,-2633.0,-96045,,,272510,397712,1261934,-13663,,-3189630,3320554,-7252690,,-39543,21572,-591816,228988,155931.0,2827599.0,2015年01月01日至2015年09月30日,26784275,22047904,121438,-4736371,5831377,-73737.0,1461147,2627485,-4436595.0,0.0,37000.0,-2745870,5831377,-135779.0,-7298733,1267242,-6031491,5996430,848041,,14860.0,-787295,-2299.0,,-3203892,22047904,-1166338,,,-50522.0
