date,season,year,不影響現金流量之收益費損項目合計,償還公司債,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融負債增加,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無形資產,處分無形資產損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付設備款增加,預付設備款減少
2013-05-14,1,2013,-63162.0,,-241563,231026,-40215,,,,0.0,,-106384,-409462,-5877,19216,46369,-60347,-20000,-546952.0,-60,0.0,,,2760,177011,,-1086433,-9530,-81.0,597825,607,-7165.0,-1291838,333336,,357,2686,-7316,5877,,,2013年01月01日至2013年03月31日,4464354,3683768,-4775,-780586,143061,,-420314,-404922,,,199525.0,,885197,143061,-1113665,628844,-484821,10065,0.0,,,156,,,0.0,-547983,,3683768,-13953,1601.0,685753.0,,-400.0,,-677304.0,
2013-08-02,2,2013,285863.0,,-618861,2835,117099,,,,-400000.0,,-114130,-408926,-10846,40016,92127,-633558,-20000,-550388.0,-583,11.0,,0.0,2632,230700,,-380263,-14690,-118.0,199235,1084,-11982.0,-1541418,666018,,-2291,4907,-16270,10846,17353.0,,2013年01月01日至2013年06月30日,4464354,3967330,2180,-497024,179589,,-163016,-123521,,,429648.0,0.0,1115283,179589,-1022961,433988,-588973,37674,0.0,20043.0,,162,-43.0,,0.0,-303110,,3967330,-34071,-6463.0,685753.0,1138.0,0.0,-15120.0,,529.0
2013-11-12,3,2013,628397.0,-200061.0,-522599,-123785,152372,,,,-400000.0,,18341,-404792,-15498,58609,37773,-920431,-20000,-551646.0,-2738,11.0,,,3546,-210877,,-453261,434582,-135.0,332327,973,-15102.0,-1803350,1013481,,-29645,8285,-24601,15498,17353.0,,2013年01月01日至2013年09月30日,4464354,3652912,7574,-811442,299098,,463519,540466,,0.0,109514.0,,490616,299098,-680165,293136,-387029,82622,0.0,20043.0,,-11521,-43.0,,0.0,241368,11957.0,3652912,-67844,-7157.0,581298.0,,-2864.0,-30022.0,-2077.0,
2014-03-21,4,2013,1068205.0,-200061.0,-379523,767825,139285,,,-301950.0,,,22562,-400840,-22879,75168,282951,-1063946,0,-61945.0,-2963,31772.0,,,628,-154193,-550802.0,-772621,13038,-313.0,851128,1172,-10666.0,-1579274,1375569,,-5194,10833,-32651,22879,,,2013年01月01日至2013年12月31日,4464354,7330910,-8171,2866556,-714015,,748268,832197,,0.0,103399.0,,3414611,-714015,-381947,859954,478007,140518,0.0,0.0,,984,0.0,,0.0,1546212,11957.0,7330910,-74157,-6300.0,3813536.0,,5306.0,-29976.0,-10788.0,
2014-05-08,1,2014,363498.0,,-186012,24127,-4414,,,,,,-1749,3633,-17967,21367,93987,-55825,-15000,0.0,-855,,,,2654,182830,,-821182,-13154,-75.0,577573,-1856,-6967.0,-53571,356307,,-8280,2226,-12874,17967,,,2014年01月01日至2014年03月31日,7330910,7421255,-1145,90345,-80943,,40923,31751,,,9081.0,,9006,-80943,-1003188,752384,-250804,74,,15020.0,,627,-20.0,,193.0,112694,,7421255,4079,758.0,0.0,5799.0,0.0,,0.0,361.0
2014-08-08,2,2014,752701.0,-2000000.0,-941590,-5450,1381,,,,0.0,1000000.0,-8840,7357,-36993,42092,-8644,-100422,-30094,0.0,-7760,5940.0,,,2646,258212,,-643517,-7214,-112.0,695551,-789,-13324.0,861501,704344,-78519.0,-12518,4420,-26425,36993,0.0,,2014年01月01日至2014年06月30日,7330910,6761780,6434,-569130,-23943,,-20931,-15341,,445000.0,154056.0,,-1401056,-23943,-1611095,866996,-744099,2398,,15020.0,,3639,-20.0,,195.0,8602,,6761780,-16158,19042.0,0.0,8769.0,,0.0,-20287.0,0.0
2014-11-07,3,2014,1145670.0,-2003800.0,-1439255,377663,32722,,,,0.0,1002900.0,-7999,11168,-51972,57687,73447,-135526,-60064,0.0,-9871,15657.0,,,2450,334951,,-743087,-7987,-128.0,436403,-16975,-21227.0,765135,1056748,,26883,6624,-39738,51972,0.0,,2014年01月01日至2014年09月30日,7330910,6458421,-12084,-872489,37542,,66690,128421,,445000.0,9038.0,,-1777761,37542,-1833893,779102,-1054791,7871,,60280.0,,3713,-216.0,,225.0,90879,0.0,6458421,-73965,1316.0,-227871.0,29921.0,0.0,0.0,-102905.0,
2015-03-25,4,2014,1536585.0,-2003800.0,-1579675,374861,26425,,1001209.0,,,,23040,14297,-64771,70095,293264,-176499,-85306,0.0,-10288,14986.0,,-2708.0,0,195475,0.0,-632561,-6100,-127.0,657455,-1077,-19636.0,-220224,1404537,,57775,8647,-49916,64771,,,2014年度,7330910,6846598,-40403,-484312,-109385,,391756,465407,,445000.0,0.0,-81825.0,-949108,-109385,-1863111,901318,-961793,15607,86788.0,85344.0,-50071.0,5899,-39.0,283.0,224.0,574792,0.0,6846598,-88506,1321.0,-309565.0,114088.0,,0.0,-133445.0,
2015-05-07,1,2015,,,138755,37589,53284,,,,,,-18768,3874,-12783,13576,-64494,-84866,-20000,,-98,,,,2568,63527,,-478079,-8266,0.0,308768,-529,,-107408,327000,-5516.0,5246,1987,-11347,12783,,321155.0,2015年01月01日至2015年03月31日,6846598,6763205,-32366,-83393,-22879,-2368.0,372216,386673,,,0.0,-283707.0,-283707,-22879,-312369,400766,88397,1124,,20021.0,,-202,-21.0,,0.0,409552,,6763205,-15893,0.0,,14844.0,,-26157.0,,
2015-08-11,2,2015,,0.0,151269,74913,46711,,,,,0.0,-25825,8061,-22994,27747,-125554,-227200,-40000,,-4310,1436.0,,,2626,38445,,-27551,-18826,0.0,64431,522,,-254326,638529,0.0,22340,3899,-23257,22994,,706480.0,2015年01月01日至2015年06月30日,6846598,6795431,2806,-51167,123417,-4879.0,1079021,1129107,,0.0,0.0,-612669.0,-750308,123417,174926,124284,299210,1117,,40048.0,,402,-48.0,,0.0,1005690,,6795431,-49823,-129.0,-137639.0,24431.0,,-26157.0,-450.0,
