date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他投資活動,其他流動負債增加（減少）,其他營業負債增加（減少）,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,取得不動產、廠房及設備,取得備供出售金融資產,取得持有至到期日金融資產,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券減少,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務商品投資到期還本,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-06,1,2013,34216.0,,,-11142,78,0.0,,0,-2234,5216,,,-377,,-123,497,-44886,,-10000.0,,-15060.0,497.0,1479,,625.0,-3977,1782,-20000.0,,,0,-27509,11137,-1865.0,-67406,28487,,4912,169,-577,50,,2013年01月01日至2013年03月31日,314304,381805,67501,121240,,106.0,,153428,153966,,,0.0,-18521,121240,17471,-18961,-1490,,0.0,,,154,,,32726,-974.0,381805,-11,1310,,1809.0,26688
2013-08-05,2,2013,65133.0,,-100000.0,2109,-19,0.0,,-37519,-1194,6010,,2088.0,-778,,-619,856,-65389,-6319.0,-133.0,,,497.0,1710,-1294.0,0.0,9261,-31520,-60000.0,,,0,2125,-4083,-3366.0,-108459,57047,,7343,338,-873,622,,2013年01月01日至2013年06月30日,314304,458218,143914,240254,,106.0,,330663,352773,,,0.0,-78290,240254,38249,9137,47386,80000.0,1.0,,,449,,,112519,-916.0,458218,-21859,1853,,,67126
2013-11-04,3,2013,96662.0,,-100000.0,-3060,211,,0.0,-35019,-696,8711,-386.0,0.0,90,,-927,1038,-90520,-6318.0,,-438.0,,497.0,3005,-812.0,0.0,-13561,1238,-90000.0,,,0,4457,-1554,-4866.0,-123381,85683,10000.0,9215,528,-1240,867,,2013年01月01日至2013年09月30日,314304,323759,9455,267579,,106.0,,438781,479022,-160950.0,,-18000.0,-305945,267579,122769,-7988,114781,60000.0,6.0,,,538,,,211443,-1007.0,323759,-39868,2459,,,122449
2014-03-17,4,2013,112838.0,,-120000.0,-1353,172,,0.0,-8730,46,12459,-10064.0,0.0,-1684,,-1332,1056,-116515,-6318.0,-50323.0,-438.0,-3420.0,497.0,5270,-611.0,,3879,14426,-140000.0,,143.0,0,-10253,3176,-6365.0,-196302,114429,,-1733,710,-1137,1220,,2013年01月01日至2013年12月31日,314304,269381,-44923,288474,,106.0,,506916,546734,-160950.0,,-20000.0,-355537,288474,174060,-28638,145422,80000.0,11.0,,0.0,895,0.0,,258260,-1253.0,269381,-39901,-25612,,,156100
2014-05-05,1,2014,32967.0,,,-13699,100,,,4200,-87,20807,-7110.0,0.0,-774,,-257,2,-53289,,-12.0,-229.0,0.0,0.0,649,-19563.0,0.0,-7746,10461,-40000.0,,,-7,-10945,7293,-1543.0,-72583,29136,,4537,163,-543,322,,2014年01月01日至2014年03月31日,269381,247025,-22356,63330,,3420.0,,79585,79837,,10000.0,,-29358,63330,-5185,-11275,-16460,,,,,160,,,16507,222.0,247025,-31,23,,,-21346
2014-08-04,2,2014,65833.0,,0.0,-6364,211,,,-12521,53,51072,-8160.0,0.0,-2157,,-609,76,-91985,-7567.0,-12.0,-229.0,,0.0,1128,-19313.0,,-7992,-11715,-60000.0,,,-13,-23987,1283,-1543.0,-136362,58775,,8921,297,-1100,577,,2014年01月01日至2014年06月30日,269381,223444,-45937,143243,,3420.0,,149310,188998,,,,-58885,143243,8972,-29050,-20078,0.0,5.0,,,530,,,45755,433.0,223444,-39165,1435,,,-22964
2014-11-10,3,2014,111576.0,,0.0,-5754,-638,,,-12521,346,277750,-15841.0,,-6780,,-832,155,-212083,-7567.0,,-229.0,,0.0,1964,-29298.0,,83126,-25246,-60000.0,,,-20,31983,396,-1543.0,-213781,89987,60323.0,11245,362,-1665,902,,2014年01月01日至2014年09月30日,269381,239192,-30189,160728,,3420.0,,317389,400168,-75741.0,,0.0,-133797,160728,2300,125564,127864,0.0,15.0,,,17439,,,239440,453.0,239192,-82016,10697,,,-243706
2015-03-23,4,2014,129601.0,,0.0,-16167,316,,,-12521,602,1514,-18119.0,,-13946,,-1145,177,-243023,-7567.0,0.0,-523.0,0.0,0.0,2064,-44280.0,,96326,1259,-60000.0,,0.0,-27,49109,2881,-1542.0,-280816,122509,,7414,410,-2225,1213,,2014年度,269381,254076,-15305,215896,,3420.0,,399215,492209,-75741.0,,0.0,-133704,215896,-10258,156970,146712,0.0,15.0,11500.0,,17682,-3500.0,30282.0,276313,,254076,-91982,8338,,,4076
2015-05-11,1,2015,,,,3207,32,,,0,1214,1328,-15819.0,,-9046,,-202,2,-55516,,0.0,0.0,,,1145,-14656.0,,36901,-31624,0.0,,,-6,817,802,,-55948,33523,,1303,49,-504,208,25735.0,2015年01月01日至2015年03月31日,254076,325037,70961,52833,-45.0,,0.0,125770,126086,,0.0,,1139,52833,5739,41779,47518,,2.0,,,106,,30041.0,73253,,325037,-20,3227,,,31659
2015-08-10,2,2015,,,-60000.0,7673,84,,,-14343,1927,1427,-12014.0,,-20891,,-528,3,-109580,0.0,0.0,0.0,,76.0,2636,-14716.0,,35525,-60006,0.0,,,-13,13097,4699,,-120607,68014,,2433,97,-935,532,49677.0,2015年01月01日至2015年06月30日,254076,302573,48497,138056,-45.0,,0.0,196481,232998,,,,-27377,138056,-9466,54731,45265,30000.0,5.0,,,473,,30041.0,94942,,302573,-36114,1326,,,39558
