date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付款項減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少
2015-09-30,4,2014,33642,36206,-16112,-32786,69132,2532,38518,-7978,,-54812,-30034,-62,13221,120370,-44856,-98,19267,,231,-1099087,-59628,,,-1939,-998,-259787,-3504,-44289,31275,128,-13221,62,,2014年度,40113,69231,29118,255827,,-1153330,-1022075,160265,,978888,,1106367,255827,-15435,-1296109,-1311544,434,-153,-1277902,,124043,-118096,,-8899
2016-02-26,4,2015,,-100927,-6942,0,-26772,1614,368,50675,-97,-74697,53806,-267,19874,79405,-53515,-24638,4483,-1261,,-162249,81530,-328573,,2142,0,-46862,,-77662,37954,792,-19874,267,115680,2015年度,69231,113854,44623,291750,998,-250088,-123753,31500,,261468,,292968,291750,-300729,-230454,-531183,1752,-962,-415503,,188551,-106728,,3912
2016-08-11,2,2016,,29439,-5335,,38287,0,-11817,-1003,,-52392,-5540,-227,12104,-40465,-12417,-17257,6716,-389,,1085936,-107603,0,0,-1953,,14087,,-29666,20781,469,-12104,227,34058,2016年01月01日至2016年06月30日,113854,330613,216759,261459,182,1166351,1305488,0,-46480,-832981,,-879461,261459,-103026,1112997,1009971,397,-345,1044029,-4936,383005,-127260,100,-25313
2016-11-11,3,2016,,107847,-5365,,36832,0,-3500,-1941,100,-30707,-26301,-563,14501,-111490,-18586,-18216,9964,1021,,1268008,-130274,0,0,1021,,-12925,,-35230,30852,718,-14501,563,28779,2016年01月01日至2016年09月30日,113854,774863,661009,364033,273,1493970,1646995,333500,-46480,0,-973261,-686241,364033,-26962,1281145,1254183,551,-392,1282962,4977,805570,-139087,0,-10870
