date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款減少,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付款項減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失
2013-05-10,1,2013,156334.0,-7070.0,,25128,,4238,10662,-21116,-127,777,,,,-2247.0,,,-57.0,-314,18329,22890,-166393,,0.0,,-3859,,,,23790,,,-234190,-18731.0,-3641,333183,145,61418,0.0,-153554,181282,2140.0,7515,3552.0,154,-2876,314,,,2013年01月01日至2013年03月31日,937613,1295911,358298,47846,407366,414102,,,109644.0,,81596,47846,2180,,-200028,409950,209922,,12896,,2230,-5309.0,,366256,-87.0,1295911,-4174,-41824,,,
2013-08-09,2,2013,391829.0,-2109196.0,,27331,,42584,2150,-14352,-127,1573,-14993.0,,,,-2234.0,-8921.0,,-1319,36758,29702,-355570,0.0,0.0,-3300.0,-1867,,,,-68778,,,104910,,808,33902,-1941,30559,0.0,-324009,356094,14492.0,-32100,5835.0,362,-8071,1319,,,2013年01月01日至2013年06月30日,937613,1427380,489767,102388,596118,635228,,,280879.0,,187956,102388,4360,,149564,-8553,141011,2020000.0,43782,,1749,-11995.0,,532840,24150.0,1427380,-32358,-24298,2000.0,13500.0,
2013-11-11,3,2013,592836.0,-2111835.0,,52317,,26424,612,-489,-218,2371,-23541.0,,,,-2243.0,-44807.0,,-1404,59660,17439,-528962,,0.0,-3300.0,9162,,,,99024,,,-219564,,130732,-26536,-3239,74650,-439.0,-517014,523718,-3616.0,8400,13522.0,681,-24713,1404,,,2013年01月01日至2013年09月30日,937613,1364690,427077,184021,837124,917286,-101599.0,,295246.0,,89528,184021,6541,,-39737,180166,140429,2020000.0,60055,,1039,5409.0,,733265,24109.0,1364690,-56853,-54101,4500.0,13500.0,
2014-03-27,4,2013,767096.0,-2205635.0,,121278,0.0,55027,12450,4932,-390,3165,-37528.0,-218716.0,,,-2294.0,-4065.0,,-2296,76369,38826,-789928,,,-4300.0,15910,4754.0,,,144145,-1240.0,,-251589,,213614,94956,-1528,101019,-293.0,-957672,690174,-3616.0,25525,30108.0,1020,-42555,2296,9526.0,,2013年01月01日至2013年12月31日,937613,1281835,344222,250416,1435961,1536207,-101599.0,,135909.0,,-172893,250416,7291,-9526.0,91747,426948,518695,2020000.0,60577,0.0,9412,500.0,,1285791,24109.0,1281835,-69513,-82175,6200.0,13500.0,
2014-05-06,1,2014,157976.0,0.0,-220000.0,-70447,,1572,2243,-36477,-118,813,-25905.0,,23878.0,,909.0,-479.0,,-1624,15595,10033,-151590,,,-106.0,2356,14373.0,,,-33331,,,22083,,-55961,1330,270413,-28802,293.0,-82680,176694,0.0,-148311,592.0,387,-15918,1624,,,2014年01月01日至2014年03月31日,1281835,2156299,874464,57255,113462,140531,,1097200.0,-38728.0,,833649,57255,942,,-102200,27500,-74700,,45617,,932,,,83276,0.0,2156299,-12775,-37898,,5800.0,
2014-08-06,2,2014,356204.0,0.0,-820000.0,-104661,,14832,-461,-31196,-350,1602,-26712.0,,34534.0,880.0,0.0,-18115.0,,-8173,29949,-18648,-342076,,,-1006.0,10704,16650.0,,,-81169,,,468348,,-56298,-341638,1907,93726,293.0,-275213,344731,0.0,37419,592.0,804,-27411,8173,,,2014年01月01日至2014年06月30日,1281835,1309779,27944,140841,459871,499399,,1097200.0,-411884.0,,-138066,140841,1830,,306578,-304224,2354,0.0,51450,,6607,,,358558,0.0,1309779,-20290,-34840,4000.0,5800.0,
2014-11-06,3,2014,571096.0,0.0,-820000.0,-93259,,5240,843,-67366,-350,2398,-7820.0,-98652.0,,1068.0,0.0,-26587.0,,-13478,43600,15290,-567196,,,-1006.0,20176,18126.0,,,-147649,,,548278,,148584,-456671,1950,105481,293.0,-625987,511201,0.0,-17055,592.0,1236,-34982,13478,,,2014年01月01日至2014年09月30日,1281835,1168436,-113399,233895,764207,835708,-153225.0,1097200.0,0.0,-403464.0,-266909,233895,2606,,604096,-573379,30717,0.0,67454,,3247,,,601813,0.0,1168436,-49997,-5084,7000.0,1206.0,
2015-03-09,4,2014,753219.0,0.0,-820000.0,-106713,,-13412,-4566,-34840,-668,3216,-7702.0,-189367.0,,1125.0,,-22345.0,,-17872,57497,65090,-783262,,,-2152.0,24059,18632.0,,,-68862,,,133208,,373704,-152955,1939,2874,114.0,-882379,680709,0.0,17818,592.0,1716,-43309,17872,4274.0,,2014年度,1281835,1336803,54968,258834,1080379,1162910,-153225.0,1097200.0,0.0,-345258.0,-208122,258834,3196,-4274.0,394965,-244108,150857,0.0,114747,,-7461,,,904076,0.0,1336803,-61368,5057,10000.0,1106.0,
2015-05-08,1,2015,,,0.0,-37051,,2959,834,-41344,-12,825,-14999.0,,100806.0,0.0,-17.0,-1432.0,,-2583,14423,-16996,-239149,,,-285.0,1988,4642.0,,,-35927,,,72855,,-150385,193839,3,-61735,179.0,-125896,161976,,160641,0.0,540,-8375,2583,,184831.0,2015年01月01日至2015年03月31日,1336803,1586445,249642,-8857,275851,281655,,0.0,127237.0,0.0,116683,-8857,294,,-113759,219440,105681,,14164,,38,,,290512,,1586445,-12,6155,2000.0,-180.0,
2015-08-04,2,2015,,,-240000.0,-39326,,13544,3443,-31357,-272,1440,-45225.0,,148371.0,1459.0,,-2743.0,,-6975,28290,-35662,-393412,,,-903.0,-1325,4765.0,,,29816,,,255167,,-254590,167346,363,43616,-816.0,-226071,318670,,303751,0.0,1177,-18175,6975,,362657.0,2015年01月01日至2015年06月30日,1336803,1580371,243568,-98961,732602,755821,,0.0,51980.0,,-227301,-98961,588,,-35578,527703,492125,,22616,,-132,,,854782,,1580371,-12019,20364,2000.0,-280.0,
