date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付票據增加（減少）,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款增加
2013-04-29,1,2013,17447.0,-8871.0,-33281,18811,-236,-13281,-360,,,0.0,-10,2140,-541,-17252,,,,,0.0,,,,62.0,-12349,-2563,,-17923,12068,-7601.0,1760,-2523,10,,2013年01月01日至2013年03月31日,171696,190172,-6156,18476,5671,,-27732,-27742,,,186865,-110799,64672,5671,0.0,-36080,-14780,-50860,,445,-445,,0.0,,-33413,190172,,,,8090.0,0.0,-1178
2013-11-07,3,2013,91151.0,-19222.0,-16091,14729,1076,1655,-1063,,,50958.0,-3054,6467,-2960,-34441,,-2905.0,-6836.0,,0.0,10.0,-172.0,-165.0,62.0,-54123,24975,-45182.0,-59476,35475,,5331,-6077,3054,,2013年01月01日至2013年09月30日,171696,197866,3595,26170,7705,27886.0,27886,24832,,,737946,-651765,60720,7705,0.0,9960,-83984,-74024,0.0,1831,-833,,0.0,,17127,197866,,,,,-6788.0,-17022
2014-03-13,4,2013,303827,-23676,-285,3689,-3820,39356,-1188,,,70089,-4330,8478,911,-36293,,-6140,-6831,,43576,10,-172,-2029,6319,-47119,-39824,16283,-61560,45010,,7002,-8084,4330,,2013年01月01日至2013年12月31日,171696,195123,-3396,23427,-197649,77600,77600,73270,,,1004126,-965728,6476,-197649,0,-43929,11021,-32908,0,1831,641,2824,0,,270919,195123,,,43365,90568,0,-18417
2014-05-14,1,2014,5853.0,-3334.0,-20397,-4777,-1357,-4061,-334,,,,-601,2012,807,-452,-29900.0,-542.0,,,,20.0,,,0.0,-17665,1981,27689.0,-40460,8236,,1623,-1984,601,,2014年01月01日至2014年03月31日,195123,202299,-4817,7176,22962,,10495,9894,,,230066,-188434,36334,22962,,-19773,852,-18921,,600,-600,,,,-13068,202299,,,,0.0,,-10166
2014-08-13,2,2014,24838.0,-6683.0,-21543,-9171,-1458,-3349,-657,,,0.0,-985,4108,-991,-1565,-29900.0,-1390.0,0.0,,,20.0,-10.0,,0.0,-10653,31426,-1834.0,-42776,16593,,3287,-4086,985,,2014年01月01日至2014年06月30日,195123,231436,2435,36313,26662,,35246,34261,,,532671,-477078,44834,26662,,8425,-25664,-17239,,600,-600,,12.0,,7599,231436,0.0,,,,0.0,-10533
2014-10-30,3,2014,28483.0,-6683.0,-20188,-4526,508,-9520,-919,,-4936.0,0.0,-1253,6077,1968,-5696,-29900.0,-1390.0,0.0,,,20.0,-38.0,0.0,0.0,-22566,34917,-41815.0,-41899,25627,,4715,-6066,1253,,2014年01月01日至2014年09月30日,195123,157376,-6083,-37747,30562,-8747.0,-8747,-10000,,,789069,-765371,10931,30562,,15237,-84282,-69045,0.0,600,-600,,5390.0,,-40562,157376,,,,,0.0,-10903
2015-03-23,4,2014,38405.0,-6683.0,8230,-4138,2762,-1166,-981,-498.0,,8055.0,-1603,8015,3200,-10573,-29900.0,-1659.0,0.0,,0.0,20.0,-38.0,0.0,0.0,1526,23485,47354.0,-46102,34700,,5932,-8010,1603,,2014年度,195123,219450,-10235,24327,48452,165532.0,165532,163929,,,942714,-1026306,-98303,48452,0.0,34477,42595,77072,0.0,600,-600,0.0,6831.0,,115477,219450,,,0.0,0.0,-5859.0,-10903
2015-05-07,1,2015,,0.0,-23707,5260,40,-417,-233,-974.0,,,-237,1475,-1003,-6384,0.0,0.0,,-10000.0,,0.0,,-600.0,,-54669,9907,-29247.0,-34022,9026,,965,-1485,237,9506.0,2015年01月01日至2015年03月31日,219450,228208,-373,8758,22793,,-60530,-60767,,,250798,-145000,104313,22793,,-13760,-79306,-93066,,1350,-1350,,,,-83560,228208,,,,0.0,,-17414
2015-08-06,2,2015,,0,-20098,13302,-4040,-3646,1814,-974,,0,-705,3378,1026,-12934,0,-940,,0,134130,0,0,-600,0,-79548,61879,-84863,-41985,18430,,1925,-3485,705,153941,2015年01月01日至2015年06月30日,219450,284693,-1055,65243,-89781,,-50335,-51040,,294258,452216,-586452,156537,-89781,,37741,-152941,-115200,,6589,-1922,,,0,38741,284693,0,-240,,,0,-33126
2015-11-06,3,2015,,0.0,-17743,3391,31184,-10318,2725,-974.0,14000.0,0.0,-1021,6721,1343,-20613,0.0,-940.0,,-10600.0,134130.0,0.0,-110.0,-600.0,,-10516,-34167,-114722.0,-70175,27917,,2634,-4872,1021,164596.0,2015年01月01日至2015年09月30日,219450,232913,-7870,13463,-51486,,-22035,-23056,-42719.0,294258.0,532216,-674443,104330,-51486,,-20726,-115440,-136166,,6637,-1970,,,0.0,28430,232913,0.0,1950.0,,,2105.0,-43085
