date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得投資性不動產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,,63729.0,,-43106,-24464,7217,-2907,-25.0,,,1747.0,,-21026,,-6264,,4062.0,,22038,379,-53572,0.0,0.0,-19190.0,,,,,,7422.0,-102406,,,14463,-30000.0,,-16984,-20989,0.0,30943,254.0,-30168,29122,,0,,,9876,-21312,,0.0,,2013年01月01日至2013年03月31日,135638,134404,-1234,2554,,-86304,-64992,,180543,,114859,2554,,0.0,-21672,-109603,-131275,0,0,,47111.0,0,,,-1369.0,-67546,,134404,,,,,,,6782,-2133
2013-08-12,2,2013,,136412.0,,-83948,-17844,-19973,9061,-49.0,,,,0.0,7198,,-7182,,3422.0,-17.0,48147,1124,-66949,0.0,0.0,,,,,,95119.0,,8938,,-527.0,15813,0.0,-30000.0,-51693,-105132,0.0,-25464,508.0,-23651,69691,,28705,,,18859,-45905,17.0,,,2013年01月01日至2013年06月30日,135638,129117,-6521,6092,,-54353,-7329,,142907,,70359,6092,,,-70884,-78949,-149833,0,0,,50480.0,0,0.0,,-3690.0,-13421,,129117,-1136.0,,,-53192.0,,,-2255,2354
2013-11-08,3,2013,,64607.0,-185187.0,-231796,-1736,-1831,25623,-74.0,,,,-29433.0,25700,,0,,-1968.0,-17.0,67653,795,-74559,0.0,-10000.0,,,0.0,,,17836.0,,-733,,-527.0,14828,0.0,-30000.0,-89589,-86635,,20448,761.0,236348,92184,,28440,,,29156,-67977,17.0,,,2013年01月01日至2013年09月30日,135638,110775,-24863,91786,,43679,112775,,177181,,-305685,91786,,,-69663,26045,-43618,0,479811,,50529.0,-120976,0.0,,-1425.0,20989,,110775,-1136.0,,,-53192.0,,-180000.0,13202,7978
2014-03-28,4,2013,,-387.0,-207063.0,-419380,23700,5994,36267,-101.0,-1.0,0.0,,10.0,-128888,,-35653,,-101335.0,-918.0,87745,1877,-102328,0.0,-15000.0,,,-31731.0,-360000.0,,16399.0,,66442,,-527.0,-3590,-30000.0,,-29314,-115721,,13719,-2262.0,211942,118493,,43695,,53.0,39296,-88286,918.0,5685.0,,2013年01月01日至2013年12月31日,153359,143359,-10000,197776,,-27016,74968,-53192.0,388730,,-196803,197776,,-5685.0,-12205,-110216,-122421,108230,662041,0.0,88918.0,-144704,0.0,0.0,1688.0,-122808,,143359,-14616.0,,4980.0,,,,-25729,-6632
2014-05-13,1,2014,,39209.0,,-83609,-25313,-15349,-10337,-19720.0,,,-75.0,,84884,,-3866,,-27566.0,-47.0,19980,-512,-33334,0.0,,,,,,,,-3072.0,-9647,-2192.0,,1744,,0.0,-99101,20472,,8213,19696.0,-37982,37245,,-76560,,,11713,-19919,47.0,,,2014年01月01日至2014年03月31日,143359,212507,69148,22190,,-23648,-3776,,259619,-41648.0,131290,22190,,,-150564,85389,-65175,0,1485,,0.0,-1326,,,-790.0,-25966,,212507,,,,,,,68364,-12521
2014-08-12,2,2014,,12809.0,,-184224,-47080,17597,-9060,-19744.0,,,-75.0,,34129,,1547,,-33710.0,-152.0,40673,-1019,-66750,-7000.0,,,,-762.0,-22000.0,,4011.0,,75815,-2192.0,0.0,9100,,0.0,-98190,-53717,,-54282,17596.0,67892,74818,,-25068,,,20719,-40386,152.0,11551.0,,2014年01月01日至2014年06月30日,143359,216639,73280,116817,,-15193,13926,,952986,-895657.0,21600,116817,,-11551.0,-128790,13090,-115700,160000,115230,49894.0,0.0,-17690,,,-60298.0,-102891,,216639,-436.0,,,-15516.0,,,45273,-8069
2014-11-12,3,2014,,63191.0,-27600.0,-641257,-38515,-10098,-4907,-19771.0,,,,-75.0,27791,,-7923,,-36356.0,-241.0,58834,-47,-115525,-7000.0,0.0,,,-762.0,-22000.0,,-1640.0,,135884,-2192.0,-2169.0,-101,,0.0,-121760,41553,,-70072,13396.0,11889,112737,,-97179,,172.0,25992,-59309,241.0,19001.0,,2014年01月01日至2014年09月30日,143359,188043,44684,148288,,75108,115616,-18471.0,1219628,-1520286.0,-42266,148288,,-19001.0,-184164,88301,-95863,980000,117472,49894.0,0.0,-18648,,,-60298.0,-32672,,188043,-441.0,,,-30471.0,,0.0,55231,-7315
2015-03-26,4,2014,,217326.0,-27600.0,-910292,-35785,-17654,6810,,,,,4147.0,-34694,-19796.0,-26776,,-30896.0,-1805.0,78293,851,-149562,-7000.0,0.0,,-2450.0,-10578.0,-22000.0,,5565.0,,210011,258.0,-2169.0,-837,,0.0,-138910,-68302,,-8592,12318.0,-41274,151356,0.0,-106730,,-178.0,28833,-78727,1805.0,19001.0,,2014年度,143359,205091,61732,108327,,146687,207256,-48942.0,2951288,-3360136.0,-44532,108327,,-19001.0,-178498,60101,-118397,1370000,120329,49908.0,0.0,-20110,,,-60312.0,98929,0.0,205091,-2648.0,1146.0,,,90000.0,,61598,2370
2015-05-12,1,2015,,,,-413802,-24389,-7394,-785,-25.0,,,0.0,,-28083,,0,4817.0,3045.0,-187.0,18267,-123,-16481,,,,,,-21395.0,,,-10056.0,-16615,0.0,,25832,,,-31767,5584,,62609,,289812,40760,,-89472,,5427.0,1792,-18176,187.0,,-8676.0,2015年01月01日至2015年03月31日,205091,247997,42906,118118,-3516.0,-46188,-10222,,556013,-522750.0,-200595,118118,,,-49470,-70194,-119664,190000,32988,,,-15628,289883.0,-62152.0,,-128340,,247997,-17977.0,,,,,,-3432,-8211
2015-08-11,2,2015,1031.0,,,-618150,40634,-10616,-3405,-199.0,,,0.0,,-63994,,-11207,,-370147.0,-278.0,37911,199,-35197,0.0,,,,-4225.0,-86656.0,,-10849.0,,6748,83049.0,,-105100,,,-157920,239511,,-36712,,294526,89050,,-103088,,-10197.0,3917,-37460,278.0,13096.0,-349209.0,2015年01月01日至2015年06月30日,205091,318091,113000,511701,-2756.0,-96455,-52892,,1454460,-1200731.0,-85270,511701,,-13096.0,-252327,36943,-215384,290000,58879,0.0,,-27868,289883.0,-62152.0,2620.0,-564593,,318091,-19477.0,,,0.0,,,-2117,-16370
