date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存貨（增加）減少,已實現銷貨損失（利益）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分無形資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,長期應收租賃款減少,非控制權益變動,非金融資產減損損失
2013-04-26,1,2013,1937675.0,0.0,,-1283330.0,-265480,-34213,2319,-96714,43657,690,,-219902,-9474,75167,29812,-237256,-16000,0,-94584.0,,-80901,2612,3716.0,98246,,,-334621,,0.0,,-305852.0,-77504,-22006,115.0,-419875,1977012,,,5921,62370,-83895,7176,,,2013年01月01日至2013年03月31日,5710913,5835486,,124573,-300745,555788,645567,,1026059.0,,-41152,-300745,0.0,,-859977,-131386,-991363,200000.0,3988,0.0,4878,-1510,,564,,,946312,5835486,-13060,44915,,,12403,
2013-08-02,2,2013,3757009.0,28908.0,,-3933330.0,-192085,91844,-25,-249324,62975,-1678,,-386091,-20213,148171,24814,-566162,-16000,-249195,-94584.0,,-131744,6178,10093.0,410660,,,-269274,,-400000.0,,-297598.0,-523144,-58038,-890.0,-1017606,3896082,,,-7495,105298,-165938,22808,31342.0,,2013年01月01日至2013年06月30日,5710913,5684044,,-26869,223309,2740840,2953741,,131616.0,,-1774917,223309,0.0,-27342.0,-696007,-330570,-1026577,2400000.0,4111,2182.0,4878,-1004,,2615,,,2730432,5684044,-101113,40027,783.0,,16704,
2013-10-24,3,2013,5179051.0,32603.0,,-3933330.0,-298898,72468,-4873,-213280,75107,-6751,,-206800,-31458,208257,10422,-958012,-16000,-333788,-94584.0,,-143368,2250,19647.0,837503,265.0,,-361584,,-400000.0,,-323909.0,-221799,-41448,-432.0,-1500924,5098849,5529.0,,1915,137380,-236705,35301,34529.0,,2013年01月01日至2013年09月30日,5710913,5613652,,-97261,462292,4880467,5158976,-137588.0,-1450733.0,,-3487226,462292,0.0,-29715.0,-914157,431790,-482367,2400000.0,4184,2467.0,5574,2931,,2554,,,4696684,5613652,-111634,-8160,783.0,,14778,
2014-03-28,4,2013,6594769.0,32603.0,,-4604040.0,-60474,62983,1320,-150998,81803,-5567,,-177945,-53033,259402,13757,-2245724,-16000,-631036,-94584.0,-151236.0,-155663,5138,25890.0,1312735,,,-154821,,-500000.0,,-294703.0,-308018,-43681,,-2983740,6277692,5529.0,,92057,169142,-298559,44203,34530.0,,2013年01月01日至2013年12月31日,5710913,7670379,-137.0,1959466,558654,7257601,7599531,-137588.0,-643766.0,,-2328152,558654,0.0,-29715.0,-426875,872983,446108,3510000.0,5076,2467.0,206111,3807,0.0,7674,,,7040877,7670379,-122104,39904,783.0,64246.0,21352,
2014-04-25,1,2014,1243244.0,,,0.0,-102556,37359,12682,-278296,23008,4143,,47049,-42658,48664,36794,-1445161,0,-325701,0.0,,-56975,-3674,1553.0,413525,,,148003,57104.0,,,,13869,11016,,-1827654,1153128,,,15866,32140,-65798,14787,,,2014年01月01日至2014年03月31日,7670379,6543282,583.0,-1127097,508795,2016273,2091896,,-1360918.0,,-1352510,508795,,,138241,201616,339857,0.0,183,,0,-167,,0,,,1583101,6543282,-24612,-7687,,,6855,
2014-08-01,2,2014,2368005.0,0.0,,-1098215.0,8576,82216,25564,-97849,39125,2620,,118142,-83004,83798,8998,-5991274,0,-627560,0.0,,-165151,5553,2667.0,863338,,,286883,-1364.0,0.0,,,-430386,-8393,,-6732738,2263285,,,1563,62464,-128804,24998,47544.0,,2014年01月01日至2014年06月30日,7670379,6250179,499.0,-1420200,1459856,4449832,4598191,,-1051683.0,,853708,1459856,,-41625.0,358784,411546,770330,3000000.0,250,0.0,997,-3,,-96,,,3138335,6250179,-92097,-42571,0.0,50000.0,939,
2014-10-24,3,2014,3735625.0,0.0,,-1098215.0,-108692,-951,65399,-283990,43760,-80415,,238061,-124099,126401,13485,-8056564,0,-634150,0.0,,-173899,13866,4876.0,901650,,,464572,89673.0,0.0,,,-708971,-15601,,-8644981,3469196,0.0,,-14974,89512,-196422,40701,77320.0,,2014年01月01日至2014年09月30日,7670379,6374834,235.0,-1295545,2651068,6536327,6753127,-97121.0,-1009032.0,,799624,2651068,,-69376.0,554712,-188278,366434,3000000.0,1148,0.0,117241,7839,,-29443,,,4102059,6374834,-138399,28407,0.0,101243.0,-884,
2015-02-03,4,2014,4959913.0,5368.0,,-3863100.0,123711,26629,41687,-274980,58681,-83558,,230527,-166289,177339,54625,-13192897,0,-828260,0.0,0.0,-192673,5285,4876.0,426424,-118.0,,560105,120946.0,,0.0,,-533864,4520,,-13872219,4759388,0.0,,-14663,115818,-272935,48770,122653.0,,2014年度,7670379,6975514,,-694865,3941038,9135205,9371252,-97121.0,,-1682495.0,3987524,3941038,,-114709.0,905130,-434829,470301,9617600.0,1351,0.0,148292,7643,,-40657,33872.0,,5430214,6975514,-134535,349,0.0,152728.0,7764,
2015-04-30,1,2015,,2414,,,-279763,24426,-41161,-179687,13111,2513,,78171,-42836,57057,-22680,-827335,-40000,0,,,-9460,1911,0,-390478,,,-133264,26245,,,,208075,18586,,-777595,1385409,,,-10088,26614,-86138,12061,12927,1438412,2015年01月01日至2015年03月31日,6975514,7675815,0,700301,1281112,1897977,1988127,,-390213,,-397401,1281112,,-12927,-414832,-316565,-731397,,492,,44841,-447,,-8245,,,707015,7675815,-29000,-36207,,51453,-7188,
2015-07-31,2,2015,,15494.0,,-2764885.0,-86945,21766,-29017,-164088,28657,-2725,,126135,-86820,130915,-44693,-2084459,-40000,-609186,,,-23090,4495,0.0,-1199505,,,-112911,-46096.0,146000.0,,,679,13683,,-2554232,2856286,,,-11636,52998,-171983,22437,77785.0,2955082.0,2015年01月01日至2015年06月30日,6975514,6915401,0.0,-60113,2335616,3593752,3714196,,,-390213.0,-1054940,2335616,,-77785.0,-246312,-1330190,-1576502,1960710.0,3654,,80433,1065,,-32047,,,1378580,6915401,-48683,-8524,,102922.0,-6552,
