date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-02,1,2013,283416.0,,,-85153,14328,,-21811.0,169,-1254,0.0,,,,,-2195.0,-362,31597,19431,-180044,,,,-35614,,-303.0,2995.0,,713565,,0.0,-12720,125,29637,179178,-631,50401,488,-7034.0,-197103,283760,,,4026,1885,-34256,286,,,2013年01月01日至2013年03月31日,525384,867970,,342586,-16871,,1105121,1138897,,-584685.0,,-584863,-16871,,-74837,947189,872352,,2157,,319,0.0,,,1155768,-1096.0,867970,194,,,-8886,-400.0,0.0,1360.0
2013-08-08,2,2013,638858.0,,-100000.0,-86430,-21514,,18450.0,1506,-1727,0.0,0.0,-25398.0,,,11979.0,-1066,62981,28480,-389172,,,,-29418,,-354.0,,2012.0,1571892,,,103318,42,-40862,-520724,1803,94923,264,-14851.0,-318236,573844,,,16451,3805,-64566,840,,,2013年01月01日至2013年06月30日,525384,1266807,,741423,84214,,1760091,1828440,,-728600.0,,-728912,84214,,-39592,1144960,1105368,100000.0,6858,,282,0.0,,,1744226,-2550.0,1266807,-4623,,0.0,20043,69014.0,,277.0
2013-11-08,3,2013,913669.0,,-100000.0,-46703,-19845,,,14623,-2674,0.0,0.0,,-48661.0,,718.0,-5927,93746,65452,-626998,,,-5157.0,-33803,,22518.0,,1720.0,1708110,,,89605,75,-26501,-282588,2740,89961,1609,-22607.0,-515351,865641,,,-1448,5732,-80204,2556,4302.0,,2013年01月01日至2013年09月30日,525384,2011751,,1486367,378019,,2625952,2714298,,-712279.0,,-689686,378019,-4302.0,6727,1415883,1422610,100000.0,13739,,3883,0.0,,,2336279,-3938.0,2011751,-15000,-10571.0,0.0,-81430,,150006.0,2248.0
2014-03-18,4,2013,1174018.0,,-100000.0,-85059,-12896,,-5341.0,24498,-1344,0.0,,,16443.0,,942.0,-16118,123769,106761,-600349,,-186.0,,-33094,22755.0,0.0,1191.0,,1742219,,0.0,75554,-79852,-40404,-118260,-951,26897,1546,-30591.0,-568833,1148357,,,-27642,7697,-100188,7987,4302.0,,2013年01月01日至2013年12月31日,525384,2030444,,1505060,609588,,3259869,3368539,0.0,,-1235640.0,-1292737,609588,-4302.0,-48340,1633273,1584933,100000.0,15107,,3769,0.0,,,2758951,4426.0,2030444,-16469,-29360.0,0.0,-3938,,,3236.0
2014-04-29,1,2014,288163.0,,-100000.0,-22247,-10469,,17479.0,-9741,-2058,,,-17170.0,,,224.0,-10119,31451,58956,-99107,,,,0,,-882.0,,1261.0,106815,,,-54797,29859,-11007,-298185,-5218,6390,-412,-8046.0,-110412,285053,,,-172,2013,-23147,12340,,,2014年01月01日至2014年03月31日,2030444,2787818,,757374,178538,,116249,159965,,763604.0,,692581,178538,,-107168,-199568,-306736,,9600,,62,,,,-18573,-1330.0,2787818,-32909,-20349.0,,3569,-22475.0,,
2014-08-06,2,2014,645537.0,,-100000.0,70857,5050,,,-14159,-2956,75.0,,4864.0,,,448.0,-19158,64951,-35125,-196842,,,,-1816,,-545.0,,-616.0,578175,,,-9409,20,8469,-618843,-10004,111075,-598,-16892.0,-211743,561865,,,44773,3992,-51722,22159,,,2014年01月01日至2014年06月30日,2030444,2616906,,586462,490884,,964008,1181231,,,-30153.0,-130678,490884,,36123,8687,44810,0.0,11049,,-190,,17953.0,,690347,-2743.0,2616906,-187660,-9328.0,,-53287,-48151.0,,0.0
2014-11-07,3,2014,956153.0,,-100000.0,43384,4672,,,6751,-6902,,,,24667.0,75.0,672.0,-24707,97282,15598,-333525,,,,-1816,,-786.0,,-51908.0,232648,,,4078,46,-7685,51200,-12236,118451,-1485,-24836.0,-353015,837617,,,52010,5975,-81371,28917,5764.0,,2014年01月01日至2014年09月30日,2030444,2434812,,404368,517862,,1486786,1800269,-879874.0,,235613.0,-745001,517862,-5764.0,17468,308786,326254,0.0,11050,,-190,,17518.0,,1282407,-4224.0,2434812,-261029,-4926.0,,-77637,,-26581.0,
2015-03-10,4,2014,1241751.0,,-100000.0,86679,-13640,,,21599,-4340,,,,54585.0,75.0,896.0,-33409,125173,136668,-488902,,0.0,,-1816,-22621.0,,-56786.0,,117265,,,-35220,0,-7069,195585,-10605,67299,-205,-32867.0,-455056,1119525,,,47885,7989,-101831,35318,5764.0,,2014年度,2030444,2740813,,710369,549808,,1808191,2156124,-879874.0,223061.0,,-779434,549808,-5764.0,30122,334443,364565,0.0,55591,,2578,,41341.0,,1606316,-3000.0,2740813,-281420,-21306.0,,-16991,-66649.0,,
2015-05-08,1,2015,,-1343200.0,0.0,-82740,25764,,,-8294,-2281,,,-14289.0,,,0.0,-9768,26123,-34232,-113656,,-63.0,,0,,-605.0,,-83691.0,237351,,,-30564,-53,-7591,-15293,-6722,4655,519,,-256529,269395,18512.0,,67911,2010,-26252,7352,,216433.0,2015年01月01日至2015年03月31日,2740813,2660588,,-80225,153093,-7937.0,480585,504126,,-126191.0,,-270049,153093,,-137126,271726,134600,1200000.0,3546,-39213.0,-88958,,,0.0,351033,0.0,2660588,-4641,-11067.0,,9221,-48376.0,,
2015-08-10,2,2015,,-1343200.0,0.0,-27889,15093,,49642.0,-2152,2492,,,-104239.0,,,0.0,-20692,55076,-70947,-266974,-321083.0,-63.0,,6945,,-666.0,,-25837.0,149295,,,35456,29968,-13270,-323042,-6641,14817,671,,-596294,521377,18486.0,10000.0,73115,3934,-54528,20314,,492197.0,2015年01月01日至2015年06月30日,2740813,2756602,,15789,540597,-15897.0,725596,893705,,,71332.0,-42566,540597,,-23752,-115337,-139089,1200000.0,139589,-39213.0,-91566,-6613.0,,0.0,353108,,2756602,-133895,-10166.0,,13492,-77329.0,,
