date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付款項增加,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-15,1,2013,10.0,21646.0,,4185,,1405.0,,,,-3347,,,,,-1746.0,-23807,,0.0,,,,,678.0,,2892.0,,-108,3062,-6008,0.0,,,0.0,,134.0,,0.0,26792,-115506,0.0,,0.0,,-20542,151376,,4710,149.0,314,16956,,1252,-3002,154.0,,,2013年01月01日至2013年03月31日,282834,264555,,-18279,-48049,,,19468,22291,-12938.0,,-32053,-48049,-106774,155468,48694,-23216.0,,1.0,,,,,70340,264555,25,473,3289.0,,,-47.0,-2884.0,306.0,-209.0,25281.0
2013-08-14,2,2013,0.0,48867.0,,9292,-2944.0,,,,,-4196,,,,,2556.0,-3011,,,,,,1838.0,,,10644.0,,-268,5638,11469,-20003.0,,0.0,,3160.0,,,,27191,-15376,,,19953.0,,-23223,28087,,-8740,,-8411,29799,,1531,-5224,268.0,,,2013年01月01日至2013年06月30日,282834,189263,,-93571,-72248,,,-27607,-21688,,-7717.0,-69022,-72248,-26751,28444,1693,-73860.0,948.0,-506.0,,,,,50560,189263,-963,908,-6292.0,8605.0,0.0,-10887.0,,,,
2013-11-14,3,2013,,35849.0,-98110.0,-10509,-3718.0,,,,,-4326,,,,,167.0,-17862,,,,,,592.0,,,0.0,,-410,8174,11295,-21286.0,,,,,,,,33104,18537,,,19836.0,,-27706,34684,,14067,,-19818,46257,,5820,-8174,410.0,,,2013年01月01日至2013年09月30日,282834,204716,234.0,-78118,-90370,,,-32441,-22972,40850.0,0.0,-37154,-90370,-19511,51060,31549,0.0,1468.0,-140.0,,,,,67398,204716,-1705,587,3396.0,-24673.0,0.0,-8607.0,,,,
2014-03-27,4,2013,0.0,79204.0,-48035.0,-162098,4145.0,,,,,-11323,0.0,,,,24685.0,-28789,,,81638.0,,,12633.0,,0.0,,,-586,10631,10823,-29867.0,,,,,,,,-17398,22322,,,37800.0,,-27554,-31379,,4867,,87218,58470,,8720,-10631,586.0,,,2013年01月01日至2013年12月31日,282834,302934,,20100,-78983,,,-260512,-245985,832571.0,-738181.0,182571,-78983,-142645,-103561,-246206,0.0,132461.0,-15088.0,-15376.0,0.0,-2911.0,4389.0,-167002,302934,-4482,376,0.0,15203.0,,-19539.0,,,,
2014-05-14,1,2014,0.0,33427.0,-10750.0,10067,,376.0,,,,8090,,,-752.0,,1761.0,8785,,,,,,573.0,,0.0,-730.0,,-150,2555,7934,-5923.0,,,,1027.0,,,,28265,89411,-16880.0,,,-76.0,-512,-93279,-27350.0,25489,,-6653,9820,-1707.0,1117,-2413,152.0,,,2014年01月01日至2014年03月31日,302934,299296,,-3638,-13332,,,-1960,2543,406483.0,-399189.0,-2959,-13332,84223,-101775,-17552,,,0.0,,,,,15875,299296,-2242,16783,0.0,3982.0,,-51023.0,,,,
2014-08-13,2,2014,,35263.0,-21500.0,7349,320.0,,0.0,,,13526,-500.0,,,,,-27183,-7019.0,,,,,618.0,,-5968.0,0.0,,-1890,5946,5647,-6261.0,,,,-3606.0,,,,48257,-11919,-94741.0,,1924.0,,-2172,-101198,-22284.0,27292,,-12729,19543,-840.0,2199,-5284,1823.0,,,2014年01月01日至2014年06月30日,302934,303158,,224,-19574,,,-175697,-168822,959646.0,-758005.0,183003,-19574,-108502,-76009,-184511,,0.0,2080.0,,,,,-149248,303158,-3414,17146,0.0,-5315.0,,-14419.0,,,,
2014-11-12,3,2014,,58819.0,-32250.0,10376,,,-4250.0,,,11267,3789.0,,,,-6395.0,-2169,,,,-71120.0,,687.0,,,1464.0,,-812,9978,1479,-6885.0,,,,3054.0,,2.0,,33986,35583,-127727.0,,-117653.0,,-2709,-149717,-28286.0,43999,,-72554,29105,-1652.0,3474,-9489,,570.0,,2014年01月01日至2014年09月30日,302934,198398,0.0,-104536,-19504,,,-174310,-160582,1249466.0,-955151.0,140849,-19504,-90872,-109025,-199897,,196.0,3156.0,,,,,-141078,198398,-4809,12516,0.0,,,-18105.0,,,,
2015-03-27,4,2014,,67403.0,-43000.0,2722,2329.0,,,,,7414,4178.0,0.0,,,-9068.0,-23057,,,,-84872.0,0.0,752.0,,1314.0,0.0,,-1898,13960,21963,-10318.0,,,,6069.0,,,,18453,-36407,,0.0,-117653.0,,232,-225318,,46540,,-88464,38720,,4366,-13410,1418.0,,,2014年度,302934,256235,,-46699,-462,,,-170451,-151548,1660227.0,-1312402.0,190253,-462,-42521,-175968,-218489,,1234.0,2513.0,,,-3712.0,-6034.0,-151086,256235,-6911,13419,,,,,,,,
2015-05-13,1,2015,,,-10705.0,204,193.0,,,,,5294,-4137.0,,,,-2665.0,-5087,,,,0.0,-12985.0,-5054.0,,899.0,0.0,,-1085,4430,-5696,-263.0,,,,7193.0,,,,-26790,-96725,3443.0,,,99916.0,-2927,47202,17481.0,115,,-16486,9112,41.0,91,-4102,354.0,,16080.0,2015年01月01日至2015年03月31日,256235,261894,,5659,-11320,,,-58544,-55695,419154.0,-417119.0,86385,-11320,-98670,38215,-60455,,,,,,,,-44375,261894,899,-3702,,,,,,,,
2015-08-13,2,2015,,,-21500.0,97,1157.0,,,,32705.0,3377,,7033.0,,,,9086,,,,-17477.0,,-4993.0,,,1124.0,,-2281,8865,-10960,,-3988.0,,,1887.0,,,,-15364,-145520,9151.0,,99928.0,,-2403,483,32603.0,-527,,19397,18108,305.0,182,-8411,2596.0,,18323.0,2015年01月01日至2015年06月30日,256235,271447,,15212,8832,-4346.0,-92595.0,-92595,-86208,907812.0,-883034.0,99370,8832,-143021,29658,-113363,,,0.0,,,,,-95040,271447,-572,-8743,,,,,,,,
2015-11-12,3,2015,,,-32250.0,-2614,1072.0,,,,32705.0,1027,,-9521.0,,,-5785.0,2641,,,,9552.0,,-4861.0,,,457.0,,-3291,13439,2185,-5871.0,,,,-8604.0,,,0.0,-97642,-134901,18055.0,,99937.0,,-2985,4186,69003.0,-977,,27322,27074,-1679.0,237,-12767,3358.0,,19371.0,2015年01月01日至2015年09月30日,256235,236305,,-19930,-3781,,-146921.0,-146921,-134402,1191769.0,-1158183.0,97484,-3781,-128230,-21762,-149992,,0.0,0.0,,,,,-130621,236305,-3110,-7805,,,,,,,,
2016-03-25,4,2015,,,-39500.0,51367,-1480.0,,,32705.0,0.0,-43621,8067.0,0.0,,,-4526.0,12074,,,,0.0,8715.0,495.0,,540.0,,,-4232,17941,-6429,-9524.0,,,,-13295.0,,,,-89968,-148552,53930.0,,99946.0,,-2751,89661,55103.0,299,,52747,35493,-5507.0,270,-17844,4527.0,,11237.0,2015年度,256235,278410,,22175,-18753,,,-58122,-34500,1489995.0,-1515477.0,33979,-18753,-50532,23548,-26984,,1828.0,-1687.0,10416.0,,-6284.0,0.0,-15747,278410,-10305,-11462,,,,,,,,
2016-05-12,1,2016,,,-7250.0,29767,0.0,,-1338.0,,,-24686,0.0,570.0,,,3882.0,-8168,,,,0.0,2242.0,,-13362.0,,351.0,-1448.0,-1005,4398,-5137,-4142.0,,,,549.0,,,,22989,43934,683.0,,0.0,,-253,56943,23013.0,327,,-979,6882,-384.0,29,-3649,828.0,,7499.0,2016年01月01日至2016年03月31日,278410,384925,,106515,-15780,,,136100,140150,306902.0,-308421.0,-23469,-15780,78013,70418,148431,,,,,,,1043.0,155930,384925,-1229,-2565,,,,,,,,
2016-08-11,2,2016,,,-14500.0,6291,0.0,,-4152.0,-34509.0,0.0,3579,0.0,570.0,,40313.0,2713.0,-29133,,,,0.0,16083.0,0.0,-19058.0,,348.0,-2169.0,-1858,8570,-8556,-16301.0,,,,-1858.0,,,,25446,-16569,2468.0,,0.0,-99946.0,-455,-35380,67898.0,511,,6504,13639,-384.0,57,-8356,1955.0,,14478.0,2016年01月01日至2016年06月30日,278410,218991,,-59419,-12952,,,21014,28895,959932.0,-900657.0,-78381,-12952,-5552,32921,27369,0.0,,,,,,1043.0,41847,218991,-1480,-2562,,,,,,,,
2016-11-11,3,2016,,,-21750.0,8942,-5099.0,,,-12626.0,0.0,-689,0.0,570.0,,24013.0,3279.0,1717,,,,,10493.0,,-14337.0,,730.0,-2169.0,-2526,12893,-23822,-37865.0,,,,-1364.0,,,,33927,36605,-2604.0,,,-99946.0,-425,-91750,67898.0,432,,-14685,20518,-384.0,84,-12039,2590.0,,25538.0,2016年01月01日至2016年09月30日,278410,284019,,5609,1730,,67872.0,67872,84600,1311287.0,-1193911.0,-23756,1730,45797,11535,57332,,,,,,,1043.0,82870,284019,-7279,-2557,,,,,,,,
