date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融負債增加（減少）,其他金融資產增加,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得子公司股權,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-06,1,2013,6864.0,0.0,-2725,,,,-57,7476,,-618.0,0.0,,-660.0,-103,284,4489,-10116,,,,,,,,-617,2322.0,,-18487,,-21200,1151.0,,,-474,9866,7191.0,3858,549.0,85.0,-7176,3594,0.0,3163,-288,103,0.0,,2013年01月01日至2013年03月31日,214924,199604,-15320,29691,,-12016,-11035,,,,,,-617,29691,,0.0,-29457,-18133,-47590,1446,,572,,,,,-40726,199604,-796,14,,,-28586,-828,-5619.0
2013-08-09,2,2013,11980.0,0.0,6647,,,0.0,205,4659,,,0.0,0.0,-800.0,-281,556,7769,-12332,-29269.0,,0.0,,,,,-672,,2022.0,-18059,,-48163,-341.0,,-50000.0,-1092,10858,7815.0,7394,1366.0,166.0,-40777,8549,0.0,6174,-531,281,2703.0,,2013年01月01日至2013年06月30日,214924,146907,-68017,55266,,15663,25415,,,,0.0,,-50672,55266,,-2703.0,-42257,426,-41831,1252,,667,,,,,-29851,146907,-12205,-182,,,-13607,-2450,321.0
2013-11-07,3,2013,17286.0,0.0,10571,,,0.0,1530,583,,,0.0,0.0,-805.0,-354,767,5927,-14199,-115504.0,,-775.0,,,,,-679,,3218.0,-29878,,-38571,-3223.0,,-40000.0,3864,1190,-1101.0,7607,1366.0,251.0,-76096,13757,0.0,7038,-750,354,2703.0,,2013年01月01日至2013年09月30日,214924,102855,-112069,90742,,57608,76462,,-58829.0,,0.0,,-99508,90742,,-2703.0,-23095,-8471,-31566,1268,52811.0,672,,,-189.0,,-14280,102855,-21161,-897,,,11762,-2915,2483.0
2014-03-25,4,2013,-78283.0,0.0,40147,,-1609.0,,395,-1329,,,,-2048.0,-807.0,-646,1448,7429,-19767,-182859.0,,-450.0,,,-476.0,,-668,,3249.0,-26936,,-34271,-1935.0,0.0,-80000.0,-985,-51438,7548.0,7785,1066.0,335.0,153179,19136,0.0,7978,-1396,646,1303.0,,2013年01月01日至2013年12月31日,214924,279708,64784,229422,,63673,87791,,-58829.0,,,-20000.0,-159497,229422,,-1303.0,3686,-67034,-63348,2767,120848.0,662,237344.0,-101897.0,-518.0,,-141631,279708,-24671,-1860,,-1311.0,-2121,-4594,
2014-05-09,1,2014,6625.0,,-45904,,4216.0,,-3761,-103,,,,-47.0,0.0,-474,5,1795,-1296,,,,-9874.0,,-2413.0,,-805,-2003.0,0.0,-7644,,-19897,,0.0,-20000.0,423,65410,5121.0,-13599,0.0,79.0,45062,5678,0.0,968,-4,474,,,2014年01月01日至2014年03月31日,279708,323607,43899,27265,,27847,27834,,,,,-10000.0,-30805,27265,,,-69060,63004,-6056,50,60023.0,-50,,0.0,-547.0,,569,323607,-457,3458,,,9603,-1791,
2014-08-08,2,2014,10281.0,,-26455,,4891.0,,-1871,-652,,,,-238.0,0.0,-1363,15,-1152,-5680,-30998.0,,-472.0,-9622.0,,-5097.0,,-320,-2003.0,0.0,8984,,-35823,,0.0,0.0,4,52886,-3182.0,-934,0.0,159.0,31057,11224,0.0,2107,-16,1363,0.0,,2014年01月01日至2014年06月30日,279708,358617,78909,61505,,59324,75289,,,,,-10000.0,-10320,61505,,0.0,-63986,67489,3503,187,76936.0,158,,0.0,-591.0,5000.0,13784,358617,-17312,3828,,,5496,-2053,
2014-10-31,3,2014,14606.0,,-24816,,4891.0,,-3539,-914,,,,-3232.0,0.0,-2208,155,2159,-18241,-78968.0,,-472.0,-9868.0,,-5326.0,,-311,-1953.0,0.0,-8820,,-27963,,0.0,-20000.0,31,28709,-2201.0,4275,,238.0,19125,16801,0.0,3464,-154,2208,0.0,,2014年01月01日至2014年09月30日,279708,187653,-92055,99728,,61371,88855,,-144399.0,,,-10000.0,-174710,99728,,0.0,-56049,30570,-25479,262,128912.0,227,,,-801.0,5000.0,-10873,187653,-29538,2294,,,4630,-2315,
2015-03-13,4,2014,27089.0,,47143,,4891.0,,-4916,476,,,,-6265.0,0.0,-2790,316,9576,-30244,-94260.0,,-472.0,0.0,,-5359.0,405.0,0,-2087.0,0.0,-16041,-181821.0,726,1133.0,120000.0,0.0,4160,-8061,-1626.0,-713,300.0,-809.0,-154611,23848,0.0,9824,-378,2790,0.0,,2014年度,279708,285901,6193,150394,,185222,221259,,-144399.0,,,-10000.0,-33994,150394,,0.0,47437,-3661,43776,263,159424.0,265,0.0,0.0,-943.0,5000.0,70865,285901,-38449,1928,,0.0,17113,-4149,
2015-04-27,1,2015,,,-35705,,0.0,,1035,910,,,,-931.0,,-411,313,-1265,-9097,-72980.0,,-481.0,,,0.0,,-699,-256.0,,17664,,-19094,-1301.0,,-10000.0,10170,22807,828.0,2238,,,-62477,7412,,8754,-311,411,,16116.0,2015年01月01日至2015年03月31日,285901,271687,-14214,44644,115.0,60227,58731,,,,,0.0,-10699,44644,,,-44780,42751,-2029,21,37167.0,156,,,-163.0,,14087,271687,1396,55,,-14700.0,-1696,-1220,
2015-07-31,2,2015,,,-67797,,0.0,,309,175,,,,-930.0,,-896,564,-3563,-21811,-110463.0,,-482.0,,,0.0,,-553,-1413.0,,20256,85.0,-41420,-671.0,,-50000.0,-884,66364,-2749.0,4560,,,-63607,14936,,17676,-606,896,,31572.0,2015年01月01日至2015年06月30日,285901,245536,-40365,90802,229.0,77313,97735,,,,,45.0,-50508,90802,,,-110234,85595,-24639,979,72716.0,-376,,,-390.0,,6933,245536,-20712,58,,,-3011,-2288,
2015-10-27,3,2015,,,-51523,77.0,0.0,,384,-638,,,,-932.0,0.0,-1256,869,3130,-28614,-156427.0,,-1946.0,,,0.0,159.0,0,-1621.0,0.0,-7334,85.0,-26785,-1398.0,0.0,-10000.0,-9825,26965,-12860.0,5550,,,-62490,23096,0.0,26718,-892,1256,0.0,48654.0,2015年01月01日至2015年09月30日,285901,263104,-22797,148885,343.0,96858,137118,,-90918.0,,40464.0,0.0,-60295,148885,,,-88804,28383,-60421,992,129051.0,-210,,,-660.0,,-11767,263104,-40624,97,,,16623,-3078,
2016-02-26,4,2015,,,-31346,845.0,0.0,,-779,3622,,,,-2915.0,,-1754,1438,-477,-44018,-215260.0,,-6292.0,,0.0,0.0,,277,-1643.0,,3249,-40300.0,-1247,49.0,0.0,-30000.0,-2046,-3115,-11855.0,7481,0.0,,-119532,31309,,36295,-1430,1754,,66245.0,2015年度,285901,355639,69738,212029,458.0,216763,259437,,-90918.0,,100000.0,-6375.0,-27016,212029,,,-34911,16074,-18837,1420,190555.0,-340,,,-801.0,,47408,355639,-42998,98,,,15847,-1079,
