date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他項目,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,取得無活絡市場之債務工具投資,員工執行認股權,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付設備款增加
2013-05-09,1,2013,5841.0,,3665.0,-7504,-3991,19.0,,-2821,,398,-4012,,0,,,,-22.0,,13629,14449,-74939,154.0,-826,9233,1281,2537,,2013年01月01日至2013年03月31日,926574,911716,-1710,-14858,34519,,,-14430,-14177,,,34519,1030,10764,-65301,-54537,,,,,,-48696,,911716,-253,-1191,671.0
2013-08-08,2,2013,13448.0,,,-6988,-4334,,1438.0,-5970,39.0,504,-8107,,-560,,1220.0,,-32.0,0.0,18670,52895,-29482,309.0,-1610,17955,2484,5651,,2013年01月01日至2013年06月30日,926574,1049181,-1297,122607,72717,,,122493,127772,,1220.0,72717,1920,56753,-15146,41607,,,,,,55055,10537.0,1049181,-5279,-1683,
2013-11-12,3,2013,23844.0,,-7925.0,-5333,-10539,,1438.0,-9347,59.0,449,-13673,,-560,,1220.0,,-32.0,0.0,-48053,112873,-118394,464.0,-3799,26489,3689,9028,,2013年01月01日至2013年09月30日,926574,874373,1364,-52201,107687,,,49010,54624,-99081.0,-97861.0,107687,2943,100079,-176986,-76907,,,,,,-53063,,874373,-5614,-1353,
2014-03-25,4,2013,27853.0,0.0,-2365.0,-4695,-1495,,,-12472,78.0,533,-24996,-10012.0,-878,,1220.0,,-32.0,,-15704,24276,6451,619.0,-23016,34623,4858,12328,,2013年01月01日至2013年12月31日,926574,979486,-334,52912,144215,,173256.0,173256,179155,-99081.0,-97861.0,144215,2969,17835,-10748,7087,0.0,,0.0,,,34940,,979486,-5899,-1869,574.0
2014-05-12,1,2014,7331.0,,4631.0,-2160,-3119,21.0,,-3347,,53,-3762,-10012.0,-919,,6998.0,,0.0,,-1695,26411,-39229,-113.0,-12889,7886,864,3046,,2014年01月01日至2014年03月31日,979486,996979,-664,17493,31724,,,23331,23781,,6998.0,31724,2457,28769,-44043,-15274,,,,,,-7943,,996979,-450,114,-1242.0
2014-08-12,2,2014,19826.0,,,-1123,-1189,,3245.0,-6866,40.0,-132,-12475,-10012.0,-6650,,7858.0,,-27.0,0.0,11123,19874,-23368,24.0,-19354,15658,1923,6565,,2014年01月01日至2014年06月30日,979486,1045509,168,66023,60431,,,77651,95310,,7858.0,60431,8255,28487,-13434,15053,,,,,,34879,9712.0,1045509,-17659,648,
2014-11-11,3,2014,28406.0,,-7302.0,2341,-1608,,2975.0,-10279,60.0,5,-17245,-13492.0,-6650,,10826.0,,-38.0,0.0,-33558,78106,-89165,162.0,-24472,22674,3405,9978,,2014年01月01日至2014年09月30日,979486,917337,-1611,-62149,98147,,,43880,75529,-92388.0,-81562.0,98147,14247,73307,-124331,-51024,,,,,,-22618,,917337,-31649,-90,
2015-03-26,4,2014,41902.0,0.0,-4033.0,7799,-721,,,-13528,0.0,107,-22573,-10013.0,-9533,,10826.0,,-52.0,,-30550,5942,4790,303.0,-26228,29540,4802,13307,,2014年度,979486,995932,-362,16446,134272,,124129.0,124129,159704,-92388.0,-81562.0,134272,22173,10011,-26481,-16470,0.0,,0.0,,,25432,,995932,-35575,-723,2636.0
2015-05-05,1,2015,,,4174.0,-7723,-4221,-64.0,,-3651,,-35,-3552,-3783.0,-1609,-55441.0,0.0,,0.0,4.0,1649,-16052,-54978,,-61721,6869,1488,2775,11483.0,2015年01月01日至2015年03月31日,995932,895807,1155,-100125,27718,-113.0,,-38369,-38063,,0.0,27718,6301,-19714,-57550,-77264,,,,,,-65781,,895807,-306,-615,-115.0
2015-08-11,2,2015,,,,1434,-2199,,339.0,-7638,9.0,-62,-10177,-6215.0,-4425,-65362.0,0.0,3088.0,11.0,0.0,-8182,12958,-8859,,-58434,13768,3045,6762,18023.0,2015年01月01日至2015年06月30日,995932,1004049,12,8117,54381,29.0,,63525,76161,,3088.0,54381,9118,22997,-19240,3757,,20633.0,,-609.0,,21780,8576.0,1004049,-12636,318,
