date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-10,1,2013,125470.0,-165318,4206.0,513.0,2410,-2293,40.0,,-146039,,,-9951,,32518,-9427,,-409,,,-19317,,30094,0.0,-76345,-17039,34967,4667,261.0,-358854,124925,5519,311,,7622,,2013年01月01日至2013年03月31日,3311906,3471846,,159940,431586,,486276,504634,0.0,,,0,431586,0.0,-162844,110422,-52422,,3090,73048,50.0,3471846,-18358,,1576.0,,,38741,-191797,,93137
2013-08-09,2,2013,263568.0,33833,-518.0,2297.0,3472,-456,,0.0,-177792,0.0,,-20633,,48003,-133170,,-1001,,,-42082,,130410,0.0,-13533,-24125,21939,-1870,522.0,-748370,262982,10945,938,,15468,,2013年01月01日至2013年06月30日,3311906,2929872,,-382034,838531,,1247322,1420928,0.0,-928989.0,,-928989,838531,0.0,180768,138061,318829,807.0,13911,582397,,2929872,-173606,,403.0,-4978.0,,-11444,-412897,,180599
2013-11-08,3,2013,426863.0,84606,,2297.0,605,-595,,0.0,-219086,,733.0,-28356,,39598,-244216,,-2150,,,-52500,,181591,0.0,5246,-24563,76942,-10243,783.0,-1100173,410346,16657,1780,,23861,,2013年01月01日至2013年09月30日,3311906,3188145,,-123761,1229098,,1920256,2219967,0.0,-983442.0,,-983442,1229098,0.0,375600,188406,564006,807.0,22466,990869,,3188145,-299711,,8215.0,-4978.0,,-59289,-609186,,308923
2014-02-21,4,2013,618230.0,285135,-101.0,2297.0,2056,-198,,0.0,0,56377.0,0.0,-36850,,51361,-1367455,-66278.0,-2150,,,-61472,,-43773,0.0,52741,-22234,6554,-7334,1044.0,-1356433,594492,27099,2729,,34183,,2013年01月01日至2013年12月31日,3311906,3484771,,172865,1440690,,2428855,2759210,0.0,-983442.0,,-950918,1440690,0.0,873772,-173482,700290,1299.0,28679,1318520,,3484771,-330355,32524.0,7059.0,-4978.0,,-128630,0,46766.0,555030
2014-05-09,1,2014,197942.0,-141245,-992.0,0.0,-918,-19843,0.0,,-155972,,,-8161,,-2233,-161895,-12946.0,-473,,30.0,-13686,,17235,,-70870,-3509,26732,22056,373.0,-373996,177944,9728,967,,10253,,2014年01月01日至2014年03月31日,3484771,4043317,2268.0,558546,445208,,934745,952630,,,,30,445208,,341329,-31849,309480,,4412,507422,,4043317,-17885,,10784.0,,,-77037,-39277,,557498
2014-08-08,2,2014,392812.0,-10343,-18733.0,0.0,-681,-696,,,-123521,,,-17629,,-18302,-361887,-12946.0,-641,30.0,,-27488,,-129004,,-78841,-8823,33807,22045,746.0,-618744,369281,21733,1941,,19402,,2014年01月01日至2014年06月30日,3484771,3145895,2231.0,-338876,753807,,1215269,1378142,,-917129.0,,-917099,753807,,392239,-160716,231523,9.0,10993,624335,,3145895,-162873,,5522.0,-1260.0,,-68135,-111672,,490181
2014-11-07,3,2014,756570.0,23330,,0.0,-1265,-34764,,,-159508,,99900.0,-26964,,3438,-786885,-12946.0,-1055,-70.0,,-51123,,-304192,,-67730,-21099,33673,22052,1119.0,-1028185,620560,33730,2896,,26727,,2014年01月01日至2014年09月30日,3484771,3137196,2192.0,-347575,1069867,,1618171,1922823,,-940929.0,,-940999,1069867,,427796,-331410,96386,35.0,31137,852956,,3137196,-304652,,-5621.0,-1260.0,,-48179,-43430,,493441
2015-03-06,4,2014,883052.0,142262,,0.0,-3078,-19593,,,-133384,0.0,,-33864,,32389,-1136841,-60906.0,-1115,-100.0,,-61013,,-873422,,-42654,-24865,18502,22026,1401.0,-1402732,760417,47653,3769,,34647,,2014年度,3484771,2558186,2155.0,-926585,1193026,,1384787,1738178,,-940929.0,,-941029,1193026,,497868,-835768,-337900,159.0,106952,545152,,2558186,-353391,0.0,-2770.0,-1260.0,,16719,-44279,0.0,424802
2015-05-08,1,2015,,-155331,,,-1066,953,,,0,56996.0,,-9865,,-8776,-191905,-92497.0,-1032,,0.0,-14046,,227170,,-66087,-2097,32074,30,,-270910,215650,11619,944,,10797,268513.0,2015年01月01日至2015年03月31日,2558186,2973676,-38.0,415490,296294,373.0,385363,431984,,,309813.0,309813,296294,,-303330,170507,-132823,86.0,63730,135690,,2973676,-46621,,-13527.0,,,-89720,-39309,,-79122
2015-08-07,2,2015,,-97971,,,-2034,-7318,,,0,105642.0,,-21281,3155.0,-23268,-456467,-92497.0,-7471,0.0,,-19883,,237050,,3062,-5937,14949,30,,-472979,431310,25328,1910,-1563.0,26730,561202.0,2015年01月01日至2015年06月30日,2558186,2698115,-76.0,139929,500154,-7716.0,954118,1033816,,-623075.0,305133.0,-317942,500154,,-179348,151808,-27540,610.0,138753,533662,,2698115,-78135,,-17897.0,0.0,,-92903,-29643,,-68752
