date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損迴轉利益,預付設備款增加
2013-05-03,1,2013,42786.0,0.0,-35420,-2462,8340,-4164,739,-726,,-11667,3278,38953,-56117,,,,,3149,-197253,-13790,-32869.0,-81036,164893,-2724,961.0,-109318,54569,2473,-2553,11667,,2013年01月01日至2013年03月31日,1440812,1484153,129,43341,76761,,145046,153644,,1529,-31340,76761,-107656,141753,34097,,1108,1296,,,147356.0,,76883,-501,1484153,-17712,-9715,-5151
2013-08-06,2,2013,99610.0,0.0,-45714,7099,67191,-18301,743,-1476,,-19169,5555,63798,-88919,-526963.0,,,,5584,6,-8250,-32869.0,-108766,50454,-5543,1923.0,-487095,109507,5068,-5658,19169,,2013年01月01日至2013年06月30日,1440812,1218240,-350,-222572,238733,,259554,279360,,-25960,-58829,238733,-84442,25459,-58983,,1525,1397,,,147356.0,,40627,924,1218240,-33317,-6506,-20843
2013-11-01,3,2013,143178.0,0.0,-9891,1849,63459,-18697,-41,-2225,,-28598,8348,63782,-136270,-528844.0,,-67636.0,,5845,2,-31167,-32869.0,-70566,85387,-991,2885.0,-614509,164357,7730,-8066,28598,,2013年01月01日至2013年09月30日,1440812,1202256,-1484,-238556,323620,,417150,489245,-116114.0,44004,-104979,323620,-13934,36381,22447,,3449,2177,,,147356.0,,165625,179,1202256,-92627,-12972,-32525
2014-03-06,4,2013,205626.0,0.0,32517,-1536,51090,-33698,186,-2980,,-33368,11411,82040,-144611,-1032036.0,-228.0,-67636.0,,9266,-4,-15004,-32869.0,-38077,23592,-4312,3892.0,-1063443,218061,11728,-11292,33368,,2013年01月01日至2013年12月31日,1440812,976725,-458,-464087,452069,,595383,677722,-116114.0,70916,-78067,452069,50985,-30958,20027,,5533,2628,,,218284.0,,225653,1563,976725,-104415,-10662,-42931
2014-04-30,1,2014,55368.0,,-44060,6227,-33818,-5796,0,-743,,-7935,3036,28849,-11971,-265.0,,,,127,0,18170,0.0,23619,-37171,1999,1893.0,-13939,59986,1846,-3484,7935,,2014年01月01日至2014年03月31日,976725,1136782,675,160057,132909,,95972,117744,,49175,49175,132909,-53962,-16571,-70533,,322,213,,,0.0,,-15165,-1596,1136782,-26223,-1837,-2025
2014-08-05,2,2014,91877.0,,-33292,12814,-45209,-2614,128,-1549,,-17879,7338,-43457,-20962,-4790.0,,,,-3624,-10894,62860,0.0,-86200,57921,553,3018.0,-51306,117423,3633,-6518,17879,,2014年01月01日至2014年06月30日,976725,1299470,-868,322745,291623,,303753,354242,,113755,113755,291623,-160792,131534,-29258,,897,808,,,0.0,,62619,891,1299470,-61850,-13405,-15685
2014-11-06,3,2014,137230.0,,-8610,-1861,-26119,-4097,137,-2115,,-30534,11976,-4020,-64069,-10088.0,,0.0,,-1479,5079,57910,0.0,-24086,71204,3331,4148.0,-74414,175490,5440,-9820,30534,,2014年01月01日至2014年09月30日,976725,1518505,-301,541780,401755,,534061,611464,-223318.0,126951,86153,401755,-54008,126487,72479,182520.0,1909,1157,,,0.0,,209709,659,1518505,-98117,-22404,-7382
2015-03-03,4,2014,208538.0,,16093,-8213,-43629,-4095,190,-2977,,-45019,16943,39917,-84208,-13085.0,0.0,0.0,,8312,4341,62412,0.0,-53201,8143,3091,822.0,-89448,240208,7261,-14550,45019,,2014年度,976725,1869074,-689,892349,564865,,661965,757197,-223318.0,313333,279915,564865,-77544,61338,-16206,189900.0,4381,3212,,,0.0,,192332,2371,1869074,-125701,-18713,-1067
2015-04-30,1,2015,,,-34631,26738,318,-4766,25,-800,,-16547,5572,-17997,-21266,-14531.0,,,,2305,1033,-15111,,-43580,90946,3059,,14540,53015,1850,-5335,16547,46416.0,2015年01月01日至2015年03月31日,1869074,1960560,623,91486,170490,2665.0,211429,240790,,-116486,-116486,170490,-76982,100866,23884,,0,146,53229.0,-15398.0,,,70300,-1754,1960560,-40573,15650,-3950
2015-08-10,2,2015,,-3118.0,-14232,39448,942,-10135,55,-1555,,-33516,10102,-43638,-46252,-91176.0,,,,5703,1022,-34571,,-60435,-131,3223,,-87213,106965,3672,-10041,33516,101895.0,2015年01月01日至2015年06月30日,1869074,1880894,-128,11820,373813,4128.0,361854,402852,,-216065,-219183,373813,-70690,-2166,-72856,,929,3487,53229.0,-15398.0,,,29039,-1093,1880894,-64473,22563,-5020
2015-11-03,3,2015,,-3144.0,-3203,41435,-5081,13478,149,-2329,,-49383,15280,38944,-120258,-97622.0,,,-295830.0,4024,1046,-12096,,-32428,55469,-856,,-572036,159771,5543,-15996,49383,143583.0,2015年01月01日至2015年09月30日,1869074,2045117,-486,176043,549540,5689.0,699645,755672,-267981.0,280615,9490,549540,-34881,97430,62549,0.0,1715,3846,53229.0,-15398.0,,,206132,142,2045117,-89414,22715,-114465
2016-03-07,4,2015,,-98391.0,15381,44338,-2245,-15781,271,-3039,,-64390,20408,7350,-160783,-116395.0,,,-295830.0,5727,778,-30715,,-63811,115609,1787,,-437317,214179,7388,-21795,64390,205101.0,2015年度,1869074,2040854,324,171780,723768,3395.0,925602,997630,-267981.0,42517,-323855,723768,-46477,115238,68761,0.0,12285,23332,53229.0,-15398.0,,295830.0,273862,803,2040854,-114623,16570,-226702
2016-05-06,1,2016,,-96115.0,-14042,16744,-15795,-47365,-405,-696,,-12629,5187,19906,-29707,0.0,,,,7002,1951,-25635,,-9303,-49278,1356,,-316806,50925,1850,-5396,12629,44311.0,2016年01月01日至2016年03月31日,2040854,1921251,-2075,-119603,140691,305.0,28797,45094,,244615,148500,140691,-35730,-104178,-139908,,1587,776,0.0,0.0,,,-95597,3105,1921251,-23530,-6029,-290232
